,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,Unnamed: 15
0,FUTIDX,BANKNIFTY,31-Mar-2016,0.0,XX,13887.45,14244.0,13406.4,13989.35,13989.35,253404,1056292.91,2205240,54180,29-FEB-2016,
1,FUTIDX,BANKNIFTY,28-Apr-2016,0.0,XX,13920.6,14281.0,13460.5,14037.1,14037.1,7014,29345.02,182130,91920,29-FEB-2016,
2,FUTIDX,BANKNIFTY,26-May-2016,0.0,XX,13845.0,14290.0,13501.0,14039.9,14039.9,3116,13070.98,135570,85320,29-FEB-2016,
3,FUTIDX,DJIA,18-Mar-2016,0.0,XX,16560.0,16590.0,16475.0,16487.5,16487.5,499,2475.91,12090,-5400,29-FEB-2016,
4,FUTIDX,DJIA,13-Apr-2016,0.0,XX,0.0,0.0,0.0,16710.0,16810.0,0,0.0,180,0,29-FEB-2016,
5,FUTIDX,DJIA,20-May-2016,0.0,XX,0.0,0.0,0.0,16740.0,16952.5,0,0.0,0,0,29-FEB-2016,
6,FUTIDX,DJIA,17-Jun-2016,0.0,XX,0.0,0.0,0.0,16385.0,17060.0,0,0.0,30,0,29-FEB-2016,
7,FUTIDX,DJIA,16-Sep-2016,0.0,XX,0.0,0.0,0.0,16702.5,17420.0,0,0.0,30,0,29-FEB-2016,
8,FUTIDX,DJIA,16-Dec-2016,0.0,XX,0.0,0.0,0.0,18835.0,17785.0,0,0.0,0,0,29-FEB-2016,
9,FUTIDX,FTSE100,18-Mar-2016,0.0,XX,0.0,0.0,0.0,5801.0,6118.0,0,0.0,300,0,29-FEB-2016,
10,FUTIDX,FTSE100,13-Apr-2016,0.0,XX,0.0,0.0,0.0,6026.0,6158.0,0,0.0,0,0,29-FEB-2016,
11,FUTIDX,FTSE100,20-May-2016,0.0,XX,0.0,0.0,0.0,6091.0,6210.0,0,0.0,0,0,29-FEB-2016,
12,FUTIDX,FTSE100,17-Jun-2016,0.0,XX,0.0,0.0,0.0,7242.0,6250.0,0,0.0,0,0,29-FEB-2016,
13,FUTIDX,FTSE100,16-Sep-2016,0.0,XX,0.0,0.0,0.0,6637.0,6382.0,0,0.0,0,0,29-FEB-2016,
14,FUTIDX,FTSE100,16-Dec-2016,0.0,XX,0.0,0.0,0.0,6570.0,6516.0,0,0.0,0,0,29-FEB-2016,
15,FUTIDX,NIFTY,31-Mar-2016,0.0,XX,7052.55,7127.95,6833.65,7008.95,7008.95,413570,2175009.2,18051750,-449100,29-FEB-2016,
16,FUTIDX,NIFTY,28-Apr-2016,0.0,XX,7091.65,7154.95,6864.1,7040.05,7040.05,11104,58650.66,1189875,105900,29-FEB-2016,
17,FUTIDX,NIFTY,26-May-2016,0.0,XX,7089.3,7169.0,6884.85,7058.4,7058.4,1447,7668.89,410250,20775,29-FEB-2016,
18,FUTIDX,NIFTYINFRA,31-Mar-2016,0.0,XX,0.0,0.0,0.0,2820.75,2277.35,0,0.0,0,0,29-FEB-2016,
19,FUTIDX,NIFTYINFRA,28-Apr-2016,0.0,XX,0.0,0.0,0.0,2440.95,2291.95,0,0.0,0,0,29-FEB-2016,
20,FUTIDX,NIFTYINFRA,26-May-2016,0.0,XX,0.0,0.0,0.0,2330.45,2306.65,0,0.0,0,0,29-FEB-2016,
21,FUTIDX,NIFTYIT,31-Mar-2016,0.0,XX,10545.0,10545.05,10120.3,10334.15,10334.15,353,1648.16,16110,3150,29-FEB-2016,
22,FUTIDX,NIFTYIT,28-Apr-2016,0.0,XX,0.0,0.0,0.0,11219.35,10417.9,0,0.0,0,0,29-FEB-2016,
23,FUTIDX,NIFTYIT,26-May-2016,0.0,XX,0.0,0.0,0.0,10620.25,10484.8,0,0.0,0,0,29-FEB-2016,
24,FUTIDX,NIFTYMID50,31-Mar-2016,0.0,XX,0.0,0.0,0.0,3479.0,2740.1,0,0.0,0,0,29-FEB-2016,
25,FUTIDX,NIFTYMID50,28-Apr-2016,0.0,XX,0.0,0.0,0.0,3123.05,2757.7,0,0.0,0,0,29-FEB-2016,
26,FUTIDX,NIFTYMID50,26-May-2016,0.0,XX,0.0,0.0,0.0,2763.8,2775.4,0,0.0,0,0,29-FEB-2016,
27,FUTIDX,NIFTYPSE,31-Mar-2016,0.0,XX,0.0,0.0,0.0,3190.05,2627.35,0,0.0,0,0,29-FEB-2016,
28,FUTIDX,NIFTYPSE,28-Apr-2016,0.0,XX,0.0,0.0,0.0,2974.0,2644.25,0,0.0,0,0,29-FEB-2016,
29,FUTIDX,NIFTYPSE,26-May-2016,0.0,XX,0.0,0.0,0.0,2686.4,2661.2,0,0.0,0,0,29-FEB-2016,
30,FUTIDX,S&P500,18-Mar-2016,0.0,XX,1938.75,1939.5,1926.0,1929.5,1929.5,384,1857.34,392750,-28250,29-FEB-2016,
31,FUTIDX,S&P500,13-Apr-2016,0.0,XX,0.0,0.0,0.0,1793.75,1967.75,0,0.0,0,0,29-FEB-2016,
