Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,3IINFOTECH,EQ,9.45,9.5,10.1,9.25,9.8,9.75,9.75,5374064,5238724135000.0,7437,1853863,0.34500000000000003
2015-01-02,3IINFOTECH,EQ,9.75,9.75,10.2,9.5,9.7,9.7,9.88,3463989,3421904265000.0,5098,1431340,0.4132
2015-01-05,3IINFOTECH,EQ,9.7,9.7,10.1,9.3,9.4,9.35,9.69,2722092,2637032155000.0,3438,1460751,0.5366
2015-01-06,3IINFOTECH,EQ,9.35,9.15,9.3,8.75,8.95,8.85,9.01,2548888,2295862375000.0,3089,1548388,0.6075
2015-01-07,3IINFOTECH,EQ,8.85,8.95,9.1,8.55,8.8,8.75,8.78,2194054,1925435810000.0002,3003,1063760,0.48479999999999995
2015-01-08,3IINFOTECH,EQ,8.75,9.1,9.25,8.95,9.0,9.05,9.07,1282894,1164188900000.0,1478,817095,0.6369
2015-01-09,3IINFOTECH,EQ,9.05,9.05,9.2,8.85,8.95,8.9,8.95,979968,876827044999.9999,1123,621852,0.6346
2015-01-12,3IINFOTECH,EQ,8.9,8.8,9.25,8.75,9.2,9.1,9.03,1561964,1411162905000.0,1764,939618,0.6016
2015-01-13,3IINFOTECH,EQ,9.1,9.1,9.25,8.65,8.7,8.75,8.89,970133,862495830000.0001,1460,589873,0.608
2015-01-14,3IINFOTECH,EQ,8.75,8.75,8.9,8.55,8.75,8.65,8.71,755879,658510330000.0,1206,456102,0.6034
2015-01-15,3IINFOTECH,EQ,8.65,8.85,9.05,8.65,8.65,8.75,8.81,792336,698327400000.0,1029,459317,0.5797
2015-01-16,3IINFOTECH,EQ,8.75,8.7,9.0,8.7,8.9,8.9,8.92,970116,864887775000.0,965,576676,0.5944
2015-01-19,3IINFOTECH,EQ,8.9,8.9,9.3,8.75,9.0,9.0,9.1,1852352,1684941514999.9998,2417,919645,0.4965
2015-01-20,3IINFOTECH,EQ,9.0,9.2,9.25,8.8,8.9,8.9,8.97,905142,812331345000.0,1334,519073,0.5735
2015-01-21,3IINFOTECH,EQ,8.9,8.9,9.0,8.6,8.65,8.65,8.75,711419,622251075000.0,1180,435165,0.6117
2015-01-22,3IINFOTECH,EQ,8.65,8.7,8.8,8.6,8.75,8.7,8.72,823277,718209970000.0,894,521533,0.6335000000000001
2015-01-23,3IINFOTECH,EQ,8.7,8.8,9.25,8.3,8.85,8.8,8.78,2226049,1953754564999.9998,2767,1146353,0.515
2015-01-27,3IINFOTECH,EQ,8.8,8.8,8.95,8.65,8.75,8.75,8.76,539897,472955630000.0,817,327929,0.6074
2015-01-28,3IINFOTECH,EQ,8.75,8.65,9.2,8.65,8.9,8.85,8.88,1163888,1033451230000.0001,1573,615436,0.5288
2015-01-29,3IINFOTECH,EQ,8.85,8.85,9.05,8.7,8.8,8.8,8.8,680170,598440080000.0,904,402383,0.5916
2015-01-30,3IINFOTECH,EQ,8.8,8.95,8.95,8.7,8.75,8.8,8.85,712003,629974685000.0,901,466055,0.6546
2015-02-02,3IINFOTECH,EQ,8.8,8.7,9.1,8.7,8.85,8.9,8.91,894900,797318840000.0,1066,453317,0.5065999999999999
2015-02-03,3IINFOTECH,EQ,8.9,8.9,9.0,8.7,8.8,8.8,8.86,559560,495606875000.0,781,342552,0.6122
2015-02-04,3IINFOTECH,EQ,8.8,8.95,8.95,8.75,8.75,8.8,8.85,458806,406075725000.0,725,345277,0.7526
2015-02-05,3IINFOTECH,EQ,8.8,8.7,8.95,8.6,8.6,8.7,8.8,561695,494105015000.00006,658,355733,0.6333
2015-02-06,3IINFOTECH,EQ,8.7,8.65,8.8,8.3,8.4,8.35,8.51,849826,723059785000.0,1112,512151,0.6027
2015-02-09,3IINFOTECH,EQ,8.35,8.3,8.6,8.15,8.15,8.2,8.32,811214,674785420000.0,1506,468040,0.5770000000000001
2015-02-10,3IINFOTECH,EQ,8.2,8.1,8.45,8.05,8.1,8.1,8.22,673291,553592640000.0,1144,432072,0.6417
2015-02-11,3IINFOTECH,EQ,8.1,8.15,8.3,7.65,7.8,7.75,7.9,1912279,1511483490000.0,4826,1213612,0.6346
2015-02-12,3IINFOTECH,EQ,7.75,7.85,8.0,7.7,7.8,7.8,7.82,1051928,822648085000.0,2659,639717,0.6081000000000001
2015-02-13,3IINFOTECH,EQ,7.8,7.9,7.9,7.7,7.75,7.75,7.79,760438,592619990000.0,1944,506969,0.6667000000000001
2015-02-16,3IINFOTECH,EQ,7.75,7.75,8.0,7.65,7.7,7.75,7.85,943654,740546725000.0,2436,591916,0.6273
2015-02-18,3IINFOTECH,EQ,7.75,7.95,8.2,7.7,7.9,7.8,7.88,2580620,2033746350000.0,4792,1263593,0.48960000000000004
2015-02-19,3IINFOTECH,EQ,7.8,7.95,8.0,7.7,7.75,7.8,7.79,867338,675484515000.0,1369,552016,0.6364
2015-02-20,3IINFOTECH,EQ,7.8,7.75,8.7,7.7,8.2,8.15,8.2,5236015,4292245850000.0,7179,1997460,0.3815
2015-02-23,3IINFOTECH,EQ,8.15,8.3,8.4,7.9,7.9,7.95,8.14,1010612,823007360000.0,1269,601839,0.5955
2015-02-24,3IINFOTECH,EQ,7.95,8.15,8.25,7.85,8.0,7.9,7.98,773177,617285695000.0,1178,377078,0.4877
2015-02-25,3IINFOTECH,EQ,7.9,8.1,8.15,7.75,7.8,7.8,7.86,777280,610904180000.0,1013,441015,0.5674
2015-02-26,3IINFOTECH,EQ,7.8,7.95,8.4,7.75,8.35,8.25,8.14,2283199,1859281960000.0002,2161,1016396,0.44520000000000004
2015-02-27,3IINFOTECH,EQ,8.25,8.4,8.6,8.15,8.15,8.2,8.36,1967360,1645563480000.0,2110,1033477,0.5253
