Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,BEL,EQ,1941.05,1950.0,1974.0,1935.0,1950.0,1947.9,1947.91,71202,13869477544999.998,12688.65987186954,40646,0.5709000000000001
2010-01-05,BEL,EQ,1947.9,1960.0,1968.7,1940.9,1957.95,1953.95,1951.34,50116,9779359965000.0,12688.65987186954,36713,0.7326
2010-01-06,BEL,EQ,1953.95,1951.05,1956.9,1931.1,1940.0,1940.75,1944.28,12649,2459324285000.0,12688.65987186954,6439,0.5091
2010-01-07,BEL,EQ,1940.75,1949.9,1955.0,1923.25,1923.55,1929.7,1937.99,12788,2478300185000.0,12688.65987186954,5449,0.4261
2010-01-08,BEL,EQ,1929.7,1907.6,1938.55,1907.6,1935.0,1931.25,1927.06,25795,4970861690000.0,12688.65987186954,17449,0.6764
2010-01-11,BEL,EQ,1931.25,1933.0,2057.5,1917.5,2055.0,2028.45,2004.57,133528,26766560255000.0,12688.65987186954,66867,0.5008
2010-01-12,BEL,EQ,2028.45,2028.0,2060.0,1964.0,1975.0,1971.85,2005.22,44824,8988209470000.0,12688.65987186954,19857,0.443
2010-01-13,BEL,EQ,1971.85,1971.8,2041.0,1956.2,2015.0,2013.15,2003.83,56862,11394184585000.0,12688.65987186954,21096,0.371
2010-01-14,BEL,EQ,2013.15,2030.0,2098.6,2012.0,2078.0,2070.15,2040.89,151093,30836427460000.004,12688.65987186954,123724,0.8189000000000001
2010-01-15,BEL,EQ,2070.15,2095.0,2166.0,2051.5,2066.1,2070.05,2119.68,103728,21986967300000.0,12688.65987186954,32873,0.3169
2010-01-18,BEL,EQ,2070.05,2052.0,2139.0,2050.0,2102.0,2099.5,2106.79,77093,16241863135000.0,12688.65987186954,27652,0.35869999999999996
2010-01-19,BEL,EQ,2099.5,2103.0,2140.0,2044.1,2050.0,2056.4,2092.78,51920,10865731545000.0,12688.65987186954,10978,0.2114
2010-01-20,BEL,EQ,2056.4,2077.4,2099.8,2015.0,2018.4,2030.25,2042.01,51813,10580279580000.0,12688.65987186954,28994,0.5596
2010-01-21,BEL,EQ,2030.25,2029.95,2057.5,1974.0,2000.0,2000.65,2010.94,48890,9831505655000.0,12688.65987186954,23642,0.48360000000000003
2010-01-22,BEL,EQ,2000.65,1971.0,2008.85,1929.9,1987.9,1994.3,1972.52,62447,12317784810000.0,12688.65987186954,30085,0.4818
2010-01-25,BEL,EQ,1994.3,1990.0,1990.0,1940.0,1954.0,1952.55,1953.11,47355,9248936855000.0,12688.65987186954,31356,0.6620999999999999
2010-01-27,BEL,EQ,1952.55,1960.05,1964.95,1937.0,1942.0,1940.5,1948.0,86631,16875716475000.0,12688.65987186954,67377,0.7777
2010-01-28,BEL,EQ,1940.5,1955.0,1980.0,1943.6,1960.85,1960.7,1959.35,91685,17964302710000.0,12688.65987186954,74311,0.8105
2010-01-29,BEL,EQ,1960.7,1970.0,1982.0,1879.3,1964.95,1942.4,1928.53,104081,20072331215000.0,12688.65987186954,34239,0.329
2010-02-01,BEL,EQ,1942.4,1982.5,2020.0,1960.0,2002.95,2003.35,1998.0,115534,23083676090000.0,12688.65987186954,48818,0.4225
2010-02-02,BEL,EQ,2003.35,2015.0,2034.8,1925.0,1938.0,1936.95,1970.1,120751,23789197980000.0,12688.65987186954,82945,0.6869
2010-02-03,BEL,EQ,1936.95,1960.0,2068.15,1950.0,1988.0,1983.95,2014.14,408196,82216465910000.0,12688.65987186954,170472,0.41759999999999997
2010-02-04,BEL,EQ,1983.95,1994.8,2025.0,1961.2,1993.0,1988.9,1989.21,134426,26740096535000.0,12688.65987186954,69569,0.5175
2010-02-05,BEL,EQ,1988.9,1960.0,1966.9,1925.05,1950.55,1947.6,1951.99,69126,13493326419999.998,12688.65987186954,35637,0.5155
2010-02-06,BEL,EQ,1947.6,1972.5,2018.0,1952.0,2017.0,1994.75,1987.2,6951,1381305005000.0,12688.65987186954,2587,0.3722
2010-02-08,BEL,EQ,1994.75,2011.0,2011.0,1950.5,1961.0,1960.55,1975.72,59653,11785742235000.0,12688.65987186954,31525,0.5285
2010-02-09,BEL,EQ,1960.55,1947.2,1966.9,1936.0,1952.0,1949.3,1951.86,59052,11526136720000.0,12688.65987186954,28857,0.48869999999999997
2010-02-10,BEL,EQ,1949.3,1998.7,1998.9,1945.0,1990.0,1975.0,1973.07,114941,22678679200000.0,12688.65987186954,69430,0.604
2010-02-11,BEL,EQ,1975.0,1982.0,1992.5,1964.05,1972.05,1973.4,1974.49,20449,4037630585000.0,12688.65987186954,10311,0.5042
2010-02-15,BEL,EQ,1973.4,1980.0,2007.0,1975.5,1990.05,1993.5,1995.64,45802,9140445350000.0,12688.65987186954,29762,0.6498
2010-02-16,BEL,EQ,1993.5,2007.0,2080.0,2001.15,2070.0,2068.3,2041.51,122068,24920358705000.0,12688.65987186954,29201,0.23920000000000002
2010-02-17,BEL,EQ,2068.3,2068.0,2095.05,2045.0,2054.0,2056.7,2067.84,92774,19184178270000.0,12688.65987186954,47438,0.5113000000000001
2010-02-18,BEL,EQ,2056.7,2079.0,2087.95,2053.0,2067.7,2073.8,2072.74,93021,19280841020000.0,12688.65987186954,39488,0.42450000000000004
2010-02-19,BEL,EQ,2073.8,2065.0,2083.4,2030.0,2062.1,2053.9,2056.82,46213,9505187320000.0,12688.65987186954,17970,0.3889
2010-02-22,BEL,EQ,2053.9,2073.0,2092.0,2040.1,2041.0,2047.4,2061.75,22093,4555016920000.0,12688.65987186954,10336,0.4678
2010-02-23,BEL,EQ,2047.4,2049.2,2049.2,2012.0,2040.0,2030.2,2029.02,209695,42547494080000.0,12688.65987186954,179538,0.8562000000000001
2010-02-24,BEL,EQ,2030.2,2068.7,2068.7,2002.0,2019.0,2019.3,2017.89,115189,23243845110000.0,12688.65987186954,99230,0.8615
2010-02-25,BEL,EQ,2019.3,2029.65,2029.65,1980.0,2007.0,1997.4,1999.84,54718,10942737660000.0,12688.65987186954,29561,0.5402
2010-02-26,BEL,EQ,1997.4,2015.0,2037.0,1995.0,1995.0,2000.65,2014.25,54666,11011091255000.0,12688.65987186954,26121,0.4778
