Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-08-16,SKSMICRO,EQ,985.0,1040.0,1162.0,1040.0,1084.1,1088.65,1115.42,13782374,1537309834495000.0,27870.973397823458,4240010,0.30760000000000004
2010-08-17,SKSMICRO,EQ,1088.65,1091.0,1188.0,1076.25,1171.0,1177.7,1150.37,5931839,682380381070000.0,27870.973397823458,1795803,0.3027
2010-08-18,SKSMICRO,EQ,1177.7,1180.2,1186.4,1142.5,1166.0,1165.15,1167.96,1601300,187025185230000.0,27870.973397823458,434679,0.2715
2010-08-19,SKSMICRO,EQ,1165.15,1172.5,1172.5,1150.25,1168.0,1162.4,1158.66,574537,66569382090000.0,27870.973397823458,258120,0.44930000000000003
2010-08-20,SKSMICRO,EQ,1162.4,1160.0,1238.85,1155.0,1215.1,1215.9,1203.98,2057768,247750635930000.03,27870.973397823458,468778,0.2278
2010-08-23,SKSMICRO,EQ,1215.9,1215.0,1219.7,1168.0,1172.0,1173.55,1192.24,391579,46685642510000.0,27870.973397823458,148768,0.3799
2010-08-24,SKSMICRO,EQ,1173.55,1173.55,1199.0,1148.0,1162.0,1157.15,1170.0,536237,62739768095000.01,27870.973397823458,301112,0.5615
2010-08-25,SKSMICRO,EQ,1157.15,1155.0,1194.9,1152.1,1162.0,1159.9,1173.55,500564,58743712575000.0,27870.973397823458,202831,0.40520000000000006
2010-08-26,SKSMICRO,EQ,1159.9,1163.6,1169.0,1153.0,1163.0,1161.4,1162.21,131608,15295555335000.0,27870.973397823458,63979,0.48610000000000003
2010-08-27,SKSMICRO,EQ,1161.4,1160.0,1173.95,1151.75,1152.25,1165.8,1166.31,140900,16433293465000.0,27870.973397823458,67143,0.4765
2010-08-30,SKSMICRO,EQ,1165.8,1170.0,1212.9,1156.1,1182.0,1185.55,1192.29,401057,47817693005000.0,27870.973397823458,124448,0.3103
2010-08-31,SKSMICRO,EQ,1185.55,1170.1,1301.7,1170.1,1223.0,1221.35,1247.52,2137510,266658730380000.03,27870.973397823458,202995,0.095
2010-09-01,SKSMICRO,EQ,1221.35,1230.35,1265.0,1226.05,1259.0,1257.3,1251.72,477187,59730233785000.0,27870.973397823458,78048,0.1636
2010-09-02,SKSMICRO,EQ,1257.3,1263.0,1312.8,1240.0,1286.7,1288.6,1292.28,942585,121808406600000.0,27870.973397823458,112198,0.11900000000000001
2010-09-03,SKSMICRO,EQ,1288.6,1297.4,1315.65,1282.3,1292.0,1289.55,1300.59,272215,35404043035000.0,27870.973397823458,41280,0.1516
2010-09-06,SKSMICRO,EQ,1289.55,1295.0,1308.4,1280.0,1285.0,1287.2,1293.42,137844,17829011515000.0,27870.973397823458,25530,0.1852
2010-09-07,SKSMICRO,EQ,1287.2,1292.0,1294.7,1250.0,1260.0,1260.8,1265.12,153986,19481112250000.0,27870.973397823458,60248,0.39130000000000004
2010-09-08,SKSMICRO,EQ,1260.8,1245.0,1310.0,1243.0,1286.5,1286.2,1292.57,329533,42594440640000.0,27870.973397823458,134322,0.40759999999999996
2010-09-09,SKSMICRO,EQ,1286.2,1295.0,1303.7,1266.35,1281.95,1277.35,1288.67,145103,18699046595000.0,27870.973397823458,51424,0.3544
2010-09-13,SKSMICRO,EQ,1277.35,1277.35,1358.0,1277.35,1338.25,1342.3,1327.95,787874,104625639870000.0,27870.973397823458,364203,0.4623
2010-09-14,SKSMICRO,EQ,1342.3,1345.2,1429.5,1344.0,1378.0,1384.45,1387.01,1102593,152930933370000.0,27870.973397823458,441213,0.40020000000000006
2010-09-15,SKSMICRO,EQ,1384.45,1385.0,1436.95,1368.5,1407.0,1404.85,1397.92,895978,125250551750000.0,27870.973397823458,353620,0.3947
2010-09-16,SKSMICRO,EQ,1404.85,1402.6,1413.9,1355.8,1365.0,1364.3,1384.72,361048,49994916770000.0,27870.973397823458,194294,0.5381
2010-09-17,SKSMICRO,EQ,1364.3,1371.85,1410.0,1371.0,1396.0,1395.35,1394.64,239471,33397567089999.996,27870.973397823458,110251,0.4604
2010-09-20,SKSMICRO,EQ,1395.35,1390.0,1405.4,1380.1,1386.0,1385.35,1387.47,176509,24490104290000.0,27870.973397823458,121939,0.6908
2010-09-21,SKSMICRO,EQ,1385.35,1380.0,1394.95,1368.1,1389.95,1380.05,1379.99,99263,13698154494999.998,27870.973397823458,42573,0.4289
2010-09-22,SKSMICRO,EQ,1380.05,1391.0,1413.0,1381.25,1387.0,1389.3,1395.69,164037,22894452150000.0,27870.973397823458,73652,0.449
2010-09-23,SKSMICRO,EQ,1389.3,1390.0,1395.0,1358.25,1360.4,1364.4,1374.3,59185,8133801500000.0,27870.973397823458,29925,0.5056
2010-09-24,SKSMICRO,EQ,1364.4,1372.0,1373.95,1327.0,1334.0,1333.05,1348.99,95608,12897456965000.0,27870.973397823458,43590,0.4559
2010-09-27,SKSMICRO,EQ,1333.05,1348.0,1409.0,1348.0,1375.0,1374.75,1382.36,188682,26082663005000.0,27870.973397823458,79811,0.423
2010-09-28,SKSMICRO,EQ,1374.75,1385.0,1491.5,1380.0,1397.45,1400.55,1447.24,1592556,230480436590000.0,27870.973397823458,278448,0.1748
2010-09-29,SKSMICRO,EQ,1400.55,1414.55,1421.9,1367.15,1372.0,1374.95,1393.77,292140,40717675600000.0,27870.973397823458,86861,0.2973
2010-09-30,SKSMICRO,EQ,1374.95,1379.4,1379.4,1315.85,1331.0,1337.35,1337.42,326313,43641740800000.0,27870.973397823458,116745,0.3578
2010-10-01,SKSMICRO,EQ,1337.35,1349.0,1377.65,1340.0,1363.1,1361.45,1364.85,167153,22813807285000.0,27870.973397823458,65737,0.3933
2010-10-04,SKSMICRO,EQ,1361.45,1370.0,1392.0,1235.0,1284.9,1279.95,1295.41,666204,86301049905000.0,27870.973397823458,257951,0.3872
2010-10-05,SKSMICRO,EQ,1279.95,1300.0,1324.0,1241.65,1271.0,1260.35,1282.53,757003,97088272955000.0,27870.973397823458,278542,0.368
2010-10-06,SKSMICRO,EQ,1260.35,1261.0,1324.0,1260.0,1311.0,1305.85,1302.44,538503,70136537995000.01,27870.973397823458,209881,0.3897
2010-10-07,SKSMICRO,EQ,1305.85,1310.95,1315.0,1291.05,1310.0,1303.85,1301.95,160919,20950916815000.0,27870.973397823458,52844,0.3284
2010-10-08,SKSMICRO,EQ,1303.85,1292.2,1300.0,1201.1,1237.0,1229.45,1236.05,734969,90846153960000.0,27870.973397823458,352562,0.4797
2010-10-11,SKSMICRO,EQ,1229.45,1277.0,1299.0,1224.95,1227.0,1234.55,1236.63,296016,36606255500000.0,27870.973397823458,172009,0.5811000000000001
2010-10-12,SKSMICRO,EQ,1234.55,1238.7,1354.85,1230.4,1267.0,1273.0,1287.18,1412952,181871826435000.0,27870.973397823458,340384,0.2409
2010-10-13,SKSMICRO,EQ,1273.0,1273.0,1282.5,1217.0,1242.0,1231.45,1234.77,626527,77361544155000.0,27870.973397823458,260943,0.4165
2010-10-14,SKSMICRO,EQ,1231.45,1230.0,1250.0,1191.0,1212.0,1215.5,1217.93,511447,62290690365000.0,27870.973397823458,232588,0.4548
2010-10-15,SKSMICRO,EQ,1215.5,1220.05,1225.0,1108.45,1133.0,1135.9,1141.65,969939,110732902684999.98,27870.973397823458,344764,0.3554
2010-10-18,SKSMICRO,EQ,1135.9,1133.0,1135.0,1050.0,1077.0,1082.25,1060.86,1153035,122321037420000.0,27870.973397823458,676335,0.5866
2010-10-19,SKSMICRO,EQ,1082.25,1083.3,1164.3,1071.0,1140.0,1139.5,1130.03,759163,85787448065000.0,27870.973397823458,302652,0.3987
2010-10-20,SKSMICRO,EQ,1139.5,1132.05,1155.0,1065.5,1115.3,1130.65,1126.86,587856,66243236220000.01,27870.973397823458,219350,0.37310000000000004
2010-10-21,SKSMICRO,EQ,1130.65,1168.0,1168.0,1090.0,1107.0,1108.35,1112.07,344431,38303083585000.0,27870.973397823458,162671,0.4723
2010-10-22,SKSMICRO,EQ,1108.35,1125.0,1140.0,1010.9,1051.95,1056.35,1064.47,1344936,143163981855000.0,27870.973397823458,492340,0.3661
2010-10-25,SKSMICRO,EQ,1056.35,1060.25,1098.0,890.0,1002.0,1010.3,992.96,4136567,410746322755000.0,27870.973397823458,651501,0.1575
2010-10-26,SKSMICRO,EQ,1010.3,1011.55,1020.0,961.0,991.0,988.9,994.01,1499238,149026016900000.0,27870.973397823458,386613,0.2579
2010-10-27,SKSMICRO,EQ,988.9,990.0,1040.0,971.05,1035.15,1026.05,1006.66,1148840,115648847880000.0,27870.973397823458,455717,0.39670000000000005
2010-10-28,SKSMICRO,EQ,1026.05,1026.05,1040.0,1001.0,1021.5,1009.7,1022.2,281965,28822338720000.0,27870.973397823458,45230,0.1604
2010-10-29,SKSMICRO,EQ,1009.7,998.0,1050.4,995.0,1025.0,1027.75,1020.05,646935,65990814804999.99,27870.973397823458,139848,0.2162
2010-11-01,SKSMICRO,EQ,1027.75,1049.9,1049.9,1015.0,1015.5,1025.8,1030.55,182433,18800613135000.0,27870.973397823458,77379,0.4242
2010-11-02,SKSMICRO,EQ,1025.8,1028.0,1036.2,996.0,999.0,1005.45,1015.89,200351,20353361055000.0,27870.973397823458,94376,0.4711
2010-11-03,SKSMICRO,EQ,1005.45,1013.2,1019.9,985.0,988.0,993.6,1001.69,161907,16218025850000.0,27870.973397823458,69981,0.4322
2010-11-04,SKSMICRO,EQ,993.6,1001.1,1019.8,975.1,1002.0,997.9,992.77,476880,47343070325000.0,27870.973397823458,284517,0.5966
