Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,BHARATFORG,EQ,272.2,272.05,277.3,270.2,276.45,275.65,274.94,461561,12690191945000.0,19468.53057658707,76346,0.1654
2010-01-05,BHARATFORG,EQ,275.65,280.0,284.1,275.2,283.05,281.45,279.55,1284769,35915653510000.0,19468.53057658707,490573,0.38180000000000003
2010-01-06,BHARATFORG,EQ,281.45,285.0,294.8,284.35,286.55,288.25,290.99,2710637,78877524245000.0,19468.53057658707,996902,0.3678
2010-01-07,BHARATFORG,EQ,288.25,289.9,289.9,281.2,283.0,283.1,283.79,699459,19849633695000.0,19468.53057658707,232926,0.33299999999999996
2010-01-08,BHARATFORG,EQ,283.1,280.0,288.95,280.0,282.0,281.7,284.86,699804,19934378600000.0,19468.53057658707,267559,0.3823
2010-01-11,BHARATFORG,EQ,281.7,291.0,291.0,283.1,284.6,284.35,285.55,708844,20240929605000.0,19468.53057658707,321066,0.4529
2010-01-12,BHARATFORG,EQ,284.35,285.3,287.5,280.0,281.6,282.2,284.2,516279,14672483585000.0,19468.53057658707,129724,0.25129999999999997
2010-01-13,BHARATFORG,EQ,282.2,280.1,286.5,278.0,285.75,284.95,281.67,425560,11986732400000.0,19468.53057658707,125592,0.29510000000000003
2010-01-14,BHARATFORG,EQ,284.95,287.7,299.5,286.0,299.5,297.85,294.52,2272683,66935555270000.01,19468.53057658707,994167,0.4374
2010-01-15,BHARATFORG,EQ,297.85,305.0,305.0,293.3,294.0,294.55,298.54,1261078,37648320660000.0,19468.53057658707,287971,0.2284
2010-01-18,BHARATFORG,EQ,294.55,295.0,303.35,291.1,302.0,302.45,298.51,830171,24781342305000.0,19468.53057658707,245484,0.2957
2010-01-19,BHARATFORG,EQ,302.45,303.5,303.5,292.55,295.05,294.85,298.11,649480,19361820200000.0,19468.53057658707,329686,0.5075999999999999
2010-01-20,BHARATFORG,EQ,294.85,296.5,300.8,290.5,294.3,293.35,295.55,472050,13951336555000.002,19468.53057658707,76845,0.16280000000000003
2010-01-21,BHARATFORG,EQ,293.35,293.5,296.8,280.65,284.0,283.75,288.87,463041,13375833080000.0,19468.53057658707,179790,0.3883
2010-01-22,BHARATFORG,EQ,283.75,284.0,286.0,273.0,283.0,283.25,280.85,565038,15869183425000.0,19468.53057658707,273863,0.4847
2010-01-25,BHARATFORG,EQ,283.25,286.0,294.5,274.55,275.45,276.9,284.39,792785,22545620265000.0,19468.53057658707,175802,0.2218
2010-01-27,BHARATFORG,EQ,276.9,275.0,277.95,257.1,259.85,261.4,268.96,543089,14606821430000.002,19468.53057658707,251146,0.46240000000000003
2010-01-28,BHARATFORG,EQ,261.4,265.0,278.25,260.05,276.1,275.45,269.0,1285711,34585641845000.0,19468.53057658707,414114,0.3221
2010-01-29,BHARATFORG,EQ,275.45,270.5,273.8,257.55,267.0,267.2,265.63,774399,20570356795000.0,19468.53057658707,270450,0.3492
2010-02-01,BHARATFORG,EQ,267.2,267.0,275.9,264.15,275.8,274.0,271.69,333443,9059425310000.0,19468.53057658707,60964,0.18280000000000002
2010-02-02,BHARATFORG,EQ,274.0,277.7,278.4,265.75,265.75,267.4,272.49,327715,8929822870000.0,19468.53057658707,102347,0.3123
2010-02-03,BHARATFORG,EQ,267.4,269.7,273.45,268.0,271.35,270.9,270.57,276909,7492217415000.001,19468.53057658707,63370,0.2288
2010-02-04,BHARATFORG,EQ,270.9,270.0,272.0,260.35,262.0,262.5,266.4,407266,10849469935000.0,19468.53057658707,75931,0.1864
2010-02-05,BHARATFORG,EQ,262.5,253.3,258.0,246.5,248.5,250.0,251.6,544153,13690828969999.998,19468.53057658707,222084,0.4081
2010-02-06,BHARATFORG,EQ,250.0,256.0,256.0,251.1,254.9,253.85,253.0,70652,1787501214999.9998,19468.53057658707,13561,0.19190000000000002
2010-02-08,BHARATFORG,EQ,253.85,253.0,257.4,244.15,249.55,248.7,249.13,684917,17063615860000.0,19468.53057658707,276524,0.4037
2010-02-09,BHARATFORG,EQ,248.7,250.8,252.85,245.85,249.2,249.2,249.8,329754,8237413855000.0,19468.53057658707,98465,0.2986
2010-02-10,BHARATFORG,EQ,249.2,251.0,253.85,243.1,243.1,245.15,247.73,777453,19259559015000.0,19468.53057658707,318404,0.40950000000000003
2010-02-11,BHARATFORG,EQ,245.15,246.9,250.85,245.4,248.0,248.35,247.97,253038,6274596645000.0,19468.53057658707,61262,0.2421
2010-02-15,BHARATFORG,EQ,248.35,249.3,250.35,245.1,247.3,247.05,247.62,156604,3877760040000.0,19468.53057658707,34943,0.2231
2010-02-16,BHARATFORG,EQ,247.05,249.7,257.7,246.1,257.55,256.8,254.5,902006,22956306970000.0,19468.53057658707,106749,0.1183
2010-02-17,BHARATFORG,EQ,256.8,258.85,260.3,250.1,251.05,251.35,253.81,1381112,35054643935000.004,19468.53057658707,644985,0.467
2010-02-18,BHARATFORG,EQ,251.35,252.85,254.35,246.25,247.25,247.4,250.9,521390,13081821300000.0,19468.53057658707,115891,0.2223
2010-02-19,BHARATFORG,EQ,247.4,245.5,246.95,240.6,244.5,243.65,243.59,329912,8036349775000.0,19468.53057658707,66790,0.2024
2010-02-22,BHARATFORG,EQ,243.65,250.0,250.0,241.0,242.1,241.95,244.47,214791,5251016225000.0,19468.53057658707,41441,0.1929
2010-02-23,BHARATFORG,EQ,241.95,241.0,241.0,235.0,237.3,237.4,237.37,449029,10658433785000.0,19468.53057658707,96699,0.2154
2010-02-24,BHARATFORG,EQ,237.4,235.9,240.7,232.0,238.35,238.1,237.9,495700,11792905025000.0,19468.53057658707,180260,0.3636
2010-02-25,BHARATFORG,EQ,238.1,239.0,241.0,231.55,235.1,235.0,234.96,417023,9798475710000.0,19468.53057658707,151104,0.36229999999999996
2010-02-26,BHARATFORG,EQ,235.0,236.05,246.9,232.65,245.5,245.65,242.58,514622,12483855820000.0,19468.53057658707,287260,0.5582
2010-03-02,BHARATFORG,EQ,245.65,248.0,264.95,247.0,264.6,263.25,256.96,1544014,39675192160000.0,19468.53057658707,899310,0.5824
2010-03-03,BHARATFORG,EQ,263.25,265.0,268.0,259.35,266.6,263.95,264.69,471386,12477160215000.0,19468.53057658707,112173,0.23800000000000002
2010-03-04,BHARATFORG,EQ,263.95,268.0,268.0,261.0,264.35,264.5,264.47,455052,12034777450000.0,19468.53057658707,192830,0.4238
2010-03-05,BHARATFORG,EQ,264.5,269.0,269.0,262.25,264.6,265.35,264.74,265266,7022664645000.0,19468.53057658707,98587,0.37170000000000003
2010-03-08,BHARATFORG,EQ,265.35,267.7,276.65,263.25,273.3,274.0,271.9,1040701,28297094414999.996,19468.53057658707,255691,0.2457
2010-03-09,BHARATFORG,EQ,274.0,275.7,276.0,267.5,270.5,271.65,272.22,682002,18565370035000.0,19468.53057658707,239229,0.3508
2010-03-10,BHARATFORG,EQ,271.65,270.5,271.0,262.6,263.0,264.6,265.55,601128,15962916085000.0,19468.53057658707,212906,0.3542
2010-03-11,BHARATFORG,EQ,264.6,262.0,266.0,257.4,262.0,260.4,259.99,389488,10126455730000.0,19468.53057658707,64589,0.16579999999999998
2010-03-12,BHARATFORG,EQ,260.4,260.15,264.4,259.1,260.8,261.3,262.17,264378,6931289545000.0,19468.53057658707,27660,0.10460000000000001
