Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,CENTURYTEX,EQ,528.2,525.1,554.0,517.0,553.9,549.05,534.65,1126027,60202976195000.01,16738.28246942341,310726,0.2759
2010-01-05,CENTURYTEX,EQ,549.05,558.85,559.8,545.25,545.95,548.3,552.05,864315,47714305605000.0,16738.28246942341,254521,0.2945
2010-01-06,CENTURYTEX,EQ,548.3,550.9,553.7,541.6,548.15,550.0,548.2,583018,31960815664999.996,16738.28246942341,112944,0.1937
2010-01-07,CENTURYTEX,EQ,550.0,552.0,576.7,544.15,570.5,572.3,566.38,1924150,108979363520000.0,16738.28246942341,396844,0.20620000000000002
2010-01-08,CENTURYTEX,EQ,572.3,577.0,577.0,555.3,562.2,560.5,566.64,1138616,64518394960000.0,16738.28246942341,166888,0.1466
2010-01-11,CENTURYTEX,EQ,560.5,560.0,570.0,557.05,558.7,559.4,562.18,463106,26034930505000.0,16738.28246942341,58637,0.1266
2010-01-12,CENTURYTEX,EQ,559.4,560.7,565.7,537.25,542.2,542.25,552.45,656984,36294852425000.0,16738.28246942341,140494,0.2138
2010-01-13,CENTURYTEX,EQ,542.25,542.0,562.85,534.75,562.0,559.05,550.07,630720,34693742945000.0,16738.28246942341,81446,0.1291
2010-01-14,CENTURYTEX,EQ,559.05,566.65,574.8,553.15,572.5,572.05,565.33,1113066,62924671025000.0,16738.28246942341,361268,0.3246
2010-01-15,CENTURYTEX,EQ,572.05,572.5,591.0,566.75,589.0,587.65,578.99,1383271,80090054260000.0,16738.28246942341,335401,0.2425
2010-01-18,CENTURYTEX,EQ,587.65,585.0,596.05,581.0,587.3,587.6,589.51,1117884,65900615145000.01,16738.28246942341,447647,0.4004
2010-01-19,CENTURYTEX,EQ,587.6,592.9,592.9,566.15,566.2,568.5,581.14,681173,39585562080000.0,16738.28246942341,193555,0.2841
2010-01-20,CENTURYTEX,EQ,568.5,572.7,576.55,555.25,560.5,560.45,565.34,606858,34308143895000.0,16738.28246942341,122437,0.2018
2010-01-21,CENTURYTEX,EQ,560.45,561.0,573.8,543.0,547.0,546.4,560.64,965566,54133138479999.99,16738.28246942341,148068,0.1533
2010-01-22,CENTURYTEX,EQ,546.4,536.6,548.85,520.9,544.75,542.85,537.83,849298,45677590685000.0,16738.28246942341,179500,0.2114
2010-01-25,CENTURYTEX,EQ,542.85,542.5,545.5,508.5,511.0,513.55,523.53,703262,36817857530000.0,16738.28246942341,167615,0.23829999999999998
2010-01-27,CENTURYTEX,EQ,513.55,516.0,517.0,474.0,478.0,477.55,495.41,1129454,55954654579999.99,16738.28246942341,184812,0.1636
2010-01-28,CENTURYTEX,EQ,477.55,487.35,498.45,481.95,487.0,486.55,488.98,907118,44356335510000.0,16738.28246942341,195982,0.21600000000000003
2010-01-29,CENTURYTEX,EQ,486.55,484.8,518.8,469.0,517.05,512.5,494.66,1203826,59548507240000.0,16738.28246942341,248370,0.20629999999999998
