Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,CHOLADBS,EQ,68.4,68.45,68.5,66.0,68.0,67.8,67.44,19103,128836210000.00002,3541.7041351193943,10840,0.5675
2010-01-05,CHOLADBS,EQ,67.8,68.5,69.3,67.75,68.2,68.2,68.41,22478,153769910000.0,3541.7041351193943,17114,0.7614000000000001
2010-01-06,CHOLADBS,EQ,68.2,68.8,69.45,68.15,68.15,68.2,68.65,6274,43069315000.0,3541.7041351193943,4586,0.731
2010-01-07,CHOLADBS,EQ,68.2,68.25,68.4,67.65,68.0,68.05,68.01,10872,73941320000.0,3541.7041351193943,8398,0.7724
2010-01-08,CHOLADBS,EQ,68.05,68.0,73.8,67.85,73.0,72.45,72.37,86174,623661810000.0,3541.7041351193943,40259,0.4672
2010-01-11,CHOLADBS,EQ,72.45,71.9,79.7,71.6,75.6,76.1,78.17,151272,1182433850000.0,3541.7041351193943,75605,0.49979999999999997
2010-01-12,CHOLADBS,EQ,76.1,76.95,77.8,70.0,71.0,70.65,73.32,62724,459871715000.00006,3541.7041351193943,31920,0.5089
2010-01-13,CHOLADBS,EQ,70.65,71.0,73.0,70.6,72.25,72.4,71.88,33016,237326525000.0,3541.7041351193943,24454,0.7406999999999999
2010-01-14,CHOLADBS,EQ,72.4,73.0,78.8,72.9,76.2,75.8,76.06,90313,686924890000.0,3541.7041351193943,52043,0.5763
2010-01-15,CHOLADBS,EQ,75.8,76.9,78.45,72.05,73.75,73.25,75.44,39113,295052115000.0,3541.7041351193943,23492,0.6006
2010-01-18,CHOLADBS,EQ,73.25,74.0,75.0,72.2,74.05,74.6,73.97,20004,147967570000.0,3541.7041351193943,14719,0.7358
2010-01-19,CHOLADBS,EQ,74.6,73.55,74.9,71.0,71.55,71.5,73.13,27651,202208740000.0,3541.7041351193943,20409,0.7381000000000001
2010-01-20,CHOLADBS,EQ,71.5,72.15,73.85,71.2,71.6,71.55,71.85,17708,127224280000.0,3541.7041351193943,12988,0.7334999999999999
2010-01-21,CHOLADBS,EQ,71.55,70.55,71.95,67.2,67.95,68.1,69.0,23107,159441810000.0,3541.7041351193943,16364,0.7081999999999999
2010-01-22,CHOLADBS,EQ,68.1,68.0,70.45,64.85,68.8,69.05,68.1,22672,154402735000.0,3541.7041351193943,11503,0.5074000000000001
2010-01-25,CHOLADBS,EQ,69.05,68.0,68.4,66.55,66.55,66.95,67.34,7696,51825650000.0,3541.7041351193943,5291,0.6875
2010-01-27,CHOLADBS,EQ,66.95,66.0,67.9,60.95,61.0,61.35,63.13,24846,156846880000.0,3541.7041351193943,16870,0.679
2010-01-28,CHOLADBS,EQ,61.35,63.95,66.0,61.25,62.3,61.95,63.84,36586,233554920000.00003,3541.7041351193943,23460,0.6412000000000001
2010-01-29,CHOLADBS,EQ,61.95,62.8,63.45,57.0,62.6,62.35,59.47,49042,291633535000.0,3541.7041351193943,19043,0.3883
2010-02-01,CHOLADBS,EQ,62.35,60.1,64.15,60.1,62.85,63.15,62.79,12672,79564215000.0,3541.7041351193943,5965,0.4707
2010-02-02,CHOLADBS,EQ,63.15,64.25,65.0,62.1,62.45,62.4,63.68,12651,80556540000.0,3541.7041351193943,8213,0.6492
2010-02-03,CHOLADBS,EQ,62.4,63.45,65.9,62.55,64.75,64.6,64.2,12622,81036840000.0,3541.7041351193943,5235,0.4148
2010-02-04,CHOLADBS,EQ,64.6,65.0,65.0,62.55,63.0,62.95,63.59,10559,67147985000.0,3541.7041351193943,5086,0.4817
2010-02-05,CHOLADBS,EQ,62.95,62.0,62.95,60.1,62.95,62.55,61.84,12410,76742955000.0,3541.7041351193943,8235,0.6636
2010-02-06,CHOLADBS,EQ,62.55,62.05,62.4,61.05,62.4,61.7,61.93,3593,22253240000.0,3541.7041351193943,1618,0.45030000000000003
2010-02-08,CHOLADBS,EQ,61.7,62.5,62.9,61.3,62.5,62.7,62.28,4539,28268775000.0,3541.7041351193943,3581,0.7889
2010-02-09,CHOLADBS,EQ,62.7,61.6,63.05,60.15,60.6,61.05,61.54,31169,191816420000.0,3541.7041351193943,15597,0.5004
2010-02-10,CHOLADBS,EQ,61.05,61.95,62.9,60.55,60.85,60.7,61.35,7844,48120220000.0,3541.7041351193943,5542,0.7065
2010-02-11,CHOLADBS,EQ,60.7,61.9,61.9,60.6,61.9,61.4,61.31,4681,28698320000.0,3541.7041351193943,2846,0.608
