Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,GLENMARK,EQ,275.85,275.0,277.95,274.0,275.1,275.05,275.91,331811,9154996390000.0,22927.17006406523,129118,0.3891
2010-01-05,GLENMARK,EQ,275.05,276.0,287.7,276.0,286.15,284.55,282.52,1643575,46433819370000.0,22927.17006406523,1014142,0.617
2010-01-06,GLENMARK,EQ,284.55,285.0,290.0,279.5,282.0,281.15,284.01,852411,24209037995000.0,22927.17006406523,377112,0.4424
2010-01-07,GLENMARK,EQ,281.15,283.5,284.0,273.2,276.0,275.0,276.21,1263253,34891953989999.996,22927.17006406523,976573,0.7731
2010-01-08,GLENMARK,EQ,275.0,277.3,279.95,273.25,278.5,276.85,277.19,614636,17036906555000.002,22927.17006406523,377918,0.6149
2010-01-11,GLENMARK,EQ,276.85,279.0,279.9,275.0,278.5,278.45,277.25,493950,13694561665000.0,22927.17006406523,222425,0.45030000000000003
2010-01-12,GLENMARK,EQ,278.45,278.0,284.5,276.25,278.0,278.05,280.45,675196,18935536485000.0,22927.17006406523,309716,0.4587
2010-01-13,GLENMARK,EQ,278.05,276.5,284.0,274.0,280.25,280.85,281.06,529508,14882100605000.002,22927.17006406523,257802,0.4869
2010-01-14,GLENMARK,EQ,280.85,281.0,284.9,280.4,281.0,282.4,282.42,611083,17258010855000.002,22927.17006406523,462947,0.7576
2010-01-15,GLENMARK,EQ,282.4,281.5,285.9,278.05,282.35,283.05,283.84,779801,22133990250000.0,22927.17006406523,337481,0.4328
2010-01-18,GLENMARK,EQ,283.05,282.9,288.9,280.3,284.8,285.45,285.51,791885,22608784175000.0,22927.17006406523,556217,0.7023999999999999
2010-01-19,GLENMARK,EQ,285.45,286.4,287.2,280.0,280.05,281.15,284.02,358864,10192312355000.0,22927.17006406523,213744,0.5956
2010-01-20,GLENMARK,EQ,281.15,282.0,283.75,278.0,278.1,278.95,280.62,335318,9409720915000.0,22927.17006406523,242105,0.7220000000000001
2010-01-21,GLENMARK,EQ,278.95,278.0,280.0,263.0,268.0,267.25,272.36,638286,17384546910000.0,22927.17006406523,390190,0.6113000000000001
2010-01-22,GLENMARK,EQ,267.25,263.0,277.0,249.1,261.7,262.95,263.16,1055119,27767024300000.0,22927.17006406523,506824,0.4803
2010-01-25,GLENMARK,EQ,262.95,260.0,264.25,254.0,254.75,256.4,257.05,635249,16329250190000.0,22927.17006406523,374310,0.5892000000000001
2010-01-27,GLENMARK,EQ,256.4,257.5,257.5,238.15,241.8,243.4,246.36,989953,24388536350000.0,22927.17006406523,580999,0.5869
2010-01-28,GLENMARK,EQ,243.4,249.9,250.0,240.1,241.0,243.35,244.65,573933,14041130594999.998,22927.17006406523,303038,0.528
2010-01-29,GLENMARK,EQ,243.35,243.0,246.95,235.05,243.0,242.25,239.79,882398,21158625525000.0,22927.17006406523,523637,0.5934
2010-02-01,GLENMARK,EQ,242.25,242.0,249.0,241.5,247.7,246.8,246.2,275987,6794732895000.0,22927.17006406523,105214,0.3812
2010-02-02,GLENMARK,EQ,246.8,249.9,253.15,244.15,246.1,247.2,248.82,272797,6787677055000.0,22927.17006406523,106642,0.3909
2010-02-03,GLENMARK,EQ,247.2,251.9,259.8,248.0,257.9,256.85,255.82,533117,13637998435000.0,22927.17006406523,241909,0.45380000000000004
2010-02-04,GLENMARK,EQ,256.85,255.0,263.35,253.3,259.35,257.75,260.1,721381,18763075975000.0,22927.17006406523,438714,0.6082
2010-02-05,GLENMARK,EQ,257.75,252.0,253.0,245.0,252.95,250.7,249.69,329496,8227098995000.0,22927.17006406523,230496,0.6995
2010-02-06,GLENMARK,EQ,250.7,255.4,255.7,252.0,255.15,254.15,253.71,39324,997683944999.9999,22927.17006406523,13779,0.3504
2010-02-08,GLENMARK,EQ,254.15,253.5,257.8,249.2,253.45,252.8,252.14,748412,18870284130000.0,22927.17006406523,478458,0.6393
2010-02-09,GLENMARK,EQ,252.8,252.8,261.9,251.05,261.55,260.7,256.63,366029,9393582540000.0,22927.17006406523,220763,0.6031000000000001
2010-02-10,GLENMARK,EQ,260.7,264.5,268.4,260.1,263.0,261.8,263.98,487008,12856224055000.0,22927.17006406523,273621,0.5618
2010-02-11,GLENMARK,EQ,261.8,264.4,265.4,255.15,255.25,256.5,258.97,188864,4890928855000.0,22927.17006406523,74561,0.3948
2010-02-15,GLENMARK,EQ,256.5,256.8,264.5,250.0,251.4,253.3,259.11,525775,13623562840000.0,22927.17006406523,279901,0.5324
2010-02-16,GLENMARK,EQ,253.3,254.2,257.9,252.05,256.3,256.5,255.44,210754,5383463820000.0,22927.17006406523,103968,0.4933
2010-02-17,GLENMARK,EQ,256.5,258.05,260.0,253.55,254.5,254.55,257.0,128838,3311096510000.0,22927.17006406523,55957,0.4343
2010-02-18,GLENMARK,EQ,254.55,255.0,259.9,254.0,255.6,257.35,256.81,215891,5544376680000.0,22927.17006406523,100407,0.4651
2010-02-19,GLENMARK,EQ,257.35,254.0,264.9,254.0,261.9,260.2,259.94,552112,14351700405000.002,22927.17006406523,347832,0.63
2010-02-22,GLENMARK,EQ,260.2,263.0,263.0,256.55,259.1,260.35,259.72,163158,4237509095000.0005,22927.17006406523,77517,0.47509999999999997
2010-02-23,GLENMARK,EQ,260.35,260.0,260.95,253.6,253.7,254.4,257.13,89727,2307184225000.0,22927.17006406523,46234,0.5153
2010-02-24,GLENMARK,EQ,254.4,254.0,256.4,245.5,249.5,249.7,251.49,562657,14150462694999.998,22927.17006406523,484975,0.8619
2010-02-25,GLENMARK,EQ,249.7,248.1,251.95,245.1,248.35,247.4,247.75,149244,3697592379999.9995,22927.17006406523,67463,0.452
2010-02-26,GLENMARK,EQ,247.4,248.1,255.5,245.25,252.5,252.45,250.25,222866,5577166470000.0,22927.17006406523,88794,0.39840000000000003
2010-03-02,GLENMARK,EQ,252.45,252.0,259.7,252.0,258.0,256.7,257.11,591122,15198246305000.002,22927.17006406523,315877,0.5344
2010-03-03,GLENMARK,EQ,256.7,258.8,260.0,253.25,255.0,255.65,256.82,658046,16899818850000.0,22927.17006406523,384672,0.5846
2010-03-04,GLENMARK,EQ,255.65,253.0,257.5,253.0,255.6,255.75,256.25,396447,10159024820000.0,22927.17006406523,269000,0.6785
2010-03-05,GLENMARK,EQ,255.75,256.9,261.9,252.0,254.5,254.45,258.04,767899,19814520155000.0,22927.17006406523,389289,0.507
2010-03-08,GLENMARK,EQ,254.45,257.0,260.0,255.55,258.55,258.55,258.46,583199,15073558275000.0,22927.17006406523,447675,0.7676000000000001
2010-03-09,GLENMARK,EQ,258.55,258.15,259.0,256.0,256.55,257.05,257.55,196248,5054337900000.0,22927.17006406523,110751,0.5643
