Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,GODREJIND,EQ,184.5,185.0,189.0,182.65,187.8,186.65,186.74,725522,13548262955000.002,9055.463016889924,300811,0.4146
2010-01-05,GODREJIND,EQ,186.65,188.0,193.3,182.7,183.5,183.65,186.93,769476,14383450919999.998,9055.463016889924,366413,0.47619999999999996
2010-01-06,GODREJIND,EQ,183.65,184.1,185.4,164.9,178.0,178.1,178.8,617411,11039448740000.0,9055.463016889924,319264,0.5171
2010-01-07,GODREJIND,EQ,178.1,179.5,179.5,173.5,174.1,174.3,175.11,551878,9664024790000.0,9055.463016889924,320725,0.5811999999999999
2010-01-08,GODREJIND,EQ,174.3,175.0,177.8,171.8,173.0,172.8,175.1,501585,8782916255000.0,9055.463016889924,253732,0.5059
2010-01-11,GODREJIND,EQ,172.8,175.0,177.0,173.3,174.7,174.45,175.3,533208,9347177340000.0,9055.463016889924,210621,0.395
2010-01-12,GODREJIND,EQ,174.45,176.0,178.0,172.7,174.05,173.55,175.63,567910,9974316425000.0,9055.463016889924,299959,0.5282
2010-01-13,GODREJIND,EQ,173.55,172.8,173.8,169.5,170.0,170.05,170.92,469847,8030743180000.0,9055.463016889924,276683,0.5889
2010-01-14,GODREJIND,EQ,170.05,171.9,172.85,168.7,169.7,169.3,170.68,389749,6652291295000.0,9055.463016889924,208945,0.5361
2010-01-15,GODREJIND,EQ,169.3,170.1,172.8,169.0,170.0,170.35,171.11,464657,7950772200000.0,9055.463016889924,190294,0.40950000000000003
2010-01-18,GODREJIND,EQ,170.35,170.45,172.7,169.05,170.1,169.95,170.54,381878,6512371800000.0,9055.463016889924,169601,0.4441
2010-01-19,GODREJIND,EQ,169.95,171.75,174.25,169.05,169.45,169.65,171.92,487910,8388304959999.999,9055.463016889924,189453,0.3883
2010-01-20,GODREJIND,EQ,169.65,171.4,171.4,164.3,165.6,164.9,167.57,361908,6064566780000.0,9055.463016889924,215535,0.5956
2010-01-21,GODREJIND,EQ,164.9,165.0,168.35,160.2,160.8,160.65,163.9,408064,6688040940000.0,9055.463016889924,178088,0.4364
2010-01-22,GODREJIND,EQ,160.65,159.0,159.0,153.0,157.0,156.5,156.1,406426,6344374845000.0,9055.463016889924,175291,0.4313
2010-01-25,GODREJIND,EQ,156.5,157.0,159.1,150.55,153.5,153.05,153.66,477338,7334659334999.999,9055.463016889924,189492,0.397
2010-01-27,GODREJIND,EQ,153.05,155.0,160.9,148.65,149.3,150.4,155.64,604303,9405344790000.0,9055.463016889924,152941,0.2531
2010-01-28,GODREJIND,EQ,150.4,152.5,154.9,147.65,149.25,148.55,150.71,325178,4900797675000.0,9055.463016889924,122880,0.3779
2010-01-29,GODREJIND,EQ,148.55,145.0,148.0,141.0,147.8,147.15,145.08,344776,5001989970000.0,9055.463016889924,140204,0.4067
2010-02-01,GODREJIND,EQ,147.15,147.0,152.0,144.55,151.5,150.5,149.64,316951,4742981315000.0,9055.463016889924,105721,0.3336
2010-02-02,GODREJIND,EQ,150.5,153.5,153.5,146.25,147.3,147.35,150.45,244985,3685868435000.0,9055.463016889924,104079,0.42479999999999996
2010-02-03,GODREJIND,EQ,147.35,148.95,150.6,147.5,147.8,147.95,148.64,159938,2377244300000.0,9055.463016889924,55341,0.34600000000000003
2010-02-04,GODREJIND,EQ,147.95,148.5,148.7,143.5,144.35,144.1,146.14,163698,2392291855000.0,9055.463016889924,65962,0.4029
2010-02-05,GODREJIND,EQ,144.1,140.2,144.0,135.0,143.0,142.9,141.53,410036,5803273545000.0,9055.463016889924,197407,0.4814
2010-02-06,GODREJIND,EQ,142.9,146.0,149.0,140.25,144.0,143.45,143.38,49498,709679040000.0,9055.463016889924,19829,0.4006
2010-02-08,GODREJIND,EQ,143.45,144.7,147.5,144.5,146.0,146.1,146.0,279192,4076295645000.0005,9055.463016889924,112458,0.40280000000000005
2010-02-09,GODREJIND,EQ,146.1,145.2,147.45,143.35,143.4,144.05,145.27,146578,2129267414999.9998,9055.463016889924,86158,0.5878
2010-02-10,GODREJIND,EQ,144.05,145.0,148.7,140.4,141.0,141.25,144.5,310543,4487385220000.0,9055.463016889924,127037,0.40909999999999996
2010-02-11,GODREJIND,EQ,141.25,142.4,145.0,141.5,144.05,144.5,143.38,328553,4710631735000.0,9055.463016889924,147789,0.4498
2010-02-15,GODREJIND,EQ,144.5,145.0,148.5,144.25,145.75,145.65,146.73,257652,3780446320000.0005,9055.463016889924,58273,0.2262
2010-02-16,GODREJIND,EQ,145.65,146.0,149.25,145.1,148.2,148.2,147.19,164559,2422116085000.0,9055.463016889924,80036,0.4864
2010-02-17,GODREJIND,EQ,148.2,152.25,164.0,152.25,160.55,160.35,159.74,1843473,29447813585000.004,9055.463016889924,408227,0.2214
2010-02-18,GODREJIND,EQ,160.35,161.3,162.7,155.5,157.7,156.95,159.94,1104675,17667871615000.0,9055.463016889924,287482,0.2602
2010-02-19,GODREJIND,EQ,156.95,156.45,156.45,149.1,151.95,150.95,152.23,480081,7308277225000.0,9055.463016889924,178690,0.3722
2010-02-22,GODREJIND,EQ,150.95,153.0,154.4,150.2,150.7,150.9,151.68,296970,4504520315000.0,9055.463016889924,113164,0.3811
2010-02-23,GODREJIND,EQ,150.9,149.6,150.8,145.1,147.0,145.95,147.71,223228,3297336060000.0,9055.463016889924,88262,0.3954
2010-02-24,GODREJIND,EQ,145.95,145.95,146.5,143.0,144.05,144.35,144.94,126828,1838305314999.9998,9055.463016889924,56534,0.4458
2010-02-25,GODREJIND,EQ,144.35,144.1,157.8,144.1,151.0,152.05,152.05,923213,14037849044999.998,9055.463016889924,217296,0.2354
2010-02-26,GODREJIND,EQ,152.05,152.0,154.5,149.3,152.4,152.15,152.23,471275,7174185565000.001,9055.463016889924,110837,0.2352
2010-03-02,GODREJIND,EQ,152.15,153.15,156.85,151.1,153.95,153.8,153.42,232775,3571136760000.0,9055.463016889924,87597,0.3763
2010-03-03,GODREJIND,EQ,153.8,154.9,158.7,153.75,156.9,156.5,156.72,351515,5508912040000.0,9055.463016889924,101536,0.2889
2010-03-04,GODREJIND,EQ,156.5,157.0,160.8,154.5,158.15,158.7,158.89,370603,5888490920000.0,9055.463016889924,96187,0.2595
2010-03-05,GODREJIND,EQ,158.7,159.9,162.4,159.05,159.05,159.75,160.68,375984,6041451885000.0,9055.463016889924,153021,0.40700000000000003
2010-03-08,GODREJIND,EQ,159.75,160.9,166.5,160.5,164.0,164.05,164.3,816032,13407360275000.0,9055.463016889924,333810,0.40909999999999996
2010-03-09,GODREJIND,EQ,164.05,164.5,165.9,155.1,157.05,158.3,160.36,310473,4978900175000.0,9055.463016889924,141114,0.4545
2010-03-10,GODREJIND,EQ,158.3,158.1,160.85,155.0,155.6,155.65,157.27,214256,3369647654999.9995,9055.463016889924,98262,0.4586
2010-03-11,GODREJIND,EQ,155.65,155.8,157.4,154.0,155.5,154.95,155.68,173819,2706044960000.0,9055.463016889924,78973,0.4543
2010-03-12,GODREJIND,EQ,154.95,155.5,158.0,153.0,153.15,153.9,155.27,178621,2773369830000.0,9055.463016889924,71281,0.39909999999999995
2010-03-15,GODREJIND,EQ,153.9,154.9,154.9,148.05,149.0,149.05,150.67,262899,3961098404999.9995,9055.463016889924,108008,0.4108
2010-03-16,GODREJIND,EQ,149.05,153.8,153.8,146.3,151.75,150.9,149.66,396444,5933033860000.0,9055.463016889924,200035,0.5046
2010-03-17,GODREJIND,EQ,150.9,152.7,153.5,147.55,150.2,149.05,150.33,387557,5826270495000.0,9055.463016889924,195191,0.5036
2010-03-18,GODREJIND,EQ,149.05,150.95,151.65,146.5,146.95,147.3,148.08,305062,4517365125000.0,9055.463016889924,158187,0.5185000000000001
2010-03-19,GODREJIND,EQ,147.3,148.3,151.3,146.85,147.0,147.7,149.04,304196,4533874170000.0,9055.463016889924,127890,0.4204
2010-03-22,GODREJIND,EQ,147.7,145.7,149.0,143.75,144.4,144.5,146.54,318960,4673909460000.0,9055.463016889924,147383,0.4621
2010-03-23,GODREJIND,EQ,144.5,146.5,146.75,144.0,144.1,144.4,144.89,276295,4003290245000.0005,9055.463016889924,182653,0.6611
2010-03-25,GODREJIND,EQ,144.4,145.0,146.9,142.1,143.35,142.7,144.39,599261,8652634075000.0,9055.463016889924,199249,0.3325
2010-03-26,GODREJIND,EQ,142.7,145.0,145.6,142.2,142.8,142.75,143.64,232397,3338047545000.0,9055.463016889924,143141,0.6159
2010-03-29,GODREJIND,EQ,142.75,144.2,145.0,140.9,141.25,141.15,142.46,302868,4314738104999.9995,9055.463016889924,179353,0.5922
2010-03-30,GODREJIND,EQ,141.15,142.6,142.95,140.3,141.7,141.5,141.93,229972,3264018370000.0,9055.463016889924,117392,0.5105
2010-03-31,GODREJIND,EQ,141.5,142.3,142.85,139.4,140.3,140.2,140.96,234685,3308021930000.0,9055.463016889924,124682,0.5313
2010-04-01,GODREJIND,EQ,140.2,140.8,149.3,140.55,148.85,148.2,145.66,802065,11682628585000.0,9055.463016889924,264251,0.3295
2010-04-05,GODREJIND,EQ,148.2,149.95,156.5,148.0,154.4,154.6,154.03,1352464,20832178160000.0,9055.463016889924,290329,0.2147
2010-04-06,GODREJIND,EQ,154.6,156.15,156.9,152.25,153.6,152.85,154.31,368481,5686026460000.0,9055.463016889924,116704,0.31670000000000004
2010-04-07,GODREJIND,EQ,152.85,154.0,163.4,154.0,162.75,160.85,158.66,1146046,18183411940000.0,9055.463016889924,396404,0.34590000000000004
2010-04-08,GODREJIND,EQ,160.85,160.0,165.5,158.2,159.25,159.5,162.28,764237,12402319070000.0,9055.463016889924,266353,0.34850000000000003
2010-04-09,GODREJIND,EQ,159.5,160.0,161.9,155.7,160.0,159.2,158.88,476081,7564168990000.001,9055.463016889924,161155,0.3385
2010-04-12,GODREJIND,EQ,159.2,160.0,164.0,159.5,160.7,160.15,161.71,532057,8604156930000.0,9055.463016889924,243444,0.4576
2010-04-13,GODREJIND,EQ,160.15,161.5,162.7,157.9,159.0,158.8,159.84,244510,3908211060000.0,9055.463016889924,72004,0.2945
2010-04-15,GODREJIND,EQ,158.8,161.4,163.55,159.05,161.1,161.05,161.3,572568,9235411105000.0,9055.463016889924,310409,0.5421
2010-04-16,GODREJIND,EQ,161.05,161.5,164.5,160.35,163.5,163.25,163.26,796274,13000067205000.0,9055.463016889924,302034,0.3793
2010-04-19,GODREJIND,EQ,163.25,161.4,161.4,156.65,158.0,158.2,159.02,290336,4616881555000.0,9055.463016889924,87760,0.3023
2010-04-20,GODREJIND,EQ,158.2,158.5,161.35,158.5,159.25,159.65,160.15,242930,3890424104999.9995,9055.463016889924,93030,0.3829
2010-04-21,GODREJIND,EQ,159.65,160.95,169.7,160.0,169.0,168.65,166.6,1440579,23999586400000.0,9055.463016889924,454889,0.31579999999999997
2010-04-22,GODREJIND,EQ,168.65,169.4,173.25,168.1,169.6,169.8,171.48,1474099,25277781800000.0,9055.463016889924,531025,0.3602
2010-04-23,GODREJIND,EQ,169.8,170.9,170.9,166.45,167.05,167.35,168.61,328690,5542100655000.0,9055.463016889924,118365,0.3601
2010-04-26,GODREJIND,EQ,167.35,168.1,170.7,165.2,165.3,166.0,167.95,276363,4641503005000.0,9055.463016889924,96092,0.34770000000000006
2010-04-27,GODREJIND,EQ,166.0,167.0,168.8,164.4,165.2,165.1,166.41,190359,3167707305000.0,9055.463016889924,62118,0.32630000000000003
2010-04-28,GODREJIND,EQ,165.1,162.1,163.0,158.5,159.0,159.2,160.95,291340,4689089845000.0,9055.463016889924,120315,0.413
2010-04-29,GODREJIND,EQ,159.2,159.5,160.6,157.1,159.5,158.8,159.48,193954,3093082930000.0,9055.463016889924,96408,0.49710000000000004
2010-04-30,GODREJIND,EQ,158.8,160.0,167.45,160.0,167.4,166.05,165.39,738522,12214652130000.0,9055.463016889924,190800,0.2584
2010-05-03,GODREJIND,EQ,166.05,167.5,167.5,162.3,163.65,163.15,164.75,314530,5181725050000.0,9055.463016889924,106254,0.33780000000000004
2010-05-04,GODREJIND,EQ,163.15,167.5,167.95,159.55,161.0,160.3,163.81,274077,4489636935000.0,9055.463016889924,98930,0.36100000000000004
2010-05-05,GODREJIND,EQ,160.3,157.0,161.95,156.15,161.75,160.75,158.61,301010,4774425505000.0,9055.463016889924,126453,0.4201
2010-05-06,GODREJIND,EQ,160.75,159.5,162.8,155.75,157.05,158.15,158.4,237593,3763448090000.0,9055.463016889924,84793,0.3569
2010-05-07,GODREJIND,EQ,158.15,156.0,156.0,148.1,148.95,148.7,151.41,410035,6208241210000.0,9055.463016889924,208988,0.5097
2010-05-10,GODREJIND,EQ,148.7,150.5,155.1,148.7,155.0,154.55,152.8,421826,6445490175000.0,9055.463016889924,111416,0.2641
2010-05-11,GODREJIND,EQ,154.55,156.0,156.0,149.2,149.9,149.9,152.17,223717,3404357715000.0,9055.463016889924,110308,0.49310000000000004
2010-05-12,GODREJIND,EQ,149.9,151.65,153.75,150.05,151.4,151.65,151.81,195869,2973403025000.0,9055.463016889924,74823,0.38200000000000006
2010-05-13,GODREJIND,EQ,151.65,153.0,157.7,152.0,155.0,155.95,155.8,516280,8043544700000.0,9055.463016889924,229542,0.4446
2010-05-14,GODREJIND,EQ,155.95,156.0,167.75,154.0,163.9,164.9,164.14,1776301,29156901114999.996,9055.463016889924,586903,0.33039999999999997
