Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,HINDZINC,EQ,1209.9,1216.6,1219.9,1195.15,1210.9,1208.6,1205.08,219027,26394472620000.0,14951.900407687828,143093,0.6533
2010-01-05,HINDZINC,EQ,1208.6,1220.0,1262.0,1215.0,1240.0,1241.5,1246.18,384084,47863627170000.0,14951.900407687828,117940,0.30710000000000004
2010-01-06,HINDZINC,EQ,1241.5,1252.9,1257.45,1223.0,1234.2,1229.0,1236.74,129236,15983195850000.0,14951.900407687828,38039,0.2943
2010-01-07,HINDZINC,EQ,1229.0,1240.8,1301.8,1240.0,1290.0,1287.95,1277.78,622830,79584275570000.0,14951.900407687828,186945,0.3002
2010-01-08,HINDZINC,EQ,1287.95,1290.0,1290.0,1257.0,1260.0,1262.2,1269.78,232555,29529296230000.0,14951.900407687828,85403,0.36719999999999997
2010-01-11,HINDZINC,EQ,1262.2,1282.0,1296.0,1266.2,1278.05,1278.9,1283.85,163360,20972966025000.0,14951.900407687828,65484,0.40090000000000003
2010-01-12,HINDZINC,EQ,1278.9,1285.0,1314.0,1268.0,1300.25,1300.65,1287.28,291796,37562239985000.0,14951.900407687828,151150,0.518
2010-01-13,HINDZINC,EQ,1300.65,1279.95,1295.0,1261.05,1285.0,1289.95,1280.29,101142,12949090090000.0,14951.900407687828,18903,0.1869
2010-01-14,HINDZINC,EQ,1289.95,1295.0,1314.0,1288.05,1288.25,1292.5,1303.2,74898,9760674800000.0,14951.900407687828,16158,0.2157
2010-01-15,HINDZINC,EQ,1292.5,1298.9,1327.0,1294.0,1308.95,1303.7,1310.62,137255,17988927230000.0,14951.900407687828,32548,0.2371
2010-01-18,HINDZINC,EQ,1303.7,1303.0,1314.0,1287.0,1290.0,1289.6,1297.79,224905,29187927764999.996,14951.900407687828,117229,0.5212
2010-01-19,HINDZINC,EQ,1289.6,1299.9,1310.0,1266.1,1269.95,1273.45,1289.12,97871,12616748935000.0,14951.900407687828,29745,0.3039
2010-01-20,HINDZINC,EQ,1273.45,1277.2,1291.8,1227.0,1238.35,1234.5,1249.75,202928,25360924320000.0,14951.900407687828,89757,0.44229999999999997
2010-01-21,HINDZINC,EQ,1234.5,1234.5,1250.0,1170.0,1195.15,1183.35,1215.63,268819,32678378575000.0,14951.900407687828,125609,0.4673
2010-01-22,HINDZINC,EQ,1183.35,1180.0,1197.9,1126.0,1189.9,1184.3,1164.13,208007,24214689220000.0,14951.900407687828,73728,0.3544
2010-01-25,HINDZINC,EQ,1184.3,1195.0,1247.0,1167.0,1233.3,1233.05,1217.86,270998,33003832025000.0,14951.900407687828,105407,0.389
2010-01-27,HINDZINC,EQ,1233.05,1230.0,1230.0,1156.5,1169.0,1173.6,1194.69,310302,37071367245000.0,14951.900407687828,182426,0.5879
2010-01-28,HINDZINC,EQ,1173.6,1180.0,1189.0,1100.2,1129.0,1114.95,1130.15,603499,68204219960000.0,14951.900407687828,322286,0.534
2010-01-29,HINDZINC,EQ,1114.95,1100.1,1125.0,1068.45,1114.0,1112.7,1093.61,244650,26755247960000.0,14951.900407687828,78598,0.32130000000000003
2010-02-01,HINDZINC,EQ,1112.7,1105.05,1149.4,1086.3,1120.0,1111.95,1120.9,172576,19344027785000.0,14951.900407687828,43421,0.2516
2010-02-02,HINDZINC,EQ,1111.95,1134.95,1153.45,1092.05,1102.45,1098.9,1124.66,161212,18130810790000.0,14951.900407687828,54438,0.33770000000000006
2010-02-03,HINDZINC,EQ,1098.9,1111.0,1136.9,1090.0,1134.5,1129.0,1117.51,240315,26855548930000.0,14951.900407687828,80643,0.3356
2010-02-04,HINDZINC,EQ,1129.0,1124.0,1138.0,1072.0,1080.0,1077.95,1108.96,205878,22830990605000.0,14951.900407687828,87723,0.4261
2010-02-05,HINDZINC,EQ,1077.95,1050.0,1050.0,991.0,1030.0,1029.6,1019.51,345990,35274182280000.0,14951.900407687828,155768,0.45020000000000004
2010-02-06,HINDZINC,EQ,1029.6,1020.2,1046.8,1020.2,1044.0,1043.1,1038.58,24074,2500289145000.0,14951.900407687828,3536,0.1469
2010-02-08,HINDZINC,EQ,1043.1,1052.0,1089.0,1028.25,1073.65,1065.05,1059.51,190315,20164039180000.0,14951.900407687828,42509,0.22340000000000002
2010-02-09,HINDZINC,EQ,1065.05,1078.8,1110.0,1051.25,1080.0,1080.5,1075.35,134661,14480775325000.0,14951.900407687828,36754,0.2729
2010-02-10,HINDZINC,EQ,1080.5,1097.3,1097.3,1031.9,1035.0,1041.75,1071.94,173077,18552883740000.0,14951.900407687828,56602,0.327
2010-02-11,HINDZINC,EQ,1041.75,1060.0,1081.0,1041.75,1074.5,1072.5,1065.82,180681,19257253410000.0,14951.900407687828,87719,0.4855
2010-02-15,HINDZINC,EQ,1072.5,1075.0,1083.0,1050.95,1057.25,1057.25,1068.3,78866,8425234290000.001,14951.900407687828,15947,0.2022
2010-02-16,HINDZINC,EQ,1057.25,1065.0,1078.0,1055.0,1072.35,1073.2,1067.37,80784,8622621759999.999,14951.900407687828,25485,0.3155
2010-02-17,HINDZINC,EQ,1073.2,1095.0,1116.85,1090.0,1102.75,1104.1,1103.68,174963,19310237250000.0,14951.900407687828,59293,0.33890000000000003
2010-02-18,HINDZINC,EQ,1104.1,1099.0,1127.4,1090.3,1118.0,1115.25,1114.91,272183,30345852535000.004,14951.900407687828,136631,0.502
2010-02-19,HINDZINC,EQ,1115.25,1099.0,1110.0,1070.0,1071.0,1077.05,1089.43,59035,6431479375000.0,14951.900407687828,17096,0.2896
2010-02-22,HINDZINC,EQ,1077.05,1094.4,1114.0,1080.0,1084.2,1088.7,1096.65,97841,10729704470000.0,14951.900407687828,14451,0.1477
2010-02-23,HINDZINC,EQ,1088.7,1073.6,1122.0,1073.6,1106.4,1105.7,1105.83,129183,14285430294999.998,14951.900407687828,49284,0.3815
2010-02-24,HINDZINC,EQ,1105.7,1085.2,1116.0,1085.2,1110.0,1105.45,1103.62,112946,12464913670000.0,14951.900407687828,50403,0.44630000000000003
2010-02-25,HINDZINC,EQ,1105.45,1117.0,1127.0,1088.55,1098.0,1098.6,1103.28,158656,17504173594999.998,14951.900407687828,108218,0.6820999999999999
2010-02-26,HINDZINC,EQ,1098.6,1086.3,1135.9,1085.2,1122.5,1123.95,1115.66,69517,7755767380000.0,14951.900407687828,18022,0.25920000000000004
2010-03-02,HINDZINC,EQ,1123.95,1134.0,1147.8,1130.0,1140.0,1136.45,1139.61,58893,6711502470000.0,14951.900407687828,22659,0.3847
2010-03-03,HINDZINC,EQ,1136.45,1145.0,1177.0,1137.15,1175.0,1162.1,1157.48,158339,18327453240000.0,14951.900407687828,84867,0.536
2010-03-04,HINDZINC,EQ,1162.1,1170.0,1240.0,1170.0,1225.0,1229.8,1208.54,394023,47619317915000.0,14951.900407687828,227931,0.5785
2010-03-05,HINDZINC,EQ,1229.8,1234.0,1245.0,1208.05,1226.05,1229.95,1225.36,196953,24133786985000.0,14951.900407687828,89728,0.4556
2010-03-08,HINDZINC,EQ,1229.95,1250.0,1250.0,1220.1,1223.0,1226.35,1235.87,61546,7606306005000.0,14951.900407687828,19661,0.3195
2010-03-09,HINDZINC,EQ,1226.35,1245.0,1247.0,1205.25,1208.0,1209.05,1217.51,60661,7385539555000.0,14951.900407687828,17855,0.2943
