Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-08-06,IBULHSGFIN,EQ,205.95,204.0,204.0,186.1,202.5,198.55,195.93,395623,7751401834999.999,8867,339472,0.8581000000000001
2013-08-07,IBULHSGFIN,EQ,198.55,198.0,204.65,190.75,195.7,196.35,196.81,782070,15391824215000.0,14806,591455,0.7563
2013-08-08,IBULHSGFIN,EQ,196.35,193.1,198.9,193.1,196.05,195.1,195.34,882982,17248217250000.0,6923,796515,0.9020999999999999
2013-08-12,IBULHSGFIN,EQ,195.1,203.5,203.5,191.0,191.0,192.4,196.41,367325,7214539309999.999,12546,258648,0.7041
2013-08-13,IBULHSGFIN,EQ,192.4,193.3,197.0,188.1,190.45,191.2,191.77,929674,17828791905000.0,20691,621828,0.6689
2013-08-14,IBULHSGFIN,EQ,191.2,190.2,207.0,188.0,202.6,201.75,193.55,604375,11697918945000.0,10151,478294,0.7914
2013-08-16,IBULHSGFIN,EQ,201.75,204.0,204.0,184.15,190.5,189.1,190.27,469024,8924116385000.0,6461,324758,0.6924
2013-08-19,IBULHSGFIN,EQ,189.1,182.2,193.6,182.2,191.25,191.6,190.5,177591,3383141075000.0,3061,110968,0.6249
2013-08-20,IBULHSGFIN,EQ,191.6,189.95,192.7,180.5,191.9,189.95,188.03,725839,13648264180000.002,9754,560093,0.7716
2013-08-21,IBULHSGFIN,EQ,189.95,191.0,196.7,186.3,192.0,191.6,190.98,134334,2565446890000.0,3624,89275,0.6646
2013-08-22,IBULHSGFIN,EQ,191.6,190.5,196.0,186.25,195.0,193.15,191.31,186715,3571976690000.0,6265,124172,0.665
2013-08-23,IBULHSGFIN,EQ,193.15,196.9,213.7,192.25,210.55,209.75,207.42,275549,5715422045000.0,6200,156370,0.5675
2013-08-26,IBULHSGFIN,EQ,209.75,203.0,212.9,201.2,202.0,203.7,205.89,209082,4304700320000.0005,9821,122062,0.5838
2013-08-27,IBULHSGFIN,EQ,203.7,204.0,204.0,186.3,189.0,192.3,191.03,513030,9800666980000.0,22462,404478,0.7884000000000001
2013-08-28,IBULHSGFIN,EQ,192.3,190.85,190.85,177.15,183.8,186.05,184.23,578741,10661891280000.0,17698,403617,0.6973999999999999
2013-08-29,IBULHSGFIN,EQ,186.05,187.0,197.0,177.0,192.1,193.9,187.22,540903,10126694965000.0,11917,389795,0.7206
2013-08-30,IBULHSGFIN,EQ,193.9,190.0,204.9,183.2,199.0,197.05,190.49,851574,16221566894999.998,28423,606117,0.7118000000000001
2013-09-02,IBULHSGFIN,EQ,197.05,197.0,201.15,190.45,192.25,192.8,195.97,147231,2885326635000.0,6038,98249,0.6673
2013-09-03,IBULHSGFIN,EQ,192.8,193.5,200.8,183.0,190.7,189.25,190.35,453528,8633033495000.0,11982,218173,0.4811
2013-09-04,IBULHSGFIN,EQ,189.25,188.3,193.5,184.05,190.0,189.95,190.28,90070,1713876225000.0,2386,56118,0.623
2013-09-05,IBULHSGFIN,EQ,189.95,197.95,204.7,191.0,202.9,203.2,198.57,213263,4234732154999.9995,4835,124554,0.584
2013-09-06,IBULHSGFIN,EQ,203.2,201.7,211.9,200.5,206.0,209.35,206.72,149259,3085526830000.0,5097,94562,0.6335000000000001
