Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,JSWSTEEL,EQ,1013.2,1020.0,1028.4,1010.2,1025.6,1022.95,1020.3,630024,64281639085000.0,29969.33721607455,84189,0.1336
2010-01-05,JSWSTEEL,EQ,1022.95,1069.7,1148.0,1026.8,1142.2,1134.9,1099.28,3772918,414749173305000.0,29969.33721607455,771334,0.20440000000000003
2010-01-06,JSWSTEEL,EQ,1134.9,1140.3,1155.4,1116.2,1150.0,1148.95,1139.84,3226622,367782178465000.0,29969.33721607455,610856,0.1893
2010-01-07,JSWSTEEL,EQ,1148.95,1148.0,1155.0,1117.45,1121.0,1124.45,1128.51,1219081,137574215334999.98,29969.33721607455,243394,0.1997
2010-01-08,JSWSTEEL,EQ,1124.45,1116.0,1137.3,1105.1,1117.0,1118.05,1121.03,1224244,137241661184999.98,29969.33721607455,152751,0.12480000000000001
2010-01-11,JSWSTEEL,EQ,1118.05,1130.0,1156.8,1123.0,1145.0,1142.65,1143.65,1816697,207767305885000.0,29969.33721607455,545936,0.3005
2010-01-12,JSWSTEEL,EQ,1142.65,1135.0,1149.9,1121.0,1130.2,1128.0,1133.21,1194252,135334370880000.0,29969.33721607455,373433,0.3127
2010-01-13,JSWSTEEL,EQ,1128.0,1053.85,1149.9,1053.85,1147.85,1141.55,1124.24,1532182,172254201540000.0,29969.33721607455,169389,0.1106
2010-01-14,JSWSTEEL,EQ,1141.55,1152.0,1186.7,1138.8,1180.0,1182.1,1172.37,2340576,274402622519999.97,29969.33721607455,478074,0.2043
2010-01-15,JSWSTEEL,EQ,1182.1,1183.5,1206.7,1171.1,1176.2,1179.85,1189.56,2030392,241527383090000.0,29969.33721607455,583635,0.2874
2010-01-18,JSWSTEEL,EQ,1179.85,1170.0,1174.7,1155.0,1168.35,1168.95,1165.28,953697,111132800850000.0,29969.33721607455,232940,0.24420000000000003
2010-01-19,JSWSTEEL,EQ,1168.95,1170.0,1179.9,1148.1,1157.0,1155.2,1164.96,1010078,117670150945000.0,29969.33721607455,315484,0.3123
2010-01-20,JSWSTEEL,EQ,1155.2,1153.0,1175.0,1145.0,1149.9,1153.65,1160.68,1383375,160566094165000.0,29969.33721607455,190701,0.1379
2010-01-21,JSWSTEEL,EQ,1153.65,1153.0,1164.9,1120.0,1124.55,1124.6,1140.21,1007040,114823545250000.0,29969.33721607455,173880,0.1727
2010-01-22,JSWSTEEL,EQ,1124.6,1099.0,1114.75,1061.25,1097.0,1097.65,1089.38,1120356,122049143965000.02,29969.33721607455,107611,0.09609999999999999
2010-01-25,JSWSTEEL,EQ,1097.65,1109.0,1109.0,1048.0,1051.7,1054.9,1067.19,1087654,116073766145000.0,29969.33721607455,343339,0.31570000000000004
2010-01-27,JSWSTEEL,EQ,1054.9,1030.0,1049.95,948.25,948.25,960.0,985.68,2252188,221994130255000.03,29969.33721607455,598151,0.2656
