Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,LICHSGFIN,EQ,802.8,817.0,825.95,805.5,819.0,821.0,819.0,616658,50504011805000.0,39732.47175305766,140226,0.2274
2010-01-05,LICHSGFIN,EQ,821.0,829.0,837.35,813.1,816.0,816.5,822.17,520291,42776773500000.0,39732.47175305766,196492,0.37770000000000004
2010-01-06,LICHSGFIN,EQ,816.5,818.5,822.9,810.5,810.55,812.2,815.69,376089,30677291685000.004,39732.47175305766,113767,0.3025
2010-01-07,LICHSGFIN,EQ,812.2,813.0,835.7,809.55,829.9,830.3,828.79,1036516,85905418425000.0,39732.47175305766,277521,0.2677
2010-01-08,LICHSGFIN,EQ,830.3,835.0,847.4,832.8,833.7,836.7,840.36,1000058,84040780325000.0,39732.47175305766,227730,0.2277
2010-01-11,LICHSGFIN,EQ,836.7,844.8,844.8,827.0,837.35,837.7,838.02,444415,37242649680000.0,39732.47175305766,144785,0.3258
2010-01-12,LICHSGFIN,EQ,837.7,836.0,842.0,819.0,825.5,825.75,830.42,713022,59210475740000.0,39732.47175305766,374513,0.5252
2010-01-13,LICHSGFIN,EQ,825.75,826.5,832.0,812.7,832.0,829.45,821.69,621218,51044771065000.0,39732.47175305766,298917,0.48119999999999996
2010-01-14,LICHSGFIN,EQ,829.45,834.0,849.0,829.0,849.0,840.1,836.27,477835,39960133730000.0,39732.47175305766,298031,0.6237
2010-01-15,LICHSGFIN,EQ,840.1,845.0,854.95,840.0,840.0,843.35,847.5,679994,57629687485000.0,39732.47175305766,269357,0.3961
2010-01-18,LICHSGFIN,EQ,843.35,843.35,847.0,833.0,839.0,837.7,841.45,170301,14329898415000.0,39732.47175305766,47604,0.2795
2010-01-19,LICHSGFIN,EQ,837.7,838.25,845.65,827.05,833.0,831.2,836.33,227341,19013193095000.0,39732.47175305766,74855,0.3293
2010-01-20,LICHSGFIN,EQ,831.2,837.9,839.8,810.0,812.9,812.4,823.81,329169,27117302264999.996,39732.47175305766,139906,0.425
2010-01-21,LICHSGFIN,EQ,812.4,812.0,831.0,801.0,819.9,820.95,814.7,645537,52592193770000.0,39732.47175305766,175500,0.27190000000000003
2010-01-22,LICHSGFIN,EQ,820.95,820.0,820.0,791.0,793.1,797.4,799.63,1145629,91608436025000.0,39732.47175305766,710777,0.6204
2010-01-25,LICHSGFIN,EQ,797.4,800.1,807.6,778.0,791.9,793.8,793.54,807167,64051798104999.99,39732.47175305766,236600,0.29309999999999997
2010-01-27,LICHSGFIN,EQ,793.8,794.7,795.25,730.2,734.75,745.35,774.35,689780,53413176725000.0,39732.47175305766,410539,0.5952000000000001
2010-01-28,LICHSGFIN,EQ,745.35,750.5,769.5,730.3,735.0,735.6,745.69,986758,73581634960000.0,39732.47175305766,565964,0.5736
2010-01-29,LICHSGFIN,EQ,735.6,734.0,775.0,704.4,770.0,770.1,734.47,734814,53969800465000.0,39732.47175305766,175594,0.239
2010-02-01,LICHSGFIN,EQ,770.1,770.0,787.8,759.1,775.0,773.65,777.24,405037,31481048625000.0,39732.47175305766,114910,0.2837
2010-02-02,LICHSGFIN,EQ,773.65,779.0,789.0,767.3,770.0,773.4,779.92,592677,46224293410000.0,39732.47175305766,376831,0.6358
2010-02-03,LICHSGFIN,EQ,773.4,779.9,798.15,777.1,791.5,792.95,790.55,454063,35896080715000.0,39732.47175305766,163928,0.36100000000000004
2010-02-04,LICHSGFIN,EQ,792.95,790.0,796.0,766.1,767.0,768.8,782.27,471238,36863500540000.0,39732.47175305766,217544,0.46159999999999995
2010-02-05,LICHSGFIN,EQ,768.8,757.1,757.1,735.0,741.0,740.95,745.17,407976,30401069830000.0,39732.47175305766,190438,0.4668
2010-02-06,LICHSGFIN,EQ,740.95,745.0,756.9,745.0,751.5,749.85,750.1,30071,2255620760000.0,39732.47175305766,6926,0.2303
2010-02-08,LICHSGFIN,EQ,749.85,720.0,762.0,720.0,754.55,753.85,754.62,472144,35629087815000.0,39732.47175305766,220326,0.4667
2010-02-09,LICHSGFIN,EQ,753.85,754.0,758.7,736.25,745.75,746.8,749.11,612635,45893322210000.0,39732.47175305766,332344,0.5425
2010-02-10,LICHSGFIN,EQ,746.8,748.0,759.5,740.0,741.5,741.15,750.16,281735,21134593600000.0,39732.47175305766,80719,0.2865
2010-02-11,LICHSGFIN,EQ,741.15,745.0,760.0,745.0,750.2,751.1,753.16,260762,19639604640000.0,39732.47175305766,67797,0.26
2010-02-15,LICHSGFIN,EQ,751.1,754.9,754.9,742.35,746.7,746.3,747.37,142698,10664842575000.0,39732.47175305766,46672,0.3271
2010-02-16,LICHSGFIN,EQ,746.3,752.2,760.0,737.1,750.0,749.95,747.59,250933,18759577595000.0,39732.47175305766,87117,0.3472
2010-02-17,LICHSGFIN,EQ,749.95,731.55,764.9,731.55,758.6,756.15,758.24,456090,34582645755000.0,39732.47175305766,207057,0.454
2010-02-18,LICHSGFIN,EQ,756.15,769.0,779.8,758.0,759.0,761.2,769.92,735969,56664082140000.0,39732.47175305766,205686,0.2795
2010-02-19,LICHSGFIN,EQ,761.2,751.2,757.6,730.5,742.5,743.3,743.62,413224,30728266339999.996,39732.47175305766,123348,0.29850000000000004
2010-02-22,LICHSGFIN,EQ,743.3,753.0,756.8,728.35,730.0,732.15,742.0,270809,20093974695000.0,39732.47175305766,103461,0.38200000000000006
2010-02-23,LICHSGFIN,EQ,732.15,718.0,739.9,718.0,724.0,723.5,729.11,188886,13771877240000.0,39732.47175305766,49470,0.2619
2010-02-24,LICHSGFIN,EQ,723.5,718.1,732.2,712.8,725.1,725.45,727.0,293197,21315543775000.0,39732.47175305766,89125,0.304
2010-02-25,LICHSGFIN,EQ,725.45,726.0,734.0,718.6,722.95,721.6,725.03,567075,41114897750000.0,39732.47175305766,321328,0.5666
2010-02-26,LICHSGFIN,EQ,721.6,720.0,770.0,720.0,750.4,752.35,744.2,1082478,80557548045000.0,39732.47175305766,467176,0.4316
2010-03-02,LICHSGFIN,EQ,752.35,760.0,765.8,751.15,759.0,758.15,758.97,379205,28780352735000.004,39732.47175305766,163865,0.43210000000000004
2010-03-03,LICHSGFIN,EQ,758.15,720.0,782.0,720.0,776.85,777.2,774.19,668158,51728106375000.0,39732.47175305766,414305,0.6201
2010-03-04,LICHSGFIN,EQ,777.2,785.0,822.0,772.2,819.0,817.3,798.78,925945,73962795475000.0,39732.47175305766,293947,0.3175
2010-03-05,LICHSGFIN,EQ,817.3,800.0,837.5,800.0,806.5,807.6,817.52,469217,38359459655000.0,39732.47175305766,112070,0.23879999999999998
2010-03-08,LICHSGFIN,EQ,807.6,800.0,825.0,800.0,824.0,823.25,820.54,473347,38839953525000.0,39732.47175305766,190923,0.4033
2010-03-09,LICHSGFIN,EQ,823.25,800.0,824.0,800.0,810.0,811.65,816.28,481101,39271276005000.0,39732.47175305766,257957,0.5362
2010-03-10,LICHSGFIN,EQ,811.65,815.0,816.65,784.15,788.0,787.75,796.33,768325,61184071235000.0,39732.47175305766,402615,0.524
2010-03-11,LICHSGFIN,EQ,787.75,797.65,822.8,790.5,813.3,813.2,813.67,1512075,123032955500000.0,39732.47175305766,305860,0.2023
