Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,MARUTI,EQ,1560.1,1565.0,1586.7,1546.15,1548.15,1551.45,1559.23,534231,83298854145000.0,36673.71986022132,254740,0.4768
2010-01-05,MARUTI,EQ,1551.45,1563.5,1567.55,1510.0,1516.2,1515.85,1530.16,1407407,215355934025000.0,36673.71986022132,909506,0.6462000000000001
2010-01-06,MARUTI,EQ,1515.85,1518.0,1522.8,1460.0,1462.0,1461.65,1474.05,1571353,231625823594999.97,36673.71986022132,805145,0.5124000000000001
2010-01-07,MARUTI,EQ,1461.65,1468.0,1485.0,1450.0,1451.0,1453.3,1464.62,901165,131986436030000.0,36673.71986022132,298948,0.33170000000000005
2010-01-08,MARUTI,EQ,1453.3,1459.0,1463.8,1421.1,1436.0,1433.15,1437.03,1294429,186013226550000.0,36673.71986022132,616573,0.47630000000000006
2010-01-11,MARUTI,EQ,1433.15,1442.0,1462.25,1438.0,1455.0,1454.75,1455.52,478942,69711195900000.0,36673.71986022132,164611,0.3437
2010-01-12,MARUTI,EQ,1454.75,1454.75,1462.0,1435.0,1441.25,1441.0,1445.98,767986,111049153009999.98,36673.71986022132,442359,0.5760000000000001
2010-01-13,MARUTI,EQ,1441.0,1437.0,1449.5,1410.8,1428.0,1428.75,1428.5,612474,87491985750000.0,36673.71986022132,289526,0.47270000000000006
2010-01-14,MARUTI,EQ,1428.75,1439.0,1443.25,1411.0,1414.95,1414.85,1425.85,480493,68511072575000.0,36673.71986022132,232129,0.48310000000000003
2010-01-15,MARUTI,EQ,1414.85,1410.0,1442.9,1408.15,1414.35,1413.45,1425.74,723389,103136593115000.0,36673.71986022132,223996,0.30960000000000004
2010-01-18,MARUTI,EQ,1413.45,1409.0,1447.0,1407.0,1431.9,1429.35,1433.02,916180,131290721959999.98,36673.71986022132,404346,0.4413
2010-01-19,MARUTI,EQ,1429.35,1435.0,1450.0,1413.1,1419.0,1419.3,1430.52,1009858,144462565270000.0,36673.71986022132,459563,0.4551
2010-01-20,MARUTI,EQ,1419.3,1428.8,1465.0,1421.0,1455.0,1458.35,1444.72,1376326,198840387035000.0,36673.71986022132,792122,0.5755
2010-01-21,MARUTI,EQ,1458.35,1445.0,1480.0,1440.0,1442.0,1452.75,1461.83,1220211,178374674095000.0,36673.71986022132,496364,0.4068
2010-01-22,MARUTI,EQ,1452.75,1440.0,1457.0,1405.0,1455.0,1444.45,1434.26,650256,93263481500000.0,36673.71986022132,211363,0.325
2010-01-25,MARUTI,EQ,1444.45,1412.0,1475.0,1412.0,1431.0,1446.2,1453.87,851324,123771706359999.98,36673.71986022132,299675,0.35200000000000004
2010-01-27,MARUTI,EQ,1446.2,1431.0,1447.0,1350.3,1355.0,1369.8,1396.34,1180230,164799795405000.0,36673.71986022132,540077,0.4576
2010-01-28,MARUTI,EQ,1369.8,1377.0,1399.0,1362.05,1382.0,1378.3,1380.9,835498,115373667065000.02,36673.71986022132,351433,0.42060000000000003
2010-01-29,MARUTI,EQ,1378.3,1374.4,1399.0,1332.0,1398.0,1389.45,1376.11,468949,64532468079999.99,36673.71986022132,108568,0.23149999999999998
2010-02-01,MARUTI,EQ,1389.45,1389.0,1419.7,1375.25,1394.0,1398.95,1401.24,584347,81881079045000.0,36673.71986022132,136159,0.233
2010-02-02,MARUTI,EQ,1398.95,1418.25,1418.25,1360.0,1365.0,1373.55,1389.94,573306,79686171170000.0,36673.71986022132,140128,0.2444
2010-02-03,MARUTI,EQ,1373.55,1365.0,1384.9,1360.2,1376.8,1377.25,1374.37,594119,81653929335000.0,36673.71986022132,141808,0.23870000000000002
2010-02-04,MARUTI,EQ,1377.25,1370.0,1385.0,1355.0,1358.0,1365.15,1371.14,453970,62245823875000.0,36673.71986022132,153192,0.33740000000000003
2010-02-05,MARUTI,EQ,1365.15,1349.5,1378.05,1320.25,1355.0,1358.9,1352.55,471270,63741536320000.01,36673.71986022132,130996,0.278
2010-02-06,MARUTI,EQ,1358.9,1363.3,1389.9,1358.1,1380.0,1373.5,1370.93,82937,11370106035000.0,36673.71986022132,19409,0.23399999999999999
2010-02-08,MARUTI,EQ,1373.5,1375.1,1388.8,1347.2,1362.0,1362.05,1364.71,555655,75830603590000.0,36673.71986022132,242075,0.43570000000000003
2010-02-09,MARUTI,EQ,1362.05,1355.0,1374.0,1342.5,1353.0,1352.75,1356.97,491001,66627604175000.0,36673.71986022132,181018,0.36869999999999997
2010-02-10,MARUTI,EQ,1352.75,1355.0,1368.6,1328.25,1331.5,1333.9,1349.73,433681,58535349695000.01,36673.71986022132,162585,0.3749
2010-02-11,MARUTI,EQ,1333.9,1330.1,1363.5,1330.1,1361.05,1356.35,1351.97,289022,39074815015000.0,36673.71986022132,65898,0.228
2010-02-15,MARUTI,EQ,1356.35,1364.0,1368.8,1330.1,1335.0,1336.0,1347.54,288768,38912600655000.0,36673.71986022132,77575,0.2686
2010-02-16,MARUTI,EQ,1336.0,1339.7,1370.45,1334.0,1370.0,1357.35,1346.82,322869,43484769775000.0,36673.71986022132,102388,0.3171
2010-02-17,MARUTI,EQ,1357.35,1369.95,1386.9,1365.3,1381.4,1380.25,1378.48,371999,51279430385000.0,36673.71986022132,132086,0.35509999999999997
2010-02-18,MARUTI,EQ,1380.25,1390.0,1390.0,1349.0,1360.0,1359.65,1359.61,323684,44008387230000.0,36673.71986022132,133788,0.4133
2010-02-19,MARUTI,EQ,1359.65,1354.0,1381.0,1335.0,1372.5,1371.0,1369.35,399798,54746414254999.99,36673.71986022132,149375,0.3736
2010-02-22,MARUTI,EQ,1371.0,1380.0,1403.0,1378.3,1382.2,1386.25,1392.94,385247,53662624485000.0,36673.71986022132,88091,0.22870000000000001
2010-02-23,MARUTI,EQ,1386.25,1369.85,1389.0,1317.7,1336.0,1335.75,1355.69,484780,65721243600000.0,36673.71986022132,128265,0.2646
2010-02-24,MARUTI,EQ,1335.75,1325.0,1388.85,1317.65,1384.95,1365.4,1348.17,827260,111528337134999.98,36673.71986022132,109512,0.13240000000000002
2010-02-25,MARUTI,EQ,1365.4,1374.2,1407.9,1358.0,1392.05,1399.9,1383.95,794244,109919690775000.0,36673.71986022132,215304,0.2711
2010-02-26,MARUTI,EQ,1399.9,1398.8,1490.0,1375.0,1466.1,1459.95,1437.7,1711733,246095770530000.03,36673.71986022132,562689,0.3287
2010-03-02,MARUTI,EQ,1459.95,1472.0,1501.0,1462.55,1492.15,1491.1,1487.48,1321957,196638407420000.0,36673.71986022132,575565,0.4354
2010-03-03,MARUTI,EQ,1491.1,1496.0,1500.9,1460.65,1479.0,1476.5,1475.78,809671,119489415209999.98,36673.71986022132,279447,0.34509999999999996
2010-03-04,MARUTI,EQ,1476.5,1477.0,1489.0,1452.1,1454.2,1457.15,1460.91,413804,60452952835000.0,36673.71986022132,119067,0.2877
2010-03-05,MARUTI,EQ,1457.15,1467.0,1474.4,1447.7,1454.0,1457.05,1459.9,353414,51594865980000.0,36673.71986022132,83141,0.2353
2010-03-08,MARUTI,EQ,1457.05,1473.7,1492.3,1463.0,1477.0,1478.15,1475.17,515595,76058804030000.0,36673.71986022132,216597,0.4201
