Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,MOTHERSUMI,EQ,132.0,132.25,151.9,131.95,141.9,142.4,144.45,880962,12725856865000.0,27029.108328479906,251529,0.28550000000000003
2010-01-05,MOTHERSUMI,EQ,142.4,145.2,149.0,140.15,144.1,144.75,146.1,392431,5733546520000.0,27029.108328479906,128089,0.3264
2010-01-06,MOTHERSUMI,EQ,144.75,145.9,145.9,141.0,143.0,141.75,142.96,76864,1098818640000.0,27029.108328479906,36142,0.47020000000000006
2010-01-07,MOTHERSUMI,EQ,141.75,138.1,149.95,138.1,144.2,144.65,146.71,309748,4544417390000.0,27029.108328479906,101667,0.3282
2010-01-08,MOTHERSUMI,EQ,144.65,141.35,149.0,141.25,141.5,142.4,145.86,98755,1440427080000.0,27029.108328479906,46871,0.4746
2010-01-11,MOTHERSUMI,EQ,142.4,146.0,147.5,144.95,146.0,145.55,146.38,133035,1947415060000.0002,27029.108328479906,105729,0.7947
2010-01-12,MOTHERSUMI,EQ,145.55,146.0,148.0,142.1,142.1,143.0,145.58,49810,725145195000.0,27029.108328479906,29227,0.5868
2010-01-13,MOTHERSUMI,EQ,143.0,143.0,145.9,142.5,144.0,143.9,144.23,69496,1002361205000.0001,27029.108328479906,48910,0.7038
2010-01-14,MOTHERSUMI,EQ,143.9,142.5,153.0,142.5,148.95,148.4,149.54,219791,3286769555000.0,27029.108328479906,86439,0.3933
2010-01-15,MOTHERSUMI,EQ,148.4,149.2,153.8,145.2,152.1,151.25,150.99,137024,2068959200000.0,27029.108328479906,62641,0.4572
2010-01-18,MOTHERSUMI,EQ,151.25,148.4,155.5,146.0,147.2,147.25,150.97,110482,1667997770000.0,27029.108328479906,55285,0.5004
2010-01-19,MOTHERSUMI,EQ,147.25,146.1,148.95,142.8,143.55,143.55,146.25,80215,1173148390000.0,27029.108328479906,53448,0.6663
2010-01-20,MOTHERSUMI,EQ,143.55,142.55,145.8,141.5,144.4,144.05,143.57,40513,581655500000.0,27029.108328479906,26551,0.6554000000000001
2010-01-21,MOTHERSUMI,EQ,144.05,145.0,145.1,136.6,142.0,141.3,140.91,94887,1337033440000.0,27029.108328479906,60806,0.6408
2010-01-22,MOTHERSUMI,EQ,141.3,136.35,145.0,135.8,141.1,142.6,141.38,71376,1009111819999.9999,27029.108328479906,28237,0.3956
