Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-05-06,MUTHOOTFIN,EQ,175.0,196.6,198.9,161.4,172.6,175.9,176.11,60613615,1067439427335000.0,9040.379732090856,15790832,0.2605
2011-05-06,MUTHOOTFIN,EQ,175.0,196.6,198.9,161.4,172.6,175.9,176.11,60613615,1067439427335000.0,9040.379732090856,15790832,0.2605
2011-05-09,MUTHOOTFIN,EQ,175.9,174.0,179.75,168.75,172.65,171.35,173.51,6129552,106356298595000.0,9040.379732090856,1801830,0.294
2011-05-10,MUTHOOTFIN,EQ,171.35,171.0,177.4,169.5,176.7,176.35,173.5,5514954,95684117845000.0,9040.379732090856,1535778,0.2785
2011-05-11,MUTHOOTFIN,EQ,176.35,177.0,178.7,172.4,174.45,175.1,176.03,3348158,58937750350000.0,9040.379732090856,953934,0.2849
2011-05-12,MUTHOOTFIN,EQ,175.1,174.0,174.4,165.05,167.85,169.05,169.63,2719399,46128371230000.0,9040.379732090856,1254443,0.46130000000000004
2011-05-13,MUTHOOTFIN,EQ,169.05,168.0,170.7,165.3,165.5,166.05,168.23,998959,16805631275000.0,9040.379732090856,448795,0.44930000000000003
2011-05-16,MUTHOOTFIN,EQ,166.05,165.85,165.85,159.1,160.9,160.5,160.69,1530085,24586811445000.0,9040.379732090856,770555,0.5036
2011-05-17,MUTHOOTFIN,EQ,160.5,161.0,162.0,155.8,160.0,159.9,159.39,875597,13956470890000.0,9040.379732090856,410351,0.4687
2011-05-18,MUTHOOTFIN,EQ,159.9,159.5,163.0,158.2,159.5,159.15,159.53,567443,9052353800000.0,9040.379732090856,289891,0.5109
2011-05-19,MUTHOOTFIN,EQ,159.15,160.15,160.3,155.0,155.05,155.5,156.96,276867,4345776345000.0005,9040.379732090856,94451,0.3411
2011-05-20,MUTHOOTFIN,EQ,155.5,156.0,162.4,155.15,158.0,158.0,158.81,731694,11619888340000.0,9040.379732090856,213748,0.2921
2011-05-23,MUTHOOTFIN,EQ,158.0,157.85,159.9,155.5,158.35,158.0,157.78,343551,5420432955000.0,9040.379732090856,141780,0.41270000000000007
2011-05-24,MUTHOOTFIN,EQ,158.0,158.0,162.25,156.6,160.8,161.2,160.67,568661,9136483710000.0,9040.379732090856,212042,0.3729
2011-05-25,MUTHOOTFIN,EQ,161.2,160.6,163.8,154.75,154.85,155.45,159.52,601050,9587670170000.0,9040.379732090856,265554,0.4418
2011-05-26,MUTHOOTFIN,EQ,155.45,157.1,160.4,156.0,157.35,157.6,158.47,512762,8125921745000.0,9040.379732090856,200367,0.3908
2011-05-27,MUTHOOTFIN,EQ,157.6,158.9,175.0,158.9,172.2,172.9,170.22,4218741,71811698875000.0,9040.379732090856,1162852,0.2756
2011-05-30,MUTHOOTFIN,EQ,172.9,171.45,176.9,171.45,175.8,175.6,174.86,1223067,21386265220000.0,9040.379732090856,389883,0.3188
2011-05-31,MUTHOOTFIN,EQ,175.6,176.0,176.9,171.05,174.5,175.45,174.48,604495,10547299535000.0,9040.379732090856,236742,0.39159999999999995
2011-06-01,MUTHOOTFIN,EQ,175.45,175.75,181.75,172.95,180.4,180.85,178.66,1963698,35084243239999.996,25652.0,673460,0.34299999999999997
2011-06-02,MUTHOOTFIN,EQ,180.85,179.9,183.2,175.1,175.85,175.8,179.71,1546385,27789486510000.004,19957.0,559010,0.3615
2011-06-03,MUTHOOTFIN,EQ,175.8,174.0,178.85,171.35,177.55,177.9,175.51,1330147,23345248140000.0,21959.0,572732,0.43060000000000004
2011-06-06,MUTHOOTFIN,EQ,177.9,178.5,179.4,175.0,175.05,175.25,176.49,347137,6126624635000.0,5590.0,133763,0.38530000000000003
2011-06-07,MUTHOOTFIN,EQ,175.25,175.5,176.75,173.35,174.25,174.3,175.18,204739,3586675695000.0005,2871.0,80370,0.3925
2011-06-08,MUTHOOTFIN,EQ,174.3,174.4,175.45,168.0,169.3,170.3,171.62,465391,7987184830000.0,5106.0,312253,0.6709
2011-06-09,MUTHOOTFIN,EQ,170.3,170.5,171.25,167.75,168.3,168.2,168.95,228604,3862269000000.0,3830.0,73811,0.3229
2011-06-10,MUTHOOTFIN,EQ,168.2,167.55,169.4,162.1,164.0,164.35,165.41,288082,4765119675000.0,6552.0,106020,0.368
