Date,Open,High,Low,Close,Volume,Turnover
2007-01-02,3966.25,4016.65,3964.95,4007.4,40789960,19297600000.0
2007-01-03,4007.7,4029.8,3985.0,4024.05,63826475,32916600000.0
2007-01-04,4027.3,4041.0,3979.8,3988.8,67096186,34461900000.0
2007-01-05,3990.15,4011.45,3969.65,3983.4,69146575,35586900000.0
2007-01-08,3983.3,3987.45,3913.0,3933.4,63615668,35900800000.0
2007-01-09,3933.3,3963.75,3890.75,3911.4,65321592,37531800000.0
2007-01-10,3910.95,3911.95,3841.7,3850.3,68470689,38926800000.0
2007-01-11,3852.15,3953.1,3833.6,3942.25,83152375,50587400000.0
2007-01-12,3944.55,4059.15,3944.55,4052.45,81362992,47274300000.0
2007-01-15,4052.85,4099.65,4052.4,4078.4,81723925,41032299999.99999
2007-01-16,4090.7,4107.45,4067.9,4080.5,60251260,36266000000.0
2007-01-17,4084.9,4096.75,4071.55,4076.45,59073863,30778800000.0
2007-01-18,4075.2,4140.25,4075.2,4109.05,75646344,40206100000.0
2007-01-19,4126.0,4137.15,4058.35,4090.15,85555366,45415300000.0
2007-01-22,4089.6,4114.5,4069.95,4102.45,63758853,35141900000.0
2007-01-23,4102.65,4105.1,4056.45,4066.1,80442797,37835700000.0
2007-01-24,4066.6,4098.25,4065.75,4089.9,90298316,37609000000.0
2007-01-25,4092.05,4157.95,4090.1,4147.7,130890355,55414399999.99999
2007-01-29,4148.4,4167.15,4115.75,4124.45,94946217,39985300000.0
2007-01-31,4123.85,4137.85,4068.55,4082.7,114992600,53782000000.0
2007-02-01,4083.4,4141.6,4081.1,4137.2,73460198,34096700000.0
2007-02-02,4140.2,4198.7,4132.95,4183.5,92547027,46761200000.0
2007-02-05,4193.15,4219.0,4170.0,4215.35,62178023,33813500000.0
2007-02-06,4216.55,4228.15,4186.15,4195.9,64125214,34215900000.0
2007-02-07,4198.2,4232.3,4192.85,4224.25,66702277,38049600000.0
2007-02-08,4232.0,4245.3,4188.45,4223.4,69459583,33406600000.0
2007-02-09,4223.5,4239.2,4171.8,4187.4,66107054,36106000000.0
2007-02-12,4187.2,4187.2,4044.35,4058.3,91427563,39472400000.0
2007-02-13,4069.1,4132.7,3998.3,4044.55,97888267,44964900000.0
2007-02-14,4044.9,4057.35,3965.2,4047.1,82077938,42152800000.0
2007-02-15,4046.8,4155.7,4046.8,4146.2,77344389,41158500000.0
2007-02-19,4149.25,4177.7,4149.25,4164.55,59419122,28477500000.0
2007-02-20,4164.85,4175.45,4099.55,4106.95,63235945,30381300000.0
2007-02-21,4107.15,4132.8,4080.9,4096.2,72693724,36297300000.0
2007-02-22,4096.65,4126.9,4023.15,4040.0,120932537,59537600000.0
2007-02-23,4046.0,4065.45,3918.2,3938.95,91231906,47163900000.0
2007-02-26,3939.1,3958.9,3856.7,3942.0,86198266,47505800000.0
2007-02-27,3948.05,3958.0,3873.85,3893.9,75831405,38137100000.0
2007-02-28,3893.4,3893.4,3674.85,3745.3,143100823,72740300000.0
2007-03-01,3745.4,3818.75,3718.15,3811.2,108340792,49801200000.0
2007-03-02,3811.65,3842.05,3711.05,3726.75,99384914,48117600000.0
2007-03-05,3726.5,3726.65,3554.5,3576.5,111377742,49448600000.0
2007-03-06,3577.15,3679.15,3576.65,3655.65,94708234,43547299999.99999
2007-03-07,3661.55,3714.15,3568.55,3626.85,92664441,43416100000.0
2007-03-08,3627.25,3779.5,3626.8,3761.65,102126395,42180300000.0
2007-03-09,3761.85,3795.7,3684.25,3718.0,116080128,43898100000.00001
2007-03-12,3717.45,3781.45,3713.9,3734.6,89783796,37412400000.0
2007-03-13,3735.25,3775.85,3717.15,3770.55,76689083,31424100000.0
2007-03-14,3768.4,3768.4,3623.0,3641.1,83325778,37311000000.0
2007-03-15,3644.9,3711.05,3630.55,3643.6,73901367,35874400000.0
2007-03-16,3639.35,3683.6,3573.85,3608.55,64748146,32340700000.0
2007-03-19,3611.3,3683.35,3602.85,3678.9,45956072,20364200000.0
2007-03-20,3680.35,3725.0,3676.65,3697.6,69478798,28253800000.0
2007-03-21,3697.7,3771.2,3680.6,3764.55,73653431,30637900000.0
2007-03-22,3764.5,3881.0,3764.5,3875.9,91519911,43576600000.0
2007-03-23,3876.75,3901.75,3850.8,3861.05,85511339,38063500000.0
2007-03-26,3863.45,3885.45,3768.25,3819.95,67231993,34486300000.0
2007-03-28,3818.75,3830.3,3752.95,3761.1,83105233,44658500000.0
2007-03-29,3759.15,3805.85,3750.35,3798.1,111423813,57618400000.0
2007-03-30,3788.85,3832.2,3785.3,3821.55,81295476,39453200000.0
2007-04-02,3820.0,3820.0,3617.0,3633.6,74611355,39793100000.0
2007-04-03,3633.85,3703.05,3632.2,3690.65,64733113,35678800000.0
2007-04-04,3689.75,3751.4,3689.75,3733.25,87771799,36858700000.0
2007-04-05,3735.2,3771.45,3709.15,3752.0,75346993,31517000000.0
2007-04-09,3752.9,3850.9,3747.25,3843.5,65501863,27371100000.0
2007-04-10,3844.15,3858.35,3819.3,3848.15,78284712,35087400000.0
2007-04-11,3848.35,3876.35,3844.75,3862.65,89113728,38642800000.0
2007-04-12,3861.85,3861.85,3811.25,3829.85,69265870,32305000000.0
2007-04-13,3830.35,3924.55,3828.45,3917.35,89158610,46432600000.0
2007-04-16,3920.5,4016.8,3920.5,4013.35,85406452,41694799999.99999
2007-04-17,4014.4,4030.0,3976.25,3984.95,83281173,42482000000.0
2007-04-18,3989.6,4039.25,3981.75,4011.6,73900407,35553600000.0
2007-04-19,3998.5,4011.0,3933.35,3997.65,76167934,36186300000.0
2007-04-20,4000.25,4090.05,3995.5,4083.55,96650049,42697700000.00001
2007-04-23,4083.55,4122.35,4075.2,4085.1,85793172,36721000000.0
2007-04-24,4085.1,4162.15,4057.7,4141.8,101792602,52791400000.0
2007-04-25,4134.25,4173.3,4114.35,4167.3,96383411,49123900000.0
2007-04-26,4170.05,4217.9,4143.25,4177.85,111716820,59216000000.0
2007-04-27,4182.0,4182.0,4074.3,4083.5,83330984,41436100000.0
2007-04-30,4081.6,4096.9,4028.9,4087.9,74746036,38163300000.0
2007-05-03,4089.45,4161.2,4080.75,4150.85,79591422,41968200000.0
2007-05-04,4168.9,4180.9,4109.7,4117.35,67472022,36209400000.0
2007-05-07,4117.5,4157.65,4103.6,4111.15,63121628,29623200000.0
2007-05-08,4111.25,4136.05,4066.4,4077.0,77322300,40672400000.0
2007-05-09,4077.25,4087.8,4030.55,4079.3,65609530,34848500000.0
2007-05-10,4079.6,4134.2,4057.55,4066.8,74217966,35918400000.0
2007-05-11,4070.2,4094.65,3981.15,4076.65,101897727,44214399999.99999
2007-05-14,4078.8,4151.3,4072.45,4134.3,95639685,34298200000.0
2007-05-15,4134.3,4150.45,4102.45,4120.3,82708097,38574400000.0
2007-05-16,4125.4,4181.0,4113.05,4170.95,87122564,44995100000.0
2007-05-17,4172.1,4232.45,4172.1,4219.55,92236562,51389500000.0
2007-05-18,4216.5,4228.45,4177.0,4214.5,68771304,39608500000.0
2007-05-21,4217.65,4269.35,4217.55,4260.9,92776373,43092900000.0
2007-05-22,4263.1,4281.6,4234.1,4278.1,85013484,48877800000.0
2007-05-23,4279.6,4291.4,4231.05,4246.2,84529936,43844100000.0
2007-05-24,4246.2,4250.85,4189.05,4204.9,79985272,40337200000.0
2007-05-25,4197.85,4256.4,4141.35,4248.15,87574680,45902700000.00001
2007-05-28,4248.35,4295.6,4242.8,4256.55,82687609,35242900000.0
2007-05-29,4257.6,4298.85,4248.9,4293.25,70929391,37975700000.0
2007-05-30,4292.7,4301.6,4241.35,4249.65,88198865,50192100000.0
2007-05-31,4250.25,4306.75,4250.25,4295.8,105631422,49608600000.0
2007-06-01,4296.05,4325.8,4288.55,4297.05,73330395,36654200000.0
2007-06-04,4300.7,4362.95,4256.45,4267.05,81067590,34056700000.0
2007-06-05,4268.9,4292.5,4249.1,4284.65,77453933,35859800000.0
2007-06-06,4285.75,4324.1,4190.95,4198.25,83487572,40373500000.0
2007-06-07,4197.6,4230.05,4130.5,4179.5,85897072,40968200000.0
2007-06-08,4179.5,4195.15,4126.1,4145.0,104593779,53372200000.0
2007-06-11,4183.75,4205.2,4134.95,4145.6,82508456,36504900000.0
2007-06-12,4139.7,4166.85,4100.8,4155.2,74344690,36599700000.0
2007-06-13,4155.2,4161.8,4102.95,4113.05,64074203,32877100000.0
2007-06-14,4113.2,4174.05,4112.85,4170.0,62857867,33064500000.0
2007-06-15,4186.4,4209.45,4153.7,4171.45,63381900,32219200000.0
2007-06-18,4177.0,4208.15,4140.25,4147.1,51604532,27262800000.000004
2007-06-19,4143.85,4222.4,4136.15,4214.3,56324333,31728200000.0
2007-06-20,4214.3,4257.0,4214.3,4248.65,66195436,36877800000.0
2007-06-21,4248.65,4275.35,4220.1,4267.4,71847492,39113500000.0
2007-06-22,4267.55,4278.85,4242.5,4252.05,66686692,35259400000.0
2007-06-25,4251.4,4264.25,4236.3,4259.4,76162914,34906000000.0
2007-06-26,4259.4,4296.15,4250.1,4285.7,79271798,32010800000.0
2007-06-27,4286.2,4294.2,4255.25,4263.95,77203717,33355500000.0
2007-06-28,4263.9,4291.4,4256.9,4282.0,117441740,51774100000.0
2007-06-29,4282.4,4321.35,4280.95,4318.3,72628435,44232200000.0
2007-07-02,4318.4,4346.75,4305.45,4313.75,64709910,34870200000.0
2007-07-03,4315.05,4363.35,4313.55,4357.55,60061503,34542600000.0
2007-07-04,4358.25,4386.45,4342.0,4359.3,62524977,35284500000.0
2007-07-05,4359.2,4378.55,4311.8,4353.95,64671779,37994000000.0
2007-07-06,4353.1,4411.0,4304.0,4384.85,84077477,47588700000.0
2007-07-09,4385.45,4427.55,4385.45,4419.4,60169572,35819300000.0
2007-07-10,4419.1,4434.45,4393.0,4406.05,73279845,40444100000.0
2007-07-11,4403.8,4411.45,4344.7,4387.15,78074214,42477100000.0
2007-07-12,4388.05,4451.95,4387.05,4446.15,94804490,46083700000.0
2007-07-13,4446.4,4513.9,4446.05,4504.55,126861025,62991800000.0
2007-07-16,4505.95,4521.85,4495.95,4512.15,102224299,46478300000.0
2007-07-17,4497.1,4550.25,4488.25,4496.75,99221022,47533900000.0
