Date,Open,High,Low,Close,Volume,Turnover,Symbol
2015-01-01,3040.25,3067.55,3033.6,3064.7,75678418,7071100000.0,NIFTYINFRA
2015-01-02,3066.9,3115.1,3066.9,3107.1,101551497,11341800000.0,NIFTYINFRA
2015-01-05,3117.35,3140.1,3095.2,3102.3,84527684,11343000000.0,NIFTYINFRA
2015-01-06,3080.8,3080.8,3003.55,3013.25,119697182,15682600000.0,NIFTYINFRA
2015-01-07,3005.45,3022.85,2987.15,3006.35,108596689,13387600000.0,NIFTYINFRA
2015-01-08,3036.45,3056.25,3032.75,3052.6,104175671,13128800000.000002,NIFTYINFRA
2015-01-09,3072.15,3076.65,3001.2,3022.95,95165575,11573699999.999998,NIFTYINFRA
2015-01-12,3025.35,3040.85,3005.7,3038.85,77093167,9195000000.0,NIFTYINFRA
2015-01-13,3051.45,3058.9,3003.25,3010.45,94472217,10873599999.999998,NIFTYINFRA
2015-01-14,3016.35,3029.55,2997.3,3019.45,115513769,12807800000.0,NIFTYINFRA
2015-01-15,3056.0,3114.2,3049.25,3097.15,168215743,18621700000.0,NIFTYINFRA
2015-01-16,3094.9,3132.3,3074.8,3122.1,127843912,18042900000.0,NIFTYINFRA
2015-01-19,3132.9,3166.7,3131.85,3160.4,95592089,11466900000.0,NIFTYINFRA
2015-01-20,3173.55,3186.2,3154.75,3179.05,87179783,12152100000.0,NIFTYINFRA
2015-01-21,3185.75,3222.0,3181.7,3219.0,94478770,15115600000.0,NIFTYINFRA
2015-01-22,3227.35,3239.6,3210.65,3227.55,99142194,11922100000.0,NIFTYINFRA
2015-01-23,3250.0,3308.5,3250.0,3303.15,136854097,21202500000.0,NIFTYINFRA
2015-01-27,3315.85,3349.95,3313.6,3343.25,111497941,17676300000.0,NIFTYINFRA
2015-01-28,3337.75,3344.55,3257.1,3280.1,125549348,18583500000.0,NIFTYINFRA
2015-01-29,3274.7,3310.55,3252.45,3301.2,165381802,20991900000.0,NIFTYINFRA
2015-01-30,3316.0,3329.85,3266.65,3294.4,209674948,21686900000.0,NIFTYINFRA
2015-02-02,3285.8,3311.75,3285.15,3304.65,137646714,14470000000.0,NIFTYINFRA
2015-02-03,3318.55,3322.7,3273.1,3292.95,133419373,15652900000.0,NIFTYINFRA
2015-02-04,3306.9,3308.6,3244.1,3251.15,144494973,16108599999.999998,NIFTYINFRA
2015-02-05,3257.85,3261.4,3172.6,3190.55,134949424,16543200000.0,NIFTYINFRA
2015-02-06,3185.8,3200.95,3163.3,3174.1,125800392,15239100000.0,NIFTYINFRA
2015-02-09,3140.7,3144.0,3040.0,3057.0,117477220,17185600000.0,NIFTYINFRA
2015-02-10,3024.7,3106.25,3015.25,3073.15,134677857,24296600000.0,NIFTYINFRA
2015-02-11,3091.9,3129.6,3091.9,3122.45,122710264,14958300000.0,NIFTYINFRA
2015-02-12,3136.6,3187.1,3117.5,3178.15,118137653,16612800000.0,NIFTYINFRA
2015-02-13,3181.15,3196.95,3168.2,3192.55,93717524,13585400000.0,NIFTYINFRA
2015-02-16,3193.4,3215.4,3183.05,3192.8,102107031,12898100000.0,NIFTYINFRA
2015-02-18,3201.45,3219.1,3197.15,3210.85,162532563,17328500000.0,NIFTYINFRA
2015-02-19,3224.25,3255.2,3183.2,3245.4,125795765,13887300000.0,NIFTYINFRA
2015-02-20,3248.9,3264.0,3212.55,3220.45,112176022,17131400000.000002,NIFTYINFRA
2015-02-23,3232.3,3253.85,3210.4,3218.85,114656156,14190400000.0,NIFTYINFRA
2015-02-24,3222.65,3245.4,3213.6,3239.15,103931623,15989500000.0,NIFTYINFRA
2015-02-25,3256.35,3265.95,3219.8,3227.25,101932655,13493200000.0,NIFTYINFRA
2015-02-26,3230.2,3233.05,3191.0,3211.2,153243607,20700500000.0,NIFTYINFRA
2015-02-27,3234.85,3334.3,3233.45,3326.65,159367702,21450700000.0,NIFTYINFRA
2015-02-28,3360.4,3377.45,3252.0,3307.05,166843679,21923600000.0,NIFTYINFRA
2015-03-02,3323.95,3375.7,3323.95,3371.55,133669702,22738600000.0,NIFTYINFRA
2015-03-03,3378.25,3389.55,3355.95,3384.85,105791489,15418800000.000002,NIFTYINFRA
2015-03-04,3413.0,3432.1,3341.65,3359.8,208016314,21679800000.0,NIFTYINFRA
2015-03-05,3365.3,3369.05,3303.95,3347.75,142322692,16666900000.0,NIFTYINFRA
2015-03-09,3327.6,3327.9,3238.35,3245.5,108744635,12602500000.0,NIFTYINFRA
2015-03-10,3252.65,3303.4,3235.0,3259.9,119096646,16737100000.0,NIFTYINFRA
2015-03-11,3276.8,3299.75,3242.45,3289.35,116654022,19410200000.0,NIFTYINFRA
2015-03-12,3301.75,3358.25,3300.15,3355.3,158795734,25455300000.000004,NIFTYINFRA
2015-03-13,3378.95,3383.25,3289.6,3297.8,149664833,26314500000.0,NIFTYINFRA
2015-03-16,3304.3,3304.3,3253.5,3260.8,136720208,23780000000.0,NIFTYINFRA
2015-03-17,3285.0,3307.35,3259.5,3301.25,114583978,17968500000.0,NIFTYINFRA
2015-03-18,3308.5,3313.0,3256.65,3264.45,109763460,15210200000.0,NIFTYINFRA
2015-03-19,3290.6,3310.95,3231.5,3241.85,118448223,16765400000.0,NIFTYINFRA
2015-03-20,3221.5,3242.05,3190.25,3203.7,151447313,19047500000.0,NIFTYINFRA
2015-03-23,3220.65,3229.9,3197.15,3203.45,87061441,11235700000.0,NIFTYINFRA
2015-03-24,3199.8,3233.3,3199.8,3218.95,91521519,14225500000.0,NIFTYINFRA
2015-03-25,3221.05,3229.4,3178.6,3184.45,105849950,16744900000.0,NIFTYINFRA
2015-03-26,3165.55,3219.3,3165.55,3176.65,195381005,28959899999.999996,NIFTYINFRA
2015-03-27,3203.35,3214.5,3119.65,3171.15,114894618,18755500000.0,NIFTYINFRA
2015-03-30,3190.75,3257.95,3185.0,3250.9,93585509,14826300000.000002,NIFTYINFRA
2015-03-31,3264.9,3274.9,3233.6,3249.65,125253707,17793900000.0,NIFTYINFRA
2015-04-01,3249.45,3288.6,3248.0,3283.4,83300517,11982000000.0,NIFTYINFRA
2015-04-06,3289.25,3325.55,3275.15,3319.6,91591907,14364100000.0,NIFTYINFRA
2015-04-07,3332.2,3359.8,3308.3,3350.3,86178247,12668900000.000002,NIFTYINFRA
2015-04-08,3361.05,3384.0,3351.05,3373.2,112791174,15663699999.999998,NIFTYINFRA
2015-04-09,3383.35,3384.9,3330.9,3358.45,77392666,13475500000.0,NIFTYINFRA
2015-04-10,3359.7,3390.25,3349.7,3386.7,164210841,17307300000.0,NIFTYINFRA
2015-04-13,3396.7,3456.75,3392.8,3452.9,102255143,15241400000.000002,NIFTYINFRA
2015-04-15,3451.75,3456.65,3386.75,3404.0,105002271,16066300000.000002,NIFTYINFRA
2015-04-16,3406.0,3409.95,3354.75,3377.5,104128806,13332200000.0,NIFTYINFRA
2015-04-17,3381.9,3382.5,3337.1,3342.2,74891964,11567500000.0,NIFTYINFRA
2015-04-20,3345.8,3345.8,3245.45,3271.8,86584998,12166600000.0,NIFTYINFRA
2015-04-21,3266.75,3303.55,3231.75,3240.8,80482470,12375100000.0,NIFTYINFRA
2015-04-22,3249.3,3293.9,3212.35,3285.45,97209499,13895400000.0,NIFTYINFRA
2015-04-23,3308.1,3313.15,3254.25,3266.25,73320460,11633800000.000002,NIFTYINFRA
2015-04-24,3267.5,3268.4,3201.45,3216.9,95618423,13015300000.0,NIFTYINFRA
2015-04-27,3226.4,3231.35,3166.8,3176.55,114213037,18207900000.0,NIFTYINFRA
2015-04-28,3183.25,3222.1,3153.6,3211.2,121985997,16109500000.0,NIFTYINFRA
2015-04-29,3207.0,3220.35,3169.3,3177.8,99590097,15818800000.000002,NIFTYINFRA
2015-04-30,3172.8,3173.55,3126.35,3154.65,206249895,22585600000.0,NIFTYINFRA
2015-05-04,3167.15,3216.4,3155.15,3211.2,97543409,13503100000.0,NIFTYINFRA
2015-05-05,3209.75,3229.55,3184.6,3205.15,99383758,13048800000.000002,NIFTYINFRA
2015-05-06,3204.9,3214.6,3080.8,3089.55,128018960,21414600000.0,NIFTYINFRA
2015-05-07,3082.75,3107.2,3041.75,3070.85,121504214,16638100000.0,NIFTYINFRA
2015-05-08,3103.5,3134.95,3103.5,3117.8,82173637,13747300000.0,NIFTYINFRA
2015-05-11,3131.35,3166.1,3131.35,3153.9,73275309,12040200000.0,NIFTYINFRA
2015-05-12,3155.6,3155.6,3054.65,3059.9,92740560,13792900000.0,NIFTYINFRA
2015-05-13,3081.0,3103.45,3037.1,3090.55,112075466,14947700000.0,NIFTYINFRA
2015-05-14,3088.05,3109.25,3069.05,3097.3,102602006,13132000000.0,NIFTYINFRA
2015-05-15,3114.9,3130.2,3101.9,3110.45,67331490,11247800000.0,NIFTYINFRA
2015-05-18,3122.15,3158.3,3113.75,3153.25,80031231,11190600000.0,NIFTYINFRA
2015-05-19,3156.8,3183.0,3144.2,3160.05,101166940,12767200000.0,NIFTYINFRA
2015-05-20,3174.35,3185.25,3152.3,3158.65,92142564,11426400000.000002,NIFTYINFRA
2015-05-21,3166.2,3171.45,3138.8,3161.1,78748103,12586099999.999998,NIFTYINFRA
2015-05-22,3164.65,3180.65,3147.25,3169.9,90871874,15842200000.0,NIFTYINFRA
2015-05-25,3166.9,3182.25,3150.35,3157.2,78620096,11058900000.000002,NIFTYINFRA
2015-05-26,3162.95,3163.8,3137.85,3155.4,79925588,14847400000.0,NIFTYINFRA
2015-05-27,3148.15,3194.8,3145.25,3182.8,84388892,13741099999.999998,NIFTYINFRA
2015-05-28,3193.8,3194.8,3137.6,3169.75,144582898,19222500000.0,NIFTYINFRA
2015-05-29,3170.15,3228.85,3167.6,3220.85,245682733,55913800000.0,NIFTYINFRA
2015-06-01,3231.3,3258.45,3196.8,3244.95,91933956,17167600000.0,NIFTYINFRA
2015-06-02,3256.6,3256.6,3196.9,3203.4,97050623,15908400000.0,NIFTYINFRA
2015-06-03,3205.45,3205.45,3107.4,3158.95,292081527,23904000000.0,NIFTYINFRA
2015-06-04,3165.5,3181.35,3141.45,3166.3,136324530,13479100000.0,NIFTYINFRA
2015-06-05,3160.15,3218.4,3160.15,3189.95,97775678,12997900000.0,NIFTYINFRA
2015-06-08,3195.15,3201.7,3158.2,3166.65,81895999,10525800000.0,NIFTYINFRA
2015-06-09,3163.05,3173.95,3143.95,3162.35,71848118,9374400000.0,NIFTYINFRA
2015-06-10,3170.0,3227.35,3170.0,3214.25,93617323,12396500000.0,NIFTYINFRA
2015-06-11,3231.85,3232.45,3137.7,3142.95,98709825,13690300000.0,NIFTYINFRA
2015-06-12,3137.4,3155.65,3122.7,3147.85,110440059,10241600000.0,NIFTYINFRA
2015-06-15,3156.6,3180.1,3135.55,3153.3,110552137,9643000000.0,NIFTYINFRA
2015-06-16,3153.25,3172.6,3128.05,3165.1,87638934,11238900000.000002,NIFTYINFRA
2015-06-17,3175.45,3206.3,3157.3,3190.1,79577249,14037100000.0,NIFTYINFRA
2015-06-18,3191.25,3223.05,3186.0,3211.75,72535811,12677800000.0,NIFTYINFRA
2015-06-19,3223.75,3236.85,3205.3,3213.1,99460341,11230000000.0,NIFTYINFRA
2015-06-22,3226.8,3249.2,3208.85,3238.55,106110351,10957500000.0,NIFTYINFRA
2015-06-23,3249.35,3276.5,3240.5,3271.4,95488689,12858699999.999998,NIFTYINFRA
2015-06-24,3273.8,3277.35,3232.05,3244.55,105792768,12206500000.0,NIFTYINFRA
2015-06-25,3232.15,3303.55,3232.15,3295.25,184301162,19992900000.0,NIFTYINFRA
2015-06-26,3284.8,3286.0,3242.3,3260.25,137361572,12092300000.0,NIFTYINFRA
2015-06-29,3209.2,3250.15,3182.6,3245.65,92460977,11959000000.0,NIFTYINFRA
2015-06-30,3242.8,3262.8,3233.3,3254.4,92602409,13886900000.0,NIFTYINFRA
2015-07-01,3260.1,3316.45,3258.95,3305.4,87357034,11959000000.0,NIFTYINFRA
2015-07-02,3316.95,3325.25,3302.35,3313.85,94516110,13637600000.0,NIFTYINFRA
2015-07-03,3314.6,3343.95,3311.0,3321.0,77601495,11077500000.0,NIFTYINFRA
2015-07-06,3272.0,3333.95,3272.0,3329.15,73491761,9431200000.0,NIFTYINFRA
2015-07-07,3336.45,3343.8,3306.0,3325.1,107997604,14202700000.0,NIFTYINFRA
2015-07-08,3290.65,3315.55,3251.3,3301.9,135047968,15908900000.000002,NIFTYINFRA
2015-07-09,3313.8,3351.1,3312.0,3336.5,94134011,14999300000.0,NIFTYINFRA
2015-07-10,3349.15,3353.45,3318.85,3335.45,101188977,15466099999.999998,NIFTYINFRA
2015-07-13,3341.9,3354.2,3317.35,3348.15,68947304,11700500000.0,NIFTYINFRA
2015-07-14,3352.0,3367.6,3345.65,3351.05,115916903,9653800000.0,NIFTYINFRA
2015-07-15,3356.9,3377.85,3356.5,3365.6,78167723,9771600000.0,NIFTYINFRA
2015-07-16,3375.85,3391.25,3360.9,3384.2,66133023,10527700000.0,NIFTYINFRA
2015-07-17,3390.6,3419.55,3389.05,3407.55,81970263,13059100000.0,NIFTYINFRA
2015-07-20,3407.05,3414.45,3389.95,3403.1,59853821,10018100000.0,NIFTYINFRA
2015-07-21,3417.1,3430.2,3378.95,3382.75,68512846,10749800000.0,NIFTYINFRA
2015-07-22,3377.1,3403.6,3364.2,3398.55,77156337,10462400000.0,NIFTYINFRA
2015-07-23,3409.2,3410.15,3366.9,3374.45,70917157,10778599999.999998,NIFTYINFRA
2015-07-24,3376.5,3377.25,3335.85,3341.15,104593967,10697000000.0,NIFTYINFRA
2015-07-27,3327.45,3327.45,3235.85,3241.35,93323900,11595900000.0,NIFTYINFRA
2015-07-28,3248.2,3265.05,3234.9,3246.75,97053903,10291300000.000002,NIFTYINFRA
2015-07-29,3254.95,3279.8,3231.75,3274.45,102659756,11535300000.0,NIFTYINFRA
2015-07-30,3288.05,3310.25,3275.15,3284.25,185376794,16160200000.0,NIFTYINFRA
2015-07-31,3299.75,3313.9,3286.3,3297.6,91081020,13204200000.0,NIFTYINFRA
2015-08-03,3246.5,3308.5,3246.5,3298.65,122520077,13767500000.0,NIFTYINFRA
2015-08-04,3306.95,3314.0,3261.8,3286.2,100011959,13563800000.000002,NIFTYINFRA
2015-08-05,3307.1,3322.95,3302.5,3307.0,104562761,12807400000.0,NIFTYINFRA
2015-08-06,3313.55,3350.15,3301.95,3344.8,146536282,14754200000.0,NIFTYINFRA
2015-08-07,3345.2,3349.4,3308.75,3317.65,129649084,16771099999.999998,NIFTYINFRA
2015-08-10,3316.55,3339.05,3278.8,3294.1,103181924,14088000000.0,NIFTYINFRA
2015-08-11,3302.25,3302.25,3237.5,3255.35,92581545,10379000000.0,NIFTYINFRA
2015-08-12,3240.0,3242.05,3168.1,3184.95,94962624,12480400000.0,NIFTYINFRA
2015-08-13,3201.75,3238.45,3156.4,3165.5,146461989,18532600000.0,NIFTYINFRA
2015-08-14,3191.35,3251.55,3177.3,3246.2,102064584,15875500000.0,NIFTYINFRA
2015-08-17,3245.1,3248.8,3206.1,3222.9,72196411,9429200000.0,NIFTYINFRA
2015-08-18,3242.9,3254.2,3215.8,3222.4,74278386,9881800000.0,NIFTYINFRA
2015-08-19,3219.25,3237.95,3192.85,3229.4,111385866,10085800000.0,NIFTYINFRA
2015-08-20,3219.7,3234.6,3175.7,3182.1,99209152,13070100000.0,NIFTYINFRA
2015-08-21,3137.5,3137.5,3099.15,3123.35,108867712,14769200000.0,NIFTYINFRA
2015-08-24,3035.15,3035.15,2882.7,2902.35,195119444,22888700000.0,NIFTYINFRA
2015-08-25,2936.05,2956.8,2802.5,2915.05,206038329,22858900000.0,NIFTYINFRA
2015-08-26,2914.55,2950.4,2883.1,2911.05,151972159,16844400000.0,NIFTYINFRA
2015-08-27,2969.9,2971.9,2918.15,2961.45,210826157,28544300000.0,NIFTYINFRA
2015-08-28,3005.95,3028.65,2973.5,2991.95,126448141,16362200000.0,NIFTYINFRA
2015-08-31,2994.3,2997.3,2944.6,2952.6,125396246,23469699999.999996,NIFTYINFRA
2015-09-01,2913.1,2931.6,2852.1,2870.9,102896174,14625800000.0,NIFTYINFRA
2015-09-02,2901.4,2901.4,2814.85,2821.5,98007600,16336199999.999998,NIFTYINFRA
2015-09-03,2838.55,2876.9,2838.55,2869.5,81092064,11306199999.999998,NIFTYINFRA
2015-09-04,2855.8,2855.8,2797.1,2815.45,115062724,13020600000.0,NIFTYINFRA
2015-09-07,2823.3,2827.35,2758.1,2764.65,81595631,9203400000.0,NIFTYINFRA
2015-09-08,2776.8,2837.3,2749.55,2831.15,108092635,12019200000.0,NIFTYINFRA
2015-09-09,2875.0,2905.7,2841.9,2891.75,128968492,14806300000.000002,NIFTYINFRA
2015-09-10,2856.95,2917.05,2831.2,2904.95,104617873,12528699999.999998,NIFTYINFRA
2015-09-11,2920.35,2926.4,2877.9,2888.55,81531298,9954300000.0,NIFTYINFRA
2015-09-14,2900.0,2938.45,2885.45,2932.2,92375252,8626300000.0,NIFTYINFRA
2015-09-15,2932.6,2939.75,2888.25,2894.4,81367522,11004400000.0,NIFTYINFRA
2015-09-16,2914.35,2916.2,2880.55,2906.6,74830512,10594200000.0,NIFTYINFRA
2015-09-18,2928.5,2955.95,2906.9,2913.4,137596498,17970000000.0,NIFTYINFRA
2015-09-21,2890.5,2933.65,2889.15,2923.85,134357512,10761700000.0,NIFTYINFRA
2015-09-22,2940.4,2942.1,2810.65,2822.65,137691885,15293300000.0,NIFTYINFRA
2015-09-23,2791.9,2831.4,2775.45,2813.4,148984642,13331199999.999998,NIFTYINFRA
2015-09-24,2809.85,2809.85,2773.3,2776.3,225322672,20674000000.0,NIFTYINFRA
2015-09-28,2781.3,2795.35,2748.25,2752.6,90274753,11440600000.0,NIFTYINFRA
2015-09-29,2723.7,2787.05,2705.65,2756.5,131835848,15298100000.0,NIFTYINFRA
2015-09-30,2791.2,2828.65,2776.45,2825.2,120186734,15487500000.0,NIFTYINFRA
2015-10-01,2850.45,2854.3,2827.65,2840.85,116336282,14100600000.0,NIFTYINFRA
2015-10-05,2863.15,2930.9,2863.15,2928.15,105286073,14598900000.000002,NIFTYINFRA
2015-10-06,2950.2,2950.2,2922.95,2937.15,116819034,14542200000.0,NIFTYINFRA
2015-10-07,2934.65,2942.9,2924.1,2939.05,155269808,11309300000.0,NIFTYINFRA
2015-10-08,2941.85,2945.45,2903.45,2927.25,106898486,10458900000.000002,NIFTYINFRA
2015-10-09,2948.85,2964.2,2928.9,2939.85,85220689,9413600000.0,NIFTYINFRA
2015-10-12,2957.1,2974.2,2945.3,2959.0,132622959,8666700000.0,NIFTYINFRA
2015-10-13,2966.3,2976.55,2936.3,2953.4,118532126,9305600000.0,NIFTYINFRA
2015-10-14,2950.05,2962.35,2940.65,2943.3,84550819,7953300000.0,NIFTYINFRA
2015-10-15,2959.15,2982.1,2955.85,2978.45,92646339,9724500000.0,NIFTYINFRA
2015-10-16,2981.25,3012.65,2965.15,3009.55,105853772,12930100000.0,NIFTYINFRA
2015-10-19,3017.1,3017.1,2994.15,3008.2,70775643,9580200000.0,NIFTYINFRA
2015-10-20,3012.55,3035.0,2993.8,3003.3,144335977,12498699999.999998,NIFTYINFRA
2015-10-21,3009.4,3019.1,2987.35,3000.15,97364362,12177800000.0,NIFTYINFRA
2015-10-23,3020.35,3025.65,2950.2,2953.75,99873982,14283800000.000002,NIFTYINFRA
2015-10-26,2973.45,2973.45,2943.15,2951.1,86052063,11931400000.000002,NIFTYINFRA
2015-10-27,2942.65,2961.05,2926.15,2934.1,111370749,13126000000.0,NIFTYINFRA
2015-10-28,2921.8,2933.1,2902.15,2913.45,113816996,12023900000.000002,NIFTYINFRA
2015-10-29,2912.8,2917.45,2875.15,2881.15,159855539,15411500000.0,NIFTYINFRA
2015-10-30,2884.1,2925.75,2822.9,2833.7,129755050,22180100000.000004,NIFTYINFRA
2015-11-02,2822.6,2824.65,2792.35,2821.4,101780029,16546900000.0,NIFTYINFRA
2015-11-03,2839.0,2844.9,2806.8,2817.6,98961563,13564800000.0,NIFTYINFRA
2015-11-04,2840.4,2840.4,2805.2,2809.05,79723439,11808699999.999998,NIFTYINFRA
2015-11-05,2808.45,2814.85,2772.25,2777.8,81704761,11749100000.0,NIFTYINFRA
2015-11-06,2785.2,2791.8,2753.0,2775.85,104751236,12251000000.0,NIFTYINFRA
2015-11-09,2716.2,2750.8,2693.05,2740.6,104036975,13751199999.999998,NIFTYINFRA
2015-11-10,2733.65,2738.05,2686.4,2689.95,103496872,12191500000.0,NIFTYINFRA
2015-11-11,2720.75,2723.3,2709.9,2715.05,12090612,1373200000.0,NIFTYINFRA
2015-11-13,2694.05,2703.05,2678.15,2687.35,79282275,11646700000.0,NIFTYINFRA
2015-11-16,2683.7,2720.15,2680.45,2714.95,123893964,10947600000.0,NIFTYINFRA
2015-11-17,2730.9,2731.75,2697.15,2712.7,87244121,9252700000.0,NIFTYINFRA
2015-11-18,2716.2,2747.5,2697.95,2701.65,140618251,10966800000.0,NIFTYINFRA
2015-11-19,2720.95,2734.6,2706.75,2730.85,87300927,7743600000.0,NIFTYINFRA
2015-11-20,2730.5,2752.15,2716.95,2744.35,97116116,10566000000.0,NIFTYINFRA
2015-11-23,2751.65,2765.1,2743.75,2749.1,61536517,7973600000.0,NIFTYINFRA
2015-11-24,2742.95,2747.55,2724.55,2729.4,119868948,10762000000.0,NIFTYINFRA
2015-11-26,2738.6,2756.0,2735.45,2748.4,211066171,21300600000.0,NIFTYINFRA
2015-11-27,2754.45,2781.15,2747.15,2767.95,158051442,12583900000.000002,NIFTYINFRA
2015-11-30,2770.35,2786.7,2766.2,2771.4,145907934,16366199999.999998,NIFTYINFRA
2015-12-01,2779.2,2784.35,2748.7,2754.15,103789487,11183200000.0,NIFTYINFRA
2015-12-02,2763.6,2763.65,2733.05,2744.75,125826178,11019500000.0,NIFTYINFRA
2015-12-03,2736.0,2753.5,2724.7,2729.25,166561986,15113400000.0,NIFTYINFRA
