Date,Open,High,Low,Close,Volume,Turnover
2007-01-02,5440.8,5538.1,5432.85,5519.9,10835036,6450300000.0
2007-01-03,5529.5,5621.9,5505.25,5609.7,26693531,11317500000.0
2007-01-04,5609.15,5629.9,5515.75,5527.9,24727217,10494300000.0
2007-01-05,5518.05,5570.35,5481.55,5501.9,14948600,7763000000.0
2007-01-08,5490.3,5500.8,5327.8,5370.3,15225402,10867000000.0
2007-01-09,5398.15,5412.1,5309.95,5356.15,15462643,9555800000.0
2007-01-10,5333.35,5349.35,5276.15,5322.25,17005010,10456900000.0
2007-01-11,5283.65,5513.9,5230.95,5472.55,24250859,18290100000.0
2007-01-12,5520.05,5608.5,5517.2,5598.05,17519899,11182200000.0
2007-01-15,5640.05,5694.6,5608.2,5632.55,12872334,10646000000.0
2007-01-16,5740.3,5740.3,5635.4,5643.5,15965025,9115700000.0
2007-01-17,5673.6,5683.45,5612.4,5625.4,15219485,9793300000.0
2007-01-18,5633.4,5692.6,5633.4,5665.7,15510781,9241700000.0
2007-01-19,5677.4,5686.7,5545.1,5565.3,22028147,13059300000.0
2007-01-22,5561.9,5622.2,5540.85,5608.8,15242235,9438800000.0
2007-01-23,5611.25,5611.25,5561.7,5571.95,12619967,7270800000.0
2007-01-24,5572.55,5612.4,5569.25,5601.35,11163183,6172500000.0
2007-01-25,5700.0,5700.0,5603.35,5662.1,22603776,11691199999.999998
2007-01-29,5655.0,5663.75,5573.45,5597.4,15150252,8407500000.0
2007-01-31,5597.5,5626.95,5517.95,5535.0,12055069,7927000000.0
2007-02-01,5554.45,5595.85,5541.3,5588.7,10494868,5583000000.0
2007-02-02,5596.35,5672.8,5596.35,5655.4,15065539,9712500000.0
2007-02-05,5667.65,5671.65,5622.0,5646.3,8851096,5790700000.000001
2007-02-06,5647.7,5671.7,5621.1,5651.65,12514931,7160200000.0
2007-02-07,5642.3,5754.6,5642.3,5740.85,14261127,10063100000.0
2007-02-08,5751.35,5763.75,5689.6,5736.3,12824292,7752400000.0
2007-02-09,5734.95,5770.95,5672.8,5694.65,12151043,7242800000.0
2007-02-12,5623.95,5684.4,5581.2,5597.6,7456268,4694200000.0
2007-02-13,5599.1,5687.35,5517.0,5573.75,13546758,7796100000.0
2007-02-14,5573.65,5623.25,5512.5,5606.6,12293413,7706200000.0
2007-02-15,5653.85,5842.65,5641.9,5805.65,12472286,8521000000.0
2007-02-19,5839.65,5857.1,5815.25,5830.55,8792638,5651799999.999999
2007-02-20,5819.7,5855.65,5751.45,5766.1,7625537,5255300000.0
2007-02-21,5765.5,5791.95,5695.45,5705.55,10693146,7920000000.0
2007-02-22,5727.85,5779.3,5636.8,5660.6,16963508,11180000000.0
2007-02-23,5678.8,5694.05,5511.4,5527.5,14072059,9303000000.0
2007-02-26,5522.5,5558.4,5362.65,5521.6,16760883,10552200000.0
2007-02-27,5526.7,5540.35,5404.45,5446.1,13047766,8432000000.0
2007-02-28,5301.75,5347.75,5066.65,5129.6,21780333,16077900000.0
2007-03-01,5170.2,5387.85,5144.25,5346.3,17854230,11810200000.0
2007-03-02,5361.4,5377.7,5172.75,5200.6,12776127,8887200000.0
2007-03-05,5112.6,5118.45,4929.65,4953.65,12888117,8828400000.0
2007-03-06,5198.25,5250.1,5007.0,5189.15,14222560,9315800000.0
2007-03-07,5243.35,5282.4,5008.0,5098.05,15932604,9151800000.0
2007-03-08,5118.7,5256.2,5118.7,5225.0,11039195,7536600000.0
2007-03-09,5230.8,5274.4,5158.25,5189.55,9075802,5939299999.999999
