Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,NIITTECH,EQ,179.7,181.4,182.0,177.15,178.25,179.25,179.72,222777,4003692675000.0,7903.875364006989,89611,0.4022
2010-01-05,NIITTECH,EQ,179.25,179.9,182.25,177.8,178.65,178.6,180.16,459899,8285753305000.0,7903.875364006989,182677,0.3972
2010-01-06,NIITTECH,EQ,178.6,179.8,181.5,176.0,177.0,176.75,178.85,252438,4514728700000.0,7903.875364006989,107692,0.4266
2010-01-07,NIITTECH,EQ,176.75,178.0,179.5,173.0,174.0,174.15,175.28,272994,4785157150000.0,7903.875364006989,128849,0.47200000000000003
2010-01-08,NIITTECH,EQ,174.15,176.0,177.9,174.15,175.9,175.65,176.0,180602,3178636645000.0,7903.875364006989,67469,0.3736
2010-01-11,NIITTECH,EQ,175.65,176.8,180.4,175.7,179.45,178.95,178.63,260865,4659787155000.0,7903.875364006989,118164,0.45299999999999996
2010-01-12,NIITTECH,EQ,178.95,181.0,188.25,179.65,185.8,185.05,184.65,1057196,19520875555000.0,7903.875364006989,340513,0.3221
2010-01-13,NIITTECH,EQ,185.05,184.0,185.9,177.1,181.2,180.95,181.1,653824,11840520150000.0,7903.875364006989,290669,0.4446
2010-01-14,NIITTECH,EQ,180.95,182.0,186.0,182.0,185.4,185.0,184.4,284235,5241189295000.0,7903.875364006989,132516,0.4662
2010-01-15,NIITTECH,EQ,185.0,186.8,188.4,180.0,186.35,186.75,185.62,884563,16419076040000.0,7903.875364006989,218949,0.2475
2010-01-18,NIITTECH,EQ,186.75,187.0,199.6,186.85,198.85,197.75,193.66,1260657,24413611870000.0,7903.875364006989,444080,0.3523
2010-01-19,NIITTECH,EQ,197.75,199.9,200.0,190.05,197.25,195.7,194.95,457396,8916795790000.0,7903.875364006989,188033,0.4111
2010-01-20,NIITTECH,EQ,195.7,197.95,204.0,194.0,198.5,199.1,200.21,804593,16108684215000.0,7903.875364006989,317904,0.3951
2010-01-21,NIITTECH,EQ,199.1,197.9,201.5,190.0,192.5,191.95,196.16,370531,7268480934999.999,7903.875364006989,149609,0.40380000000000005
2010-01-22,NIITTECH,EQ,191.95,190.2,190.2,181.35,186.0,186.35,186.59,257692,4808151835000.0,7903.875364006989,130265,0.5055
2010-01-25,NIITTECH,EQ,186.35,185.0,194.0,181.4,189.1,190.0,189.87,423406,8039376880000.0,7903.875364006989,135598,0.32030000000000003
2010-01-27,NIITTECH,EQ,190.0,186.0,191.45,172.6,174.2,175.2,182.43,323605,5903369565000.0,7903.875364006989,173215,0.5353
2010-01-28,NIITTECH,EQ,175.2,175.2,180.5,171.1,173.5,173.45,176.59,284902,5031036470000.0,7903.875364006989,124940,0.4385
2010-01-29,NIITTECH,EQ,173.45,171.4,172.5,167.0,169.65,169.8,169.58,266562,4520377045000.0,7903.875364006989,144750,0.543
2010-02-01,NIITTECH,EQ,169.8,168.95,172.0,167.7,168.0,168.75,170.04,331163,5631167820000.0,7903.875364006989,195209,0.5895
2010-02-02,NIITTECH,EQ,168.75,171.0,172.9,166.1,168.05,168.05,170.37,254800,4341054885000.0,7903.875364006989,155825,0.6116
2010-02-03,NIITTECH,EQ,168.05,170.0,171.0,167.6,170.0,169.85,169.42,193114,3271708165000.0,7903.875364006989,93001,0.4816
2010-02-04,NIITTECH,EQ,169.85,182.0,182.0,163.5,166.0,165.45,169.33,350158,5929270750000.0,7903.875364006989,186388,0.5323
2010-02-05,NIITTECH,EQ,165.45,162.0,167.65,157.0,164.9,163.9,161.73,251885,4073642679999.9995,7903.875364006989,105618,0.4193
2010-02-06,NIITTECH,EQ,163.9,164.0,166.5,162.25,164.2,163.95,163.83,41581,681211340000.0,7903.875364006989,20226,0.4864
2010-02-08,NIITTECH,EQ,163.95,165.85,167.9,157.5,158.8,158.4,161.11,264005,4253408060000.0,7903.875364006989,138158,0.5233
2010-02-09,NIITTECH,EQ,158.4,158.8,161.55,157.0,158.0,158.7,159.86,157282,2514313030000.0,7903.875364006989,73491,0.4673
2010-02-10,NIITTECH,EQ,158.7,161.8,174.25,160.0,170.7,171.05,169.6,883724,14987934665000.0,7903.875364006989,257199,0.29100000000000004
2010-02-11,NIITTECH,EQ,171.05,173.0,175.45,168.5,172.0,170.8,172.44,384841,6636200320000.0,7903.875364006989,80897,0.2102
2010-02-15,NIITTECH,EQ,170.8,172.0,172.95,168.0,171.95,171.05,170.59,167120,2850921165000.0,7903.875364006989,51302,0.307
2010-02-16,NIITTECH,EQ,171.05,173.95,173.95,166.1,172.5,170.5,169.33,94737,1604165730000.0,7903.875364006989,22914,0.24190000000000003
2010-02-17,NIITTECH,EQ,170.5,172.0,172.7,169.5,172.6,171.25,171.21,107865,1846775905000.0,7903.875364006989,36907,0.3422
2010-02-18,NIITTECH,EQ,171.25,172.0,177.9,170.1,175.0,175.15,175.2,270095,4732062895000.0,7903.875364006989,111070,0.4112
2010-02-19,NIITTECH,EQ,175.15,174.6,177.5,171.05,173.95,175.25,174.31,182385,3179091095000.0,7903.875364006989,65682,0.3601
2010-02-22,NIITTECH,EQ,175.25,177.4,181.5,175.7,179.25,179.0,178.94,364790,6527527205000.0,7903.875364006989,141976,0.38920000000000005
2010-02-23,NIITTECH,EQ,179.0,179.0,203.7,175.0,176.65,177.35,180.01,338344,6090369875000.0,7903.875364006989,127633,0.3772
2010-02-24,NIITTECH,EQ,177.35,176.95,178.65,169.2,172.4,171.95,172.58,210516,3633043315000.0,7903.875364006989,97343,0.46240000000000003
2010-02-25,NIITTECH,EQ,171.95,171.95,174.75,166.0,166.5,166.95,169.25,226403,3831901765000.0,7903.875364006989,119862,0.5294
2010-02-26,NIITTECH,EQ,166.95,167.65,174.1,166.25,172.7,171.85,170.62,261297,4458291235000.0,7903.875364006989,113964,0.4361
2010-03-02,NIITTECH,EQ,171.85,174.65,178.8,170.0,178.5,176.75,174.77,146637,2562817890000.0,7903.875364006989,67892,0.46299999999999997
2010-03-03,NIITTECH,EQ,176.75,179.2,180.45,174.8,177.1,177.15,177.8,153553,2730205640000.0,7903.875364006989,61351,0.3995
2010-03-04,NIITTECH,EQ,177.15,177.15,177.45,173.25,175.0,174.7,174.51,152316,2658083315000.0,7903.875364006989,73115,0.48
2010-03-05,NIITTECH,EQ,174.7,175.3,179.0,174.5,174.5,175.05,176.26,121484,2141272745000.0,7903.875364006989,49980,0.4114
2010-03-08,NIITTECH,EQ,175.05,182.4,182.9,173.2,174.65,174.2,174.98,198551,3474194760000.0,7903.875364006989,125076,0.6299
2010-03-09,NIITTECH,EQ,174.2,175.0,175.0,172.0,172.25,172.95,173.9,129824,2257654810000.0,7903.875364006989,70675,0.5444
2010-03-10,NIITTECH,EQ,172.95,172.95,174.3,170.5,173.25,173.35,172.83,93725,1619826020000.0,7903.875364006989,40003,0.4268
2010-03-11,NIITTECH,EQ,173.35,175.8,175.8,158.1,173.4,172.85,170.9,178599,3052227320000.0,7903.875364006989,67534,0.37810000000000005
2010-03-12,NIITTECH,EQ,172.85,174.0,174.0,171.15,172.0,172.6,172.89,134748,2329631180000.0,7903.875364006989,95193,0.7065
2010-03-15,NIITTECH,EQ,172.6,173.5,173.9,168.15,170.05,170.6,170.56,71971,1227553165000.0,7903.875364006989,22451,0.3119
2010-03-16,NIITTECH,EQ,170.6,169.4,173.0,168.5,171.1,172.1,171.68,125046,2146814450000.0,7903.875364006989,47163,0.3772
2010-03-17,NIITTECH,EQ,172.1,174.45,174.45,169.8,170.0,170.75,172.15,97162,1672616705000.0,7903.875364006989,49306,0.5075000000000001
2010-03-18,NIITTECH,EQ,170.75,172.95,173.0,170.0,171.5,170.95,171.26,96507,1652783285000.0,7903.875364006989,41663,0.43170000000000003
2010-03-19,NIITTECH,EQ,170.95,169.0,173.25,169.0,171.0,171.55,172.19,149715,2577943460000.0,7903.875364006989,68944,0.46049999999999996
2010-03-22,NIITTECH,EQ,171.55,168.1,173.8,163.3,167.55,168.75,170.82,155022,2648049720000.0,7903.875364006989,34568,0.223
2010-03-23,NIITTECH,EQ,168.75,169.2,173.8,169.2,170.9,171.65,171.76,303652,5215382030000.0,7903.875364006989,207992,0.685
2010-03-25,NIITTECH,EQ,171.65,171.5,172.45,168.5,170.85,170.65,170.16,83564,1421894840000.0,7903.875364006989,49637,0.594
2010-03-26,NIITTECH,EQ,170.65,172.9,173.5,168.6,169.0,169.5,170.97,101542,1736110955000.0,7903.875364006989,52671,0.5186999999999999
2010-03-29,NIITTECH,EQ,169.5,170.35,184.3,170.0,177.3,177.55,178.26,454308,8098429550000.0,7903.875364006989,238597,0.5252
2010-03-30,NIITTECH,EQ,177.55,178.0,178.0,171.0,171.9,171.5,173.23,100184,1735440960000.0002,7903.875364006989,49167,0.4908
