Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,NTPC,EQ,235.65,237.4,238.9,230.7,231.85,231.85,233.38,5258071,122712961565000.02,32482.933605125218,3367827,0.6405
2010-01-05,NTPC,EQ,231.85,234.2,234.85,228.15,230.0,229.3,230.76,6832948,157676687680000.0,32482.933605125218,4189493,0.6131000000000001
2010-01-06,NTPC,EQ,229.3,230.3,234.9,227.65,228.0,228.2,230.57,6938330,159979128895000.0,32482.933605125218,3983415,0.5740999999999999
2010-01-07,NTPC,EQ,228.2,229.8,229.8,225.25,229.35,228.25,227.25,5421593,123206984359999.98,32482.933605125218,2824181,0.5209
2010-01-08,NTPC,EQ,228.25,229.8,233.6,229.2,231.2,231.1,231.84,6201397,143770698785000.0,32482.933605125218,3049614,0.4918
2010-01-11,NTPC,EQ,231.1,233.1,235.35,232.0,233.6,232.95,233.65,3145534,73495325910000.0,32482.933605125218,1482440,0.47130000000000005
2010-01-12,NTPC,EQ,232.95,234.0,234.6,228.8,229.2,229.4,231.14,3162233,73090576215000.0,32482.933605125218,1825135,0.5772
2010-01-13,NTPC,EQ,229.4,228.1,231.45,227.1,229.6,229.4,229.18,4204686,96363624640000.0,32482.933605125218,2859786,0.6801
2010-01-14,NTPC,EQ,229.4,230.0,232.7,230.0,230.9,231.0,231.11,3003615,69417847145000.01,32482.933605125218,1804817,0.6009000000000001
2010-01-15,NTPC,EQ,231.0,234.5,234.5,231.0,232.25,232.25,232.24,3084157,71625882920000.0,32482.933605125218,1955425,0.634
2010-01-18,NTPC,EQ,232.25,232.25,233.4,230.7,230.75,231.25,231.94,2074098,48106363465000.0,32482.933605125218,1230875,0.5935
2010-01-19,NTPC,EQ,231.25,232.25,232.8,227.1,227.45,227.7,229.51,3206914,73600913035000.0,32482.933605125218,2074565,0.6469
2010-01-20,NTPC,EQ,227.7,230.1,232.5,228.6,229.35,229.4,230.49,5252486,121064733725000.0,32482.933605125218,3313579,0.6309
2010-01-21,NTPC,EQ,229.4,230.0,230.95,222.65,224.05,223.5,226.96,4679920,106213390400000.0,32482.933605125218,3538107,0.756
2010-01-22,NTPC,EQ,223.5,220.3,225.4,219.6,222.3,222.3,222.43,5796323,128928353445000.0,32482.933605125218,3720380,0.6419
2010-01-25,NTPC,EQ,222.3,223.0,224.5,220.6,224.2,223.8,222.96,2245167,50058950260000.0,32482.933605125218,1210334,0.5391
2010-01-27,NTPC,EQ,223.8,223.0,225.0,215.0,216.35,216.5,220.63,6111695,134840321059999.98,32482.933605125218,3778867,0.6183
2010-01-28,NTPC,EQ,216.5,218.4,221.5,212.05,216.75,214.05,217.03,9158714,198771381150000.0,32482.933605125218,5852518,0.639
2010-01-29,NTPC,EQ,214.05,214.45,215.9,210.35,214.8,214.3,213.73,5871472,125492015405000.0,32482.933605125218,3204879,0.5458
2010-02-01,NTPC,EQ,214.3,217.0,217.0,210.6,211.3,211.3,213.22,4985171,106291606835000.0,32482.933605125218,2976635,0.5971000000000001
2010-02-02,NTPC,EQ,211.3,212.25,213.0,205.7,205.8,206.0,207.5,4836726,100359933795000.0,32482.933605125218,2540284,0.5252
2010-02-03,NTPC,EQ,206.0,208.0,211.9,206.0,209.45,209.85,209.59,5096222,106811790740000.0,32482.933605125218,2676218,0.5251
2010-02-04,NTPC,EQ,209.85,210.8,210.8,206.55,206.75,207.7,208.04,2962497,61631749740000.0,32482.933605125218,1980705,0.6686
2010-02-05,NTPC,EQ,207.7,206.0,210.7,203.55,204.65,204.3,205.3,3164582,64968112629999.99,32482.933605125218,1636578,0.5172
2010-02-06,NTPC,EQ,204.3,204.3,206.5,204.05,205.05,205.1,204.97,882773,18094490370000.0,32482.933605125218,506166,0.5734
2010-02-08,NTPC,EQ,205.1,208.0,208.0,201.25,201.8,202.4,203.07,2364406,48013199175000.0,32482.933605125218,1340210,0.5668
2010-02-09,NTPC,EQ,202.4,202.4,205.4,202.0,203.2,204.0,203.72,1778473,36231467485000.0,32482.933605125218,795503,0.4473
2010-02-10,NTPC,EQ,204.0,205.35,206.0,200.1,200.1,200.5,201.88,1786903,36073740310000.0,32482.933605125218,1036846,0.5802
2010-02-11,NTPC,EQ,200.5,201.0,204.0,200.5,203.5,203.25,202.39,1682530,34053150580000.0,32482.933605125218,845776,0.5027
2010-02-15,NTPC,EQ,203.25,204.0,204.45,201.1,201.4,201.55,201.92,999959,20190898990000.0,32482.933605125218,558191,0.5582
2010-02-16,NTPC,EQ,201.55,201.9,203.2,200.75,203.1,202.85,202.34,1016551,20568941555000.0,32482.933605125218,628378,0.6181
2010-02-17,NTPC,EQ,202.85,204.5,204.7,201.15,201.9,201.8,203.43,1943199,39530252735000.0,32482.933605125218,1292221,0.665
2010-02-18,NTPC,EQ,201.8,201.8,205.9,201.0,204.85,205.1,204.52,2245131,45917258380000.0,32482.933605125218,1060983,0.47259999999999996
2010-02-19,NTPC,EQ,205.1,202.0,204.85,198.85,201.3,201.8,201.12,4422723,88951653570000.0,32482.933605125218,2227787,0.5037
2010-02-22,NTPC,EQ,201.8,204.9,204.9,201.15,202.05,202.25,202.19,4212465,85170655410000.0,32482.933605125218,2812738,0.6677
2010-02-23,NTPC,EQ,202.25,202.0,202.6,201.25,201.65,201.65,201.92,3543012,71540350770000.0,32482.933605125218,2609277,0.7365
2010-02-24,NTPC,EQ,201.65,197.0,204.95,197.0,204.0,204.4,203.18,5342536,108548582070000.0,32482.933605125218,4047812,0.7576999999999999
2010-02-25,NTPC,EQ,204.4,204.9,204.9,199.4,199.7,200.1,202.0,6802728,137414336409999.98,32482.933605125218,4414301,0.6489
2010-02-26,NTPC,EQ,200.1,200.7,204.5,200.4,203.0,203.05,202.7,10841732,219758314285000.0,32482.933605125218,6103755,0.563
2010-03-02,NTPC,EQ,203.05,203.4,205.0,202.25,202.75,202.75,203.16,2202097,44737242225000.0,32482.933605125218,1564430,0.7104
2010-03-03,NTPC,EQ,202.75,202.8,208.15,202.75,206.5,207.3,205.61,6687758,137504618515000.02,32482.933605125218,4792249,0.7166
2010-03-04,NTPC,EQ,207.3,208.0,208.35,206.2,207.6,206.85,207.27,4672537,96847147720000.0,32482.933605125218,3062418,0.6554000000000001
2010-03-05,NTPC,EQ,206.85,207.9,208.2,205.4,205.8,205.95,206.46,3458840,71412600275000.0,32482.933605125218,2560241,0.7402
2010-03-08,NTPC,EQ,205.95,205.05,207.9,203.7,205.55,205.15,205.68,3224373,66318497120000.01,32482.933605125218,2367315,0.7342000000000001
2010-03-09,NTPC,EQ,205.15,205.4,205.85,202.4,202.55,203.0,203.89,3182707,64892332915000.0,32482.933605125218,2517055,0.7909
2010-03-10,NTPC,EQ,203.0,203.8,204.15,199.55,200.4,200.4,201.18,6485640,130476850600000.0,32482.933605125218,4660299,0.7186
2010-03-11,NTPC,EQ,200.4,200.7,203.6,199.55,202.65,202.75,202.27,2673155,54068577240000.0,32482.933605125218,1812638,0.6781
2010-03-12,NTPC,EQ,202.75,203.5,203.7,199.9,200.05,200.1,200.75,3083040,61892859945000.01,32482.933605125218,2140322,0.6942
2010-03-15,NTPC,EQ,200.1,199.4,202.25,199.4,202.05,201.65,201.2,2384017,47966723200000.0,32482.933605125218,1667981,0.6997
2010-03-16,NTPC,EQ,201.65,201.85,203.85,201.65,203.0,203.05,202.59,1710291,34649609655000.0,32482.933605125218,1018542,0.5955
2010-03-17,NTPC,EQ,203.05,203.5,205.25,202.8,204.6,204.1,204.02,2929652,59771835090000.0,32482.933605125218,1684118,0.5749000000000001
2010-03-18,NTPC,EQ,204.1,203.5,203.5,201.1,201.3,201.45,201.59,1740682,35090660005000.0,32482.933605125218,1088074,0.6251
2010-03-19,NTPC,EQ,201.45,202.95,203.5,201.15,202.5,202.8,202.32,1963494,39725220435000.0,32482.933605125218,1558550,0.7938
2010-03-22,NTPC,EQ,202.8,203.0,203.0,200.6,202.0,201.8,201.67,2027886,40896551595000.0,32482.933605125218,1555377,0.767
2010-03-23,NTPC,EQ,201.8,203.5,204.05,201.55,203.5,203.55,202.84,2664202,54041967879999.99,32482.933605125218,2093055,0.7856000000000001
2010-03-25,NTPC,EQ,203.55,203.55,203.55,198.05,200.45,200.65,201.47,7842057,157993571450000.0,32482.933605125218,4921888,0.6276
2010-03-26,NTPC,EQ,200.65,201.2,203.2,201.05,202.5,202.55,202.51,1883463,38141988550000.0,32482.933605125218,1390185,0.7381000000000001
2010-03-29,NTPC,EQ,202.55,202.55,203.9,201.45,203.0,203.2,202.85,2250388,45648394230000.0,32482.933605125218,1729804,0.7687
2010-03-30,NTPC,EQ,203.2,203.05,203.75,202.6,203.05,203.0,203.18,2092651,42517727610000.0,32482.933605125218,1659924,0.7931999999999999
2010-03-31,NTPC,EQ,203.0,203.0,208.2,202.7,207.0,207.25,206.5,5499044,113557472515000.02,32482.933605125218,3760682,0.6839000000000001
2010-04-01,NTPC,EQ,207.25,207.25,208.7,205.85,207.25,207.7,207.24,3039634,62993105550000.0,32482.933605125218,2354981,0.7748
2010-04-05,NTPC,EQ,207.7,208.0,209.35,206.5,208.5,209.0,208.42,2793961,58231231985000.0,32482.933605125218,2316348,0.8291
2010-04-06,NTPC,EQ,209.0,210.1,211.25,207.25,209.3,209.85,209.27,4440911,92934984195000.0,32482.933605125218,3328517,0.7495
2010-04-07,NTPC,EQ,209.85,210.0,211.95,209.1,211.0,211.45,210.94,3506552,73967746975000.0,32482.933605125218,2515982,0.7175
2010-04-08,NTPC,EQ,211.45,211.95,212.4,209.25,210.0,210.4,210.35,2220956,46717839945000.0,32482.933605125218,1765481,0.7948999999999999
2010-04-09,NTPC,EQ,210.4,210.4,212.25,209.75,210.7,211.7,211.4,2158626,45633581410000.0,32482.933605125218,1452496,0.6729
2010-04-12,NTPC,EQ,211.7,209.7,212.55,207.5,207.5,207.9,209.24,1867414,39074380650000.0,32482.933605125218,1378326,0.7381000000000001
2010-04-13,NTPC,EQ,207.9,209.5,210.25,207.3,210.0,209.3,208.41,1835795,38259596995000.0,32482.933605125218,1446319,0.7878000000000001
2010-04-15,NTPC,EQ,209.3,212.0,212.0,207.9,209.0,209.4,210.16,2532092,53215074705000.0,32482.933605125218,1971707,0.7787000000000001
2010-04-16,NTPC,EQ,209.4,208.4,209.55,206.9,207.0,207.45,208.29,1391744,28988426939999.996,32482.933605125218,1010152,0.7258
2010-04-19,NTPC,EQ,207.45,205.8,208.9,203.2,206.15,206.35,205.69,2416640,49708330080000.0,32482.933605125218,1775730,0.7348
2010-04-20,NTPC,EQ,206.35,206.5,208.5,204.55,206.0,205.5,205.73,1705877,35095398185000.004,32482.933605125218,1183066,0.6935
2010-04-21,NTPC,EQ,205.5,206.2,207.5,205.6,206.75,206.8,206.54,1411348,29150010845000.0,32482.933605125218,1156275,0.8193000000000001
2010-04-22,NTPC,EQ,206.8,206.0,208.0,205.1,207.1,206.65,206.64,1455061,30067810585000.004,32482.933605125218,1017624,0.6994
2010-04-23,NTPC,EQ,206.65,208.0,208.0,204.25,205.0,204.8,206.39,2183184,45057913560000.0,32482.933605125218,1693812,0.7758
2010-04-26,NTPC,EQ,204.8,206.8,206.8,204.25,204.6,204.8,205.85,868843,17885248235000.0,32482.933605125218,510943,0.5881000000000001
2010-04-27,NTPC,EQ,204.8,204.8,206.8,204.1,206.75,206.45,206.23,1171300,24155142905000.0,32482.933605125218,858903,0.7333
2010-04-28,NTPC,EQ,206.45,205.05,206.9,204.35,206.9,206.15,205.7,2346741,48272432365000.0,32482.933605125218,1702646,0.7255
2010-04-29,NTPC,EQ,206.15,205.4,207.7,202.9,203.85,203.2,204.32,2820107,57621142420000.01,32482.933605125218,2012213,0.7134999999999999
2010-04-30,NTPC,EQ,203.2,204.0,209.1,203.6,209.0,207.55,206.41,3849685,79463088885000.0,32482.933605125218,3084304,0.8012
2010-05-03,NTPC,EQ,207.55,206.4,208.0,204.55,205.05,204.95,205.44,689842,14172350625000.0,32482.933605125218,433277,0.6281
2010-05-04,NTPC,EQ,204.95,204.95,206.35,203.5,204.3,204.1,204.98,1791248,36717196755000.0,32482.933605125218,1307480,0.7299
2010-05-05,NTPC,EQ,204.1,201.0,205.95,201.0,205.0,205.15,202.88,2738863,55565310815000.0,32482.933605125218,2198343,0.8026000000000001
2010-05-06,NTPC,EQ,205.15,205.9,205.9,203.0,204.35,204.05,204.19,1737842,35484819360000.0,32482.933605125218,1322592,0.7611
2010-05-07,NTPC,EQ,204.05,204.05,206.0,201.2,202.0,202.6,203.45,7200734,146501226460000.0,32482.933605125218,5050309,0.7014
2010-05-10,NTPC,EQ,202.6,204.0,205.95,203.0,205.4,205.25,204.95,1780205,36486137200000.0,32482.933605125218,1179201,0.6624
2010-05-11,NTPC,EQ,205.25,206.0,206.0,203.15,204.6,204.9,204.2,2485430,50753340450000.0,32482.933605125218,1977242,0.7955
2010-05-12,NTPC,EQ,204.9,204.5,206.5,204.05,206.1,206.25,205.54,1968672,40464731130000.0,32482.933605125218,1584451,0.8048000000000001
2010-05-13,NTPC,EQ,206.25,205.5,208.45,205.5,207.0,207.75,207.36,3376878,70023560915000.0,32482.933605125218,2732507,0.8092
2010-05-14,NTPC,EQ,207.75,207.75,208.2,205.15,206.0,205.85,207.02,2555638,52906390205000.0,32482.933605125218,1838888,0.7195
2010-05-17,NTPC,EQ,205.85,204.05,205.85,202.0,203.1,204.0,203.42,1982160,40320411735000.0,32482.933605125218,1208057,0.6095
2010-05-18,NTPC,EQ,204.0,203.0,205.85,202.0,205.75,205.15,204.21,2349983,47988884915000.0,32482.933605125218,1779730,0.7573000000000001
