Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,ONGC,EQ,1178.0,1177.0,1193.0,1176.0,1188.1,1187.45,1187.47,317627,37717163085000.0,55024.67326732673,163497,0.5147
2010-01-05,ONGC,EQ,1187.45,1192.1,1215.0,1189.15,1204.8,1208.25,1203.53,776232,93421701575000.0,55024.67326732673,432710,0.5574
2010-01-06,ONGC,EQ,1208.25,1212.1,1227.0,1207.2,1227.0,1223.5,1219.3,700615,85425828455000.0,55024.67326732673,332922,0.47520000000000007
2010-01-07,ONGC,EQ,1223.5,1221.0,1234.9,1210.0,1221.35,1224.8,1225.0,1065756,130555592084999.98,55024.67326732673,715997,0.6718000000000001
2010-01-08,ONGC,EQ,1224.8,1225.0,1238.6,1210.0,1218.0,1215.7,1226.93,946442,116121808900000.0,55024.67326732673,587183,0.6204
2010-01-11,ONGC,EQ,1215.7,1230.35,1232.9,1213.0,1216.0,1216.5,1218.04,846341,103088089125000.0,55024.67326732673,668207,0.7895000000000001
2010-01-12,ONGC,EQ,1216.5,1205.5,1217.1,1187.0,1194.0,1190.95,1197.05,655492,78465634795000.0,55024.67326732673,422289,0.6442
2010-01-13,ONGC,EQ,1190.95,1189.0,1206.45,1180.0,1198.8,1195.3,1190.29,532363,63366491625000.0,55024.67326732673,342133,0.6426999999999999
2010-01-14,ONGC,EQ,1195.3,1201.95,1246.75,1197.0,1229.0,1231.75,1233.84,1430714,176527413975000.0,55024.67326732673,855606,0.598
2010-01-15,ONGC,EQ,1231.75,1231.75,1237.4,1202.2,1209.6,1209.8,1210.37,1424450,172411161130000.0,55024.67326732673,1008101,0.7077
2010-01-18,ONGC,EQ,1209.8,1208.7,1223.0,1201.15,1210.0,1212.55,1211.72,530375,64266576520000.01,55024.67326732673,296957,0.5599000000000001
2010-01-19,ONGC,EQ,1212.55,1212.0,1216.9,1188.0,1198.0,1196.8,1195.76,971740,116197152459999.98,55024.67326732673,687824,0.7078
2010-01-20,ONGC,EQ,1196.8,1201.9,1214.8,1158.0,1160.75,1161.15,1177.07,1352219,159165594880000.0,55024.67326732673,903399,0.6681
2010-01-21,ONGC,EQ,1161.15,1165.0,1176.6,1131.1,1140.4,1139.95,1154.85,932365,107674520309999.98,55024.67326732673,486842,0.5222
2010-01-22,ONGC,EQ,1139.95,1129.4,1129.4,1100.0,1114.05,1114.5,1112.98,1746627,194396197485000.0,55024.67326732673,1236876,0.7081999999999999
2010-01-25,ONGC,EQ,1114.5,1121.1,1126.8,1100.5,1118.0,1121.05,1114.89,561441,62594244360000.0,55024.67326732673,312523,0.5566
2010-01-27,ONGC,EQ,1121.05,1114.4,1117.8,1102.8,1110.0,1108.9,1109.52,606291,67269368360000.0,55024.67326732673,360821,0.5951
2010-01-28,ONGC,EQ,1108.9,1119.0,1133.6,1075.0,1120.0,1102.35,1103.75,1576260,173979433600000.0,55024.67326732673,1068262,0.6777
2010-01-29,ONGC,EQ,1102.35,1101.1,1120.0,1090.0,1103.7,1096.4,1099.7,804619,88484267770000.0,55024.67326732673,441520,0.5487
2010-02-01,ONGC,EQ,1096.4,1086.0,1108.75,1086.0,1102.0,1101.55,1101.87,449729,49554362310000.0,55024.67326732673,259003,0.5759000000000001
2010-02-02,ONGC,EQ,1101.55,1110.0,1119.9,1092.0,1106.0,1105.1,1102.39,727018,80145902445000.0,55024.67326732673,429773,0.5911
2010-02-03,ONGC,EQ,1105.1,1110.5,1141.1,1107.0,1140.05,1133.8,1124.55,505231,56815670675000.0,55024.67326732673,217284,0.4301
2010-02-04,ONGC,EQ,1133.8,1139.95,1155.0,1125.3,1142.7,1139.6,1139.6,2138116,243658812594999.97,55024.67326732673,1482369,0.6933
2010-02-05,ONGC,EQ,1139.6,1117.2,1127.0,1081.1,1082.55,1087.65,1099.07,1029542,113153460990000.02,55024.67326732673,616664,0.599
2010-02-06,ONGC,EQ,1087.65,1036.75,1097.5,1036.75,1094.0,1092.25,1090.07,65370,7125798790000.001,55024.67326732673,15377,0.2352
2010-02-08,ONGC,EQ,1092.25,1084.9,1124.6,1074.1,1116.9,1118.15,1099.62,689218,75787608390000.0,55024.67326732673,363437,0.5273
2010-02-09,ONGC,EQ,1118.15,1118.15,1128.85,1101.6,1106.0,1106.25,1113.37,450262,50130987815000.0,55024.67326732673,237429,0.5273
2010-02-10,ONGC,EQ,1106.25,1111.0,1119.0,1084.75,1086.7,1087.0,1094.81,856976,93822326005000.0,55024.67326732673,511458,0.5968
2010-02-11,ONGC,EQ,1087.0,1137.0,1137.0,1091.0,1100.0,1100.25,1100.59,555558,61143992245000.01,55024.67326732673,307539,0.5536
2010-02-15,ONGC,EQ,1100.25,1101.0,1105.65,1078.15,1087.0,1088.3,1086.66,388192,42183439680000.0,55024.67326732673,194171,0.5002000000000001
2010-02-16,ONGC,EQ,1088.3,1099.8,1110.0,1082.1,1110.0,1103.0,1095.76,406510,44543707205000.0,55024.67326732673,227366,0.5593
2010-02-17,ONGC,EQ,1103.0,1114.0,1119.0,1095.15,1099.1,1099.7,1107.53,566407,62731185560000.0,55024.67326732673,341774,0.6034
2010-02-18,ONGC,EQ,1099.7,1065.0,1109.0,1065.0,1102.35,1103.5,1099.02,539131,59251678429999.99,55024.67326732673,242601,0.45
2010-02-19,ONGC,EQ,1103.5,1094.95,1115.0,1087.75,1110.0,1109.8,1106.43,636833,70461208435000.0,55024.67326732673,384764,0.6042000000000001
2010-02-22,ONGC,EQ,1109.8,1110.0,1120.0,1101.85,1102.05,1107.5,1109.24,663583,73607284045000.0,55024.67326732673,438358,0.6606000000000001
2010-02-23,ONGC,EQ,1107.5,1103.0,1107.0,1092.0,1098.25,1101.5,1099.76,611179,67214786820000.01,55024.67326732673,430381,0.7042
2010-02-24,ONGC,EQ,1101.5,1104.95,1107.85,1086.05,1103.0,1101.25,1098.21,344609,37845405800000.0,55024.67326732673,205996,0.5978
2010-02-25,ONGC,EQ,1101.25,1101.25,1115.5,1090.05,1109.0,1109.85,1102.35,442896,48822804180000.0,55024.67326732673,283897,0.6409999999999999
2010-02-26,ONGC,EQ,1109.85,1114.95,1133.6,1095.0,1119.5,1117.6,1118.8,836599,93598964025000.0,55024.67326732673,489084,0.5846
2010-03-02,ONGC,EQ,1117.6,1120.1,1138.6,1102.6,1106.0,1109.05,1116.12,927884,103562789430000.0,55024.67326732673,633711,0.6829999999999999
2010-03-03,ONGC,EQ,1109.05,1113.0,1116.25,1088.6,1101.0,1100.85,1098.08,950879,104414000660000.0,55024.67326732673,626623,0.659
2010-03-04,ONGC,EQ,1100.85,1092.0,1109.0,1090.0,1094.1,1095.05,1094.16,1065108,116539747200000.0,55024.67326732673,797502,0.7488
2010-03-05,ONGC,EQ,1095.05,1110.0,1110.0,1091.0,1095.0,1094.5,1099.32,1464437,160988452700000.0,55024.67326732673,1177372,0.804
2010-03-08,ONGC,EQ,1094.5,1105.0,1107.45,1098.55,1100.0,1100.5,1101.67,1091782,120278171350000.0,55024.67326732673,903923,0.8279000000000001
2010-03-09,ONGC,EQ,1100.5,1102.5,1105.0,1091.0,1093.5,1096.2,1096.5,593866,65117152125000.0,55024.67326732673,429596,0.7234
