Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-12-27,PCJEWELLER,EQ,135.0,137.0,154.7,137.0,148.8,149.2,147.51,64704244,954447193665000.0,416319,14154594,0.2188
2012-12-28,PCJEWELLER,EQ,149.2,149.8,154.3,145.35,146.15,147.0,150.64,7404951,111548873605000.0,78434,1839637,0.2484
2012-12-31,PCJEWELLER,EQ,147.0,146.85,153.3,145.0,149.5,149.7,150.54,4191294,63094192590000.0,44023,784600,0.1872
2013-01-01,PCJEWELLER,EQ,149.7,151.6,167.9,150.55,165.0,165.3,161.59,11643648,188154264905000.0,88098,1589370,0.1365
2013-01-02,PCJEWELLER,EQ,165.3,166.1,179.25,165.6,174.95,175.4,174.21,14167769,246812541450000.0,138207,1947136,0.1374
2013-01-03,PCJEWELLER,EQ,175.4,176.9,184.8,175.0,184.0,183.55,181.66,8413831,152843496290000.0,82527,1582971,0.1881
2013-01-04,PCJEWELLER,EQ,183.55,185.0,189.4,182.8,188.9,187.75,187.39,6249945,117120798365000.02,63690,1260791,0.20170000000000002
2013-01-07,PCJEWELLER,EQ,187.75,189.0,194.9,180.5,182.45,181.65,187.44,6195063,116118330455000.0,69039,1405405,0.22690000000000002
2013-01-08,PCJEWELLER,EQ,181.65,182.75,186.35,176.1,177.35,177.5,180.03,5276315,94987781070000.0,74843,936120,0.17739999999999997
2013-01-09,PCJEWELLER,EQ,177.5,178.9,180.4,174.3,175.35,175.55,176.81,3435105,60735465629999.99,36064,620929,0.1808
2013-01-10,PCJEWELLER,EQ,175.55,176.7,177.8,165.1,165.35,166.1,170.15,3318657,56467035260000.0,47532,976355,0.2942
2013-01-11,PCJEWELLER,EQ,166.1,167.0,167.0,154.5,155.0,155.8,161.08,5019058,80847275875000.0,49496,1409447,0.2808
2013-01-14,PCJEWELLER,EQ,155.8,156.0,173.65,155.7,172.5,172.2,166.95,6682339,111559654884999.98,68475,1666617,0.2494
2013-01-15,PCJEWELLER,EQ,172.2,173.75,176.4,166.45,168.85,168.9,170.94,3849468,65802718595000.01,43233,724181,0.1881
2013-01-16,PCJEWELLER,EQ,168.9,168.1,169.4,162.7,164.2,163.9,165.01,1672324,27594374400000.0,22222,488221,0.2919
2013-01-17,PCJEWELLER,EQ,163.9,165.5,167.65,162.55,164.75,164.7,165.08,1771512,29244970045000.0,18169,452788,0.2556
2013-01-18,PCJEWELLER,EQ,164.7,166.2,166.2,160.65,161.6,161.75,163.14,1015655,16569385635000.0,13221,292824,0.2883
2013-01-21,PCJEWELLER,EQ,161.75,162.05,164.5,159.1,160.15,160.6,161.23,1080410,17419662465000.0,13267,314192,0.2908
2013-01-22,PCJEWELLER,EQ,160.6,160.3,160.95,155.25,156.05,155.9,157.57,1325478,20885346615000.0,22278,478290,0.3608
2013-01-23,PCJEWELLER,EQ,155.9,157.0,162.8,155.15,162.25,161.4,160.45,2620756,42049298095000.0,28629,611742,0.2334
2013-01-24,PCJEWELLER,EQ,161.4,162.65,162.65,153.2,153.6,153.95,156.19,1416196,22119452670000.0,15673,487286,0.34409999999999996
2013-01-25,PCJEWELLER,EQ,153.95,154.05,159.2,152.45,157.25,157.55,156.54,1095181,17143838805000.002,10721,460457,0.4204
2013-01-28,PCJEWELLER,EQ,157.55,158.75,166.5,157.0,162.3,162.0,162.81,1719119,27988534880000.0,25628,419079,0.2438
2013-01-29,PCJEWELLER,EQ,162.0,162.5,164.45,159.0,161.6,161.95,162.08,862252,13975078965000.0,10241,319007,0.37
2013-01-30,PCJEWELLER,EQ,161.95,161.8,162.85,156.75,158.25,158.0,159.26,528990,8424615290000.001,9941,198758,0.37570000000000003
2013-01-31,PCJEWELLER,EQ,158.0,158.5,161.3,156.5,160.95,160.45,159.37,556066,8861750035000.0,11581,240531,0.4326
2013-02-01,PCJEWELLER,EQ,160.45,162.0,165.35,158.4,159.65,159.8,162.27,832214,13504701225000.0,12635,254913,0.3063
2013-02-04,PCJEWELLER,EQ,159.8,160.35,161.75,155.2,156.45,156.0,158.2,473402,7489172425000.0,6181,162160,0.3425
2013-02-05,PCJEWELLER,EQ,156.0,155.1,157.6,150.4,153.0,152.55,153.59,908123,13947881860000.0,10968,288455,0.31760000000000005
2013-02-06,PCJEWELLER,EQ,152.55,154.25,154.5,140.3,141.9,142.0,146.49,2118017,31027328020000.0,22575,870316,0.41090000000000004
2013-02-07,PCJEWELLER,EQ,142.0,142.75,143.95,134.05,143.1,142.4,141.03,4122032,58132682275000.0,51689,918911,0.2229
