Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,PIRHEALTH,EQ,373.0,375.0,377.3,367.25,367.6,368.2,372.03,822554,30601270295000.0,7520.697146185207,665407,0.809
2010-01-05,PIRHEALTH,EQ,368.2,374.0,374.0,368.2,371.0,370.25,370.64,509719,18892052170000.0,7520.697146185207,300659,0.5899
2010-01-06,PIRHEALTH,EQ,370.25,371.6,390.7,371.0,389.6,387.1,382.75,780936,29890236020000.0,7520.697146185207,430198,0.5509000000000001
2010-01-07,PIRHEALTH,EQ,387.1,392.1,397.0,386.15,387.85,388.2,392.42,385621,15132474594999.998,7520.697146185207,129276,0.33520000000000005
2010-01-08,PIRHEALTH,EQ,388.2,391.0,392.9,386.0,387.0,387.1,388.76,119102,4630266910000.0,7520.697146185207,50585,0.4247
2010-01-11,PIRHEALTH,EQ,387.1,392.5,392.5,380.1,381.1,381.75,386.48,212231,8202288234999.999,7520.697146185207,139412,0.6569
2010-01-12,PIRHEALTH,EQ,381.75,382.05,391.55,375.05,377.25,378.05,383.9,423646,16263594130000.002,7520.697146185207,239482,0.5653
2010-01-13,PIRHEALTH,EQ,378.05,378.05,383.9,373.0,382.5,382.1,379.06,174954,6631771435000.0,7520.697146185207,94537,0.5404
2010-01-14,PIRHEALTH,EQ,382.1,395.0,410.0,387.0,388.6,390.6,389.75,410023,15980750294999.998,7520.697146185207,274549,0.6696
2010-01-15,PIRHEALTH,EQ,390.6,391.7,393.8,385.05,386.95,387.4,389.57,149805,5835971950000.0,7520.697146185207,74308,0.49600000000000005
2010-01-18,PIRHEALTH,EQ,387.4,388.6,396.5,385.1,392.0,392.85,393.81,467775,18421597585000.0,7520.697146185207,348353,0.7447
2010-01-19,PIRHEALTH,EQ,392.85,392.0,396.7,388.75,393.55,392.75,392.68,166692,6545719565000.0,7520.697146185207,109977,0.6598
2010-01-20,PIRHEALTH,EQ,392.75,394.8,395.9,377.55,378.0,379.3,381.81,588526,22470388800000.0,7520.697146185207,385047,0.6543000000000001
2010-01-21,PIRHEALTH,EQ,379.3,381.0,381.9,352.05,353.0,356.3,364.8,1016570,37084157935000.0,7520.697146185207,509252,0.501
2010-01-22,PIRHEALTH,EQ,356.3,338.25,365.9,337.0,364.9,361.6,352.94,783513,27653190085000.004,7520.697146185207,432278,0.5517000000000001
2010-01-25,PIRHEALTH,EQ,361.6,361.6,367.9,351.0,359.8,361.0,363.8,242459,8820732160000.0,7520.697146185207,158110,0.6520999999999999
2010-01-27,PIRHEALTH,EQ,361.0,355.0,363.8,343.15,348.0,348.15,351.69,339332,11933818235000.0,7520.697146185207,242486,0.7145999999999999
2010-01-28,PIRHEALTH,EQ,348.15,350.8,355.5,330.35,336.35,334.1,341.12,561225,19144429890000.0,7520.697146185207,369182,0.6578
2010-01-29,PIRHEALTH,EQ,334.1,331.0,370.95,328.1,366.0,366.0,352.54,632862,22310739075000.0,7520.697146185207,393592,0.6219
2010-02-01,PIRHEALTH,EQ,366.0,367.0,374.0,363.1,373.0,373.2,370.61,245052,9081842715000.0,7520.697146185207,138977,0.5671
2010-02-02,PIRHEALTH,EQ,373.2,373.2,384.8,373.2,378.35,378.8,380.2,428009,16272981435000.0,7520.697146185207,307065,0.7173999999999999
2010-02-03,PIRHEALTH,EQ,378.8,366.0,384.0,366.0,380.5,379.2,381.45,119275,4549763665000.0,7520.697146185207,59927,0.5024000000000001
2010-02-04,PIRHEALTH,EQ,379.2,375.0,382.0,371.35,375.9,375.95,377.4,55758,2104317145000.0,7520.697146185207,22344,0.4007
2010-02-05,PIRHEALTH,EQ,375.95,369.0,371.0,356.1,360.5,362.25,362.46,56587,2051040675000.0,7520.697146185207,21121,0.37320000000000003
2010-02-06,PIRHEALTH,EQ,362.25,368.0,369.0,358.35,361.2,360.45,360.95,15448,557593805000.0,7520.697146185207,10254,0.6638
2010-02-08,PIRHEALTH,EQ,360.45,350.1,369.95,350.1,361.2,364.85,361.19,100551,3631808835000.0,7520.697146185207,54883,0.5458
2010-02-09,PIRHEALTH,EQ,364.85,362.0,367.6,361.05,365.55,365.45,364.15,84431,3074587085000.0,7520.697146185207,71691,0.8491
2010-02-10,PIRHEALTH,EQ,365.45,376.0,378.0,363.4,374.0,372.05,373.67,187872,7020222970000.0,7520.697146185207,155069,0.8254000000000001
2010-02-11,PIRHEALTH,EQ,372.05,373.0,380.0,370.2,371.1,371.4,377.9,150315,5680411960000.0,7520.697146185207,68646,0.45670000000000005
2010-02-15,PIRHEALTH,EQ,371.4,374.4,379.0,372.0,375.0,376.9,375.09,60745,2278457710000.0,7520.697146185207,38063,0.6265999999999999
2010-02-16,PIRHEALTH,EQ,376.9,378.0,384.0,375.15,379.0,378.3,380.67,172997,6585504050000.0,7520.697146185207,73351,0.424
2010-02-17,PIRHEALTH,EQ,378.3,379.1,381.0,373.0,374.25,374.65,376.95,60571,2283200110000.0,7520.697146185207,31591,0.5216
2010-02-18,PIRHEALTH,EQ,374.65,376.3,384.0,373.1,380.25,379.15,376.75,125680,4734953385000.0,7520.697146185207,95562,0.7604000000000001
2010-02-19,PIRHEALTH,EQ,379.15,381.0,387.8,374.15,377.85,379.15,382.58,555009,21233571625000.0,7520.697146185207,238398,0.42950000000000005
2010-02-22,PIRHEALTH,EQ,379.15,385.0,385.0,365.2,371.6,370.7,373.33,232119,8665618125000.0,7520.697146185207,153496,0.6613
2010-02-23,PIRHEALTH,EQ,370.7,368.0,380.4,367.0,375.0,375.05,376.01,308267,11591115805000.0,7520.697146185207,227499,0.738
2010-02-24,PIRHEALTH,EQ,375.05,367.1,384.85,367.1,375.45,375.5,379.15,318123,12061761210000.0,7520.697146185207,211825,0.6659
2010-02-25,PIRHEALTH,EQ,375.5,372.5,392.0,372.5,386.25,387.6,386.36,820739,31710370620000.0,7520.697146185207,481334,0.5865
2010-02-26,PIRHEALTH,EQ,387.6,388.0,400.0,387.2,397.0,397.85,395.73,611778,24209960595000.0,7520.697146185207,407449,0.6659999999999999
2010-03-02,PIRHEALTH,EQ,397.85,405.0,439.95,400.0,418.85,420.05,422.02,1835039,77442735785000.0,7520.697146185207,1027867,0.5601
2010-03-03,PIRHEALTH,EQ,420.05,422.0,425.7,416.05,417.75,417.7,420.63,555036,23346562205000.0,7520.697146185207,320091,0.5767
2010-03-04,PIRHEALTH,EQ,417.7,417.0,420.9,411.1,414.05,415.6,414.14,302430,12524837330000.0,7520.697146185207,125128,0.41369999999999996
2010-03-05,PIRHEALTH,EQ,415.6,417.0,421.8,409.5,410.0,411.4,414.03,468919,19414693975000.0,7520.697146185207,272865,0.5819
2010-03-08,PIRHEALTH,EQ,411.4,414.0,416.4,410.1,412.6,412.8,413.03,100265,4141217129999.9995,7520.697146185207,62695,0.6253000000000001
2010-03-09,PIRHEALTH,EQ,412.8,410.0,428.8,410.0,420.1,422.5,424.01,507335,21511360505000.0,7520.697146185207,243580,0.48009999999999997
2010-03-10,PIRHEALTH,EQ,422.5,425.25,432.5,420.0,423.0,422.9,426.93,328418,14020987135000.0,7520.697146185207,148805,0.45310000000000006
2010-03-11,PIRHEALTH,EQ,422.9,425.4,428.7,421.05,423.2,424.6,425.15,85150,3620110290000.0,7520.697146185207,25943,0.30469999999999997
2010-03-12,PIRHEALTH,EQ,424.6,434.5,434.5,422.05,427.5,428.05,427.17,189911,8112343484999.999,7520.697146185207,122634,0.6456999999999999
2010-03-15,PIRHEALTH,EQ,428.05,430.0,432.0,416.15,416.4,417.5,421.52,145999,6154197100000.0,7520.697146185207,75692,0.5184000000000001
2010-03-16,PIRHEALTH,EQ,417.5,419.0,420.95,412.0,415.0,413.6,414.11,46923,1943122200000.0,7520.697146185207,19996,0.4261
2010-03-17,PIRHEALTH,EQ,413.6,418.5,425.0,416.2,419.0,419.55,421.09,158981,6694515270000.0,7520.697146185207,77547,0.4878
2010-03-18,PIRHEALTH,EQ,419.55,425.0,425.0,417.0,418.0,417.75,420.03,95902,4028168479999.9995,7520.697146185207,47324,0.49350000000000005
2010-03-19,PIRHEALTH,EQ,417.75,420.9,421.0,410.0,412.0,412.3,414.99,205461,8526401630000.0,7520.697146185207,112026,0.5452
2010-03-22,PIRHEALTH,EQ,412.3,409.0,416.9,406.0,413.9,411.0,410.83,278215,11429843435000.0,7520.697146185207,183593,0.6598999999999999
2010-03-23,PIRHEALTH,EQ,411.0,418.95,430.5,413.05,426.45,426.15,422.8,475836,20118306975000.0,7520.697146185207,193687,0.40700000000000003
2010-03-25,PIRHEALTH,EQ,426.15,429.0,437.5,422.15,435.2,431.7,427.9,421730,18045768630000.0,7520.697146185207,185343,0.43950000000000006
2010-03-26,PIRHEALTH,EQ,431.7,438.0,439.8,421.1,423.7,423.75,429.94,337141,14495166305000.002,7520.697146185207,169547,0.5029
2010-03-29,PIRHEALTH,EQ,423.75,424.5,424.5,414.15,415.05,415.9,417.2,261804,10922560410000.0,7520.697146185207,174330,0.6659
2010-03-30,PIRHEALTH,EQ,415.9,418.0,428.0,415.5,424.7,423.1,423.72,148258,6282010005000.0,7520.697146185207,82625,0.5573
2010-03-31,PIRHEALTH,EQ,423.1,427.9,428.0,420.1,423.95,424.75,425.38,75108,3194952730000.0,7520.697146185207,45049,0.5998
2010-04-01,PIRHEALTH,EQ,424.75,427.45,427.45,419.0,426.0,422.95,421.59,141454,5963535765000.0,7520.697146185207,107059,0.7568000000000001
2010-04-05,PIRHEALTH,EQ,422.95,426.5,438.55,423.7,438.4,436.7,432.01,237461,10258456360000.0,7520.697146185207,167286,0.7045
2010-04-06,PIRHEALTH,EQ,436.7,442.9,455.0,436.0,453.0,448.1,446.9,353082,15779227735000.0,7520.697146185207,147085,0.41659999999999997
2010-04-07,PIRHEALTH,EQ,448.1,450.15,466.45,450.0,464.0,462.95,459.67,521212,23958499585000.0,7520.697146185207,296507,0.5689000000000001
2010-04-08,PIRHEALTH,EQ,462.95,464.8,469.0,455.0,458.0,458.15,461.77,478865,22112548530000.0,7520.697146185207,236709,0.4943
2010-04-09,PIRHEALTH,EQ,458.15,461.5,472.4,459.0,470.0,466.4,466.58,523055,24404720480000.0,7520.697146185207,348117,0.6655
2010-04-12,PIRHEALTH,EQ,466.4,470.0,478.65,461.3,463.25,463.0,468.34,424093,19861825685000.0,7520.697146185207,282304,0.6657
2010-04-13,PIRHEALTH,EQ,463.0,464.9,468.0,453.35,455.6,456.2,458.53,371511,17034951390000.0,7520.697146185207,212508,0.5720000000000001
2010-04-15,PIRHEALTH,EQ,456.2,469.6,472.3,457.4,469.1,468.0,466.99,592862,27686306125000.0,7520.697146185207,374419,0.6315
2010-04-16,PIRHEALTH,EQ,468.0,469.0,488.4,467.95,484.8,483.7,482.03,693066,33407860775000.0,7520.697146185207,279043,0.4026
2010-04-19,PIRHEALTH,EQ,483.7,480.0,495.9,478.0,486.2,485.75,489.54,595279,29141153120000.0,7520.697146185207,256642,0.4311
2010-04-20,PIRHEALTH,EQ,485.75,490.0,518.05,488.1,517.0,512.8,502.4,1277246,64169238550000.0,7520.697146185207,604475,0.4733
2010-04-21,PIRHEALTH,EQ,512.8,522.0,525.9,510.5,520.65,521.9,519.32,702169,36465115715000.0,7520.697146185207,208557,0.297
2010-04-22,PIRHEALTH,EQ,521.9,518.0,533.1,517.0,523.0,522.3,526.56,1137250,59883483550000.0,7520.697146185207,596158,0.5242
2010-04-23,PIRHEALTH,EQ,522.3,527.2,530.0,506.2,510.6,510.9,518.31,1088364,56411328375000.0,7520.697146185207,542395,0.49840000000000007
2010-04-26,PIRHEALTH,EQ,510.9,511.0,529.4,511.0,520.0,517.95,519.71,771179,40079142850000.0,7520.697146185207,393654,0.5105
2010-04-27,PIRHEALTH,EQ,517.95,522.0,530.0,514.15,518.0,515.5,518.1,648708,33609592214999.996,7520.697146185207,350722,0.5406000000000001
2010-04-28,PIRHEALTH,EQ,515.5,500.4,537.4,500.4,524.1,522.2,525.44,2627289,138047456625000.0,7520.697146185207,1167558,0.44439999999999996
2010-04-29,PIRHEALTH,EQ,522.2,528.0,543.0,525.25,540.0,540.15,536.01,1593021,85387991345000.0,7520.697146185207,770777,0.48380000000000006
2010-04-30,PIRHEALTH,EQ,540.15,540.15,544.5,528.8,536.95,533.55,534.72,571359,30551843464999.996,7520.697146185207,276670,0.4842
2010-05-03,PIRHEALTH,EQ,533.55,537.0,546.75,536.3,546.0,541.85,541.19,884075,47845187780000.0,7520.697146185207,455946,0.5157
2010-05-04,PIRHEALTH,EQ,541.85,547.9,564.6,541.15,554.0,553.55,555.66,1655706,92000944545000.0,7520.697146185207,723869,0.4372
2010-05-05,PIRHEALTH,EQ,553.55,544.0,569.4,544.0,554.05,555.6,557.74,1483991,82768800010000.0,7520.697146185207,490504,0.33049999999999996
2010-05-06,PIRHEALTH,EQ,555.6,558.4,581.4,550.35,579.85,575.9,564.75,1006200,56824655315000.0,7520.697146185207,308787,0.3069
2010-05-07,PIRHEALTH,EQ,575.9,571.0,577.0,536.3,552.0,546.85,553.36,1790681,99089596900000.0,7520.697146185207,950823,0.531
