Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,PIDILITIND,EQ,195.2,196.75,199.0,193.25,194.1,193.75,195.49,70757,1383230390000.0,8749.478159580663,48914,0.6912999999999999
2010-01-05,PIDILITIND,EQ,193.75,197.8,198.0,193.6,194.85,195.3,196.39,62983,1236934440000.0,8749.478159580663,47042,0.7469
2010-01-06,PIDILITIND,EQ,195.3,194.0,228.7,192.0,220.0,220.35,219.89,1128949,24824830085000.0,8749.478159580663,428786,0.37979999999999997
2010-01-07,PIDILITIND,EQ,220.35,224.7,228.4,208.6,210.35,210.35,217.19,1051353,22834239440000.0,8749.478159580663,479299,0.4559
2010-01-08,PIDILITIND,EQ,210.35,212.3,213.0,207.0,207.1,207.9,209.55,196699,4121758860000.0,8749.478159580663,92154,0.4685
2010-01-11,PIDILITIND,EQ,207.9,210.5,214.0,206.5,209.0,208.45,209.63,146758,3076482400000.0,8749.478159580663,80352,0.5475
2010-01-12,PIDILITIND,EQ,208.45,210.4,212.0,203.0,203.75,204.4,206.74,184111,3806362235000.0,8749.478159580663,131511,0.7143
2010-01-13,PIDILITIND,EQ,204.4,200.55,207.0,200.55,204.9,203.35,204.24,119312,2436868240000.0,8749.478159580663,70604,0.5918
2010-01-14,PIDILITIND,EQ,203.35,205.9,210.0,205.0,207.0,206.95,208.01,105146,2187185120000.0,8749.478159580663,59165,0.5627000000000001
2010-01-15,PIDILITIND,EQ,206.95,208.0,211.0,207.05,209.3,208.15,208.92,69816,1458566970000.0,8749.478159580663,40184,0.5756
2010-01-18,PIDILITIND,EQ,208.15,212.0,213.0,207.0,209.95,209.8,210.5,141211,2972446315000.0,8749.478159580663,105735,0.7488
2010-01-19,PIDILITIND,EQ,209.8,208.3,211.9,203.7,205.5,204.85,206.1,223536,4607084400000.0,8749.478159580663,184251,0.8243
2010-01-20,PIDILITIND,EQ,204.85,207.0,213.9,207.0,207.65,207.45,210.31,195061,4102300385000.0,8749.478159580663,77559,0.3976
2010-01-21,PIDILITIND,EQ,207.45,208.0,210.5,205.0,206.5,205.95,208.11,132541,2758268155000.0,8749.478159580663,62791,0.4737
2010-01-22,PIDILITIND,EQ,205.95,204.25,207.9,198.25,206.1,206.15,203.6,112636,2293323205000.0,8749.478159580663,54164,0.48090000000000005
2010-01-25,PIDILITIND,EQ,206.15,207.0,211.9,205.05,207.5,207.35,208.91,104961,2192763550000.0,8749.478159580663,62189,0.5925
2010-01-27,PIDILITIND,EQ,207.35,206.0,207.75,200.0,200.0,200.5,203.15,146256,2971117525000.0,8749.478159580663,98363,0.6725
2010-01-28,PIDILITIND,EQ,200.5,200.2,208.0,195.4,201.0,201.15,201.69,223479,4507326570000.0,8749.478159580663,131009,0.5861999999999999
2010-01-29,PIDILITIND,EQ,201.15,204.9,205.0,191.5,194.55,195.3,196.35,345748,6788720095000.0,8749.478159580663,164659,0.47619999999999996
2010-02-01,PIDILITIND,EQ,195.3,196.7,199.0,192.7,194.0,193.85,194.48,153080,2977034950000.0,8749.478159580663,100883,0.659
2010-02-02,PIDILITIND,EQ,193.85,195.0,197.4,188.6,189.0,189.25,193.32,140826,2722402090000.0,8749.478159580663,92366,0.6559
2010-02-03,PIDILITIND,EQ,189.25,191.4,195.95,189.0,189.55,189.8,192.32,249581,4799843250000.0,8749.478159580663,105850,0.4241
2010-02-04,PIDILITIND,EQ,189.8,191.1,193.0,188.0,192.9,192.15,191.65,98011,1878349105000.0,8749.478159580663,61889,0.6314000000000001
2010-02-05,PIDILITIND,EQ,192.15,188.1,191.0,186.2,191.0,190.15,189.01,66214,1251488225000.0,8749.478159580663,38684,0.5842
2010-02-06,PIDILITIND,EQ,190.15,191.0,197.0,189.1,192.5,193.25,193.33,11558,223448029999.99997,8749.478159580663,6360,0.5503
2010-02-08,PIDILITIND,EQ,193.25,193.35,194.75,188.25,189.05,189.65,190.73,61076,1164895460000.0,8749.478159580663,45962,0.7525000000000001
2010-02-09,PIDILITIND,EQ,189.65,193.0,195.5,187.0,187.0,187.5,188.65,62446,1178023655000.0,8749.478159580663,43169,0.6912999999999999
2010-02-10,PIDILITIND,EQ,187.5,189.75,190.0,187.8,188.0,188.2,189.24,40075,758378655000.0,8749.478159580663,25516,0.6367
2010-02-11,PIDILITIND,EQ,188.2,190.0,191.9,187.1,188.4,188.25,189.67,66589,1262962645000.0,8749.478159580663,41965,0.6302000000000001
2010-02-15,PIDILITIND,EQ,188.25,189.9,194.0,189.4,191.0,191.05,191.57,58274,1116349880000.0,8749.478159580663,41402,0.7105
2010-02-16,PIDILITIND,EQ,191.05,192.5,193.5,190.5,193.0,192.6,191.48,49693,951504855000.0001,8749.478159580663,40460,0.8142
2010-02-17,PIDILITIND,EQ,192.6,194.8,197.9,193.0,195.1,195.05,196.08,64041,1255702280000.0,8749.478159580663,31842,0.4972
2010-02-18,PIDILITIND,EQ,195.05,196.0,203.9,194.1,196.0,196.1,199.03,113996,2268865545000.0,8749.478159580663,35944,0.3153
2010-02-19,PIDILITIND,EQ,196.1,197.95,208.8,196.15,203.7,205.1,198.74,1048648,20840654665000.0,8749.478159580663,849582,0.8102
2010-02-22,PIDILITIND,EQ,205.1,209.1,210.8,197.6,199.05,200.15,204.74,233715,4785054830000.0,8749.478159580663,58031,0.2483
2010-02-23,PIDILITIND,EQ,200.15,199.8,204.0,197.1,198.5,198.6,200.08,72324,1447027595000.0,8749.478159580663,19337,0.26739999999999997
2010-02-24,PIDILITIND,EQ,198.6,198.0,200.4,195.2,195.2,196.05,197.64,40411,798693475000.0,8749.478159580663,23484,0.5811000000000001
2010-02-25,PIDILITIND,EQ,196.05,197.0,199.8,195.0,195.5,196.25,196.75,28668,564030030000.0,8749.478159580663,13569,0.4733
2010-02-26,PIDILITIND,EQ,196.25,195.4,200.0,195.1,197.0,197.15,197.23,30986,611126845000.0,8749.478159580663,15692,0.5064
2010-03-02,PIDILITIND,EQ,197.15,199.0,205.0,199.0,204.5,204.4,202.65,73783,1495175755000.0,8749.478159580663,38817,0.5261
2010-03-03,PIDILITIND,EQ,204.4,205.05,206.85,203.25,204.9,204.3,205.06,74358,1524821140000.0,8749.478159580663,40547,0.5453
2010-03-04,PIDILITIND,EQ,204.3,207.0,207.0,202.9,205.0,203.95,204.56,68765,1406670820000.0,8749.478159580663,43465,0.6321
2010-03-05,PIDILITIND,EQ,203.95,208.4,220.65,208.0,216.9,216.45,215.59,541095,11665445040000.0,8749.478159580663,233017,0.43060000000000004
2010-03-08,PIDILITIND,EQ,216.45,220.0,225.0,217.65,219.2,219.45,219.89,317321,6977530200000.0,8749.478159580663,138994,0.438
2010-03-09,PIDILITIND,EQ,219.45,220.45,226.0,218.6,224.4,224.25,223.47,305578,6828824640000.001,8749.478159580663,120820,0.3954
2010-03-10,PIDILITIND,EQ,224.25,226.55,229.9,224.0,228.95,228.75,227.83,241293,5497440520000.0,8749.478159580663,114245,0.47350000000000003
2010-03-11,PIDILITIND,EQ,228.75,230.1,239.5,229.3,235.55,236.25,234.55,596267,13985331530000.002,8749.478159580663,300802,0.5045000000000001
2010-03-12,PIDILITIND,EQ,236.25,237.75,245.0,235.05,239.0,240.95,240.87,519280,12507780070000.0,8749.478159580663,265725,0.5117
2010-03-15,PIDILITIND,EQ,240.95,120.0,120.0,106.3,113.85,114.1,112.3,531207,5965285800000.0,8749.478159580663,222330,0.41850000000000004
2010-03-16,PIDILITIND,EQ,114.1,115.1,116.4,113.05,114.0,114.0,114.93,148939,1711823500000.0,8749.478159580663,99365,0.6672
2010-03-17,PIDILITIND,EQ,114.0,115.4,115.5,114.0,115.0,115.0,115.0,703036,8084843534999.999,8749.478159580663,672065,0.9559000000000001
