Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,PNB,EQ,906.2,900.0,929.9,900.0,924.95,925.5,922.23,366571,33806445850000.0,37960.36691904485,214216,0.5844
2010-01-05,PNB,EQ,925.5,930.0,942.55,928.0,939.5,939.8,935.62,315732,29540646595000.0,37960.36691904485,192979,0.6112
2010-01-06,PNB,EQ,939.8,951.0,951.0,926.85,931.8,935.35,936.11,359906,33690994264999.996,37960.36691904485,184506,0.5127
2010-01-07,PNB,EQ,935.35,900.0,940.0,900.0,923.0,922.5,925.89,174694,16174725069999.998,37960.36691904485,48196,0.2759
2010-01-08,PNB,EQ,922.5,950.0,950.0,910.3,925.0,923.85,925.05,81210,7512323730000.0,37960.36691904485,17109,0.2107
2010-01-11,PNB,EQ,923.85,915.1,960.35,915.1,952.5,949.8,948.11,424748,40270815570000.0,37960.36691904485,165363,0.3893
2010-01-12,PNB,EQ,949.8,952.5,955.5,924.0,925.5,926.05,934.28,256552,23969153085000.0,37960.36691904485,100179,0.39049999999999996
2010-01-13,PNB,EQ,926.05,925.0,930.0,906.1,922.7,919.75,914.93,479649,43884385675000.0,37960.36691904485,219825,0.4583
2010-01-14,PNB,EQ,919.75,905.55,934.7,905.55,922.0,923.0,927.15,149118,13825460735000.0,37960.36691904485,43271,0.2902
2010-01-15,PNB,EQ,923.0,912.0,934.7,903.05,904.45,908.5,912.72,348957,31849871870000.0,37960.36691904485,108222,0.31010000000000004
2010-01-18,PNB,EQ,908.5,912.0,924.95,897.9,923.0,919.75,913.82,293355,26807291105000.0,37960.36691904485,97536,0.3325
2010-01-19,PNB,EQ,919.75,906.0,940.0,906.0,917.05,920.05,924.36,239454,22134282500000.0,37960.36691904485,51908,0.2168
2010-01-20,PNB,EQ,920.05,905.55,932.85,905.55,930.7,928.45,926.75,334562,31005611375000.0,37960.36691904485,129084,0.3858
2010-01-21,PNB,EQ,928.45,915.0,932.5,901.0,904.0,904.15,915.21,247134,22617997330000.0,37960.36691904485,77174,0.3123
2010-01-22,PNB,EQ,904.15,895.0,913.9,885.1,900.0,899.5,899.83,521026,46883231455000.0,37960.36691904485,256064,0.4915
2010-01-25,PNB,EQ,899.5,890.0,909.0,890.0,899.0,900.45,898.8,458781,41235276915000.0,37960.36691904485,328261,0.7155
2010-01-27,PNB,EQ,900.45,890.0,899.0,850.1,862.0,860.8,872.91,785133,68535036060000.0,37960.36691904485,427390,0.5444
2010-01-28,PNB,EQ,860.8,850.0,890.0,850.0,880.0,880.85,870.27,793324,69040570104999.99,37960.36691904485,300207,0.37840000000000007
2010-01-29,PNB,EQ,880.85,877.8,901.0,857.0,896.5,898.65,883.21,509045,44959368280000.0,37960.36691904485,122305,0.2403
2010-02-01,PNB,EQ,898.65,885.0,896.95,876.0,889.05,889.15,890.28,364951,32491009025000.0,37960.36691904485,172193,0.4718
2010-02-02,PNB,EQ,889.15,900.0,906.6,864.0,864.0,868.8,887.41,416116,36926561045000.0,37960.36691904485,189586,0.4556
2010-02-03,PNB,EQ,868.8,870.0,893.25,862.35,886.0,886.6,886.5,565635,50143529975000.0,37960.36691904485,347214,0.6138
2010-02-04,PNB,EQ,886.6,885.0,885.8,865.5,873.7,874.2,873.14,311599,27206999820000.0,37960.36691904485,169539,0.5441
2010-02-05,PNB,EQ,874.2,865.0,865.0,845.0,853.7,854.05,855.87,313925,26867763139999.996,37960.36691904485,158808,0.5059
2010-02-06,PNB,EQ,854.05,862.1,862.1,851.1,856.05,855.45,856.1,18469,1581125290000.0,37960.36691904485,3569,0.1932
2010-02-08,PNB,EQ,855.45,852.0,889.35,848.5,885.0,884.85,870.02,273287,23776451145000.0,37960.36691904485,65921,0.24120000000000003
2010-02-09,PNB,EQ,884.85,875.0,892.0,870.0,891.0,888.3,882.51,215034,18977028895000.0,37960.36691904485,63921,0.2973
2010-02-10,PNB,EQ,888.3,900.0,900.0,863.1,867.4,871.05,881.58,274713,24218156895000.0,37960.36691904485,108411,0.3946
2010-02-11,PNB,EQ,871.05,884.7,887.5,870.0,885.95,884.45,882.15,165657,14613391335000.0,37960.36691904485,40703,0.2457
2010-02-15,PNB,EQ,884.45,890.0,891.0,870.3,879.95,878.6,876.56,281783,24699872645000.0,37960.36691904485,102349,0.3632
2010-02-16,PNB,EQ,878.6,850.0,893.3,850.0,890.0,888.15,879.07,207033,18199747345000.0,37960.36691904485,49827,0.2407
2010-02-17,PNB,EQ,888.15,894.8,894.9,885.55,889.6,890.65,890.12,191242,17022859725000.0,37960.36691904485,28116,0.147
2010-02-18,PNB,EQ,890.65,894.5,909.95,881.0,890.0,896.0,890.29,226007,20121147210000.0,37960.36691904485,101502,0.4491
2010-02-19,PNB,EQ,896.0,895.0,895.5,877.55,888.0,885.35,886.94,185305,16435487750000.0,37960.36691904485,54185,0.2924
2010-02-22,PNB,EQ,885.35,899.9,902.8,876.4,877.9,883.5,891.05,320803,28585093175000.0,37960.36691904485,189603,0.5910000000000001
2010-02-23,PNB,EQ,883.5,885.15,890.0,880.0,881.5,883.25,885.77,158094,14003555075000.0,37960.36691904485,81947,0.5183
2010-02-24,PNB,EQ,883.25,884.75,886.65,868.45,870.0,870.85,876.04,313048,27424131170000.0,37960.36691904485,201252,0.6429
2010-02-25,PNB,EQ,870.85,875.0,885.4,869.05,877.0,877.2,877.42,387352,33986850345000.0,37960.36691904485,229124,0.5915
2010-02-26,PNB,EQ,877.2,850.0,921.95,850.0,900.0,901.0,903.14,580280,52407274305000.0,37960.36691904485,299631,0.5164
2010-03-02,PNB,EQ,901.0,906.0,925.0,906.0,922.75,918.95,914.79,304107,27819473870000.0,37960.36691904485,140667,0.4626
2010-03-03,PNB,EQ,918.95,923.25,935.0,920.0,931.0,930.6,929.57,412024,38300476840000.0,37960.36691904485,192117,0.46630000000000005
2010-03-04,PNB,EQ,930.6,930.0,934.5,922.1,931.0,931.1,930.76,257707,23986297905000.0,37960.36691904485,132017,0.5123
2010-03-05,PNB,EQ,931.1,932.0,942.0,922.1,928.4,927.75,930.57,249225,23192041720000.0,37960.36691904485,110125,0.44189999999999996
2010-03-08,PNB,EQ,927.75,930.15,937.0,909.0,925.0,927.15,924.02,410963,37973702070000.0,37960.36691904485,121955,0.2968
2010-03-09,PNB,EQ,927.15,915.55,934.0,915.55,920.1,921.45,923.61,195364,18043961790000.0,37960.36691904485,76890,0.3936
2010-03-10,PNB,EQ,921.45,927.4,930.0,921.55,930.0,925.9,925.05,146400,13542785335000.0,37960.36691904485,54742,0.3739
2010-03-11,PNB,EQ,925.9,917.7,929.8,917.7,926.55,923.05,923.08,185863,17156634515000.0,37960.36691904485,98215,0.5284000000000001
2010-03-12,PNB,EQ,923.05,920.0,932.8,920.0,922.25,922.65,925.28,180665,16716580244999.998,37960.36691904485,68919,0.3815
2010-03-15,PNB,EQ,922.65,927.0,927.0,916.0,924.15,923.2,921.73,122948,11332468330000.0,37960.36691904485,48260,0.3925
2010-03-16,PNB,EQ,923.2,910.25,930.0,910.25,924.15,924.35,922.54,132225,12198268370000.0,37960.36691904485,20543,0.15539999999999998
2010-03-17,PNB,EQ,924.35,925.0,938.9,923.4,933.0,931.7,933.31,157699,14718179800000.0,37960.36691904485,42221,0.2677
2010-03-18,PNB,EQ,931.7,936.0,942.8,928.5,942.05,939.1,934.74,188179,17589771285000.0,37960.36691904485,90596,0.4814
2010-03-19,PNB,EQ,939.1,948.5,968.0,941.3,965.0,962.2,952.13,297972,28370707310000.004,37960.36691904485,113159,0.37979999999999997
2010-03-22,PNB,EQ,962.2,947.8,959.0,943.0,953.0,950.45,950.55,317262,30157288014999.996,37960.36691904485,118401,0.37320000000000003
2010-03-23,PNB,EQ,950.45,900.0,974.7,900.0,970.15,970.65,963.76,286000,27563453705000.0,37960.36691904485,71409,0.2497
2010-03-25,PNB,EQ,970.65,945.25,1010.6,945.25,1003.0,1002.75,991.22,554081,54921816585000.0,37960.36691904485,176244,0.3181
2010-03-26,PNB,EQ,1002.75,1000.0,1017.5,995.5,997.9,1001.9,1004.18,477360,47935633725000.0,37960.36691904485,185962,0.3896
2010-03-29,PNB,EQ,1001.9,1004.9,1018.0,998.0,1004.1,1003.55,1008.57,231389,23337309615000.0,37960.36691904485,81546,0.35240000000000005
2010-03-30,PNB,EQ,1003.55,1000.1,1015.2,1000.1,1007.95,1007.7,1008.97,211847,21374689260000.0,37960.36691904485,71235,0.33630000000000004
2010-03-31,PNB,EQ,1007.7,1000.5,1017.9,994.05,1009.2,1012.75,1007.78,317460,31992860014999.996,37960.36691904485,134270,0.423
2010-04-01,PNB,EQ,1012.75,1014.2,1024.0,1011.25,1013.65,1015.9,1018.64,324699,33075029270000.0,37960.36691904485,103293,0.3181
2010-04-05,PNB,EQ,1015.9,1016.0,1040.0,1011.1,1034.0,1026.55,1019.3,306777,31269850860000.004,37960.36691904485,130130,0.4242
2010-04-06,PNB,EQ,1026.55,1025.55,1043.8,1017.05,1038.0,1035.9,1028.4,214508,22059898795000.0,37960.36691904485,60056,0.28
2010-04-07,PNB,EQ,1035.9,1025.25,1039.9,1015.25,1015.4,1017.7,1023.56,247195,25301852160000.0,37960.36691904485,113897,0.4608
2010-04-08,PNB,EQ,1017.7,1005.0,1023.0,1004.25,1005.5,1007.05,1009.8,203089,20507965125000.0,37960.36691904485,67684,0.3333
2010-04-09,PNB,EQ,1007.05,1010.0,1017.0,1001.5,1004.85,1006.35,1010.21,247707,25023614095000.0,37960.36691904485,86252,0.3482
2010-04-12,PNB,EQ,1006.35,1000.0,1014.5,986.3,990.2,989.75,992.96,138161,13718829075000.0,37960.36691904485,40606,0.2939
2010-04-13,PNB,EQ,989.75,989.7,1006.6,980.25,1001.0,999.95,996.61,228842,22806724725000.0,37960.36691904485,61041,0.26670000000000005
2010-04-15,PNB,EQ,999.95,1000.0,1010.0,980.25,980.5,985.2,998.16,244259,24380935560000.0,37960.36691904485,62808,0.2571
2010-04-16,PNB,EQ,985.2,980.25,999.0,964.05,992.15,995.4,981.85,441328,43331624780000.0,37960.36691904485,178693,0.40490000000000004
2010-04-19,PNB,EQ,995.4,980.05,997.8,970.7,994.9,992.25,985.12,323940,31912029830000.0,37960.36691904485,146119,0.4511
2010-04-20,PNB,EQ,992.25,997.0,1008.0,985.6,993.0,992.05,998.89,368508,36809818540000.0,37960.36691904485,114845,0.3116
2010-04-21,PNB,EQ,992.05,995.3,1012.5,988.7,1011.8,1007.85,1002.75,477633,47894674790000.0,37960.36691904485,267326,0.5597
2010-04-22,PNB,EQ,1007.85,1007.9,1026.0,995.9,1025.0,1022.9,1017.54,518799,52790050285000.0,37960.36691904485,292436,0.5637
2010-04-23,PNB,EQ,1022.9,1025.0,1056.55,1025.0,1031.3,1032.1,1041.8,527006,54903687300000.0,37960.36691904485,123693,0.2347
2010-04-26,PNB,EQ,1032.1,1049.75,1049.75,1024.0,1032.25,1029.9,1033.3,139564,14421205285000.0,37960.36691904485,21854,0.15660000000000002
2010-04-27,PNB,EQ,1029.9,1006.6,1031.45,1006.6,1020.0,1024.15,1024.26,148911,15252299980000.002,37960.36691904485,55299,0.3714
2010-04-28,PNB,EQ,1024.15,1010.0,1030.0,1004.25,1020.0,1019.95,1019.76,280727,28627418525000.0,37960.36691904485,118222,0.42110000000000003
2010-04-29,PNB,EQ,1019.95,1022.5,1039.0,1018.0,1036.0,1031.25,1027.57,291732,29977608405000.0,37960.36691904485,159028,0.5451
2010-04-30,PNB,EQ,1031.25,1025.0,1047.8,1025.0,1037.2,1039.5,1041.99,206052,21470492370000.0,37960.36691904485,99492,0.4828
2010-05-03,PNB,EQ,1039.5,1000.0,1039.8,1000.0,1030.0,1029.85,1028.65,97403,10019366965000.0,37960.36691904485,32620,0.33490000000000003
2010-05-04,PNB,EQ,1029.85,1031.0,1058.9,1025.7,1035.0,1039.55,1045.97,515455,53915298540000.0,37960.36691904485,276547,0.5365
2010-05-05,PNB,EQ,1039.55,1000.0,1048.5,966.7,1040.0,1042.65,1031.16,207506,21397236555000.0,37960.36691904485,60935,0.2937
2010-05-06,PNB,EQ,1042.65,1145.0,1145.0,1025.8,1044.1,1043.9,1042.81,604690,63057954870000.01,37960.36691904485,126193,0.20870000000000002
2010-05-07,PNB,EQ,1043.9,1020.0,1034.8,1006.2,1011.1,1014.05,1017.39,221396,22524515185000.0,37960.36691904485,54097,0.2443
2010-05-10,PNB,EQ,1014.05,1096.9,1096.9,1009.1,1015.5,1016.1,1016.82,606788,61699486704999.99,37960.36691904485,301908,0.4976
2010-05-11,PNB,EQ,1016.1,1018.0,1025.0,1006.4,1018.7,1018.3,1019.09,406790,41455627930000.0,37960.36691904485,236167,0.5806
2010-05-12,PNB,EQ,1018.3,1019.0,1024.4,1011.15,1021.2,1020.45,1017.23,251657,25599200850000.0,37960.36691904485,94786,0.3766
2010-05-13,PNB,EQ,1020.45,1025.0,1037.25,1018.5,1027.0,1029.05,1032.1,372402,38435563000000.0,37960.36691904485,213560,0.5735
2010-05-14,PNB,EQ,1029.05,1028.0,1028.9,998.6,1010.0,1010.05,1014.67,314487,31909918470000.0,37960.36691904485,156116,0.4964
2010-05-17,PNB,EQ,1010.05,997.0,1005.1,978.2,1001.5,1001.15,991.44,183678,18210604345000.0,37960.36691904485,52741,0.2871
2010-05-18,PNB,EQ,1001.15,999.0,1032.5,996.0,1030.3,1028.2,1018.56,227900,23213017250000.0,37960.36691904485,73618,0.32299999999999995
2010-05-19,PNB,EQ,1028.2,1020.0,1035.0,1000.05,1004.1,1007.4,1015.1,224255,22764039510000.0,37960.36691904485,61884,0.276
2010-05-20,PNB,EQ,1007.4,1010.0,1017.0,993.5,1002.0,1002.55,1001.12,264556,26485155605000.0,37960.36691904485,114541,0.433
2010-05-21,PNB,EQ,1002.55,989.0,996.85,981.35,991.0,990.2,990.44,199111,19720741165000.0,37960.36691904485,112523,0.5651
2010-05-24,PNB,EQ,990.2,998.0,1011.5,980.0,981.5,982.7,993.73,141755,14086683869999.998,37960.36691904485,41452,0.2924
2010-05-25,PNB,EQ,982.7,980.0,986.0,933.25,941.5,939.8,957.85,272579,26109105965000.0,37960.36691904485,117678,0.43170000000000003
2010-05-26,PNB,EQ,939.8,942.0,960.0,940.1,951.0,948.7,948.33,233644,22157183615000.0,37960.36691904485,108611,0.46490000000000004
2010-05-27,PNB,EQ,948.7,900.0,999.65,900.0,985.0,988.0,969.85,444515,43111361465000.0,37960.36691904485,198389,0.44630000000000003
2010-05-28,PNB,EQ,988.0,1000.0,1000.0,982.5,988.0,987.7,989.15,280691,27764530260000.004,37960.36691904485,123887,0.4414
2010-05-31,PNB,EQ,987.7,994.0,1004.9,978.8,1003.7,1002.5,996.34,225209,22438572295000.0,37960.36691904485,89071,0.39549999999999996
2010-06-01,PNB,EQ,1002.5,995.0,1002.8,986.25,999.0,996.95,994.45,291458,28983917455000.0,37960.36691904485,186327,0.6393
2010-06-02,PNB,EQ,996.95,997.0,1000.0,985.0,985.0,989.65,989.99,279627,27682831720000.0,37960.36691904485,154285,0.5518
2010-06-03,PNB,EQ,989.65,998.0,1018.0,994.4,1006.1,1004.8,1008.88,291730,29432149925000.0,37960.36691904485,95792,0.3284
2010-06-04,PNB,EQ,1004.8,1006.0,1018.8,1002.0,1011.05,1015.85,1014.98,305947,31053011700000.0,37960.36691904485,189661,0.6199
2010-06-07,PNB,EQ,1015.85,981.35,1008.85,981.35,1002.5,1003.0,998.11,177751,17741572230000.0,37960.36691904485,69444,0.3907
2010-06-08,PNB,EQ,1003.0,1008.9,1014.9,1000.0,1009.95,1004.2,1010.4,294852,29791776660000.004,37960.36691904485,197898,0.6712
2010-06-09,PNB,EQ,1004.2,1008.0,1024.75,1000.3,1020.15,1020.0,1018.78,448390,45680942640000.0,37960.36691904485,273413,0.6098
2010-06-10,PNB,EQ,1020.0,1015.55,1029.75,1010.0,1018.3,1019.1,1020.65,271395,27700008870000.0,37960.36691904485,65954,0.24300000000000002
2010-06-11,PNB,EQ,1019.1,1034.0,1039.5,1023.2,1035.0,1034.9,1034.57,352710,36490365260000.0,37960.36691904485,221535,0.6281
2010-06-14,PNB,EQ,1034.9,1037.0,1056.0,1031.0,1049.1,1049.65,1046.85,256423,26843584510000.004,37960.36691904485,116437,0.45409999999999995
2010-06-15,PNB,EQ,1049.65,1046.55,1061.0,1038.55,1050.0,1051.0,1048.43,242873,25463635980000.0,37960.36691904485,92150,0.37939999999999996
2010-06-16,PNB,EQ,1051.0,1052.55,1056.65,1032.3,1036.0,1041.8,1047.84,163473,17129273650000.0,37960.36691904485,47511,0.29059999999999997
2010-06-17,PNB,EQ,1041.8,1033.0,1039.65,1025.25,1030.0,1033.85,1031.84,243388,25113720085000.0,37960.36691904485,122916,0.505
2010-06-18,PNB,EQ,1033.85,1023.5,1041.7,1023.5,1036.9,1036.7,1034.84,178027,18422933230000.0,37960.36691904485,72983,0.41000000000000003
2010-06-21,PNB,EQ,1036.7,1050.0,1068.7,1041.4,1051.95,1050.05,1050.43,214684,22551132690000.0,37960.36691904485,134252,0.6253000000000001
2010-06-22,PNB,EQ,1050.05,1049.0,1049.8,1041.55,1045.0,1046.1,1046.75,152390,15951360360000.0,37960.36691904485,76188,0.5
2010-06-23,PNB,EQ,1046.1,1047.9,1054.8,1040.0,1050.05,1050.25,1049.26,260653,27349392935000.004,37960.36691904485,145021,0.5564
2010-06-24,PNB,EQ,1050.25,1054.0,1068.9,1050.0,1063.0,1063.7,1063.57,405174,43092932720000.0,37960.36691904485,170118,0.41990000000000005
2010-06-25,PNB,EQ,1063.7,1031.35,1065.0,1031.35,1048.1,1049.1,1052.38,244363,25716321980000.0,37960.36691904485,112296,0.4595
2010-06-28,PNB,EQ,1049.1,1045.0,1064.5,1044.9,1049.35,1050.3,1053.84,214665,22622319245000.0,37960.36691904485,104472,0.4867
2010-06-29,PNB,EQ,1050.3,1050.3,1055.0,1032.75,1048.45,1048.55,1047.71,193000,20220861820000.0,37960.36691904485,100263,0.5195000000000001
