Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,PTC,EQ,112.9,113.5,117.4,112.55,116.7,116.55,115.46,2068498,23881926550000.0,9020.365967365968,759777,0.36729999999999996
2010-01-05,PTC,EQ,116.55,118.0,120.65,116.25,117.85,117.8,118.08,3659934,43217473490000.0,9020.365967365968,1650719,0.451
2010-01-06,PTC,EQ,117.8,118.7,122.35,117.0,120.45,120.1,119.9,2705560,32438926485000.004,9020.365967365968,1084887,0.401
2010-01-07,PTC,EQ,120.1,120.5,123.85,118.55,123.45,123.1,121.04,2394529,28984562185000.004,9020.365967365968,1092216,0.4561
2010-01-08,PTC,EQ,123.1,123.0,125.25,119.55,120.6,120.3,122.64,2068522,25368587020000.0,9020.365967365968,813781,0.3934
2010-01-11,PTC,EQ,120.3,121.5,122.0,116.15,117.25,116.9,118.42,2082548,24661669735000.0,9020.365967365968,1165231,0.5595
2010-01-12,PTC,EQ,116.9,117.0,119.0,115.0,115.75,115.55,116.58,2256082,26302219130000.0,9020.365967365968,900336,0.39909999999999995
2010-01-13,PTC,EQ,115.55,116.5,124.6,116.5,122.75,122.35,122.05,9602995,117205639350000.0,9020.365967365968,3932945,0.4096
2010-01-14,PTC,EQ,122.35,123.05,123.45,119.1,120.1,119.8,121.03,1907181,23082340300000.0,9020.365967365968,717007,0.376
2010-01-15,PTC,EQ,119.8,119.9,123.4,119.15,120.5,120.45,120.83,1980532,23930088785000.0,9020.365967365968,659540,0.33299999999999996
2010-01-18,PTC,EQ,120.45,120.5,124.95,119.5,124.5,124.1,122.7,2442134,29964045730000.0,9020.365967365968,1246760,0.5105
2010-01-19,PTC,EQ,124.1,124.1,125.2,118.2,119.2,119.6,120.76,2076531,25075343095000.0,9020.365967365968,809557,0.3899
2010-01-20,PTC,EQ,119.6,120.45,120.65,115.65,118.1,117.95,118.36,779757,9228845635000.0,9020.365967365968,204263,0.262
2010-01-21,PTC,EQ,117.95,116.0,117.75,111.6,113.25,113.4,114.08,1731594,19753619420000.0,9020.365967365968,860578,0.49700000000000005
2010-01-22,PTC,EQ,113.4,112.5,115.9,106.9,113.0,113.4,112.46,2406952,27068111745000.0,9020.365967365968,1063966,0.44200000000000006
2010-01-25,PTC,EQ,113.4,113.0,114.35,110.85,111.9,111.75,112.33,777913,8738499765000.001,9020.365967365968,317355,0.408
2010-01-27,PTC,EQ,111.75,111.0,112.7,108.5,109.5,110.1,110.55,1281442,14165962050000.0,9020.365967365968,582569,0.4546
2010-01-28,PTC,EQ,110.1,112.0,113.5,109.7,111.0,111.0,111.05,1632087,18124314375000.0,9020.365967365968,917914,0.5624
2010-01-29,PTC,EQ,111.0,110.8,111.55,106.75,109.8,109.8,109.25,889536,9718600655000.0,9020.365967365968,277418,0.3119
2010-02-01,PTC,EQ,109.8,110.0,110.5,107.3,109.7,109.3,109.28,1307246,14285315394999.998,9020.365967365968,578474,0.4425
2010-02-02,PTC,EQ,109.3,111.0,111.3,103.65,104.4,104.25,107.02,2216903,23724603030000.0,9020.365967365968,1183783,0.534
2010-02-03,PTC,EQ,104.25,105.0,108.2,104.5,107.1,107.0,106.58,1432794,15270679960000.0,9020.365967365968,471900,0.32939999999999997
