Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-04-01,REPCOHOME,EQ,172.0,159.95,175.9,158.0,164.7,161.8,168.02,7902123,132773435070000.0,54288,3015202,0.3816
2013-04-02,REPCOHOME,EQ,161.8,164.0,176.4,163.15,175.0,174.25,171.3,786420,13471135535000.0,11230,290667,0.36960000000000004
2013-04-03,REPCOHOME,EQ,174.25,179.0,179.0,170.5,171.4,171.55,174.07,347423,6047677885000.0,5152,192564,0.5543
2013-04-04,REPCOHOME,EQ,171.55,172.0,173.45,169.15,170.2,170.85,171.2,72842,1247078060000.0,1028,40958,0.5623
2013-04-05,REPCOHOME,EQ,170.85,170.85,173.85,169.6,172.5,172.45,172.15,46510,800671700000.0,794,26517,0.5700999999999999
2013-04-08,REPCOHOME,EQ,172.45,175.0,175.0,170.0,174.0,173.9,172.16,216898,3734192104999.9995,895,194606,0.8972
2013-04-09,REPCOHOME,EQ,173.9,173.3,174.75,171.0,172.45,171.35,172.54,13703,236430954999.99997,323,10299,0.7515999999999999
2013-04-10,REPCOHOME,EQ,171.35,171.2,173.9,169.0,172.0,171.65,171.45,58029,994906500000.0,778,40787,0.7029000000000001
2013-04-11,REPCOHOME,EQ,171.65,173.0,173.0,167.0,168.6,168.3,169.4,21009,355896290000.0,348,15833,0.7536
2013-04-12,REPCOHOME,EQ,168.3,168.0,172.0,166.1,169.55,170.55,170.48,15542,264953910000.0,364,10711,0.6892
2013-04-15,REPCOHOME,EQ,170.55,170.25,172.0,167.8,171.75,171.85,171.94,188513,3241286330000.0,220,186892,0.9914000000000001
2013-04-16,REPCOHOME,EQ,171.85,171.4,172.0,169.1,171.3,171.15,170.62,35269,601756350000.0,204,33045,0.9369
2013-04-17,REPCOHOME,EQ,171.15,171.55,172.3,168.0,169.8,169.75,170.04,312019,5305517225000.0,522,302218,0.9686
2013-04-18,REPCOHOME,EQ,169.75,169.95,171.8,169.0,170.5,170.65,170.18,17425,296547275000.0,169,10294,0.5908
2013-04-22,REPCOHOME,EQ,170.65,172.4,173.3,168.3,168.4,168.75,169.15,17107,289373065000.0,190,15460,0.9037000000000001
2013-04-23,REPCOHOME,EQ,168.75,171.95,173.0,168.65,169.5,169.45,169.4,16237,275059885000.0,152,14072,0.8667
2013-04-25,REPCOHOME,EQ,169.45,169.85,171.0,168.0,168.05,168.1,169.2,16586,280627290000.0,224,11982,0.7223999999999999
2013-04-26,REPCOHOME,EQ,168.1,166.0,171.0,165.15,170.75,170.7,170.05,287777,4893559500000.0,123,285314,0.9914000000000001
2013-04-29,REPCOHOME,EQ,170.7,169.0,176.0,169.0,173.0,173.05,173.66,26285,456456734999.99994,434,15761,0.5996
2013-04-30,REPCOHOME,EQ,173.05,171.05,174.0,170.0,171.45,170.9,171.67,4645,79740610000.0,100,3778,0.8133
2013-05-02,REPCOHOME,EQ,170.9,172.0,174.0,170.8,174.0,172.75,172.53,69441,1198044250000.0,253,49513,0.713
2013-05-03,REPCOHOME,EQ,172.75,173.95,173.95,170.2,173.0,171.95,172.03,23542,404990965000.0,787,22726,0.9653
2013-05-06,REPCOHOME,EQ,171.95,174.0,175.0,172.55,175.0,174.3,174.38,18602,324386975000.0,255,16996,0.9137000000000001
2013-05-07,REPCOHOME,EQ,174.3,174.95,176.0,173.1,174.2,175.3,174.86,35191,615361615000.0,431,32199,0.915
2013-05-08,REPCOHOME,EQ,175.3,175.0,179.4,174.0,177.95,177.1,178.08,19369,344920875000.0,300,15152,0.7823000000000001
2013-05-09,REPCOHOME,EQ,177.1,177.95,184.0,177.5,178.2,181.25,180.6,63439,1145728815000.0,598,46752,0.737
2013-05-10,REPCOHOME,EQ,181.25,182.0,198.4,182.0,187.0,187.35,190.04,136776,2599304820000.0,2379,60649,0.4434
2013-05-11,REPCOHOME,EQ,187.35,187.0,197.35,187.0,190.05,191.15,192.4,37383,719246510000.0,621,27016,0.7227
2013-05-13,REPCOHOME,EQ,191.15,199.9,199.9,192.5,194.25,194.25,196.19,62436,1224905570000.0,1071,47716,0.7642
2013-05-14,REPCOHOME,EQ,194.25,196.8,198.0,195.0,195.15,195.95,196.66,21384,420547759999.99994,569,16298,0.7622
2013-05-15,REPCOHOME,EQ,195.95,198.45,203.8,185.0,202.1,202.05,199.07,459618,9149681455000.0,993,445644,0.9695999999999999
2013-05-16,REPCOHOME,EQ,202.05,201.0,224.0,201.0,205.5,205.65,210.38,113507,2388016540000.0,1769,79059,0.6965000000000001
2013-05-17,REPCOHOME,EQ,205.65,207.9,210.4,204.95,208.0,209.7,208.82,37124,775239695000.0,1450,28540,0.7687999999999999
2013-05-20,REPCOHOME,EQ,209.7,213.85,215.0,209.05,211.0,211.35,211.35,79915,1688998000000.0,553,74872,0.9369
2013-05-21,REPCOHOME,EQ,211.35,216.9,217.95,200.0,210.0,208.9,212.54,30897,656680095000.0,1131,22162,0.7173
2013-05-22,REPCOHOME,EQ,208.9,203.5,213.0,203.5,206.5,207.95,209.53,69544,1457153965000.0,604,59024,0.8487
2013-05-23,REPCOHOME,EQ,207.95,209.5,209.5,203.0,207.25,206.3,205.94,18954,390330350000.0,365,16000,0.8441
2013-05-24,REPCOHOME,EQ,206.3,206.6,227.0,206.0,218.0,214.55,210.67,42778,901199515000.0,480,36732,0.8587
2013-05-27,REPCOHOME,EQ,214.55,215.0,219.8,207.0,212.9,213.45,213.88,13399,286573915000.0,338,8633,0.6443000000000001
2013-05-28,REPCOHOME,EQ,213.45,213.4,221.95,213.4,220.0,218.35,218.67,119357,2609972625000.0,1471,86839,0.7276
2013-05-29,REPCOHOME,EQ,218.35,225.0,225.0,218.1,221.0,219.8,221.68,30433,674650935000.0,919,22770,0.7482
2013-05-30,REPCOHOME,EQ,219.8,217.0,225.35,213.15,220.0,219.55,218.93,23229,508554980000.0,498,17024,0.7329000000000001
2013-05-31,REPCOHOME,EQ,219.55,217.55,220.0,214.95,216.0,215.35,216.57,74660,1616913480000.0,426,71329,0.9554
2013-06-03,REPCOHOME,EQ,215.35,216.15,225.0,215.1,215.75,216.95,218.32,16197,353617080000.0,510,8855,0.5467000000000001
2013-06-04,REPCOHOME,EQ,216.95,219.35,220.05,216.55,220.0,218.65,218.68,26378,576832390000.0,267,8767,0.33240000000000003
2013-06-05,REPCOHOME,EQ,218.65,218.5,223.9,218.5,219.7,219.25,220.72,38785,856054760000.0,333,34584,0.8917
2013-06-06,REPCOHOME,EQ,219.25,221.0,221.7,214.0,215.0,214.95,215.31,56181,1209628740000.0,406,28358,0.5048
2013-06-07,REPCOHOME,EQ,214.95,216.95,217.9,208.65,211.0,210.3,213.71,19392,414419205000.0,427,17484,0.9016
2013-06-10,REPCOHOME,EQ,210.3,212.05,216.6,210.0,213.15,214.75,213.76,3609,77146750000.0,135,2250,0.6234000000000001
2013-06-11,REPCOHOME,EQ,214.75,214.5,214.5,202.95,207.8,205.7,208.51,64187,1338382275000.0,576,61005,0.9504000000000001
2013-06-12,REPCOHOME,EQ,205.7,206.0,218.95,203.5,212.0,211.75,211.41,21818,461253880000.0,488,15047,0.6897
2013-06-13,REPCOHOME,EQ,211.75,213.75,214.75,207.3,213.0,209.65,210.87,17247,363680535000.0,453,12798,0.742
2013-06-14,REPCOHOME,EQ,209.65,212.95,215.5,209.95,215.0,215.15,213.92,9559,204486650000.0,225,8258,0.8639
2013-06-17,REPCOHOME,EQ,215.15,209.3,222.75,209.3,222.75,220.15,217.25,23620,513140325000.0,390,20480,0.8671
2013-06-18,REPCOHOME,EQ,220.15,221.0,221.0,210.0,213.65,211.6,213.44,36426,777469330000.0,778,29631,0.8135
2013-06-19,REPCOHOME,EQ,211.6,212.0,218.05,209.0,209.5,211.2,212.57,21148,449550000000.0,276,17284,0.8173
2013-06-20,REPCOHOME,EQ,211.2,210.15,215.0,209.6,211.95,211.8,210.28,340899,7168269420000.0,641,335300,0.9836
