Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,RPOWER,EQ,155.1,156.0,156.8,153.7,156.05,156.05,155.53,1842177,28650763920000.0,23694.158508158507,585723,0.318
2010-01-05,RPOWER,EQ,156.05,157.0,162.2,156.0,160.35,160.45,159.7,5151407,82270081620000.0,23694.158508158507,1529523,0.2969
2010-01-06,RPOWER,EQ,160.45,161.0,161.5,158.45,159.1,158.95,159.74,2203879,35204648270000.0,23694.158508158507,560529,0.2543
2010-01-07,RPOWER,EQ,158.95,159.1,161.5,158.5,159.2,159.55,160.05,2346020,37548218095000.0,23694.158508158507,560011,0.23870000000000002
2010-01-08,RPOWER,EQ,159.55,159.0,162.25,158.6,160.3,160.05,160.68,2339345,37589635580000.0,23694.158508158507,589613,0.252
2010-01-11,RPOWER,EQ,160.05,162.1,164.4,161.35,162.0,161.85,162.33,1864623,30267877070000.0,23694.158508158507,622630,0.33390000000000003
2010-01-12,RPOWER,EQ,161.85,161.0,162.4,156.65,157.0,157.1,159.34,1938087,30881223435000.004,23694.158508158507,734327,0.3789
2010-01-13,RPOWER,EQ,157.1,156.5,158.05,155.0,158.0,157.7,156.81,1602936,25135695860000.0,23694.158508158507,541350,0.33770000000000006
2010-01-14,RPOWER,EQ,157.7,158.4,161.0,157.5,160.5,159.55,158.89,1359572,21602524385000.0,23694.158508158507,486276,0.3577
2010-01-15,RPOWER,EQ,159.55,160.0,162.4,158.5,159.8,159.3,160.62,2451432,39375570740000.0,23694.158508158507,1108661,0.4523
2010-01-18,RPOWER,EQ,159.3,160.9,162.4,158.1,159.55,159.6,160.4,1638514,26281592930000.0,23694.158508158507,456331,0.2785
2010-01-19,RPOWER,EQ,159.6,159.9,160.0,156.1,156.7,156.75,158.22,1196534,18931284955000.0,23694.158508158507,404125,0.33770000000000006
2010-01-20,RPOWER,EQ,156.75,157.1,159.25,156.5,156.9,156.9,157.66,1150559,18139268330000.0,23694.158508158507,368749,0.32049999999999995
2010-01-21,RPOWER,EQ,156.9,155.8,156.9,152.4,152.8,152.95,154.45,1338952,20679651025000.0,23694.158508158507,563245,0.4207
