Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,SHREECEM,EQ,1932.05,1925.0,1975.0,1907.75,1975.0,1962.45,1948.51,6976,1359281130000.0,3263.3205128205127,3392,0.48619999999999997
2010-01-05,SHREECEM,EQ,1962.45,2000.0,2065.0,1981.0,2055.1,2045.1,2019.53,19634,3965148800000.0,3263.3205128205127,13677,0.6966
2010-01-06,SHREECEM,EQ,2045.1,2060.0,2454.1,2031.15,2101.1,2119.25,2119.87,29100,6168826290000.0,3263.3205128205127,10356,0.35590000000000005
2010-01-07,SHREECEM,EQ,2119.25,2145.0,2323.65,2125.1,2265.0,2252.65,2195.59,36846,8089861890000.001,3263.3205128205127,22456,0.6095
2010-01-08,SHREECEM,EQ,2252.65,2272.0,2315.0,2200.1,2200.5,2220.05,2240.92,16820,3769229654999.9995,3263.3205128205127,9504,0.5650000000000001
2010-01-11,SHREECEM,EQ,2220.05,2260.0,2350.0,2225.1,2240.0,2272.15,2274.03,34698,7890444850000.0,3263.3205128205127,23290,0.6712
2010-01-12,SHREECEM,EQ,2272.15,2284.0,2284.0,2170.0,2185.0,2184.35,2226.89,12655,2818133340000.0,3263.3205128205127,7604,0.6009000000000001
2010-01-13,SHREECEM,EQ,2184.35,2174.9,2225.0,2174.9,2192.0,2206.5,2206.37,9520,2100467445000.0,3263.3205128205127,5440,0.5714
2010-01-14,SHREECEM,EQ,2206.5,2216.0,2344.6,2210.0,2265.0,2258.5,2241.39,13575,3042692600000.0,3263.3205128205127,7487,0.5515
2010-01-15,SHREECEM,EQ,2258.5,2266.0,2279.95,2207.0,2215.0,2220.5,2243.61,7277,1632674410000.0,3263.3205128205127,4168,0.5728
2010-01-18,SHREECEM,EQ,2220.5,2201.05,2238.7,2139.95,2181.05,2190.8,2186.6,21665,4737275425000.0,3263.3205128205127,17815,0.8223
2010-01-19,SHREECEM,EQ,2190.8,2199.0,2236.0,2185.0,2194.7,2185.8,2202.54,9780,2154080060000.0002,3263.3205128205127,8021,0.8201
2010-01-20,SHREECEM,EQ,2185.8,2201.0,2228.95,2185.05,2195.0,2193.25,2199.3,5778,1270752975000.0,3263.3205128205127,4662,0.8069
2010-01-21,SHREECEM,EQ,2193.25,2175.0,2230.0,2090.0,2113.0,2116.15,2144.9,29461,6319078515000.0,3263.3205128205127,14518,0.4928
2010-01-22,SHREECEM,EQ,2116.15,2096.15,2125.0,2050.0,2085.0,2087.55,2079.69,10850,2256467770000.0,3263.3205128205127,8863,0.8169
2010-01-25,SHREECEM,EQ,2087.55,2100.0,2100.0,1990.8,2019.0,2018.9,2024.6,8905,1802905020000.0,3263.3205128205127,7449,0.8365
2010-01-27,SHREECEM,EQ,2018.9,2025.0,2025.0,1975.0,1988.0,1987.8,1986.5,16648,3307117095000.0,3263.3205128205127,14263,0.8567
2010-01-28,SHREECEM,EQ,1987.8,2010.0,2020.0,1971.1,1971.5,1984.85,2002.34,4278,856601250000.0,3263.3205128205127,2478,0.5792
2010-01-29,SHREECEM,EQ,1984.85,1951.05,2004.45,1890.0,2000.0,1972.6,1928.07,10010,1929994575000.0,3263.3205128205127,6743,0.6736
2010-02-01,SHREECEM,EQ,1972.6,1981.2,2027.0,1930.0,1975.0,1986.9,1987.77,11717,2329072805000.0,3263.3205128205127,9795,0.836
2010-02-02,SHREECEM,EQ,1986.9,2040.0,2042.5,1980.0,1991.0,1998.4,2006.91,6052,1214579295000.0,3263.3205128205127,4039,0.6674
2010-02-03,SHREECEM,EQ,1998.4,2010.0,2025.0,1994.0,1995.5,2001.5,2007.89,2230,447759370000.0,3263.3205128205127,1333,0.5978
2010-02-04,SHREECEM,EQ,2001.5,1981.0,2014.95,1950.0,1955.15,1951.25,1960.57,4430,868533844999.9999,3263.3205128205127,3139,0.7086
2010-02-05,SHREECEM,EQ,1951.25,1935.0,2010.0,1865.0,2010.0,1947.25,1926.93,7258,1398566945000.0,3263.3205128205127,4672,0.6437
2010-02-06,SHREECEM,EQ,1947.25,1965.0,2000.0,1965.0,1995.1,1995.1,1989.46,816,162340100000.0,3263.3205128205127,581,0.7120000000000001
2010-02-08,SHREECEM,EQ,1995.1,1995.0,2065.0,1951.0,2002.0,2004.8,2007.71,7680,1541921465000.0,3263.3205128205127,3812,0.4964
2010-02-09,SHREECEM,EQ,2004.8,1985.0,2070.0,1970.0,1993.45,1985.2,2024.26,8170,1653821690000.0,3263.3205128205127,4387,0.537
2010-02-10,SHREECEM,EQ,1985.2,2060.0,2084.0,1953.0,1964.0,1963.4,2000.03,100635,20127300650000.0,3263.3205128205127,98307,0.9769
2010-02-11,SHREECEM,EQ,1963.4,1971.05,2025.0,1970.0,2000.0,1995.05,2000.37,24742,4949310405000.0,3263.3205128205127,22436,0.9068
2010-02-15,SHREECEM,EQ,1995.05,2005.0,2018.0,1990.2,1995.0,1996.8,2003.75,2391,479096775000.0,3263.3205128205127,1631,0.6820999999999999
2010-02-16,SHREECEM,EQ,1996.8,2006.5,2040.0,1991.0,2035.0,2028.7,2002.46,26271,5260673670000.0,3263.3205128205127,24746,0.9420000000000001
2010-02-17,SHREECEM,EQ,2028.7,2040.0,2116.0,2040.0,2115.0,2096.2,2080.93,11051,2299638495000.0,3263.3205128205127,6136,0.5552
2010-02-18,SHREECEM,EQ,2096.2,2100.0,2120.0,2075.0,2110.0,2102.65,2099.44,8372,1757647355000.0,3263.3205128205127,6746,0.8058
2010-02-19,SHREECEM,EQ,2102.65,2070.1,2158.0,2050.0,2150.0,2135.6,2095.66,5569,1167071845000.0,3263.3205128205127,3442,0.6181
2010-02-22,SHREECEM,EQ,2135.6,2160.0,2260.0,2149.0,2260.0,2250.25,2236.42,37371,8357721240000.001,3263.3205128205127,30031,0.8036
2010-02-23,SHREECEM,EQ,2250.25,2270.0,2290.0,2136.0,2237.0,2221.75,2227.89,25713,5728577665000.0,3263.3205128205127,13422,0.522
2010-02-24,SHREECEM,EQ,2221.75,2275.5,2275.5,2181.0,2194.0,2195.85,2197.38,14800,3252123330000.0,3263.3205128205127,11580,0.7824
2010-02-25,SHREECEM,EQ,2195.85,2150.0,2233.95,2100.0,2101.0,2105.95,2126.9,14391,3060827815000.0,3263.3205128205127,8767,0.6092000000000001
2010-02-26,SHREECEM,EQ,2105.95,2144.0,2170.0,2105.95,2140.0,2141.05,2138.41,8879,1898694114999.9998,3263.3205128205127,6857,0.7723000000000001
2010-03-02,SHREECEM,EQ,2141.05,2151.0,2192.5,2151.0,2185.0,2179.15,2179.33,2562,558344965000.0,3263.3205128205127,1624,0.6339
