Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,SRTRANSFIN,EQ,487.9,465.0,490.0,465.0,480.0,476.7,472.89,296306,14011903519999.998,25115.21212121212,215263,0.7265
2010-01-05,SRTRANSFIN,EQ,476.7,478.0,500.0,476.15,477.15,479.95,489.61,317826,15560921950000.0,25115.21212121212,195042,0.6137
2010-01-06,SRTRANSFIN,EQ,479.95,480.05,484.0,455.25,476.75,472.95,476.48,1533860,73086002585000.0,25115.21212121212,1269232,0.8275
2010-01-07,SRTRANSFIN,EQ,472.95,473.0,504.0,465.1,487.9,487.5,488.95,322555,15771242135000.0,25115.21212121212,183433,0.5687
2010-01-08,SRTRANSFIN,EQ,487.5,485.0,504.7,485.0,498.0,497.75,497.45,322114,16023553535000.0,25115.21212121212,230043,0.7142000000000001
2010-01-11,SRTRANSFIN,EQ,497.75,495.0,515.0,492.25,504.0,501.55,504.7,455753,23001876500000.0,25115.21212121212,305709,0.6708
2010-01-12,SRTRANSFIN,EQ,501.55,513.35,519.0,498.25,503.0,503.5,507.89,410342,20840717190000.0,25115.21212121212,262427,0.6395000000000001
2010-01-13,SRTRANSFIN,EQ,503.5,500.0,520.0,500.0,508.0,507.9,511.63,329411,16853517065000.0,25115.21212121212,182594,0.5543
2010-01-14,SRTRANSFIN,EQ,507.9,509.0,516.0,505.0,511.0,509.85,509.92,179833,9170004435000.0,25115.21212121212,120494,0.67
2010-01-15,SRTRANSFIN,EQ,509.85,515.0,519.0,508.0,517.0,515.75,514.98,83374,4293611110000.0,25115.21212121212,45266,0.5429
2010-01-18,SRTRANSFIN,EQ,515.75,514.0,522.95,509.9,522.95,518.7,517.49,213017,11023356035000.0,25115.21212121212,86273,0.405
2010-01-19,SRTRANSFIN,EQ,518.7,522.0,524.4,512.6,520.0,518.25,517.3,499303,25828704230000.0,25115.21212121212,389350,0.7798
2010-01-20,SRTRANSFIN,EQ,518.25,521.7,521.8,511.0,515.8,515.5,515.95,339101,17495983155000.002,25115.21212121212,284634,0.8394
2010-01-21,SRTRANSFIN,EQ,515.5,518.0,519.0,496.3,503.0,502.85,508.9,249752,12709807855000.0,25115.21212121212,191677,0.7675000000000001
2010-01-22,SRTRANSFIN,EQ,502.85,490.1,509.7,490.0,502.4,501.1,500.35,347275,17375981450000.0,25115.21212121212,223499,0.6436000000000001
2010-01-25,SRTRANSFIN,EQ,501.1,506.0,506.0,495.1,499.0,499.0,500.22,164751,8241112315000.001,25115.21212121212,106535,0.6466
2010-01-27,SRTRANSFIN,EQ,499.0,495.6,504.0,481.0,490.0,489.25,493.63,369919,18260141175000.0,25115.21212121212,246288,0.6658
2010-01-28,SRTRANSFIN,EQ,489.25,491.0,502.0,490.0,495.0,494.25,493.3,76883,3792641720000.0005,25115.21212121212,53278,0.693
2010-01-29,SRTRANSFIN,EQ,494.25,490.05,498.7,488.05,490.0,489.8,491.28,227363,11169871315000.0,25115.21212121212,202359,0.89
2010-02-01,SRTRANSFIN,EQ,489.8,498.4,498.4,485.3,494.9,492.35,490.74,128665,6314087230000.0,25115.21212121212,93766,0.7288
2010-02-02,SRTRANSFIN,EQ,492.35,495.0,504.0,492.5,499.0,500.05,499.66,48888,2442754065000.0,25115.21212121212,35911,0.7345999999999999
2010-02-03,SRTRANSFIN,EQ,500.05,504.0,526.0,501.05,515.0,518.2,517.58,302393,15651151319999.998,25115.21212121212,159863,0.5287
2010-02-04,SRTRANSFIN,EQ,518.2,522.0,523.9,509.1,509.5,513.35,514.73,144542,7440081934999.999,25115.21212121212,126025,0.8719
2010-02-05,SRTRANSFIN,EQ,513.35,505.0,505.0,475.0,477.5,477.3,483.61,191588,9265390380000.0,25115.21212121212,153930,0.8034
2010-02-06,SRTRANSFIN,EQ,477.3,473.6,498.0,456.2,477.9,477.9,476.9,5620,268019429999.99997,25115.21212121212,2302,0.4096
2010-02-08,SRTRANSFIN,EQ,477.9,487.0,487.0,452.15,461.0,461.85,462.76,452831,20955341120000.0,25115.21212121212,387471,0.8556999999999999
2010-02-09,SRTRANSFIN,EQ,461.85,469.5,485.0,460.0,472.85,471.65,469.42,385623,18101927495000.0,25115.21212121212,334567,0.8676
2010-02-10,SRTRANSFIN,EQ,471.65,478.0,495.0,470.2,488.0,484.25,485.78,69109,3357144770000.0005,25115.21212121212,48205,0.6975
2010-02-11,SRTRANSFIN,EQ,484.25,482.4,489.85,482.4,485.4,487.65,488.02,96492,4708997840000.0,25115.21212121212,77870,0.807
2010-02-15,SRTRANSFIN,EQ,487.65,487.65,488.0,471.0,474.0,474.0,475.93,88969,4234273275000.0,25115.21212121212,75965,0.8538
2010-02-16,SRTRANSFIN,EQ,474.0,474.0,475.0,466.2,468.8,469.2,469.79,23040,1082389194999.9999,25115.21212121212,16358,0.71
2010-02-17,SRTRANSFIN,EQ,469.2,471.2,480.0,468.0,474.5,472.95,475.25,48221,2291696175000.0,25115.21212121212,40888,0.8479000000000001
2010-02-18,SRTRANSFIN,EQ,472.95,479.5,479.5,462.0,474.8,470.7,470.07,48414,2275793025000.0,25115.21212121212,39626,0.8185
2010-02-19,SRTRANSFIN,EQ,470.7,467.05,473.9,460.0,460.0,461.0,464.73,23737,1103121975000.0,25115.21212121212,12937,0.545
2010-02-22,SRTRANSFIN,EQ,461.0,472.0,475.0,461.25,463.0,463.55,467.08,73232,3420514135000.0,25115.21212121212,52053,0.7108
2010-02-23,SRTRANSFIN,EQ,463.55,470.0,470.0,451.15,458.0,455.15,458.08,108542,4972132840000.0,25115.21212121212,88630,0.8166
2010-02-24,SRTRANSFIN,EQ,455.15,455.5,456.0,440.1,442.7,444.9,448.94,442169,19850602780000.0,25115.21212121212,415286,0.9392
2010-02-25,SRTRANSFIN,EQ,444.9,443.0,450.0,426.5,430.4,431.0,431.55,243753,10519075915000.0,25115.21212121212,204343,0.8383
2010-02-26,SRTRANSFIN,EQ,431.0,431.0,468.05,431.0,462.75,460.6,454.49,909997,41358676555000.0,25115.21212121212,796306,0.8751000000000001
2010-03-02,SRTRANSFIN,EQ,460.6,472.0,483.0,465.5,470.0,472.1,476.77,380157,18124567620000.0,25115.21212121212,304840,0.8019
2010-03-03,SRTRANSFIN,EQ,472.1,470.0,479.9,456.65,461.7,461.6,466.01,247403,11529350685000.0,25115.21212121212,146932,0.5939
2010-03-04,SRTRANSFIN,EQ,461.6,453.6,468.95,453.6,464.0,463.1,466.29,144676,6746035495000.0,25115.21212121212,128205,0.8862000000000001
2010-03-05,SRTRANSFIN,EQ,463.1,461.0,468.0,453.6,466.0,461.75,463.73,113233,5250968635000.0,25115.21212121212,88684,0.7831999999999999
2010-03-08,SRTRANSFIN,EQ,461.75,467.0,480.5,462.25,479.8,475.65,474.66,205253,9742578000000.0,25115.21212121212,162948,0.7939
2010-03-09,SRTRANSFIN,EQ,475.65,480.0,508.7,478.0,504.0,504.55,497.21,352231,17513207244999.998,25115.21212121212,260223,0.7388
2010-03-10,SRTRANSFIN,EQ,504.55,504.55,509.9,495.4,498.05,501.85,500.67,738936,36996280830000.0,25115.21212121212,693883,0.9390000000000001
2010-03-11,SRTRANSFIN,EQ,501.85,495.6,511.0,490.6,500.0,503.25,503.21,180374,9076519905000.0,25115.21212121212,120228,0.6665000000000001
2010-03-12,SRTRANSFIN,EQ,503.25,508.9,509.95,495.0,498.0,499.5,501.49,1566985,78583171045000.0,25115.21212121212,1486256,0.9485
2010-03-15,SRTRANSFIN,EQ,499.5,500.0,503.0,480.05,493.95,492.4,491.36,155289,7630252155000.0,25115.21212121212,106931,0.6886
2010-03-16,SRTRANSFIN,EQ,492.4,495.5,500.0,494.95,498.0,498.0,497.51,30403,1512574865000.0,25115.21212121212,23504,0.7731
2010-03-17,SRTRANSFIN,EQ,498.0,493.3,513.0,493.3,509.0,508.85,505.8,72804,3682444895000.0005,25115.21212121212,61449,0.8440000000000001
2010-03-18,SRTRANSFIN,EQ,508.85,512.0,515.0,500.0,501.4,511.35,512.32,184818,9468542975000.0,25115.21212121212,171135,0.9259999999999999
2010-03-19,SRTRANSFIN,EQ,511.35,506.0,513.9,499.5,499.8,507.1,500.68,565114,28294198139999.996,25115.21212121212,530427,0.9386
2010-03-22,SRTRANSFIN,EQ,507.1,503.3,504.5,491.1,492.35,498.7,500.17,104530,5228228540000.0,25115.21212121212,85834,0.8211
2010-03-23,SRTRANSFIN,EQ,498.7,497.0,502.5,490.05,494.2,494.95,494.96,1101343,54511718345000.01,25115.21212121212,1087606,0.9875
2010-03-25,SRTRANSFIN,EQ,494.95,490.0,518.0,490.0,510.65,508.75,506.56,195143,9885169815000.0,25115.21212121212,142526,0.7304
2010-03-26,SRTRANSFIN,EQ,508.75,513.0,521.9,508.0,520.95,517.85,515.44,248660,12816929255000.0,25115.21212121212,204269,0.8215000000000001
2010-03-29,SRTRANSFIN,EQ,517.85,520.0,547.2,518.0,541.0,540.9,532.6,1186302,63182593015000.0,25115.21212121212,1018019,0.8581000000000001
2010-03-30,SRTRANSFIN,EQ,540.9,546.9,556.0,512.0,522.0,521.3,529.89,171906,9109188615000.0,25115.21212121212,102218,0.5946
2010-03-31,SRTRANSFIN,EQ,521.3,527.7,543.0,521.5,525.0,526.65,530.67,282662,15000015540000.0,25115.21212121212,223636,0.7912
2010-04-01,SRTRANSFIN,EQ,526.65,522.0,531.0,522.0,525.5,524.45,527.54,72019,3799295245000.0005,25115.21212121212,55668,0.773
2010-04-05,SRTRANSFIN,EQ,524.45,524.45,540.0,508.0,530.0,528.8,528.73,159137,8414096634999.999,25115.21212121212,144405,0.9074
2010-04-06,SRTRANSFIN,EQ,528.8,530.0,540.0,525.05,540.0,539.65,534.37,118965,6357130755000.0,25115.21212121212,88349,0.7426
2010-04-07,SRTRANSFIN,EQ,539.65,540.0,550.0,539.0,544.0,547.05,547.07,753650,41230188600000.0,25115.21212121212,710222,0.9424
2010-04-08,SRTRANSFIN,EQ,547.05,554.25,554.25,535.3,550.0,549.5,548.86,80943,4442613915000.0,25115.21212121212,57231,0.7071
2010-04-09,SRTRANSFIN,EQ,549.5,554.25,563.5,542.0,558.05,558.85,558.13,578178,32269916175000.0,25115.21212121212,547971,0.9478
2010-04-12,SRTRANSFIN,EQ,558.85,555.0,563.9,545.0,560.2,559.55,558.84,287102,16044275660000.0,25115.21212121212,268712,0.9359000000000001
2010-04-13,SRTRANSFIN,EQ,559.55,564.8,564.8,542.25,555.0,555.1,554.44,342239,18975030575000.0,25115.21212121212,307387,0.8982
2010-04-15,SRTRANSFIN,EQ,555.1,558.0,574.0,558.0,565.0,566.9,565.17,558130,31544037720000.0,25115.21212121212,477483,0.8555
2010-04-16,SRTRANSFIN,EQ,566.9,568.6,573.0,555.0,557.5,558.6,559.14,69841,3905114650000.0,25115.21212121212,53526,0.7664
2010-04-19,SRTRANSFIN,EQ,558.6,555.2,562.0,550.0,556.1,556.7,554.96,46182,2562930720000.0,25115.21212121212,34059,0.7375
2010-04-20,SRTRANSFIN,EQ,556.7,555.2,572.0,550.1,556.5,562.25,559.43,43490,2432942330000.0,25115.21212121212,24784,0.5699000000000001
2010-04-21,SRTRANSFIN,EQ,562.25,558.0,575.0,551.4,555.0,557.0,560.27,62157,3482470920000.0005,25115.21212121212,27112,0.4362
2010-04-22,SRTRANSFIN,EQ,557.0,557.0,557.0,550.0,552.5,553.85,553.22,48877,2703976540000.0,25115.21212121212,36462,0.746
2010-04-23,SRTRANSFIN,EQ,553.85,559.35,559.35,520.1,526.0,525.85,529.04,229168,12123895630000.0,25115.21212121212,143115,0.6245
2010-04-26,SRTRANSFIN,EQ,525.85,534.85,559.8,525.0,555.15,550.75,541.13,175455,9494383030000.0,25115.21212121212,142025,0.8095
2010-04-27,SRTRANSFIN,EQ,550.75,555.2,559.3,535.0,535.15,539.95,540.47,591866,31988609639999.996,25115.21212121212,565241,0.9550000000000001
2010-04-28,SRTRANSFIN,EQ,539.95,533.95,537.0,528.0,534.0,530.95,530.24,575165,30497457085000.004,25115.21212121212,561981,0.9771
2010-04-29,SRTRANSFIN,EQ,530.95,535.1,543.95,522.0,526.0,526.5,529.82,95271,5047620280000.0,25115.21212121212,43821,0.46
2010-04-30,SRTRANSFIN,EQ,526.5,536.2,576.0,534.7,566.35,567.5,550.93,723933,39883803045000.0,25115.21212121212,570620,0.7881999999999999
2010-05-03,SRTRANSFIN,EQ,567.5,579.9,586.5,561.8,573.25,574.45,574.93,278992,16040079775000.0,25115.21212121212,146435,0.5249
2010-05-04,SRTRANSFIN,EQ,574.45,584.0,604.9,563.0,593.5,593.2,597.59,525180,31384130105000.0,25115.21212121212,351584,0.6695000000000001
2010-05-05,SRTRANSFIN,EQ,593.2,588.0,604.45,571.15,594.2,598.45,588.35,79293,4665239080000.0,25115.21212121212,46257,0.5834
2010-05-06,SRTRANSFIN,EQ,598.45,598.0,614.9,590.1,612.0,608.8,603.91,156186,9432240635000.0,25115.21212121212,100197,0.6415000000000001
2010-05-07,SRTRANSFIN,EQ,608.8,601.1,603.85,573.15,580.0,582.3,588.17,250743,14748071500000.0,25115.21212121212,206116,0.8220000000000001
2010-05-10,SRTRANSFIN,EQ,582.3,577.0,594.95,560.0,563.0,564.45,573.15,239869,13748188160000.0,25115.21212121212,204436,0.8523000000000001
2010-05-11,SRTRANSFIN,EQ,564.45,562.9,577.8,535.25,544.0,543.1,563.51,2345555,132175484865000.02,25115.21212121212,2216470,0.9450000000000001
2010-05-12,SRTRANSFIN,EQ,543.1,558.0,645.0,526.1,532.15,533.45,555.57,1331751,73988024435000.0,25115.21212121212,788562,0.5921000000000001
2010-05-13,SRTRANSFIN,EQ,533.45,537.45,558.9,537.45,547.35,548.95,549.64,478167,26281888325000.0,25115.21212121212,396756,0.8297
2010-05-14,SRTRANSFIN,EQ,548.95,554.8,575.0,542.05,569.0,569.4,564.95,381756,21567213535000.0,25115.21212121212,268787,0.7041
2010-05-17,SRTRANSFIN,EQ,569.4,569.0,569.9,548.1,551.9,552.55,554.41,98245,5446766210000.0,25115.21212121212,70715,0.7198000000000001
2010-05-18,SRTRANSFIN,EQ,552.55,545.0,555.0,540.0,546.0,548.65,546.45,243016,13279488040000.0,25115.21212121212,183737,0.7561
2010-05-19,SRTRANSFIN,EQ,548.65,550.0,550.0,527.1,532.25,533.75,536.55,195136,10469986620000.0,25115.21212121212,125027,0.6406999999999999
2010-05-20,SRTRANSFIN,EQ,533.75,528.25,544.95,528.25,532.8,536.6,536.7,439929,23611036365000.0,25115.21212121212,388328,0.8826999999999999
2010-05-21,SRTRANSFIN,EQ,536.6,529.8,550.0,528.0,547.0,542.65,533.5,241717,12895613070000.0,25115.21212121212,206717,0.8552
2010-05-24,SRTRANSFIN,EQ,542.65,559.0,559.0,535.0,540.35,544.8,547.0,80339,4394535200000.0,25115.21212121212,50272,0.6257
2010-05-25,SRTRANSFIN,EQ,544.8,532.1,545.0,525.0,530.0,534.2,533.31,88638,4727192830000.0,25115.21212121212,51913,0.5857
2010-05-26,SRTRANSFIN,EQ,534.2,542.7,542.7,525.0,530.0,529.25,531.32,149348,7935168650000.0,25115.21212121212,115950,0.7764
2010-05-27,SRTRANSFIN,EQ,529.25,528.0,539.8,528.0,539.0,533.35,532.08,54538,2901881165000.0,25115.21212121212,40757,0.7473000000000001
2010-05-28,SRTRANSFIN,EQ,533.35,544.0,573.9,536.25,553.0,557.6,559.55,276308,15460700315000.0,25115.21212121212,139909,0.5064
2010-05-31,SRTRANSFIN,EQ,557.6,557.6,575.0,553.1,572.65,572.45,569.98,98389,5607983160000.0,25115.21212121212,59607,0.6058
2010-06-01,SRTRANSFIN,EQ,572.45,573.0,588.8,571.3,572.1,578.0,580.3,740320,42961113215000.0,25115.21212121212,534257,0.7217
2010-06-02,SRTRANSFIN,EQ,578.0,579.9,590.0,571.0,585.0,583.7,581.41,334996,19476862725000.0,25115.21212121212,254439,0.7595000000000001
2010-06-03,SRTRANSFIN,EQ,583.7,588.45,588.95,576.25,581.85,580.6,584.56,203079,11871264905000.0,25115.21212121212,175214,0.8628
2010-06-04,SRTRANSFIN,EQ,580.6,583.85,585.0,576.5,585.0,584.7,580.67,136949,7952206734999.999,25115.21212121212,122248,0.8926999999999999
2010-06-07,SRTRANSFIN,EQ,584.7,571.0,582.5,570.0,581.0,579.05,573.81,31788,1824016525000.0,25115.21212121212,22786,0.7168000000000001
2010-06-08,SRTRANSFIN,EQ,579.05,572.75,588.0,572.75,577.3,584.25,583.71,328017,19146837405000.0,25115.21212121212,289056,0.8812000000000001
2010-06-09,SRTRANSFIN,EQ,584.25,587.0,587.0,572.0,580.6,581.65,584.36,681748,39838434375000.0,25115.21212121212,655376,0.9612999999999999
2010-06-10,SRTRANSFIN,EQ,581.65,589.7,599.5,581.0,584.9,584.6,584.36,41846,2445327900000.0,25115.21212121212,27399,0.6548
2010-06-11,SRTRANSFIN,EQ,584.6,556.65,592.0,556.65,586.0,589.25,590.38,201944,11922270165000.0,25115.21212121212,136789,0.6774
2010-06-14,SRTRANSFIN,EQ,589.25,589.25,590.0,578.0,580.85,581.85,583.03,44468,2592629205000.0,25115.21212121212,30525,0.6864
2010-06-15,SRTRANSFIN,EQ,581.85,583.0,588.0,578.0,583.35,583.75,583.34,40743,2376721015000.0,25115.21212121212,26465,0.6496
