Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,TATASTEEL,EQ,617.7,622.0,636.5,616.9,636.25,633.75,628.71,5569757,350178757685000.0,73269.09090909091,1107657,0.19890000000000002
2010-01-05,TATASTEEL,EQ,633.75,638.55,654.8,638.55,647.6,649.1,648.67,7801935,506091593175000.0,73269.09090909091,2824636,0.36200000000000004
2010-01-06,TATASTEEL,EQ,649.1,660.0,660.0,637.0,643.2,642.05,645.32,7350435,474334897114999.94,73269.09090909091,2285424,0.3109
2010-01-07,TATASTEEL,EQ,642.05,644.9,652.8,640.1,647.2,649.8,646.56,7635704,493694938114999.94,73269.09090909091,2342356,0.3068
2010-01-08,TATASTEEL,EQ,649.8,651.0,661.5,640.9,648.6,648.45,650.67,8199586,533520912335000.06,73269.09090909091,2545487,0.3104
2010-01-11,TATASTEEL,EQ,648.45,650.0,655.9,645.2,647.9,648.5,651.02,6640749,432326765710000.06,73269.09090909091,2785052,0.4194
2010-01-12,TATASTEEL,EQ,648.5,641.5,648.75,623.85,625.0,625.55,634.91,6832387,433797676535000.06,73269.09090909091,2371750,0.3471
2010-01-13,TATASTEEL,EQ,625.55,615.0,641.8,615.0,641.4,639.25,631.76,10315049,651662093745000.0,73269.09090909091,3529470,0.3422
2010-01-14,TATASTEEL,EQ,639.25,644.75,651.2,641.55,647.0,647.7,646.09,6642444,429163732570000.0,73269.09090909091,2828008,0.4257
2010-01-15,TATASTEEL,EQ,647.7,650.0,650.95,640.0,644.95,645.15,644.55,4292540,276677669355000.03,73269.09090909091,1480116,0.3448
2010-01-18,TATASTEEL,EQ,645.15,642.0,642.0,630.75,639.05,637.5,635.83,5948930,378250734560000.0,73269.09090909091,2466135,0.4146
2010-01-19,TATASTEEL,EQ,637.5,636.0,645.6,632.0,636.25,637.65,639.4,5015647,320700688535000.0,73269.09090909091,2112435,0.42119999999999996
2010-01-20,TATASTEEL,EQ,637.65,638.0,657.4,638.0,652.0,653.7,648.89,7929039,514510438225000.0,73269.09090909091,3270629,0.41250000000000003
2010-01-21,TATASTEEL,EQ,653.7,649.5,659.5,642.25,649.0,648.0,651.14,10916900,710848368270000.0,73269.09090909091,5247846,0.4807
2010-01-22,TATASTEEL,EQ,648.0,641.1,641.1,617.0,621.1,624.55,626.05,8780340,549690231725000.0,73269.09090909091,3581752,0.4079
2010-01-25,TATASTEEL,EQ,624.55,620.0,625.7,606.9,610.0,609.9,613.68,5328645,327005882720000.0,73269.09090909091,1537882,0.2886
2010-01-27,TATASTEEL,EQ,609.9,599.9,605.7,553.25,555.8,559.65,578.03,10905233,630350371375000.0,73269.09090909091,4277179,0.3922
2010-01-28,TATASTEEL,EQ,559.65,566.0,589.4,565.0,587.85,585.4,576.27,12582874,725118653045000.0,73269.09090909091,2889782,0.2297
2010-01-29,TATASTEEL,EQ,585.4,578.0,581.0,551.7,568.95,569.1,566.01,11590124,656017843615000.0,73269.09090909091,3599214,0.3105
2010-02-01,TATASTEEL,EQ,569.1,560.0,584.8,557.95,581.95,579.85,575.74,6917219,398252823255000.0,73269.09090909091,1475356,0.2133
2010-02-02,TATASTEEL,EQ,579.85,585.0,594.6,570.65,573.0,573.3,583.55,9193208,536466491464999.94,73269.09090909091,3256655,0.3542
2010-02-03,TATASTEEL,EQ,573.3,578.0,603.6,577.1,601.0,600.4,594.66,9026480,536768506970000.0,73269.09090909091,2600924,0.28809999999999997
2010-02-04,TATASTEEL,EQ,600.4,596.0,596.0,574.0,575.8,577.7,585.23,6958982,407259500775000.0,73269.09090909091,2316558,0.3329
2010-02-05,TATASTEEL,EQ,577.7,540.0,561.5,540.0,549.95,550.2,550.87,8789441,484183791620000.0,73269.09090909091,2412778,0.2745
2010-02-06,TATASTEEL,EQ,550.2,555.0,563.0,551.2,558.95,558.95,557.85,819942,45740664955000.0,73269.09090909091,113370,0.1383
2010-02-08,TATASTEEL,EQ,558.95,550.0,565.9,528.1,533.6,533.85,540.12,14263921,770425027405000.0,73269.09090909091,5115557,0.3586
2010-02-09,TATASTEEL,EQ,533.85,531.0,542.2,530.0,533.6,533.55,536.54,7347298,394208311550000.0,73269.09090909091,1698583,0.23120000000000002
2010-02-10,TATASTEEL,EQ,533.55,536.0,544.7,519.3,520.55,522.45,535.21,6927734,370776207915000.0,73269.09090909091,1292791,0.18660000000000002
2010-02-11,TATASTEEL,EQ,522.45,524.85,538.35,524.85,534.1,533.95,532.5,6424782,342118613660000.0,73269.09090909091,1411837,0.2197
2010-02-15,TATASTEEL,EQ,533.95,537.5,544.5,530.6,539.0,539.9,537.95,7261457,390633058820000.0,73269.09090909091,2752649,0.3791
