Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,VOLTAS,EQ,173.3,174.0,176.6,171.8,176.05,175.4,173.96,659990,11480922230000.0,23801.726107226106,298283,0.452
2010-01-05,VOLTAS,EQ,175.4,177.8,177.8,173.6,175.05,175.05,174.97,1247982,21835586150000.0,23801.726107226106,671926,0.5384000000000001
2010-01-06,VOLTAS,EQ,175.05,176.0,180.2,173.0,179.0,178.9,177.5,1419089,25188591920000.0,23801.726107226106,464098,0.327
2010-01-07,VOLTAS,EQ,178.9,178.9,185.25,177.3,183.9,184.1,182.32,2523865,46015062140000.0,23801.726107226106,843305,0.33409999999999995
2010-01-08,VOLTAS,EQ,184.1,184.4,186.0,180.15,180.5,181.0,182.63,1219163,22265393830000.0,23801.726107226106,414890,0.3403
2010-01-11,VOLTAS,EQ,181.0,182.9,183.9,176.6,178.0,178.7,180.33,740947,13361578330000.0,23801.726107226106,309992,0.41840000000000005
2010-01-12,VOLTAS,EQ,178.7,178.95,182.75,177.0,178.0,178.1,179.18,929940,16662871565000.0,23801.726107226106,347267,0.37340000000000007
2010-01-13,VOLTAS,EQ,178.1,177.8,187.15,175.7,186.7,185.5,181.85,1716786,31219400555000.0,23801.726107226106,750684,0.43729999999999997
2010-01-14,VOLTAS,EQ,185.5,186.0,188.0,182.65,184.3,184.25,185.18,882199,16336197075000.0,23801.726107226106,220283,0.2497
2010-01-15,VOLTAS,EQ,184.25,186.85,188.9,183.55,184.9,184.8,186.22,1288825,24000317210000.0,23801.726107226106,452064,0.3508
2010-01-18,VOLTAS,EQ,184.8,183.25,184.85,180.45,182.0,181.65,181.95,887589,16149518130000.002,23801.726107226106,485188,0.5466
2010-01-19,VOLTAS,EQ,181.65,181.65,188.0,181.65,187.0,186.45,185.28,1093153,20253987690000.0,23801.726107226106,618233,0.5656
2010-01-20,VOLTAS,EQ,186.45,189.0,189.4,174.7,183.85,183.25,185.27,1105306,20478032130000.0,23801.726107226106,468025,0.42340000000000005
2010-01-21,VOLTAS,EQ,183.25,183.7,183.7,177.0,178.65,178.0,179.07,813019,14559052265000.0,23801.726107226106,375684,0.4621
2010-01-22,VOLTAS,EQ,178.0,175.0,181.35,171.0,180.1,180.35,177.28,1032707,18307890975000.0,23801.726107226106,414791,0.4017
2010-01-25,VOLTAS,EQ,180.35,180.35,180.35,168.8,169.1,171.6,174.62,1378714,24075288640000.0,23801.726107226106,699775,0.5075999999999999
2010-01-27,VOLTAS,EQ,171.6,168.7,169.6,155.0,159.35,157.5,160.5,5055030,81135142170000.0,23801.726107226106,3083695,0.61
2010-01-28,VOLTAS,EQ,157.5,161.9,162.9,155.2,156.9,157.1,158.28,2426664,38408171820000.0,23801.726107226106,1415144,0.5832
2010-01-29,VOLTAS,EQ,157.1,155.2,159.8,150.1,158.6,157.4,154.09,761236,11730209195000.0,23801.726107226106,281535,0.36979999999999996
2010-02-01,VOLTAS,EQ,157.4,157.75,161.35,154.55,158.0,158.0,158.24,1131172,17900108685000.0,23801.726107226106,605484,0.5353
2010-02-02,VOLTAS,EQ,158.0,161.25,163.8,155.5,161.0,159.1,160.41,1366633,21922831750000.0,23801.726107226106,685181,0.5014000000000001
2010-02-03,VOLTAS,EQ,159.1,160.95,166.45,158.85,166.1,164.25,162.09,1412380,22893569240000.0,23801.726107226106,801224,0.5673
2010-02-04,VOLTAS,EQ,164.25,164.5,166.5,158.55,160.3,159.6,163.23,1183731,19321658390000.0,23801.726107226106,443001,0.37420000000000003
2010-02-05,VOLTAS,EQ,159.6,153.2,156.0,151.05,154.3,154.65,153.88,1207827,18586144680000.0,23801.726107226106,725402,0.6006
2010-02-06,VOLTAS,EQ,154.65,155.5,156.4,154.3,155.1,155.1,155.09,65542,1016495380000.0001,23801.726107226106,19237,0.29350000000000004
2010-02-08,VOLTAS,EQ,155.1,150.35,157.95,150.35,153.75,153.9,153.7,977593,15025692975000.0,23801.726107226106,494304,0.5056
2010-02-09,VOLTAS,EQ,153.9,155.0,157.5,152.7,157.2,156.55,155.2,642318,9968566595000.0,23801.726107226106,327123,0.5093
2010-02-10,VOLTAS,EQ,156.55,158.0,164.8,157.65,163.25,162.9,162.33,1054788,17121956980000.002,23801.726107226106,371574,0.3523
