Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:17:00,AXISBANK_F1,487.7,487.75,487.4,487.75,92400,35278800
2016-11-01 09:18:00,AXISBANK_F1,487.7,487.7,486.6,486.75,166800,35278800
2016-11-01 09:19:00,AXISBANK_F1,486.95,486.95,485.4,485.4,115200,35278800
2016-11-01 09:20:00,AXISBANK_F1,485.55,486.35,485.1,486.35,102000,35408400
2016-11-01 09:21:00,AXISBANK_F1,486.7,488.2,486.7,486.9,146400,35408400
2016-11-01 09:22:00,AXISBANK_F1,486.9,486.9,485.95,485.95,82800,35408400
2016-11-01 09:23:00,AXISBANK_F1,485.85,486.7,485.8,486.7,52800,35473200
2016-11-01 09:24:00,AXISBANK_F1,486.85,487.0,485.9,485.9,108000,35473200
2016-11-01 09:25:00,AXISBANK_F1,485.85,486.0,484.95,484.95,169200,35473200
2016-11-01 09:26:00,AXISBANK_F1,484.95,485.0,484.2,484.6,151200,35552400
2016-11-01 09:27:00,AXISBANK_F1,484.85,485.35,484.55,484.55,68400,35552400
2016-11-01 09:28:00,AXISBANK_F1,484.65,484.65,484.05,484.4,79200,35552400
2016-11-01 09:29:00,AXISBANK_F1,484.35,485.0,484.3,485.0,58800,35594400
2016-11-01 09:30:00,AXISBANK_F1,484.8,485.7,484.75,485.7,48000,35594400
2016-11-01 09:31:00,AXISBANK_F1,485.75,485.75,485.0,485.0,55200,35594400
2016-11-01 09:32:00,AXISBANK_F1,485.0,485.05,484.4,484.5,31200,35612400
2016-11-01 09:33:00,AXISBANK_F1,484.4,485.15,484.4,484.65,39600,35612400
2016-11-01 09:34:00,AXISBANK_F1,484.9,484.9,484.55,484.9,40800,35612400
2016-11-01 09:35:00,AXISBANK_F1,484.8,484.8,484.1,484.3,51600,35659200
2016-11-01 09:36:00,AXISBANK_F1,484.3,484.65,484.3,484.4,25200,35659200
2016-11-01 09:37:00,AXISBANK_F1,484.3,484.65,484.25,484.65,46800,35659200
2016-11-01 09:38:00,AXISBANK_F1,484.5,484.85,484.5,484.65,97200,35713200
2016-11-01 09:39:00,AXISBANK_F1,484.5,484.7,484.4,484.7,36000,35713200
2016-11-01 09:40:00,AXISBANK_F1,484.55,484.65,483.15,483.25,127200,35713200
2016-11-01 09:41:00,AXISBANK_F1,483.3,483.85,482.85,482.95,190800,35778000
2016-11-01 09:42:00,AXISBANK_F1,482.85,483.25,482.55,483.0,74400,35778000
2016-11-01 09:43:00,AXISBANK_F1,482.85,484.0,482.7,482.8,138000,35778000
2016-11-01 09:44:00,AXISBANK_F1,482.8,483.15,482.8,483.15,42000,35761200
2016-11-01 09:45:00,AXISBANK_F1,483.15,483.5,483.0,483.3,48000,35761200
2016-11-01 09:46:00,AXISBANK_F1,483.5,483.7,483.4,483.7,34800,35761200
2016-11-01 09:47:00,AXISBANK_F1,483.65,484.05,483.65,483.8,55200,35701200
2016-11-01 09:48:00,AXISBANK_F1,483.9,483.9,483.1,483.2,51600,35701200
2016-11-01 09:49:00,AXISBANK_F1,483.2,483.4,483.0,483.15,52800,35701200
2016-11-01 09:50:00,AXISBANK_F1,483.15,483.15,482.8,482.95,38400,35743200
2016-11-01 09:51:00,AXISBANK_F1,482.85,483.0,482.3,482.45,85200,35743200
2016-11-01 09:52:00,AXISBANK_F1,482.4,482.5,481.6,482.1,194400,35743200
2016-11-01 09:53:00,AXISBANK_F1,482.0,482.25,482.0,482.05,52800,35857200
2016-11-01 09:54:00,AXISBANK_F1,481.9,482.1,481.8,482.0,69600,35857200
2016-11-01 09:55:00,AXISBANK_F1,481.85,482.15,481.65,482.0,70800,35857200
2016-11-01 09:56:00,AXISBANK_F1,482.05,482.15,481.7,481.9,26400,35859600
2016-11-01 09:57:00,AXISBANK_F1,481.85,481.95,481.7,481.9,38400,35859600
2016-11-01 09:58:00,AXISBANK_F1,482.0,482.2,481.9,482.0,46800,35859600
2016-11-01 09:59:00,AXISBANK_F1,482.15,482.4,482.1,482.35,36000,35905200
2016-11-01 10:00:00,AXISBANK_F1,482.45,482.6,482.25,482.25,45600,35905200
2016-11-01 10:01:00,AXISBANK_F1,482.2,482.45,482.0,482.25,44400,35905200
2016-11-01 10:02:00,AXISBANK_F1,482.1,482.3,482.1,482.2,14400,35908800
2016-11-01 10:03:00,AXISBANK_F1,482.35,482.35,482.1,482.1,18000,35908800
2016-11-01 10:04:00,AXISBANK_F1,482.35,482.35,482.1,482.3,20400,35908800
2016-11-01 10:05:00,AXISBANK_F1,482.2,482.2,480.4,480.75,231600,35928000
2016-11-01 10:06:00,AXISBANK_F1,480.6,481.5,480.6,481.45,127200,35928000
2016-11-01 10:07:00,AXISBANK_F1,481.5,481.5,481.0,481.0,37200,35928000
2016-11-01 10:08:00,AXISBANK_F1,481.15,481.55,481.15,481.55,21600,35995200
2016-11-01 10:09:00,AXISBANK_F1,481.6,481.7,481.3,481.65,32400,35995200
2016-11-01 10:10:00,AXISBANK_F1,481.5,481.5,481.35,481.35,18000,35995200
2016-11-01 10:11:00,AXISBANK_F1,481.3,481.5,481.3,481.4,22800,36002400
2016-11-01 10:12:00,AXISBANK_F1,481.25,481.45,481.25,481.3,22800,36002400
2016-11-01 10:13:00,AXISBANK_F1,481.45,481.8,481.45,481.65,20400,36002400
2016-11-01 10:14:00,AXISBANK_F1,481.7,481.8,481.55,481.75,26400,36013200
2016-11-01 10:15:00,AXISBANK_F1,481.8,482.1,481.8,482.05,30000,36013200
2016-11-01 10:16:00,AXISBANK_F1,482.1,482.1,481.65,481.65,52800,36013200
2016-11-01 10:17:00,AXISBANK_F1,481.75,481.9,481.5,481.9,61200,36026400
2016-11-01 10:18:00,AXISBANK_F1,481.95,481.95,481.55,481.65,18000,36026400
2016-11-01 10:19:00,AXISBANK_F1,481.55,481.65,481.55,481.65,9600,36026400
2016-11-01 10:20:00,AXISBANK_F1,481.7,481.8,481.55,481.8,19200,36030000
2016-11-01 10:21:00,AXISBANK_F1,481.75,481.8,481.6,481.6,36000,36030000
2016-11-01 10:22:00,AXISBANK_F1,481.6,481.75,481.5,481.65,14400,36030000
2016-11-01 10:23:00,AXISBANK_F1,481.5,481.6,481.4,481.5,13200,36044400
2016-11-01 10:24:00,AXISBANK_F1,481.35,481.45,481.3,481.3,27600,36044400
2016-11-01 10:25:00,AXISBANK_F1,481.5,481.55,481.4,481.4,33600,36044400
2016-11-01 10:26:00,AXISBANK_F1,481.45,481.5,481.45,481.5,13200,36073200
2016-11-01 10:27:00,AXISBANK_F1,481.8,481.8,481.6,481.75,33600,36073200
2016-11-01 10:28:00,AXISBANK_F1,481.85,481.9,481.75,481.8,19200,36073200
2016-11-01 10:29:00,AXISBANK_F1,481.9,481.9,481.7,481.9,15600,36090000
2016-11-01 10:30:00,AXISBANK_F1,481.8,481.8,481.6,481.75,9600,36090000
2016-11-01 10:31:00,AXISBANK_F1,481.75,481.75,481.35,481.55,25200,36090000
2016-11-01 10:32:00,AXISBANK_F1,481.45,481.65,481.45,481.65,6000,36099600
2016-11-01 10:33:00,AXISBANK_F1,481.7,481.85,481.7,481.85,20400,36099600
2016-11-01 10:34:00,AXISBANK_F1,481.75,481.75,481.55,481.7,15600,36099600
2016-11-01 10:35:00,AXISBANK_F1,481.65,481.7,481.55,481.65,9600,36086400
2016-11-01 10:36:00,AXISBANK_F1,481.55,481.85,481.55,481.85,28800,36086400
2016-11-01 10:37:00,AXISBANK_F1,481.75,481.85,481.7,481.85,8400,36086400
2016-11-01 10:38:00,AXISBANK_F1,481.85,481.9,481.7,481.8,21600,36109200
2016-11-01 10:39:00,AXISBANK_F1,481.85,481.9,481.8,481.9,12000,36109200
2016-11-01 10:40:00,AXISBANK_F1,481.9,481.95,481.7,481.95,16800,36109200
2016-11-01 10:41:00,AXISBANK_F1,481.95,481.95,481.8,481.8,20400,36114000
2016-11-01 10:42:00,AXISBANK_F1,481.8,481.85,481.65,481.65,13200,36114000
2016-11-01 10:43:00,AXISBANK_F1,481.7,481.8,481.5,481.65,16800,36114000
2016-11-01 10:44:00,AXISBANK_F1,481.75,481.8,481.55,481.7,24000,36050400
2016-11-01 10:45:00,AXISBANK_F1,481.95,482.0,481.8,482.0,16800,36050400
2016-11-01 10:46:00,AXISBANK_F1,482.0,482.0,481.6,481.75,38400,36050400
2016-11-01 10:47:00,AXISBANK_F1,481.85,481.85,481.85,481.85,1200,36050400
2016-11-01 10:48:00,AXISBANK_F1,481.7,481.7,481.7,481.7,1200,36068400
2016-11-01 10:49:00,AXISBANK_F1,481.8,481.8,481.6,481.6,7200,36068400
2016-11-01 10:50:00,AXISBANK_F1,481.7,481.75,481.65,481.7,8400,36073200
2016-11-01 10:51:00,AXISBANK_F1,481.7,481.7,481.5,481.65,20400,36073200
2016-11-01 10:52:00,AXISBANK_F1,481.7,481.8,481.6,481.6,15600,36073200
2016-11-01 10:53:00,AXISBANK_F1,481.55,481.75,481.55,481.65,15600,36092400
2016-11-01 10:54:00,AXISBANK_F1,481.6,481.6,481.35,481.35,12000,36092400
2016-11-01 10:55:00,AXISBANK_F1,481.4,481.4,481.25,481.25,14400,36092400
2016-11-01 10:56:00,AXISBANK_F1,481.2,481.2,480.8,480.9,66000,36108000
2016-11-01 10:57:00,AXISBANK_F1,480.8,481.05,480.65,481.05,50400,36108000
2016-11-01 10:58:00,AXISBANK_F1,480.95,481.05,480.9,480.9,9600,36108000
2016-11-01 10:59:00,AXISBANK_F1,481.0,481.05,480.7,480.8,79200,36140400
2016-11-01 11:00:00,AXISBANK_F1,480.9,481.25,480.9,481.25,16800,36140400
2016-11-01 11:01:00,AXISBANK_F1,481.45,481.5,481.0,481.25,30000,36140400
2016-11-01 11:02:00,AXISBANK_F1,481.45,481.5,481.45,481.5,4800,36158400
2016-11-01 11:03:00,AXISBANK_F1,481.5,481.7,481.45,481.7,18000,36158400
2016-11-01 11:04:00,AXISBANK_F1,481.5,481.6,481.5,481.6,8400,36158400
2016-11-01 11:05:00,AXISBANK_F1,481.5,481.55,481.45,481.55,19200,36169200
2016-11-01 11:06:00,AXISBANK_F1,481.5,481.5,481.25,481.25,38400,36169200
2016-11-01 11:07:00,AXISBANK_F1,481.25,481.35,481.15,481.15,25200,36169200
2016-11-01 11:08:00,AXISBANK_F1,481.1,481.35,481.1,481.35,25200,36220800
2016-11-01 11:09:00,AXISBANK_F1,481.3,481.3,481.2,481.3,10800,36220800
2016-11-01 11:10:00,AXISBANK_F1,481.3,481.3,481.0,481.2,36000,36220800
2016-11-01 11:11:00,AXISBANK_F1,481.15,481.25,481.15,481.2,16800,36266400
2016-11-01 11:12:00,AXISBANK_F1,481.25,481.4,481.15,481.35,19200,36266400
2016-11-01 11:13:00,AXISBANK_F1,481.4,481.6,481.4,481.4,14400,36266400
2016-11-01 11:14:00,AXISBANK_F1,481.4,481.4,481.1,481.15,22800,36285600
2016-11-01 11:15:00,AXISBANK_F1,481.2,481.4,481.2,481.4,4800,36285600
2016-11-01 11:16:00,AXISBANK_F1,481.3,481.6,481.3,481.6,12000,36285600
2016-11-01 11:17:00,AXISBANK_F1,481.7,481.9,481.5,481.75,26400,36301200
2016-11-01 11:18:00,AXISBANK_F1,481.9,482.0,481.7,481.7,37200,36301200
2016-11-01 11:19:00,AXISBANK_F1,481.75,482.2,481.6,481.95,54000,36301200
2016-11-01 11:20:00,AXISBANK_F1,482.05,482.1,481.85,482.0,27600,36346800
2016-11-01 11:21:00,AXISBANK_F1,481.9,482.05,481.9,481.95,13200,36346800
2016-11-01 11:22:00,AXISBANK_F1,481.9,482.0,481.85,482.0,20400,36346800
2016-11-01 11:23:00,AXISBANK_F1,481.95,482.15,481.85,481.9,34800,36358800
2016-11-01 11:24:00,AXISBANK_F1,481.65,482.1,481.65,482.0,30000,36358800
2016-11-01 11:25:00,AXISBANK_F1,482.0,482.0,481.8,481.85,8400,36358800
2016-11-01 11:26:00,AXISBANK_F1,481.9,482.05,481.9,482.05,16800,36382800
2016-11-01 11:27:00,AXISBANK_F1,482.1,482.15,481.85,482.0,31200,36382800
2016-11-01 11:28:00,AXISBANK_F1,481.9,482.0,481.7,481.85,8400,36382800
2016-11-01 11:29:00,AXISBANK_F1,481.85,482.1,481.8,482.0,22800,36404400
2016-11-01 11:30:00,AXISBANK_F1,482.0,482.0,481.8,482.0,8400,36404400
2016-11-01 11:31:00,AXISBANK_F1,482.0,482.0,481.9,481.95,6000,36404400
2016-11-01 11:32:00,AXISBANK_F1,482.0,482.15,482.0,482.0,19200,36404400
2016-11-01 11:33:00,AXISBANK_F1,482.05,482.2,482.05,482.05,13200,36414000
2016-11-01 11:34:00,AXISBANK_F1,482.0,482.1,481.85,482.0,37200,36414000
2016-11-01 11:35:00,AXISBANK_F1,482.0,482.1,482.0,482.1,13200,36418800
2016-11-01 11:36:00,AXISBANK_F1,482.0,482.1,482.0,482.1,7200,36418800
2016-11-01 11:37:00,AXISBANK_F1,482.15,482.35,482.15,482.35,43200,36418800
2016-11-01 11:38:00,AXISBANK_F1,482.4,482.8,482.4,482.55,55200,36414000
2016-11-01 11:39:00,AXISBANK_F1,482.55,482.55,482.4,482.4,16800,36414000
2016-11-01 11:40:00,AXISBANK_F1,482.5,482.55,482.3,482.55,38400,36414000
2016-11-01 11:41:00,AXISBANK_F1,482.55,482.65,482.5,482.65,15600,36429600
2016-11-01 11:42:00,AXISBANK_F1,482.65,482.7,482.25,482.6,16800,36429600
2016-11-01 11:43:00,AXISBANK_F1,482.5,482.6,482.45,482.6,8400,36429600
2016-11-01 11:44:00,AXISBANK_F1,482.45,482.45,482.1,482.15,12000,36438000
2016-11-01 11:45:00,AXISBANK_F1,482.4,482.6,482.35,482.6,21600,36438000
2016-11-01 11:46:00,AXISBANK_F1,482.6,482.6,482.25,482.25,19200,36438000
2016-11-01 11:47:00,AXISBANK_F1,482.25,482.35,482.15,482.35,19200,36439200
2016-11-01 11:48:00,AXISBANK_F1,482.2,482.2,482.05,482.1,16800,36439200
2016-11-01 11:49:00,AXISBANK_F1,482.1,482.1,482.0,482.05,9600,36439200
2016-11-01 11:50:00,AXISBANK_F1,482.05,482.25,482.0,482.25,9600,36444000
2016-11-01 11:51:00,AXISBANK_F1,482.45,482.45,482.2,482.35,21600,36444000
2016-11-01 11:52:00,AXISBANK_F1,482.4,482.4,482.2,482.3,10800,36444000
2016-11-01 11:53:00,AXISBANK_F1,482.35,482.35,482.2,482.2,6000,36448800
2016-11-01 11:54:00,AXISBANK_F1,482.1,482.2,482.0,482.2,16800,36448800
2016-11-01 11:55:00,AXISBANK_F1,482.3,482.3,482.0,482.0,21600,36448800
2016-11-01 11:56:00,AXISBANK_F1,482.0,482.2,481.9,482.2,24000,36450000
2016-11-01 11:57:00,AXISBANK_F1,482.25,482.45,482.2,482.3,27600,36450000
2016-11-01 11:58:00,AXISBANK_F1,482.35,482.6,482.35,482.45,14400,36450000
2016-11-01 11:59:00,AXISBANK_F1,482.6,482.6,482.3,482.3,16800,36475200
2016-11-01 12:00:00,AXISBANK_F1,482.3,482.75,482.3,482.7,54000,36475200
2016-11-01 12:01:00,AXISBANK_F1,482.6,482.7,482.4,482.4,10800,36475200
2016-11-01 12:02:00,AXISBANK_F1,482.5,482.65,482.4,482.4,24000,36481200
