Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:16:00,DISHTV,100.55,100.75,99.6,100.05,632477,0
2016-11-01 09:17:00,DISHTV,100.05,100.1,99.9,100.0,233628,0
2016-11-01 09:18:00,DISHTV,99.9,100.0,99.85,99.85,140157,0
2016-11-01 09:19:00,DISHTV,99.85,99.85,99.35,99.4,149200,0
2016-11-01 09:20:00,DISHTV,99.35,99.7,99.2,99.25,152966,0
2016-11-01 09:21:00,DISHTV,99.3,99.3,99.1,99.2,119076,0
2016-11-01 09:22:00,DISHTV,99.2,99.3,99.05,99.15,112658,0
2016-11-01 09:23:00,DISHTV,99.15,99.35,98.5,98.5,235388,0
2016-11-01 09:24:00,DISHTV,98.55,98.8,98.4,98.55,94576,0
2016-11-01 09:25:00,DISHTV,98.5,98.6,98.1,98.1,104340,0
2016-11-01 09:26:00,DISHTV,98.15,98.55,98.05,98.55,118782,0
2016-11-01 09:27:00,DISHTV,98.45,98.6,98.4,98.55,100134,0
2016-11-01 09:28:00,DISHTV,98.6,98.95,98.5,98.8,111440,0
2016-11-01 09:29:00,DISHTV,98.8,98.8,98.55,98.6,96318,0
2016-11-01 09:30:00,DISHTV,98.55,98.85,98.5,98.85,60237,0
2016-11-01 09:31:00,DISHTV,98.95,98.95,98.7,98.75,75753,0
2016-11-01 09:32:00,DISHTV,98.75,98.9,98.7,98.85,81736,0
2016-11-01 09:33:00,DISHTV,99.0,99.2,98.8,98.95,235883,0
2016-11-01 09:34:00,DISHTV,98.85,99.0,98.8,98.95,55272,0
2016-11-01 09:35:00,DISHTV,98.95,98.95,98.6,98.7,233534,0
2016-11-01 09:36:00,DISHTV,98.7,98.9,98.6,98.75,161054,0
2016-11-01 09:37:00,DISHTV,98.7,98.8,98.7,98.75,37608,0
2016-11-01 09:38:00,DISHTV,98.75,98.75,98.6,98.65,20356,0
2016-11-01 09:39:00,DISHTV,98.7,98.7,98.65,98.7,13790,0
2016-11-01 09:40:00,DISHTV,98.7,98.8,98.65,98.7,15854,0
2016-11-01 09:41:00,DISHTV,98.7,98.7,98.6,98.65,25277,0
2016-11-01 09:42:00,DISHTV,98.6,98.65,98.4,98.5,48586,0
2016-11-01 09:43:00,DISHTV,98.45,98.5,98.45,98.45,21355,0
2016-11-01 09:44:00,DISHTV,98.45,98.5,98.45,98.45,49633,0
2016-11-01 09:45:00,DISHTV,98.45,98.5,98.25,98.25,55264,0
2016-11-01 09:46:00,DISHTV,98.25,98.35,98.25,98.35,50532,0
2016-11-01 09:47:00,DISHTV,98.35,98.45,98.35,98.45,32496,0
2016-11-01 09:48:00,DISHTV,98.45,98.6,98.45,98.6,35307,0
2016-11-01 09:49:00,DISHTV,98.65,98.7,98.5,98.65,24963,0
2016-11-01 09:50:00,DISHTV,98.65,98.65,98.55,98.6,11068,0
2016-11-01 09:51:00,DISHTV,98.6,98.7,98.6,98.65,26323,0
2016-11-01 09:52:00,DISHTV,98.65,98.65,98.5,98.5,20881,0
2016-11-01 09:53:00,DISHTV,98.5,98.55,98.45,98.5,19883,0
2016-11-01 09:54:00,DISHTV,98.5,98.5,98.45,98.5,5167,0
2016-11-01 09:55:00,DISHTV,98.5,98.5,98.45,98.5,114217,0
