Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:17:00,INDIAVIX,14.94,15.29,14.94,15.28,43,0
2016-11-01 09:18:00,INDIAVIX,15.28,15.35,15.16,15.31,41,0
2016-11-01 09:19:00,INDIAVIX,15.32,15.4,15.32,15.38,28,0
2016-11-01 09:20:00,INDIAVIX,15.38,15.55,15.29,15.48,38,0
2016-11-01 09:21:00,INDIAVIX,15.49,15.55,15.46,15.52,34,0
2016-11-01 09:22:00,INDIAVIX,15.53,15.55,15.53,15.55,33,0
2016-11-01 09:23:00,INDIAVIX,15.55,15.55,15.47,15.47,31,0
2016-11-01 09:24:00,INDIAVIX,15.47,15.52,15.44,15.52,33,0
2016-11-01 09:25:00,INDIAVIX,15.52,15.55,15.48,15.55,34,0
2016-11-01 09:26:00,INDIAVIX,15.54,15.6,15.53,15.57,32,0
2016-11-01 09:27:00,INDIAVIX,15.57,15.62,15.55,15.62,26,0
2016-11-01 09:28:00,INDIAVIX,15.61,15.77,15.61,15.73,39,0
2016-11-01 09:29:00,INDIAVIX,15.73,15.79,15.72,15.72,36,0
2016-11-01 09:30:00,INDIAVIX,15.73,15.75,15.7,15.73,29,0
2016-11-01 09:31:00,INDIAVIX,15.73,15.75,15.64,15.64,40,0
2016-11-01 09:32:00,INDIAVIX,15.65,15.84,15.64,15.81,29,0
2016-11-01 09:33:00,INDIAVIX,15.82,15.85,15.8,15.81,30,0
2016-11-01 09:34:00,INDIAVIX,15.82,15.82,15.77,15.79,33,0
2016-11-01 09:35:00,INDIAVIX,15.8,15.82,15.78,15.81,28,0
2016-11-01 09:36:00,INDIAVIX,15.8,15.82,15.78,15.8,24,0
2016-11-01 09:37:00,INDIAVIX,15.79,15.79,15.77,15.78,25,0
2016-11-01 09:38:00,INDIAVIX,15.78,15.81,15.75,15.81,29,0
2016-11-01 09:39:00,INDIAVIX,15.82,15.82,15.8,15.8,21,0
2016-11-01 09:40:00,INDIAVIX,15.81,15.82,15.78,15.8,24,0
2016-11-01 09:41:00,INDIAVIX,15.78,15.8,15.77,15.77,31,0
2016-11-01 09:42:00,INDIAVIX,15.77,15.8,15.75,15.77,29,0
2016-11-01 09:43:00,INDIAVIX,15.77,15.79,15.76,15.76,24,0
2016-11-01 09:44:00,INDIAVIX,15.76,15.76,15.73,15.76,25,0
2016-11-01 09:45:00,INDIAVIX,15.75,15.76,15.74,15.74,19,0
2016-11-01 09:46:00,INDIAVIX,15.73,15.74,15.7,15.73,23,0
2016-11-01 09:47:00,INDIAVIX,15.72,15.74,15.72,15.73,25,0
2016-11-01 09:48:00,INDIAVIX,15.73,15.76,15.73,15.76,22,0
2016-11-01 09:49:00,INDIAVIX,15.76,15.76,15.73,15.75,18,0
2016-11-01 09:50:00,INDIAVIX,15.74,15.76,15.73,15.75,18,0
2016-11-01 09:51:00,INDIAVIX,15.76,15.81,15.75,15.81,21,0
2016-11-01 09:52:00,INDIAVIX,15.8,15.84,15.79,15.82,29,0
2016-11-01 09:53:00,INDIAVIX,15.82,15.83,15.73,15.73,25,0
2016-11-01 09:54:00,INDIAVIX,15.73,15.77,15.73,15.76,22,0
2016-11-01 09:55:00,INDIAVIX,15.77,15.78,15.75,15.75,23,0
2016-11-01 09:56:00,INDIAVIX,15.76,15.78,15.76,15.77,20,0
2016-11-01 09:57:00,INDIAVIX,15.77,15.78,15.74,15.74,22,0
2016-11-01 09:58:00,INDIAVIX,15.75,15.75,15.71,15.72,22,0
2016-11-01 09:59:00,INDIAVIX,15.73,15.73,15.69,15.71,21,0
2016-11-01 10:01:00,INDIAVIX,15.71,15.73,15.69,15.73,27,0
2016-11-01 10:02:00,INDIAVIX,15.72,15.76,15.72,15.73,28,0
2016-11-01 10:03:00,INDIAVIX,15.74,15.75,15.72,15.74,25,0
2016-11-01 10:04:00,INDIAVIX,15.74,15.75,15.72,15.73,25,0
2016-11-01 10:05:00,INDIAVIX,15.73,15.76,15.73,15.76,26,0
2016-11-01 10:06:00,INDIAVIX,15.76,15.76,15.73,15.73,27,0
2016-11-01 10:07:00,INDIAVIX,15.73,15.74,15.71,15.73,23,0
2016-11-01 10:08:00,INDIAVIX,15.73,15.73,15.69,15.7,20,0
2016-11-01 10:09:00,INDIAVIX,15.7,15.71,15.68,15.69,26,0
2016-11-01 10:10:00,INDIAVIX,15.7,15.72,15.7,15.72,22,0
2016-11-01 10:11:00,INDIAVIX,15.73,15.75,15.72,15.74,21,0
2016-11-01 10:12:00,INDIAVIX,15.75,15.75,15.73,15.74,20,0
2016-11-01 10:13:00,INDIAVIX,15.74,15.75,15.72,15.74,24,0
2016-11-01 10:14:00,INDIAVIX,15.73,15.74,15.72,15.73,22,0
