Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:16:00,JINDALSTEL,75.75,75.9,75.6,75.9,47974,0
2016-11-01 09:17:00,JINDALSTEL,75.85,75.9,75.75,75.9,17418,0
2016-11-01 09:18:00,JINDALSTEL,75.9,75.95,75.85,75.85,23698,0
2016-11-01 09:19:00,JINDALSTEL,75.9,75.9,75.8,75.9,20623,0
2016-11-01 09:20:00,JINDALSTEL,75.85,75.95,75.75,75.9,16783,0
2016-11-01 09:21:00,JINDALSTEL,75.85,76.1,75.8,75.8,44487,0
2016-11-01 09:22:00,JINDALSTEL,75.9,75.95,75.85,75.85,21795,0
2016-11-01 09:23:00,JINDALSTEL,75.9,75.95,75.85,75.85,8688,0
2016-11-01 09:24:00,JINDALSTEL,75.9,75.95,75.85,75.9,15971,0
2016-11-01 09:25:00,JINDALSTEL,75.85,75.9,75.85,75.85,7950,0
2016-11-01 09:26:00,JINDALSTEL,75.9,75.95,75.85,75.9,9679,0
2016-11-01 09:27:00,JINDALSTEL,75.85,75.9,75.85,75.85,9955,0
2016-11-01 09:28:00,JINDALSTEL,75.8,75.8,75.6,75.75,46618,0
2016-11-01 09:29:00,JINDALSTEL,75.8,75.8,75.65,75.8,7489,0
2016-11-01 09:30:00,JINDALSTEL,75.75,75.9,75.7,75.9,25528,0
2016-11-01 09:31:00,JINDALSTEL,75.9,75.9,75.8,75.9,9842,0
2016-11-01 09:32:00,JINDALSTEL,75.9,75.95,75.85,75.95,7119,0
2016-11-01 09:33:00,JINDALSTEL,75.95,75.95,75.9,75.95,15455,0
2016-11-01 09:34:00,JINDALSTEL,75.95,76.1,75.9,76.1,8769,0
2016-11-01 09:35:00,JINDALSTEL,76.1,76.1,76.05,76.1,17192,0
2016-11-01 09:36:00,JINDALSTEL,76.05,76.2,76.05,76.15,34923,0
2016-11-01 09:37:00,JINDALSTEL,76.15,76.25,76.05,76.15,34182,0
2016-11-01 09:38:00,JINDALSTEL,76.2,76.25,76.15,76.25,13650,0
2016-11-01 09:39:00,JINDALSTEL,76.25,76.25,76.15,76.2,9630,0
2016-11-01 09:40:00,JINDALSTEL,76.2,76.2,76.0,76.0,18188,0
2016-11-01 09:41:00,JINDALSTEL,76.05,76.05,75.9,76.0,17852,0
2016-11-01 09:42:00,JINDALSTEL,75.9,75.9,75.8,75.9,10588,0
2016-11-01 09:43:00,JINDALSTEL,75.85,75.95,75.7,75.7,34340,0
2016-11-01 09:44:00,JINDALSTEL,75.6,75.75,75.6,75.75,4367,0
2016-11-01 09:45:00,JINDALSTEL,75.75,75.75,75.7,75.75,13211,0
2016-11-01 09:46:00,JINDALSTEL,75.7,75.8,75.7,75.8,9468,0
2016-11-01 09:47:00,JINDALSTEL,75.8,75.85,75.7,75.8,8819,0
2016-11-01 09:48:00,JINDALSTEL,75.8,75.8,75.7,75.7,15328,0
2016-11-01 09:49:00,JINDALSTEL,75.75,75.75,75.6,75.6,33078,0
2016-11-01 09:50:00,JINDALSTEL,75.65,75.75,75.6,75.6,44894,0
2016-11-01 09:51:00,JINDALSTEL,75.65,75.75,75.6,75.6,70638,0
2016-11-01 09:52:00,JINDALSTEL,75.5,75.8,75.5,75.65,76318,0
2016-11-01 09:53:00,JINDALSTEL,75.6,75.7,75.6,75.7,26435,0
2016-11-01 09:54:00,JINDALSTEL,75.6,75.7,75.6,75.6,4106,0
2016-11-01 09:55:00,JINDALSTEL,75.6,75.65,75.55,75.6,5117,0
2016-11-01 09:56:00,JINDALSTEL,75.6,75.6,75.5,75.5,2918,0
2016-11-01 09:57:00,JINDALSTEL,75.6,75.6,75.5,75.55,5255,0
2016-11-01 09:58:00,JINDALSTEL,75.55,75.65,75.55,75.6,6892,0
2016-11-01 09:59:00,JINDALSTEL,75.6,75.7,75.6,75.7,2855,0
2016-11-01 10:00:00,JINDALSTEL,75.6,75.7,75.6,75.65,13063,0
2016-11-01 10:01:00,JINDALSTEL,75.65,75.7,75.6,75.6,10033,0
2016-11-01 10:02:00,JINDALSTEL,75.55,75.7,75.5,75.7,21842,0
2016-11-01 10:03:00,JINDALSTEL,75.65,75.7,75.6,75.7,1509,0
2016-11-01 10:04:00,JINDALSTEL,75.6,75.7,75.6,75.7,1558,0
2016-11-01 10:05:00,JINDALSTEL,75.65,75.65,75.6,75.6,3225,0
2016-11-01 10:06:00,JINDALSTEL,75.65,75.65,75.65,75.65,2815,0
2016-11-01 10:07:00,JINDALSTEL,75.65,75.75,75.6,75.75,10957,0
2016-11-01 10:08:00,JINDALSTEL,75.75,75.8,75.65,75.8,4036,0
2016-11-01 10:09:00,JINDALSTEL,75.8,75.8,75.7,75.75,6607,0
2016-11-01 10:10:00,JINDALSTEL,75.8,75.9,75.75,75.9,21252,0
2016-11-01 10:11:00,JINDALSTEL,75.9,75.95,75.85,75.95,11088,0
2016-11-01 10:12:00,JINDALSTEL,76.0,76.0,75.95,76.0,13690,0
2016-11-01 10:13:00,JINDALSTEL,76.0,76.0,75.95,75.95,6998,0
2016-11-01 10:14:00,JINDALSTEL,75.95,76.0,75.95,75.95,13051,0
2016-11-01 10:15:00,JINDALSTEL,75.95,76.0,75.9,76.0,4083,0
2016-11-01 10:16:00,JINDALSTEL,76.0,76.0,75.85,75.85,8345,0
2016-11-01 10:17:00,JINDALSTEL,75.85,75.9,75.85,75.85,5438,0
2016-11-01 10:18:00,JINDALSTEL,75.95,75.95,75.85,75.85,2300,0
2016-11-01 10:19:00,JINDALSTEL,75.95,76.0,75.85,75.85,9962,0
2016-11-01 10:20:00,JINDALSTEL,75.9,75.9,75.85,75.9,3801,0
