Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:17:00,JINDALSTEL_F1,76.25,76.3,76.2,76.3,45000,50445000
2016-11-01 09:18:00,JINDALSTEL_F1,76.35,76.4,76.35,76.4,18000,50445000
2016-11-01 09:19:00,JINDALSTEL_F1,76.4,76.4,76.4,76.4,9000,50445000
2016-11-01 09:20:00,JINDALSTEL_F1,76.2,76.35,76.2,76.35,45000,50472000
2016-11-01 09:21:00,JINDALSTEL_F1,76.25,76.5,76.25,76.3,81000,50472000
2016-11-01 09:22:00,JINDALSTEL_F1,76.35,76.35,76.2,76.2,27000,50472000
2016-11-01 09:23:00,JINDALSTEL_F1,76.4,76.4,76.35,76.35,36000,50517000
2016-11-01 09:24:00,JINDALSTEL_F1,76.4,76.4,76.4,76.4,27000,50517000
2016-11-01 09:25:00,JINDALSTEL_F1,76.3,76.4,76.15,76.3,54000,50517000
2016-11-01 09:26:00,JINDALSTEL_F1,76.25,76.25,76.25,76.25,9000,50526000
2016-11-01 09:27:00,JINDALSTEL_F1,76.15,76.3,76.15,76.15,45000,50526000
2016-11-01 09:28:00,JINDALSTEL_F1,75.9,75.9,75.9,75.9,9000,50526000
2016-11-01 09:29:00,JINDALSTEL_F1,76.1,76.1,76.1,76.1,9000,50526000
2016-11-01 09:30:00,JINDALSTEL_F1,76.15,76.2,76.15,76.2,18000,50535000
2016-11-01 09:31:00,JINDALSTEL_F1,76.2,76.3,76.2,76.3,18000,50535000
2016-11-01 09:32:00,JINDALSTEL_F1,76.35,76.35,76.3,76.3,27000,50535000
2016-11-01 09:33:00,JINDALSTEL_F1,76.25,76.4,76.25,76.4,54000,50535000
2016-11-01 09:34:00,JINDALSTEL_F1,76.4,76.45,76.4,76.4,90000,50535000
2016-11-01 09:35:00,JINDALSTEL_F1,76.4,76.4,76.4,76.4,9000,50589000
2016-11-01 09:36:00,JINDALSTEL_F1,76.45,76.45,76.45,76.45,18000,50589000
2016-11-01 09:37:00,JINDALSTEL_F1,76.45,76.65,76.45,76.65,81000,50589000
2016-11-01 09:38:00,JINDALSTEL_F1,76.6,76.75,76.6,76.75,99000,50616000
2016-11-01 09:39:00,JINDALSTEL_F1,76.75,76.75,76.7,76.7,27000,50616000
2016-11-01 09:40:00,JINDALSTEL_F1,76.6,76.6,76.6,76.6,27000,50616000
2016-11-01 09:41:00,JINDALSTEL_F1,76.5,76.5,76.3,76.3,72000,50706000
2016-11-01 09:42:00,JINDALSTEL_F1,76.25,76.25,76.25,76.25,9000,50706000
2016-11-01 09:43:00,JINDALSTEL_F1,76.25,76.4,76.1,76.1,126000,50706000
2016-11-01 09:45:00,JINDALSTEL_F1,76.05,76.05,76.05,76.05,27000,50814000
2016-11-01 09:46:00,JINDALSTEL_F1,76.05,76.2,76.05,76.2,27000,50814000
2016-11-01 09:48:00,JINDALSTEL_F1,76.1,76.15,76.1,76.15,36000,50832000
2016-11-01 09:49:00,JINDALSTEL_F1,76.05,76.05,76.0,76.0,36000,50832000
2016-11-01 09:50:00,JINDALSTEL_F1,76.0,76.15,76.0,76.15,27000,50832000
2016-11-01 09:51:00,JINDALSTEL_F1,76.1,76.1,76.0,76.0,108000,50868000
2016-11-01 09:52:00,JINDALSTEL_F1,75.85,76.1,75.85,76.0,324000,50868000
2016-11-01 09:53:00,JINDALSTEL_F1,75.9,76.05,75.9,76.0,63000,50940000
2016-11-01 09:54:00,JINDALSTEL_F1,76.05,76.05,76.0,76.05,45000,50940000
2016-11-01 09:55:00,JINDALSTEL_F1,75.9,75.9,75.85,75.85,27000,50940000
2016-11-01 09:56:00,JINDALSTEL_F1,76.05,76.05,76.05,76.05,9000,50940000
2016-11-01 09:59:00,JINDALSTEL_F1,75.9,75.95,75.9,75.95,27000,50913000
2016-11-01 10:00:00,JINDALSTEL_F1,75.95,76.0,75.95,76.0,18000,50931000
2016-11-01 10:01:00,JINDALSTEL_F1,76.05,76.05,75.95,75.95,18000,50931000
2016-11-01 10:02:00,JINDALSTEL_F1,75.85,76.0,75.85,76.0,72000,50931000
2016-11-01 10:03:00,JINDALSTEL_F1,75.9,76.0,75.9,76.0,27000,50958000
2016-11-01 10:04:00,JINDALSTEL_F1,76.05,76.05,76.05,76.05,9000,50958000
2016-11-01 10:07:00,JINDALSTEL_F1,76.0,76.0,76.0,76.0,9000,50958000
2016-11-01 10:08:00,JINDALSTEL_F1,76.0,76.0,76.0,76.0,18000,50958000
2016-11-01 10:09:00,JINDALSTEL_F1,76.1,76.1,76.1,76.1,27000,50958000
2016-11-01 10:10:00,JINDALSTEL_F1,76.2,76.2,76.2,76.2,9000,50958000
2016-11-01 10:11:00,JINDALSTEL_F1,76.35,76.35,76.35,76.35,27000,50958000
2016-11-01 10:12:00,JINDALSTEL_F1,76.25,76.25,76.25,76.25,9000,50958000
2016-11-01 10:14:00,JINDALSTEL_F1,76.45,76.45,76.45,76.45,9000,50967000
2016-11-01 10:16:00,JINDALSTEL_F1,76.35,76.4,76.35,76.4,18000,50967000
2016-11-01 10:19:00,JINDALSTEL_F1,76.4,76.4,76.4,76.4,9000,50922000
2016-11-01 10:20:00,JINDALSTEL_F1,76.3,76.3,76.3,76.3,27000,50931000
2016-11-01 10:21:00,JINDALSTEL_F1,76.35,76.35,76.35,76.35,9000,50931000
2016-11-01 10:23:00,JINDALSTEL_F1,76.4,76.4,76.4,76.4,18000,50931000
2016-11-01 10:24:00,JINDALSTEL_F1,76.45,76.45,76.3,76.3,18000,50949000
2016-11-01 10:26:00,JINDALSTEL_F1,76.45,76.45,76.45,76.45,18000,50931000
2016-11-01 10:27:00,JINDALSTEL_F1,76.45,76.45,76.45,76.45,9000,50931000
2016-11-01 10:29:00,JINDALSTEL_F1,76.4,76.4,76.35,76.4,45000,50931000
2016-11-01 10:32:00,JINDALSTEL_F1,76.35,76.4,76.35,76.4,45000,50931000
2016-11-01 10:33:00,JINDALSTEL_F1,76.4,76.45,76.2,76.2,189000,50931000
2016-11-01 10:34:00,JINDALSTEL_F1,76.2,76.25,76.2,76.25,18000,50931000
2016-11-01 10:36:00,JINDALSTEL_F1,76.3,76.3,76.3,76.3,9000,51084000
2016-11-01 10:39:00,JINDALSTEL_F1,76.3,76.3,76.3,76.3,9000,51093000
2016-11-01 10:41:00,JINDALSTEL_F1,76.15,76.3,76.1,76.1,63000,51102000
2016-11-01 10:45:00,JINDALSTEL_F1,76.1,76.1,76.1,76.1,9000,51093000
2016-11-01 10:46:00,JINDALSTEL_F1,76.1,76.15,76.1,76.15,18000,51093000
2016-11-01 10:47:00,JINDALSTEL_F1,76.05,76.05,76.05,76.05,9000,51102000
2016-11-01 10:49:00,JINDALSTEL_F1,76.1,76.15,76.1,76.15,18000,51102000
2016-11-01 10:50:00,JINDALSTEL_F1,76.2,76.25,76.2,76.25,36000,51111000
2016-11-01 10:51:00,JINDALSTEL_F1,76.3,76.3,76.3,76.3,27000,51111000
2016-11-01 10:53:00,JINDALSTEL_F1,76.3,76.7,76.3,76.6,234000,51156000
2016-11-01 10:54:00,JINDALSTEL_F1,76.6,77.0,76.6,76.9,342000,51156000
2016-11-01 10:55:00,JINDALSTEL_F1,77.0,77.1,76.75,76.75,288000,51156000
2016-11-01 10:56:00,JINDALSTEL_F1,76.75,76.75,76.6,76.6,45000,51156000
2016-11-01 10:57:00,JINDALSTEL_F1,76.6,76.6,76.6,76.6,9000,51336000
2016-11-01 10:58:00,JINDALSTEL_F1,76.6,76.6,76.45,76.5,63000,51336000
2016-11-01 11:01:00,JINDALSTEL_F1,76.35,76.35,76.3,76.3,27000,51282000
2016-11-01 11:02:00,JINDALSTEL_F1,76.3,76.35,76.3,76.3,27000,51282000
2016-11-01 11:03:00,JINDALSTEL_F1,76.4,76.4,76.35,76.35,36000,51255000
2016-11-01 11:04:00,JINDALSTEL_F1,76.45,76.45,76.45,76.45,27000,51255000
2016-11-01 11:05:00,JINDALSTEL_F1,76.55,76.55,76.45,76.45,27000,51255000
2016-11-01 11:07:00,JINDALSTEL_F1,76.4,76.4,76.4,76.4,9000,51300000
2016-11-01 11:08:00,JINDALSTEL_F1,76.5,76.5,76.5,76.5,9000,51300000
2016-11-01 11:16:00,JINDALSTEL_F1,76.45,76.55,76.45,76.55,27000,51282000
2016-11-01 11:17:00,JINDALSTEL_F1,76.6,76.65,76.6,76.65,18000,51264000
2016-11-01 11:18:00,JINDALSTEL_F1,76.6,76.6,76.45,76.45,18000,51264000
2016-11-01 11:21:00,JINDALSTEL_F1,76.5,76.5,76.5,76.5,27000,51282000
2016-11-01 11:22:00,JINDALSTEL_F1,76.5,76.5,76.5,76.5,9000,51282000
2016-11-01 11:23:00,JINDALSTEL_F1,76.55,76.55,76.55,76.55,9000,51282000
2016-11-01 11:24:00,JINDALSTEL_F1,76.6,76.7,76.6,76.7,27000,51291000
2016-11-01 11:25:00,JINDALSTEL_F1,76.65,76.65,76.6,76.6,45000,51291000
2016-11-01 11:26:00,JINDALSTEL_F1,76.65,76.65,76.65,76.65,9000,51291000
2016-11-01 11:27:00,JINDALSTEL_F1,76.6,76.6,76.45,76.45,27000,51318000
2016-11-01 11:28:00,JINDALSTEL_F1,76.5,76.55,76.5,76.55,18000,51318000
2016-11-01 11:29:00,JINDALSTEL_F1,76.6,76.65,76.6,76.65,36000,51318000
2016-11-01 11:31:00,JINDALSTEL_F1,76.6,76.6,76.55,76.55,27000,51318000
2016-11-01 11:33:00,JINDALSTEL_F1,76.65,76.65,76.65,76.65,9000,51318000
2016-11-01 11:35:00,JINDALSTEL_F1,76.7,76.7,76.7,76.7,18000,51345000
2016-11-01 11:36:00,JINDALSTEL_F1,76.75,76.9,76.75,76.9,117000,51345000
2016-11-01 11:37:00,JINDALSTEL_F1,76.8,76.9,76.8,76.9,18000,51345000
2016-11-01 11:38:00,JINDALSTEL_F1,76.8,76.8,76.8,76.8,9000,51354000
2016-11-01 11:39:00,JINDALSTEL_F1,76.9,76.9,76.85,76.85,18000,51354000
2016-11-01 11:40:00,JINDALSTEL_F1,76.85,76.85,76.85,76.85,9000,51354000
2016-11-01 11:42:00,JINDALSTEL_F1,76.75,76.75,76.75,76.75,27000,51363000
2016-11-01 11:43:00,JINDALSTEL_F1,76.8,77.3,76.8,77.15,369000,51363000
2016-11-01 11:44:00,JINDALSTEL_F1,77.25,77.25,77.1,77.15,99000,51462000
2016-11-01 11:45:00,JINDALSTEL_F1,77.05,77.05,77.0,77.0,18000,51462000
2016-11-01 11:46:00,JINDALSTEL_F1,77.05,77.1,77.0,77.0,36000,51462000
2016-11-01 11:47:00,JINDALSTEL_F1,76.95,77.0,76.95,77.0,72000,51471000
2016-11-01 11:48:00,JINDALSTEL_F1,77.0,77.0,76.85,76.85,63000,51471000
2016-11-01 11:49:00,JINDALSTEL_F1,76.95,76.95,76.85,76.9,54000,51471000
2016-11-01 11:50:00,JINDALSTEL_F1,77.0,77.15,77.0,77.15,72000,51579000
2016-11-01 11:51:00,JINDALSTEL_F1,77.15,77.25,77.15,77.15,126000,51579000
2016-11-01 11:52:00,JINDALSTEL_F1,77.15,77.15,77.1,77.1,45000,51579000
2016-11-01 11:53:00,JINDALSTEL_F1,77.15,77.15,77.1,77.1,36000,51624000
2016-11-01 11:54:00,JINDALSTEL_F1,77.15,77.3,77.15,77.3,144000,51624000
2016-11-01 11:55:00,JINDALSTEL_F1,77.3,77.3,77.3,77.3,9000,51624000
2016-11-01 11:56:00,JINDALSTEL_F1,77.25,77.3,77.25,77.3,18000,51696000
2016-11-01 11:57:00,JINDALSTEL_F1,77.3,77.4,77.25,77.3,153000,51696000
2016-11-01 11:58:00,JINDALSTEL_F1,77.3,77.4,77.3,77.3,72000,51696000
2016-11-01 11:59:00,JINDALSTEL_F1,77.3,77.35,77.25,77.35,54000,51705000
2016-11-01 12:00:00,JINDALSTEL_F1,77.3,77.35,77.2,77.2,117000,51705000
2016-11-01 12:01:00,JINDALSTEL_F1,77.35,77.4,77.3,77.35,90000,51705000
2016-11-01 12:02:00,JINDALSTEL_F1,77.4,78.4,77.4,78.3,1449000,51858000
2016-11-01 12:03:00,JINDALSTEL_F1,78.25,78.55,78.0,78.1,828000,51858000
