Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:17:00,LICHSGFIN_F1,589.0,589.7,589.0,589.5,29700,8014600
2016-11-01 09:18:00,LICHSGFIN_F1,589.2,589.2,588.85,589.0,16500,8014600
2016-11-01 09:19:00,LICHSGFIN_F1,589.0,589.0,587.5,587.5,16500,8014600
2016-11-01 09:20:00,LICHSGFIN_F1,587.8,587.8,587.0,587.8,26400,8042100
2016-11-01 09:21:00,LICHSGFIN_F1,587.85,589.15,587.85,588.65,29700,8042100
2016-11-01 09:22:00,LICHSGFIN_F1,587.9,588.5,587.7,588.5,9900,8042100
2016-11-01 09:23:00,LICHSGFIN_F1,588.95,588.95,588.7,588.7,6600,8056400
2016-11-01 09:24:00,LICHSGFIN_F1,588.75,588.75,587.7,587.95,6600,8056400
2016-11-01 09:25:00,LICHSGFIN_F1,587.95,588.75,587.95,588.55,12100,8056400
2016-11-01 09:26:00,LICHSGFIN_F1,588.1,588.4,587.8,587.8,11000,8049800
2016-11-01 09:27:00,LICHSGFIN_F1,588.4,588.5,588.0,588.0,11000,8049800
2016-11-01 09:28:00,LICHSGFIN_F1,587.95,588.0,587.2,588.0,11000,8049800
2016-11-01 09:29:00,LICHSGFIN_F1,588.4,589.0,588.4,589.0,12100,8049800
2016-11-01 09:30:00,LICHSGFIN_F1,589.2,591.5,589.2,590.4,84700,8054200
2016-11-01 09:31:00,LICHSGFIN_F1,590.0,590.3,589.5,590.3,25300,8054200
2016-11-01 09:32:00,LICHSGFIN_F1,590.25,590.25,589.85,590.0,15400,8056400
2016-11-01 09:33:00,LICHSGFIN_F1,590.15,590.4,589.8,589.8,17600,8056400
2016-11-01 09:34:00,LICHSGFIN_F1,589.7,590.15,589.7,590.0,6600,8056400
2016-11-01 09:35:00,LICHSGFIN_F1,589.8,590.35,589.8,590.3,7700,8058600
2016-11-01 09:36:00,LICHSGFIN_F1,590.25,590.25,589.85,590.0,15400,8058600
2016-11-01 09:37:00,LICHSGFIN_F1,589.55,589.7,589.5,589.5,11000,8058600
2016-11-01 09:38:00,LICHSGFIN_F1,589.75,589.75,589.5,589.65,8800,8074000
2016-11-01 09:39:00,LICHSGFIN_F1,589.45,589.75,589.45,589.75,11000,8074000
2016-11-01 09:40:00,LICHSGFIN_F1,589.4,589.45,589.4,589.45,4400,8074000
2016-11-01 09:41:00,LICHSGFIN_F1,589.5,589.5,588.8,588.8,11000,8083900
2016-11-01 09:42:00,LICHSGFIN_F1,588.7,589.0,588.7,589.0,7700,8083900
2016-11-01 09:43:00,LICHSGFIN_F1,588.9,588.9,588.9,588.9,2200,8083900
2016-11-01 09:44:00,LICHSGFIN_F1,589.0,589.25,589.0,589.25,5500,8083900
2016-11-01 09:45:00,LICHSGFIN_F1,589.45,589.45,589.4,589.4,3300,8086100
2016-11-01 09:46:00,LICHSGFIN_F1,589.25,589.5,589.25,589.5,5500,8086100
2016-11-01 09:47:00,LICHSGFIN_F1,589.4,589.55,589.4,589.55,2200,8086100
2016-11-01 09:48:00,LICHSGFIN_F1,588.95,589.0,588.95,589.0,5500,8096000
2016-11-01 09:49:00,LICHSGFIN_F1,589.0,589.2,588.8,588.8,5500,8096000
2016-11-01 09:51:00,LICHSGFIN_F1,588.6,588.75,588.5,588.7,7700,8099300
2016-11-01 09:52:00,LICHSGFIN_F1,588.65,588.65,587.85,587.95,22000,8099300
2016-11-01 09:53:00,LICHSGFIN_F1,588.0,588.2,588.0,588.0,9900,8108100
2016-11-01 09:54:00,LICHSGFIN_F1,588.0,588.25,588.0,588.25,2200,8108100
2016-11-01 09:55:00,LICHSGFIN_F1,588.05,588.05,587.85,587.85,4400,8108100
2016-11-01 09:56:00,LICHSGFIN_F1,588.0,588.0,587.5,587.5,3300,8111400
2016-11-01 09:57:00,LICHSGFIN_F1,587.5,587.5,587.45,587.45,3300,8111400
2016-11-01 09:58:00,LICHSGFIN_F1,587.35,587.85,587.35,587.75,6600,8111400
2016-11-01 09:59:00,LICHSGFIN_F1,587.95,588.2,587.95,588.2,6600,8111400
2016-11-01 10:00:00,LICHSGFIN_F1,588.3,588.3,588.2,588.2,3300,8114700
2016-11-01 10:01:00,LICHSGFIN_F1,587.95,587.95,587.7,587.8,3300,8114700
2016-11-01 10:02:00,LICHSGFIN_F1,588.0,588.0,588.0,588.0,4400,8114700
2016-11-01 10:03:00,LICHSGFIN_F1,587.5,587.85,587.4,587.75,17600,8113600
2016-11-01 10:04:00,LICHSGFIN_F1,587.6,588.15,587.6,587.8,4400,8113600
2016-11-01 10:05:00,LICHSGFIN_F1,587.85,587.85,587.65,587.8,5500,8115800
2016-11-01 10:07:00,LICHSGFIN_F1,587.8,587.8,587.65,587.65,3300,8115800
2016-11-01 10:08:00,LICHSGFIN_F1,587.65,587.95,587.65,587.95,2200,8115800
2016-11-01 10:09:00,LICHSGFIN_F1,588.0,588.0,588.0,588.0,5500,8115800
2016-11-01 10:10:00,LICHSGFIN_F1,588.0,588.0,588.0,588.0,2200,8115800
2016-11-01 10:11:00,LICHSGFIN_F1,587.8,587.8,587.8,587.8,1100,8115800
2016-11-01 10:12:00,LICHSGFIN_F1,588.05,588.05,588.05,588.05,1100,8115800
2016-11-01 10:13:00,LICHSGFIN_F1,588.55,588.75,588.3,588.3,4400,8115800
2016-11-01 10:14:00,LICHSGFIN_F1,588.5,588.5,588.5,588.5,2200,8115800
2016-11-01 10:15:00,LICHSGFIN_F1,588.9,589.0,588.9,589.0,9900,8120200
2016-11-01 10:16:00,LICHSGFIN_F1,589.25,589.25,589.0,589.0,4400,8120200
2016-11-01 10:17:00,LICHSGFIN_F1,589.3,589.3,588.75,589.0,34100,8130100
2016-11-01 10:18:00,LICHSGFIN_F1,588.85,588.85,588.85,588.85,1100,8130100
2016-11-01 10:19:00,LICHSGFIN_F1,588.6,588.6,588.4,588.5,3300,8130100
2016-11-01 10:20:00,LICHSGFIN_F1,588.85,589.4,588.55,589.4,9900,8144400
2016-11-01 10:21:00,LICHSGFIN_F1,589.3,589.4,588.95,589.05,14300,8144400
2016-11-01 10:22:00,LICHSGFIN_F1,588.35,588.35,587.8,587.8,22000,8144400
2016-11-01 10:23:00,LICHSGFIN_F1,587.95,588.15,587.95,588.1,11000,8151000
2016-11-01 10:24:00,LICHSGFIN_F1,588.2,588.7,588.2,588.7,8800,8151000
2016-11-01 10:25:00,LICHSGFIN_F1,589.0,589.4,589.0,589.3,17600,8151000
2016-11-01 10:26:00,LICHSGFIN_F1,589.25,589.25,588.05,588.35,16500,8154300
2016-11-01 10:27:00,LICHSGFIN_F1,588.55,589.2,588.55,589.2,16500,8154300
2016-11-01 10:28:00,LICHSGFIN_F1,588.95,591.15,588.95,591.15,64900,8154300
2016-11-01 10:29:00,LICHSGFIN_F1,591.3,592.3,590.35,590.45,118800,8187300
2016-11-01 10:30:00,LICHSGFIN_F1,590.8,592.7,590.8,592.1,83600,8187300
2016-11-01 10:31:00,LICHSGFIN_F1,592.3,592.6,591.75,591.75,36300,8187300
2016-11-01 10:32:00,LICHSGFIN_F1,591.6,592.5,591.3,592.5,28600,8222500
2016-11-01 10:33:00,LICHSGFIN_F1,592.8,592.9,592.55,592.8,45100,8222500
2016-11-01 10:34:00,LICHSGFIN_F1,592.85,592.9,592.5,592.5,15400,8222500
2016-11-01 10:35:00,LICHSGFIN_F1,592.55,593.5,592.55,593.5,45100,8222500
2016-11-01 10:36:00,LICHSGFIN_F1,593.5,594.05,593.4,593.4,62700,8222500
2016-11-01 10:37:00,LICHSGFIN_F1,593.5,594.2,593.4,593.95,34100,8222500
2016-11-01 10:38:00,LICHSGFIN_F1,593.85,593.95,593.5,593.5,15400,8233500
2016-11-01 10:39:00,LICHSGFIN_F1,593.5,593.55,593.25,593.55,6600,8233500
2016-11-01 10:40:00,LICHSGFIN_F1,593.4,593.5,593.2,593.4,8800,8233500
2016-11-01 10:41:00,LICHSGFIN_F1,593.1,593.4,593.1,593.4,13200,8228000
2016-11-01 10:42:00,LICHSGFIN_F1,593.45,593.7,593.25,593.7,13200,8228000
2016-11-01 10:43:00,LICHSGFIN_F1,593.8,593.9,593.65,593.9,9900,8228000
2016-11-01 10:44:00,LICHSGFIN_F1,593.5,593.5,592.95,592.95,18700,8237900
2016-11-01 10:45:00,LICHSGFIN_F1,593.1,593.2,592.75,593.05,14300,8237900
2016-11-01 10:46:00,LICHSGFIN_F1,593.25,593.25,592.75,592.75,13200,8237900
2016-11-01 10:47:00,LICHSGFIN_F1,592.5,592.7,592.1,592.5,14300,8252200
2016-11-01 10:48:00,LICHSGFIN_F1,592.6,592.8,592.5,592.5,11000,8252200
2016-11-01 10:49:00,LICHSGFIN_F1,592.1,592.1,591.2,592.0,37400,8252200
2016-11-01 10:50:00,LICHSGFIN_F1,592.0,592.7,592.0,592.6,15400,8263200
2016-11-01 10:51:00,LICHSGFIN_F1,592.3,592.3,592.0,592.0,13200,8263200
2016-11-01 10:52:00,LICHSGFIN_F1,591.95,591.95,591.55,591.55,18700,8263200
2016-11-01 10:53:00,LICHSGFIN_F1,591.7,591.85,591.55,591.55,31900,8255500
2016-11-01 10:54:00,LICHSGFIN_F1,591.7,592.0,591.6,591.6,31900,8255500
2016-11-01 10:55:00,LICHSGFIN_F1,592.0,592.15,591.9,592.15,17600,8255500
2016-11-01 10:56:00,LICHSGFIN_F1,592.3,592.8,591.7,591.7,35200,8264300
2016-11-01 10:57:00,LICHSGFIN_F1,591.85,591.85,591.4,591.6,15400,8264300
