Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:16:00,RELINFRA,544.55,544.55,542.35,542.9,6970,0
2016-11-01 09:17:00,RELINFRA,542.8,544.25,542.8,543.65,11627,0
2016-11-01 09:18:00,RELINFRA,543.55,543.55,543.0,543.2,5023,0
2016-11-01 09:19:00,RELINFRA,543.0,543.2,542.5,543.0,10499,0
2016-11-01 09:20:00,RELINFRA,542.55,542.85,542.1,542.8,4141,0
2016-11-01 09:21:00,RELINFRA,543.0,543.45,542.15,542.45,7105,0
2016-11-01 09:22:00,RELINFRA,542.25,542.45,541.5,541.7,5544,0
2016-11-01 09:23:00,RELINFRA,541.65,541.7,540.8,540.85,8178,0
2016-11-01 09:24:00,RELINFRA,540.6,541.75,540.35,540.75,6850,0
2016-11-01 09:25:00,RELINFRA,541.0,541.3,540.0,540.2,9385,0
2016-11-01 09:26:00,RELINFRA,540.2,540.2,538.5,539.55,12912,0
2016-11-01 09:27:00,RELINFRA,539.6,540.55,539.0,539.05,5752,0
2016-11-01 09:28:00,RELINFRA,539.15,539.5,538.55,539.5,7797,0
2016-11-01 09:29:00,RELINFRA,539.5,539.8,538.9,539.5,4751,0
2016-11-01 09:30:00,RELINFRA,539.5,540.7,539.5,540.3,5364,0
2016-11-01 09:31:00,RELINFRA,540.15,540.5,540.05,540.5,1882,0
2016-11-01 09:32:00,RELINFRA,540.5,540.5,539.85,539.9,3918,0
2016-11-01 09:33:00,RELINFRA,539.9,540.95,539.85,540.7,2924,0
2016-11-01 09:34:00,RELINFRA,540.7,540.9,540.1,540.5,4702,0
2016-11-01 09:35:00,RELINFRA,540.75,541.2,540.7,540.85,5607,0
2016-11-01 09:36:00,RELINFRA,540.75,541.0,540.65,540.85,4841,0
2016-11-01 09:37:00,RELINFRA,541.0,541.5,540.9,541.45,5131,0
2016-11-01 09:38:00,RELINFRA,541.8,541.95,540.85,541.1,9965,0
2016-11-01 09:39:00,RELINFRA,541.1,541.75,541.05,541.55,2569,0
2016-11-01 09:40:00,RELINFRA,541.75,542.0,541.25,541.25,5169,0
2016-11-01 09:41:00,RELINFRA,541.1,541.35,541.1,541.2,5741,0
2016-11-01 09:42:00,RELINFRA,541.2,541.35,541.0,541.0,3566,0
2016-11-01 09:43:00,RELINFRA,541.15,541.15,540.75,540.85,1905,0
2016-11-01 09:44:00,RELINFRA,540.85,541.4,540.8,541.2,3698,0
2016-11-01 09:45:00,RELINFRA,541.35,541.35,540.85,540.95,1823,0
2016-11-01 09:46:00,RELINFRA,540.95,540.95,540.75,540.8,1535,0
2016-11-01 09:47:00,RELINFRA,540.8,541.15,540.8,541.0,3433,0
2016-11-01 09:48:00,RELINFRA,540.8,541.15,540.0,540.35,4628,0
2016-11-01 09:49:00,RELINFRA,540.4,540.9,540.15,540.25,2996,0
2016-11-01 09:50:00,RELINFRA,540.25,540.5,539.6,539.8,3923,0
2016-11-01 09:51:00,RELINFRA,539.8,539.95,539.4,539.4,1853,0
2016-11-01 09:52:00,RELINFRA,539.4,539.5,539.2,539.5,2651,0
2016-11-01 09:53:00,RELINFRA,539.55,539.75,539.35,539.7,1454,0
2016-11-01 09:54:00,RELINFRA,539.7,539.75,539.4,539.5,1841,0
2016-11-01 09:55:00,RELINFRA,539.5,539.75,539.45,539.45,1113,0
2016-11-01 09:56:00,RELINFRA,539.6,539.6,537.55,538.0,14300,0
2016-11-01 09:57:00,RELINFRA,538.0,538.6,538.0,538.3,2907,0
2016-11-01 09:58:00,RELINFRA,538.4,539.0,538.35,538.7,3156,0
2016-11-01 09:59:00,RELINFRA,538.65,539.45,538.65,539.35,3836,0
2016-11-01 10:00:00,RELINFRA,539.15,539.5,538.95,539.35,1750,0
2016-11-01 10:01:00,RELINFRA,539.25,539.6,539.25,539.6,692,0
2016-11-01 10:02:00,RELINFRA,539.6,540.0,539.55,540.0,1629,0
2016-11-01 10:03:00,RELINFRA,540.05,540.4,539.45,539.45,3860,0
2016-11-01 10:04:00,RELINFRA,539.4,539.55,539.4,539.4,340,0
2016-11-01 10:05:00,RELINFRA,539.4,539.4,539.2,539.25,480,0
2016-11-01 10:06:00,RELINFRA,539.25,539.35,539.0,539.35,1591,0
2016-11-01 10:07:00,RELINFRA,539.35,539.35,539.05,539.2,957,0
2016-11-01 10:08:00,RELINFRA,539.3,539.5,539.3,539.45,530,0
2016-11-01 10:09:00,RELINFRA,539.5,539.8,539.25,539.25,2226,0
2016-11-01 10:10:00,RELINFRA,539.7,539.7,539.5,539.7,404,0
2016-11-01 10:11:00,RELINFRA,539.8,540.0,539.6,539.6,970,0
2016-11-01 10:12:00,RELINFRA,539.6,540.25,539.3,540.1,2817,0
2016-11-01 10:13:00,RELINFRA,540.25,540.7,540.2,540.7,2579,0
2016-11-01 10:14:00,RELINFRA,540.4,540.8,540.3,540.4,2775,0
2016-11-01 10:15:00,RELINFRA,540.5,540.8,540.5,540.75,2928,0
2016-11-01 10:16:00,RELINFRA,540.7,540.85,540.4,540.7,7181,0
2016-11-01 10:17:00,RELINFRA,540.7,540.8,540.3,540.65,1123,0
2016-11-01 10:18:00,RELINFRA,540.6,540.6,540.4,540.4,706,0
2016-11-01 10:19:00,RELINFRA,540.45,540.45,539.25,539.4,2888,0
2016-11-01 10:20:00,RELINFRA,539.95,540.4,539.9,540.4,1173,0
2016-11-01 10:21:00,RELINFRA,540.25,540.5,540.1,540.1,5780,0
2016-11-01 10:22:00,RELINFRA,540.2,540.55,540.05,540.55,1727,0
2016-11-01 10:23:00,RELINFRA,540.55,540.55,540.1,540.2,532,0
2016-11-01 10:24:00,RELINFRA,540.2,540.5,540.2,540.35,840,0
2016-11-01 10:25:00,RELINFRA,540.55,540.9,540.55,540.6,2051,0
2016-11-01 10:26:00,RELINFRA,540.65,540.65,540.4,540.4,274,0
2016-11-01 10:27:00,RELINFRA,540.7,540.7,540.3,540.4,427,0
2016-11-01 10:28:00,RELINFRA,540.4,540.7,540.3,540.3,647,0
2016-11-01 10:29:00,RELINFRA,540.25,540.4,540.0,540.4,1090,0
