Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:16:00,SAIL,52.2,52.3,51.85,52.2,175265,0
2016-11-01 09:17:00,SAIL,52.2,52.25,52.05,52.15,54919,0
2016-11-01 09:18:00,SAIL,51.95,52.05,51.8,52.05,50501,0
2016-11-01 09:19:00,SAIL,52.0,52.0,51.85,51.85,26563,0
2016-11-01 09:20:00,SAIL,51.85,52.0,51.85,51.9,51355,0
2016-11-01 09:21:00,SAIL,51.85,52.15,51.85,51.9,131890,0
2016-11-01 09:22:00,SAIL,51.95,52.2,51.95,52.1,71282,0
2016-11-01 09:23:00,SAIL,52.1,52.1,52.0,52.05,52113,0
2016-11-01 09:24:00,SAIL,52.05,52.2,52.05,52.2,114026,0
2016-11-01 09:25:00,SAIL,52.15,52.15,52.05,52.1,31463,0
2016-11-01 09:26:00,SAIL,52.1,52.1,52.0,52.0,28589,0
2016-11-01 09:27:00,SAIL,52.05,52.15,51.95,52.0,97503,0
2016-11-01 09:28:00,SAIL,52.0,52.05,51.85,52.0,45982,0
2016-11-01 09:29:00,SAIL,52.0,52.05,51.95,51.95,8079,0
2016-11-01 09:30:00,SAIL,52.0,52.1,52.0,52.1,42145,0
2016-11-01 09:31:00,SAIL,52.1,52.15,52.05,52.15,5895,0
2016-11-01 09:32:00,SAIL,52.1,52.15,52.05,52.05,16068,0
2016-11-01 09:33:00,SAIL,52.0,52.1,51.95,52.0,19153,0
2016-11-01 09:34:00,SAIL,52.0,52.05,51.95,52.0,16168,0
2016-11-01 09:35:00,SAIL,52.0,52.0,51.9,51.95,16870,0
2016-11-01 09:36:00,SAIL,51.9,51.95,51.85,51.85,5014,0
2016-11-01 09:37:00,SAIL,51.85,51.95,51.8,51.95,11655,0
2016-11-01 09:38:00,SAIL,51.9,51.9,51.85,51.9,23973,0
2016-11-01 09:39:00,SAIL,51.95,51.95,51.9,51.95,1045,0
2016-11-01 09:40:00,SAIL,51.9,51.95,51.65,51.7,82371,0
2016-11-01 09:41:00,SAIL,51.7,51.75,51.65,51.7,15925,0
2016-11-01 09:42:00,SAIL,51.65,51.75,51.6,51.75,43899,0
2016-11-01 09:43:00,SAIL,51.7,51.7,51.65,51.7,50369,0
2016-11-01 09:44:00,SAIL,51.7,51.7,51.55,51.6,35326,0
2016-11-01 09:45:00,SAIL,51.6,51.65,51.55,51.6,21706,0
2016-11-01 09:46:00,SAIL,51.65,51.7,51.6,51.7,17427,0
2016-11-01 09:47:00,SAIL,51.65,51.7,51.65,51.7,15164,0
2016-11-01 09:48:00,SAIL,51.75,51.75,51.7,51.75,10831,0
2016-11-01 09:49:00,SAIL,51.7,51.75,51.65,51.65,13596,0
2016-11-01 09:50:00,SAIL,51.7,51.7,51.65,51.7,11372,0
2016-11-01 09:51:00,SAIL,51.75,51.75,51.65,51.65,22593,0
2016-11-01 09:52:00,SAIL,51.7,51.7,51.6,51.65,6986,0
2016-11-01 09:53:00,SAIL,51.65,51.7,51.6,51.7,9752,0
2016-11-01 09:54:00,SAIL,51.7,51.7,51.25,51.25,96360,0
2016-11-01 09:55:00,SAIL,51.3,51.4,51.3,51.4,19939,0
2016-11-01 09:56:00,SAIL,51.4,51.45,51.3,51.35,37759,0
2016-11-01 09:57:00,SAIL,51.3,51.35,51.25,51.3,10206,0
2016-11-01 09:58:00,SAIL,51.3,51.4,51.3,51.4,16963,0
2016-11-01 09:59:00,SAIL,51.35,51.55,51.35,51.55,29881,0
2016-11-01 10:00:00,SAIL,51.6,51.65,51.55,51.55,8439,0
2016-11-01 10:01:00,SAIL,51.55,51.55,51.45,51.5,35395,0
2016-11-01 10:02:00,SAIL,51.5,51.55,51.45,51.5,18895,0
2016-11-01 10:03:00,SAIL,51.5,51.55,51.5,51.55,7159,0
2016-11-01 10:04:00,SAIL,51.5,51.65,51.5,51.65,49434,0
2016-11-01 10:05:00,SAIL,51.6,51.6,51.55,51.55,9260,0
2016-11-01 10:06:00,SAIL,51.55,51.65,51.55,51.65,4101,0
2016-11-01 10:07:00,SAIL,51.65,51.65,51.55,51.6,2088,0
2016-11-01 10:08:00,SAIL,51.6,51.65,51.6,51.65,13780,0
2016-11-01 10:09:00,SAIL,51.65,51.7,51.6,51.7,17868,0
2016-11-01 10:10:00,SAIL,51.7,51.75,51.6,51.75,34348,0
2016-11-01 10:11:00,SAIL,51.8,51.85,51.75,51.8,26468,0
2016-11-01 10:12:00,SAIL,51.8,51.85,51.75,51.85,24620,0
2016-11-01 10:13:00,SAIL,51.85,51.9,51.85,51.9,28847,0
2016-11-01 10:14:00,SAIL,51.85,51.95,51.85,51.95,31960,0
2016-11-01 10:15:00,SAIL,51.95,52.0,51.95,51.95,30768,0
2016-11-01 10:16:00,SAIL,51.95,52.0,51.8,51.9,30535,0
2016-11-01 10:17:00,SAIL,51.9,51.95,51.8,51.8,14024,0
2016-11-01 10:18:00,SAIL,51.85,51.9,51.8,51.85,9557,0
2016-11-01 10:19:00,SAIL,51.85,51.85,51.8,51.8,13081,0
2016-11-01 10:20:00,SAIL,51.85,51.9,51.8,51.85,16204,0
2016-11-01 10:21:00,SAIL,51.9,51.9,51.85,51.85,44955,0
2016-11-01 10:22:00,SAIL,51.85,51.9,51.8,51.9,24300,0
2016-11-01 10:23:00,SAIL,51.9,51.9,51.85,51.9,3352,0
2016-11-01 10:24:00,SAIL,51.85,51.9,51.75,51.85,14759,0
2016-11-01 10:25:00,SAIL,51.85,51.95,51.85,51.95,24100,0
2016-11-01 10:26:00,SAIL,51.95,51.95,51.9,51.9,11340,0
2016-11-01 10:27:00,SAIL,51.9,51.95,51.9,51.9,24446,0
2016-11-01 10:28:00,SAIL,51.95,51.95,51.9,51.95,2565,0
2016-11-01 10:29:00,SAIL,51.95,51.95,51.9,51.9,21617,0
2016-11-01 10:30:00,SAIL,51.85,51.9,51.8,51.85,11839,0
2016-11-01 10:31:00,SAIL,51.85,51.85,51.8,51.8,10122,0
2016-11-01 10:32:00,SAIL,51.8,51.95,51.75,51.9,34731,0
2016-11-01 10:33:00,SAIL,51.95,52.0,51.85,51.9,21031,0
2016-11-01 10:34:00,SAIL,51.9,52.0,51.9,51.95,28832,0
2016-11-01 10:35:00,SAIL,51.95,51.95,51.9,51.95,6420,0
2016-11-01 10:36:00,SAIL,51.9,52.0,51.9,52.0,25487,0
2016-11-01 10:37:00,SAIL,51.95,52.0,51.95,52.0,11275,0
2016-11-01 10:38:00,SAIL,52.0,52.0,51.95,52.0,37287,0
2016-11-01 10:39:00,SAIL,51.95,52.0,51.95,51.95,17475,0
2016-11-01 10:40:00,SAIL,51.95,52.0,51.95,51.95,7195,0
2016-11-01 10:41:00,SAIL,51.95,52.0,51.9,51.95,8440,0
2016-11-01 10:42:00,SAIL,51.9,51.95,51.9,51.95,4114,0
2016-11-01 10:43:00,SAIL,51.95,51.95,51.9,51.95,15024,0
2016-11-01 10:44:00,SAIL,51.95,51.95,51.9,51.9,13108,0
2016-11-01 10:45:00,SAIL,51.95,51.95,51.95,51.95,1784,0
2016-11-01 10:46:00,SAIL,51.95,52.0,51.95,52.0,17435,0
2016-11-01 10:47:00,SAIL,52.0,52.0,51.95,51.95,17980,0
2016-11-01 10:48:00,SAIL,51.95,52.05,51.95,52.0,27055,0
2016-11-01 10:49:00,SAIL,52.0,52.2,51.95,52.15,165857,0
2016-11-01 10:50:00,SAIL,52.15,52.5,52.05,52.4,313915,0
2016-11-01 10:51:00,SAIL,52.4,52.4,52.3,52.4,228797,0
2016-11-01 10:52:00,SAIL,52.4,52.45,52.3,52.35,162040,0
2016-11-01 10:53:00,SAIL,52.3,52.35,52.3,52.3,52584,0
2016-11-01 10:54:00,SAIL,52.35,52.35,52.2,52.3,129416,0
2016-11-01 10:55:00,SAIL,52.3,52.4,52.25,52.35,133323,0
2016-11-01 10:56:00,SAIL,52.3,52.35,52.3,52.35,37966,0
2016-11-01 10:57:00,SAIL,52.3,52.35,52.2,52.2,67338,0
2016-11-01 10:58:00,SAIL,52.2,52.25,52.2,52.2,47930,0
2016-11-01 10:59:00,SAIL,52.15,52.25,52.15,52.25,70340,0
2016-11-01 11:00:00,SAIL,52.2,52.25,52.15,52.15,20899,0
2016-11-01 11:01:00,SAIL,52.2,52.25,52.2,52.2,34601,0
2016-11-01 11:02:00,SAIL,52.25,52.3,52.25,52.3,48076,0
2016-11-01 11:03:00,SAIL,52.25,52.3,52.25,52.25,14489,0
2016-11-01 11:04:00,SAIL,52.25,52.3,52.25,52.3,20167,0
2016-11-01 11:05:00,SAIL,52.35,52.35,52.25,52.3,9002,0
2016-11-01 11:06:00,SAIL,52.35,52.35,52.2,52.25,97275,0
2016-11-01 11:07:00,SAIL,52.25,52.3,52.25,52.3,20937,0
2016-11-01 11:08:00,SAIL,52.3,52.35,52.25,52.3,11145,0
2016-11-01 11:09:00,SAIL,52.3,52.35,52.25,52.35,29490,0
2016-11-01 11:10:00,SAIL,52.3,52.35,52.3,52.3,9094,0
2016-11-01 11:11:00,SAIL,52.3,52.45,52.3,52.3,142771,0
2016-11-01 11:12:00,SAIL,52.4,52.4,52.3,52.3,23121,0
2016-11-01 11:13:00,SAIL,52.35,52.35,52.3,52.3,2554,0
2016-11-01 11:14:00,SAIL,52.3,52.35,52.25,52.3,29196,0
2016-11-01 11:15:00,SAIL,52.3,52.35,52.25,52.3,63208,0
2016-11-01 11:16:00,SAIL,52.35,52.4,52.3,52.4,53572,0
2016-11-01 11:17:00,SAIL,52.4,52.45,52.35,52.45,103239,0
2016-11-01 11:18:00,SAIL,52.4,52.45,52.25,52.25,62049,0
2016-11-01 11:19:00,SAIL,52.35,52.4,52.3,52.35,67708,0
2016-11-01 11:20:00,SAIL,52.35,52.35,52.3,52.3,3663,0
2016-11-01 11:21:00,SAIL,52.35,52.35,52.25,52.25,73109,0
2016-11-01 11:22:00,SAIL,52.2,52.3,52.15,52.25,41138,0
2016-11-01 11:23:00,SAIL,52.2,52.3,52.2,52.3,26070,0
2016-11-01 11:24:00,SAIL,52.3,52.3,52.2,52.3,37189,0
2016-11-01 11:25:00,SAIL,52.25,52.35,52.25,52.25,22812,0
2016-11-01 11:26:00,SAIL,52.25,52.3,52.25,52.25,20538,0
2016-11-01 11:27:00,SAIL,52.25,52.35,52.25,52.25,16648,0
2016-11-01 11:28:00,SAIL,52.25,52.3,52.25,52.3,20260,0
2016-11-01 11:29:00,SAIL,52.25,52.3,52.2,52.25,50299,0
2016-11-01 11:30:00,SAIL,52.2,52.25,52.2,52.25,995,0
2016-11-01 11:31:00,SAIL,52.25,52.3,52.2,52.3,6231,0
2016-11-01 11:32:00,SAIL,52.2,52.3,52.2,52.2,5906,0
2016-11-01 11:33:00,SAIL,52.2,52.25,52.2,52.2,4017,0
2016-11-01 11:34:00,SAIL,52.3,52.3,52.2,52.25,19119,0
2016-11-01 11:35:00,SAIL,52.2,52.3,52.2,52.3,137314,0
