Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,APOLLOTYRE,EQ,49.0,49.05,51.9,48.75,51.45,51.4,51.0,5797115,29566404535000.004,26628.5888177053,3452799,0.5956
2010-01-05,APOLLOTYRE,EQ,51.4,51.95,53.75,51.75,53.4,53.55,52.88,4891846,25867514630000.0,26628.5888177053,2889974,0.5908
2010-01-06,APOLLOTYRE,EQ,53.55,53.55,53.9,51.45,52.6,52.35,52.48,3129980,16426945110000.0,26628.5888177053,1860376,0.5944
2010-01-07,APOLLOTYRE,EQ,52.35,52.5,52.8,51.2,51.4,51.5,51.78,1721641,8915483180000.0,26628.5888177053,1028036,0.5971000000000001
2010-01-08,APOLLOTYRE,EQ,51.5,51.8,52.8,51.65,52.05,52.05,52.25,1389998,7263275659999.999,26628.5888177053,621807,0.4473
2010-01-11,APOLLOTYRE,EQ,52.05,52.75,53.5,52.05,52.35,52.4,52.6,1128199,5934531600000.0,26628.5888177053,637093,0.5647
2010-01-12,APOLLOTYRE,EQ,52.4,52.7,53.0,51.6,51.95,51.9,52.19,2368573,12362508545000.0,26628.5888177053,1380484,0.5828
2010-01-13,APOLLOTYRE,EQ,51.9,51.75,52.75,50.25,52.65,52.15,51.26,1574718,8071933495000.0,26628.5888177053,783841,0.4978
2010-01-14,APOLLOTYRE,EQ,52.15,52.2,54.95,52.2,54.95,54.65,54.04,6123054,33090931625000.0,26628.5888177053,4580268,0.748
2010-01-15,APOLLOTYRE,EQ,54.65,55.25,56.35,55.0,55.8,55.7,55.91,4721425,26395398115000.0,26628.5888177053,2537656,0.5375
2010-01-18,APOLLOTYRE,EQ,55.7,55.95,57.25,55.0,57.0,57.0,56.6,2917043,16511430550000.0,26628.5888177053,1578768,0.5412
2010-01-19,APOLLOTYRE,EQ,57.0,55.55,57.4,55.0,55.6,55.5,55.58,1396294,7760530045000.0,26628.5888177053,613155,0.4391
2010-01-20,APOLLOTYRE,EQ,55.5,56.0,56.0,54.0,54.2,54.35,54.52,1700205,9270070835000.0,26628.5888177053,1060227,0.6236
2010-01-21,APOLLOTYRE,EQ,54.35,54.2,56.0,53.0,54.0,53.65,54.55,3067576,16734472815000.0,26628.5888177053,1889419,0.6159
2010-01-22,APOLLOTYRE,EQ,53.65,53.65,55.5,50.4,54.2,53.85,53.89,3331744,17953388970000.0,26628.5888177053,1891764,0.5678
2010-01-25,APOLLOTYRE,EQ,53.85,53.5,54.1,51.9,51.9,52.0,52.49,1664412,8735750509999.999,26628.5888177053,962435,0.5782
2010-01-27,APOLLOTYRE,EQ,52.0,51.8,52.35,50.65,51.6,51.5,51.45,1497250,7703114515000.001,26628.5888177053,1090842,0.7286
2010-01-28,APOLLOTYRE,EQ,51.5,51.75,52.5,50.15,51.3,51.25,51.13,1161585,5938728340000.0,26628.5888177053,621262,0.5347999999999999
2010-01-29,APOLLOTYRE,EQ,51.25,51.3,53.8,49.75,53.7,53.05,51.84,2634925,13658545950000.0,26628.5888177053,1178215,0.4472
2010-02-01,APOLLOTYRE,EQ,53.05,53.4,57.25,52.55,56.6,56.65,55.79,4342557,24227841665000.0,26628.5888177053,2276743,0.5243
