Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,ARVIND,EQ,39.05,39.5,40.1,39.0,39.9,39.8,39.64,2365108,9375628885000.0,20791.52824694234,962032,0.4068
2010-01-05,ARVIND,EQ,39.8,40.15,40.6,39.4,39.55,39.6,40.01,2192027,8771107240000.001,20791.52824694234,941116,0.4293
2010-01-06,ARVIND,EQ,39.6,39.6,40.0,38.9,38.9,39.05,39.35,1502920,5914699415000.0,20791.52824694234,733825,0.4883
2010-01-07,ARVIND,EQ,39.05,39.35,42.75,38.75,42.25,42.45,41.41,14457426,59865554270000.01,20791.52824694234,4409970,0.305
2010-01-08,ARVIND,EQ,42.45,42.8,43.7,41.3,41.6,41.85,42.87,9134737,39163370470000.0,20791.52824694234,2912386,0.3188
2010-01-11,ARVIND,EQ,41.85,41.95,43.0,41.5,42.45,42.4,42.38,3331439,14118471865000.0,20791.52824694234,943562,0.2832
2010-01-12,ARVIND,EQ,42.4,42.65,42.75,39.6,39.95,40.05,40.98,4077875,16711423040000.0,20791.52824694234,1725441,0.42310000000000003
2010-01-13,ARVIND,EQ,40.05,40.0,40.95,39.5,40.85,40.7,40.27,1843346,7422914275000.0,20791.52824694234,589841,0.32
2010-01-14,ARVIND,EQ,40.7,40.9,42.1,40.35,41.25,40.9,41.14,2524924,10387033380000.0,20791.52824694234,848018,0.33590000000000003
2010-01-15,ARVIND,EQ,40.9,41.3,41.45,40.5,40.65,40.95,40.95,1675888,6862688380000.0,20791.52824694234,588938,0.3514
2010-01-18,ARVIND,EQ,40.95,40.5,41.2,40.0,40.05,40.1,40.56,1269952,5151347495000.0,20791.52824694234,574645,0.4525
2010-01-19,ARVIND,EQ,40.1,40.3,41.9,39.9,40.2,40.4,41.09,4951829,20344926585000.0,20791.52824694234,924685,0.18670000000000003
2010-01-20,ARVIND,EQ,40.4,40.4,41.4,40.0,40.0,40.25,40.61,1863125,7565420030000.0,20791.52824694234,563466,0.3024
2010-01-21,ARVIND,EQ,40.25,40.25,41.8,39.35,40.0,39.95,40.83,5115694,20888586590000.0,20791.52824694234,1076880,0.21050000000000002
2010-01-22,ARVIND,EQ,39.95,39.5,41.4,37.9,41.15,41.1,39.95,4344801,17359502525000.0,20791.52824694234,1439696,0.33140000000000003
2010-01-25,ARVIND,EQ,41.1,40.8,41.1,39.8,39.95,40.15,40.4,2244907,9069717140000.0,20791.52824694234,627777,0.2796
2010-01-27,ARVIND,EQ,40.15,39.75,40.45,36.3,36.6,36.95,38.72,2119058,8204162530000.0,20791.52824694234,781463,0.3688
2010-01-28,ARVIND,EQ,36.95,37.2,38.25,36.65,37.05,37.0,37.48,1331375,4989450070000.0,20791.52824694234,383307,0.2879
2010-01-29,ARVIND,EQ,37.0,36.5,39.0,35.75,37.9,37.7,37.3,2341121,8731894734999.999,20791.52824694234,606290,0.259
2010-02-01,ARVIND,EQ,37.7,38.0,38.45,37.15,37.8,37.75,37.9,1604924,6081904815000.0,20791.52824694234,409859,0.2554
2010-02-02,ARVIND,EQ,37.75,38.1,38.45,36.85,37.05,37.05,37.81,1059795,4007037575000.0,20791.52824694234,431860,0.40750000000000003
2010-02-03,ARVIND,EQ,37.05,37.2,38.0,37.15,37.2,37.25,37.45,779946,2920869040000.0,20791.52824694234,297233,0.3811
2010-02-04,ARVIND,EQ,37.25,37.0,37.5,35.8,36.05,36.05,36.77,919560,3380909445000.0005,20791.52824694234,309951,0.3371
2010-02-05,ARVIND,EQ,36.05,35.0,35.25,34.3,34.8,34.85,34.87,867326,3024791165000.0,20791.52824694234,427618,0.493
2010-02-06,ARVIND,EQ,34.85,35.0,36.0,34.9,35.8,35.65,35.47,176024,624419175000.0,20791.52824694234,79477,0.4515
2010-02-08,ARVIND,EQ,35.65,35.8,36.15,34.95,35.7,35.65,35.63,857152,3054453180000.0,20791.52824694234,193526,0.2258
2010-02-09,ARVIND,EQ,35.65,35.9,35.95,35.3,35.6,35.55,35.67,357170,1274096800000.0,20791.52824694234,128322,0.3593
