Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,BATAINDIA,EQ,197.1,198.6,198.6,195.0,196.3,196.4,196.15,53094,1041455905000.0001,12670.737332556786,21669,0.4081
2010-01-05,BATAINDIA,EQ,196.4,198.7,198.7,193.55,194.8,194.05,195.92,91012,1783149610000.0002,12670.737332556786,44069,0.4842
2010-01-06,BATAINDIA,EQ,194.05,195.9,197.5,193.3,194.2,193.7,194.55,41878,814739075000.0,12670.737332556786,19699,0.4704
2010-01-07,BATAINDIA,EQ,193.7,195.0,198.7,192.8,197.0,196.15,196.23,113719,2231513515000.0,12670.737332556786,38939,0.34240000000000004
2010-01-08,BATAINDIA,EQ,196.15,194.25,202.6,194.25,195.7,195.85,199.09,324023,6451123195000.0,12670.737332556786,82222,0.25379999999999997
2010-01-11,BATAINDIA,EQ,195.85,195.5,198.95,194.95,194.95,195.35,196.61,94786,1863627705000.0,12670.737332556786,42350,0.44680000000000003
2010-01-12,BATAINDIA,EQ,195.35,195.9,204.4,195.2,199.25,199.35,201.48,702472,14153406210000.0,12670.737332556786,173934,0.24760000000000001
2010-01-13,BATAINDIA,EQ,199.35,199.0,209.9,198.15,208.65,209.1,206.58,1142582,23603352855000.0,12670.737332556786,342069,0.2994
2010-01-14,BATAINDIA,EQ,209.1,209.0,213.1,205.15,205.15,206.1,209.87,489355,10270099565000.0,12670.737332556786,153742,0.31420000000000003
2010-01-15,BATAINDIA,EQ,206.1,206.0,211.0,203.55,208.0,208.6,206.8,295078,6102279640000.0,12670.737332556786,150808,0.5111
2010-01-18,BATAINDIA,EQ,208.6,208.0,216.2,206.0,206.5,206.85,212.22,676390,14354292615000.0,12670.737332556786,241175,0.3566
2010-01-19,BATAINDIA,EQ,206.85,204.0,210.0,203.1,204.2,204.1,206.07,106396,2192530039999.9998,12670.737332556786,43275,0.4067
2010-01-20,BATAINDIA,EQ,204.1,206.0,210.5,198.8,199.6,200.45,205.55,209270,4301642390000.0,12670.737332556786,55446,0.26489999999999997
2010-01-21,BATAINDIA,EQ,200.45,200.9,204.6,196.05,196.1,196.75,201.02,183835,3695369070000.0005,12670.737332556786,44565,0.24239999999999998
2010-01-22,BATAINDIA,EQ,196.75,195.0,195.0,187.05,191.15,192.9,192.06,143029,2747086305000.0,12670.737332556786,45137,0.3156
2010-01-25,BATAINDIA,EQ,192.9,190.0,194.0,183.6,184.3,185.75,186.57,226030,4217137200000.0,12670.737332556786,118027,0.5222
2010-01-27,BATAINDIA,EQ,185.75,186.0,188.0,175.0,175.65,176.7,178.97,249807,4470917340000.0,12670.737332556786,153312,0.6137
2010-01-28,BATAINDIA,EQ,176.7,177.0,183.65,176.5,183.0,181.8,180.64,154813,2796558575000.0,12670.737332556786,60973,0.39380000000000004
2010-01-29,BATAINDIA,EQ,181.8,179.0,185.0,177.05,181.35,182.0,180.48,144577,2609386160000.0,12670.737332556786,87613,0.606
2010-02-01,BATAINDIA,EQ,182.0,182.0,192.0,178.35,191.8,191.1,187.95,166423,3127920475000.0,12670.737332556786,77444,0.46530000000000005
2010-02-02,BATAINDIA,EQ,191.1,193.0,195.4,190.0,190.5,191.8,192.88,100327,1935132030000.0,12670.737332556786,56834,0.5665
2010-02-03,BATAINDIA,EQ,191.8,192.0,196.9,190.1,190.65,190.7,193.96,103279,2003175500000.0,12670.737332556786,20842,0.2018
2010-02-04,BATAINDIA,EQ,190.7,191.6,191.85,185.55,187.65,187.1,189.01,37811,714683475000.0,12670.737332556786,14189,0.3753
2010-02-05,BATAINDIA,EQ,187.1,184.9,185.0,177.5,180.75,180.6,181.24,45651,827383165000.0,12670.737332556786,19443,0.42590000000000006
2010-02-06,BATAINDIA,EQ,180.6,181.05,184.85,181.0,181.15,181.6,182.37,15101,275397660000.0,12670.737332556786,3595,0.23809999999999998
2010-02-08,BATAINDIA,EQ,181.6,181.9,188.0,181.3,181.6,182.1,184.29,67863,1250679370000.0,12670.737332556786,19631,0.2893
2010-02-09,BATAINDIA,EQ,182.1,182.7,185.4,181.6,183.15,182.35,183.32,25290,463614555000.0,12670.737332556786,8335,0.3296
2010-02-10,BATAINDIA,EQ,182.35,183.5,187.9,182.75,183.9,183.9,185.6,108919,2021568505000.0,12670.737332556786,21182,0.1945
2010-02-11,BATAINDIA,EQ,183.9,185.4,186.95,184.1,184.1,184.4,185.33,35626,660264630000.0,12670.737332556786,9319,0.2616
2010-02-15,BATAINDIA,EQ,184.4,184.05,185.85,181.9,183.0,182.4,183.41,25010,458718655000.0,12670.737332556786,8069,0.3226
2010-02-16,BATAINDIA,EQ,182.4,183.9,187.0,182.3,186.0,185.7,184.81,39267,725687045000.0,12670.737332556786,15146,0.3857
2010-02-17,BATAINDIA,EQ,185.7,187.0,188.0,184.6,187.45,186.1,186.39,34607,645039035000.0,12670.737332556786,16304,0.4711
2010-02-18,BATAINDIA,EQ,186.1,186.9,187.5,183.9,185.45,184.8,185.48,24524,454879675000.0,12670.737332556786,10647,0.4341
2010-02-19,BATAINDIA,EQ,184.8,183.1,186.6,183.1,186.5,185.3,184.53,29091,536818775000.0,12670.737332556786,12853,0.4418
2010-02-22,BATAINDIA,EQ,185.3,188.0,188.0,181.2,182.6,181.8,183.77,25144,462064084999.99994,12670.737332556786,11496,0.4572
2010-02-23,BATAINDIA,EQ,181.8,184.9,186.5,181.65,186.4,185.9,184.64,54077,998452235000.0,12670.737332556786,26472,0.48950000000000005
2010-02-24,BATAINDIA,EQ,185.9,182.4,190.9,182.4,184.55,185.65,187.35,178212,3338861900000.0,12670.737332556786,27771,0.1558
2010-02-25,BATAINDIA,EQ,185.65,188.1,210.4,187.25,204.2,205.45,202.85,2778397,56361104470000.01,12670.737332556786,309808,0.1115
2010-02-26,BATAINDIA,EQ,205.45,205.0,246.55,201.05,235.0,234.7,220.56,4308196,95022555260000.0,12670.737332556786,806550,0.1872
2010-03-02,BATAINDIA,EQ,234.7,205.25,245.0,205.25,244.0,237.6,231.97,4273366,99127473560000.0,12670.737332556786,461948,0.1081
2010-03-03,BATAINDIA,EQ,237.6,238.15,241.6,231.3,235.6,236.4,237.68,1190334,28292230330000.0,12670.737332556786,71187,0.059800000000000006
2010-03-04,BATAINDIA,EQ,236.4,234.0,240.4,230.3,233.0,234.65,237.37,588592,13971423419999.998,12670.737332556786,64308,0.1093
2010-03-05,BATAINDIA,EQ,234.65,236.6,239.5,231.3,233.8,233.85,236.55,244510,5783825900000.0,12670.737332556786,57503,0.2352
2010-03-08,BATAINDIA,EQ,233.85,238.0,244.9,234.3,236.9,236.15,240.46,455499,10952979935000.0,12670.737332556786,78866,0.1731
2010-03-09,BATAINDIA,EQ,236.15,237.5,239.3,234.0,237.0,235.45,236.25,151696,3583758265000.0,12670.737332556786,57858,0.3814
2010-03-10,BATAINDIA,EQ,235.45,237.0,248.7,234.2,240.5,241.25,243.8,948809,23132343450000.0,12670.737332556786,141875,0.1495
2010-03-11,BATAINDIA,EQ,241.25,240.5,255.85,240.5,249.5,249.2,251.31,1733426,43562403755000.0,12670.737332556786,243853,0.14070000000000002
2010-03-12,BATAINDIA,EQ,249.2,247.9,255.5,246.4,248.6,249.15,250.99,539714,13546258480000.002,12670.737332556786,69903,0.1295
2010-03-15,BATAINDIA,EQ,249.15,249.0,250.5,240.1,241.0,241.45,245.09,163453,4006148745000.0005,12670.737332556786,34752,0.2126
2010-03-16,BATAINDIA,EQ,241.45,242.95,248.6,241.2,242.9,243.05,244.79,238907,5848202610000.0,12670.737332556786,48773,0.20420000000000002
2010-03-17,BATAINDIA,EQ,243.05,244.9,245.95,236.1,238.0,238.25,241.63,131935,3187949875000.0,12670.737332556786,40717,0.3086
2010-03-18,BATAINDIA,EQ,238.25,240.0,241.8,235.15,236.55,236.95,239.05,111298,2660615625000.0,12670.737332556786,26158,0.23500000000000001
2010-03-19,BATAINDIA,EQ,236.95,237.0,242.35,236.2,239.0,238.0,239.12,147528,3527676390000.0,12670.737332556786,29444,0.1996
2010-03-22,BATAINDIA,EQ,238.0,238.5,251.4,237.0,242.45,242.1,247.11,990171,24468376060000.0,12670.737332556786,151619,0.1531
2010-03-23,BATAINDIA,EQ,242.1,244.0,246.55,239.15,240.2,240.45,243.2,168469,4097234035000.0,12670.737332556786,45553,0.2704
2010-03-25,BATAINDIA,EQ,240.45,241.9,244.55,238.0,240.0,239.05,241.6,142616,3445583665000.0,12670.737332556786,37925,0.2659
2010-03-26,BATAINDIA,EQ,239.05,240.9,242.45,237.0,237.5,237.55,238.94,86709,2071838095000.0,12670.737332556786,32524,0.3751
2010-03-29,BATAINDIA,EQ,237.55,238.1,240.65,231.05,231.6,232.2,235.82,111461,2628503375000.0,12670.737332556786,45712,0.41009999999999996
2010-03-30,BATAINDIA,EQ,232.2,233.0,233.05,226.2,228.95,227.7,228.39,144119,3291586360000.0,12670.737332556786,33924,0.2354
2010-03-31,BATAINDIA,EQ,227.7,227.7,234.5,227.1,228.0,228.1,230.83,155014,3578158585000.0,12670.737332556786,33663,0.2172
2010-04-01,BATAINDIA,EQ,228.1,229.4,238.45,229.4,236.55,236.95,235.64,333237,7852428715000.001,12670.737332556786,58612,0.1759
2010-04-05,BATAINDIA,EQ,236.95,240.0,241.85,239.0,240.0,240.2,240.22,197030,4733147925000.0,12670.737332556786,94927,0.4818
2010-04-06,BATAINDIA,EQ,240.2,241.0,247.0,238.65,241.0,240.3,243.11,192908,4689879830000.0,12670.737332556786,43019,0.223
2010-04-07,BATAINDIA,EQ,240.3,242.0,243.7,240.15,243.25,242.55,242.02,81433,1970825289999.9998,12670.737332556786,30812,0.37840000000000007
