Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,BHARTIARTL,EQ,329.75,329.85,332.1,323.85,325.25,325.2,326.93,2952340,96520886835000.0,61329.77868375073,1281792,0.43420000000000003
2010-01-05,BHARTIARTL,EQ,325.2,328.25,332.0,325.5,330.65,330.35,329.36,4302024,141692385460000.0,61329.77868375073,1574502,0.36600000000000005
2010-01-06,BHARTIARTL,EQ,330.35,332.95,335.15,326.1,326.9,326.85,331.24,4409919,146075618040000.0,61329.77868375073,1965213,0.44560000000000005
2010-01-07,BHARTIARTL,EQ,326.85,328.35,334.0,328.0,329.0,329.4,330.91,3868937,128026997259999.98,61329.77868375073,1692143,0.4374
2010-01-08,BHARTIARTL,EQ,329.4,329.75,331.45,324.65,325.45,325.05,328.09,2655707,87130920600000.0,61329.77868375073,1349311,0.5081
2010-01-11,BHARTIARTL,EQ,325.05,331.0,331.0,325.5,330.0,328.95,327.7,3143217,103001997410000.0,61329.77868375073,1568775,0.4991
2010-01-12,BHARTIARTL,EQ,328.95,330.1,333.9,320.4,322.5,322.25,328.79,6507716,213965874305000.0,61329.77868375073,2687901,0.413
2010-01-13,BHARTIARTL,EQ,322.25,321.5,321.95,315.25,317.9,318.4,318.58,4299714,136978430755000.0,61329.77868375073,2218520,0.516
2010-01-14,BHARTIARTL,EQ,318.4,319.2,322.6,317.2,317.95,318.05,319.19,3920034,125124414890000.02,61329.77868375073,2232417,0.5695
2010-01-15,BHARTIARTL,EQ,318.05,318.0,322.5,316.0,317.6,317.4,318.68,4407407,140457290209999.98,61329.77868375073,2398437,0.5442
2010-01-18,BHARTIARTL,EQ,317.4,317.0,322.7,316.15,320.75,320.7,320.74,3918998,125698533395000.0,61329.77868375073,2504318,0.639
2010-01-19,BHARTIARTL,EQ,320.7,321.0,325.8,318.1,319.5,320.55,321.83,3884885,125028982409999.98,61329.77868375073,1957133,0.5038
2010-01-20,BHARTIARTL,EQ,320.55,321.55,332.3,321.55,331.05,331.5,329.56,9116756,300452776360000.0,61329.77868375073,5098544,0.5592
2010-01-21,BHARTIARTL,EQ,331.5,330.0,333.0,321.2,322.0,322.4,327.26,3955328,129440445109999.98,61329.77868375073,1440292,0.3641
2010-01-22,BHARTIARTL,EQ,322.4,318.7,330.0,315.0,323.3,322.15,322.71,8696121,280631252819999.97,61329.77868375073,2780179,0.3197
2010-01-25,BHARTIARTL,EQ,322.15,322.15,331.75,318.4,331.0,330.9,326.58,5398902,176317908055000.0,61329.77868375073,2673389,0.49520000000000003
2010-01-27,BHARTIARTL,EQ,330.9,329.5,331.8,320.0,322.0,322.9,326.32,5044367,164607126185000.0,61329.77868375073,2245854,0.44520000000000004
2010-01-28,BHARTIARTL,EQ,322.9,324.0,327.85,311.0,314.0,313.65,316.74,7620843,241380706315000.0,61329.77868375073,4181735,0.5487
2010-01-29,BHARTIARTL,EQ,313.65,311.0,313.9,304.15,307.0,306.4,307.41,6845712,210444279645000.0,61329.77868375073,3532865,0.5161
2010-02-01,BHARTIARTL,EQ,306.4,305.0,313.7,305.0,309.0,311.2,309.96,3865282,119809547470000.0,61329.77868375073,1579695,0.4087
2010-02-02,BHARTIARTL,EQ,311.2,314.5,315.7,306.1,307.5,307.65,309.91,4593595,142359286895000.0,61329.77868375073,2827491,0.6154999999999999
2010-02-03,BHARTIARTL,EQ,307.65,310.0,312.75,306.5,308.7,309.0,309.42,3649370,112917699340000.02,61329.77868375073,2035903,0.5579
2010-02-04,BHARTIARTL,EQ,309.0,307.0,309.0,300.5,306.4,304.1,305.62,2578956,78817917415000.0,61329.77868375073,1481094,0.5743
2010-02-05,BHARTIARTL,EQ,304.1,302.0,304.45,294.4,298.0,300.05,300.03,3915719,117482203750000.0,61329.77868375073,1512503,0.38630000000000003
2010-02-06,BHARTIARTL,EQ,300.05,301.5,303.0,299.5,300.45,300.4,300.76,388272,11677593290000.0,61329.77868375073,109696,0.28250000000000003
2010-02-08,BHARTIARTL,EQ,300.4,302.1,310.5,299.4,309.0,308.35,305.76,4808575,147025770930000.0,61329.77868375073,2221037,0.4619
