Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,CADILAHC,EQ,650.4,659.95,668.0,648.75,662.0,663.65,660.16,51855,3423238695000.0005,11628.990681421083,29607,0.5710000000000001
2010-01-05,CADILAHC,EQ,663.65,669.9,685.0,668.0,681.0,680.75,678.02,63163,4282555635000.0,11628.990681421083,35675,0.5648
2010-01-06,CADILAHC,EQ,680.75,680.0,694.0,676.25,685.35,686.65,687.01,37829,2598904170000.0,11628.990681421083,19757,0.5223
2010-01-07,CADILAHC,EQ,686.65,689.65,698.5,680.0,687.5,687.1,688.75,21545,1483904180000.0,11628.990681421083,9273,0.4304
2010-01-08,CADILAHC,EQ,687.1,683.2,698.85,683.2,690.5,691.1,692.65,70998,4917669130000.0,11628.990681421083,61942,0.8724
2010-01-11,CADILAHC,EQ,691.1,690.0,717.8,681.4,685.0,687.2,695.93,38519,2680645740000.0,11628.990681421083,16955,0.44020000000000004
2010-01-12,CADILAHC,EQ,687.2,685.8,691.85,675.0,679.0,677.15,678.45,19435,1318558155000.0,11628.990681421083,11859,0.6102000000000001
2010-01-13,CADILAHC,EQ,677.15,665.2,679.5,665.2,667.5,672.65,674.45,15410,1039332510000.0,11628.990681421083,8821,0.5724
2010-01-14,CADILAHC,EQ,672.65,665.25,680.0,665.25,675.0,675.75,672.98,39952,2688679225000.0,11628.990681421083,30247,0.7571
2010-01-15,CADILAHC,EQ,675.75,685.0,685.0,669.25,678.0,678.75,677.11,9336,632149835000.0,11628.990681421083,6205,0.6646
2010-01-18,CADILAHC,EQ,678.75,672.0,680.0,667.5,669.0,670.95,672.94,24685,1661160345000.0,11628.990681421083,18054,0.7314
2010-01-19,CADILAHC,EQ,670.95,670.0,675.0,662.0,670.0,669.9,669.63,14977,1002900544999.9999,11628.990681421083,10394,0.6940000000000001
2010-01-20,CADILAHC,EQ,669.9,660.0,683.9,649.0,660.0,661.95,661.73,26694,1766420675000.0,11628.990681421083,15433,0.5781000000000001
2010-01-21,CADILAHC,EQ,661.95,642.6,685.0,642.0,649.7,652.2,650.4,95056,6182401275000.0,11628.990681421083,86241,0.9073000000000001
2010-01-22,CADILAHC,EQ,652.2,645.0,652.0,621.1,650.0,646.55,639.02,21660,1384116425000.0,11628.990681421083,12029,0.5554
2010-01-25,CADILAHC,EQ,646.55,646.55,666.9,641.1,651.75,650.35,653.25,18378,1200538455000.0,11628.990681421083,6450,0.35100000000000003
2010-01-27,CADILAHC,EQ,650.35,658.0,722.5,658.0,694.0,696.45,701.27,539584,37839618335000.0,11628.990681421083,144658,0.2681
2010-01-28,CADILAHC,EQ,696.45,709.75,716.95,681.35,692.5,690.2,700.07,150314,10523085370000.0,11628.990681421083,55040,0.36619999999999997
2010-01-29,CADILAHC,EQ,690.2,662.5,734.8,662.5,713.3,714.45,712.27,135177,9628216385000.0,11628.990681421083,48765,0.3607
2010-02-01,CADILAHC,EQ,714.45,713.2,719.0,685.0,708.8,712.95,705.6,201741,14234906855000.002,11628.990681421083,173627,0.8606
2010-02-02,CADILAHC,EQ,712.95,720.0,725.0,701.0,701.0,707.2,716.23,82293,5894089095000.0,11628.990681421083,46348,0.5632
2010-02-03,CADILAHC,EQ,707.2,640.0,720.0,640.0,700.0,700.55,712.74,67511,4811795465000.0,11628.990681421083,39231,0.5811000000000001
2010-02-04,CADILAHC,EQ,700.55,651.65,708.95,651.65,688.0,684.35,696.01,29260,2036522320000.0,11628.990681421083,15243,0.521
2010-02-05,CADILAHC,EQ,684.35,670.1,685.5,662.0,677.5,674.95,669.26,29266,1958659745000.0,11628.990681421083,16271,0.556
2010-02-06,CADILAHC,EQ,674.95,684.95,712.0,675.1,703.0,706.9,700.92,10443,731972130000.0,11628.990681421083,2852,0.2731
2010-02-08,CADILAHC,EQ,706.9,712.0,712.0,692.05,701.0,701.3,700.17,18307,1281798815000.0,11628.990681421083,10185,0.5563
