Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,CANBK,EQ,388.75,390.0,399.75,386.55,398.15,398.85,394.53,400005,15781423944999.998,29369.48514851485,164793,0.41200000000000003
2010-01-05,CANBK,EQ,398.85,399.9,407.0,399.05,404.25,405.85,403.79,500502,20209533045000.0,29369.48514851485,292369,0.5842
2010-01-06,CANBK,EQ,405.85,406.0,411.7,398.4,405.95,407.85,407.73,383688,15643936265000.0,29369.48514851485,96625,0.2518
2010-01-07,CANBK,EQ,407.85,406.8,412.0,405.15,410.55,411.2,409.55,395968,16216725005000.002,29369.48514851485,172122,0.4347
2010-01-08,CANBK,EQ,411.2,412.0,413.0,401.75,408.0,405.55,407.64,158933,6478781455000.0,29369.48514851485,51469,0.32380000000000003
2010-01-11,CANBK,EQ,405.55,401.25,410.0,401.25,407.2,406.6,407.75,113334,4621154580000.0,29369.48514851485,34067,0.3006
2010-01-12,CANBK,EQ,406.6,406.5,410.9,398.15,398.25,398.8,402.84,250332,10084475625000.0,29369.48514851485,117514,0.4694
2010-01-13,CANBK,EQ,398.8,393.9,401.8,391.65,394.5,394.9,395.87,454783,18003338610000.0,29369.48514851485,249181,0.5479
2010-01-14,CANBK,EQ,394.9,397.0,400.65,390.7,392.15,393.1,395.77,554144,21931386205000.0,29369.48514851485,324215,0.5851
2010-01-15,CANBK,EQ,393.1,395.0,395.95,384.0,385.0,385.15,388.74,744510,28941886105000.0,29369.48514851485,442876,0.5949
2010-01-18,CANBK,EQ,385.15,382.0,394.0,380.1,394.0,391.95,388.19,538158,20890898155000.0,29369.48514851485,166874,0.31010000000000004
2010-01-19,CANBK,EQ,391.95,392.6,400.0,392.6,396.0,395.9,397.07,258552,10266234890000.0,29369.48514851485,60420,0.23370000000000002
2010-01-20,CANBK,EQ,395.9,396.9,404.5,396.9,401.2,402.5,401.58,465687,18701167170000.0,29369.48514851485,199678,0.4288
2010-01-21,CANBK,EQ,402.5,400.0,402.9,393.3,396.0,396.2,397.41,291592,11588109310000.0,29369.48514851485,110053,0.3774
2010-01-22,CANBK,EQ,396.2,390.6,399.5,384.0,389.95,390.2,390.99,513813,20089590460000.0,29369.48514851485,243902,0.4747
2010-01-25,CANBK,EQ,390.2,385.6,394.0,385.4,391.75,390.05,389.85,343020,13372734115000.0,29369.48514851485,207377,0.6046
2010-01-27,CANBK,EQ,390.05,388.0,394.55,365.1,376.0,372.3,377.55,543812,20531735745000.0,29369.48514851485,286786,0.5274
2010-01-28,CANBK,EQ,372.3,375.0,382.9,366.1,373.25,372.9,375.24,1395800,52375554030000.0,29369.48514851485,536669,0.38450000000000006
2010-01-29,CANBK,EQ,372.9,374.0,398.95,359.8,387.0,390.4,377.9,1374778,51952399085000.0,29369.48514851485,534650,0.3889
2010-02-01,CANBK,EQ,390.4,389.0,406.1,385.85,405.35,404.4,397.5,558955,22218631565000.0,29369.48514851485,209186,0.37420000000000003
2010-02-02,CANBK,EQ,404.4,404.0,412.0,400.5,400.5,403.85,405.78,736646,29891884260000.004,29369.48514851485,385247,0.523
2010-02-03,CANBK,EQ,403.85,409.5,409.5,400.2,401.4,401.65,404.22,334313,13513525230000.002,29369.48514851485,114786,0.3433
2010-02-04,CANBK,EQ,401.65,399.0,401.0,391.5,395.0,393.65,395.13,285328,11274258675000.0,29369.48514851485,109932,0.38530000000000003
2010-02-05,CANBK,EQ,393.65,385.05,388.45,378.1,380.5,381.2,383.68,230780,8854607815000.0,29369.48514851485,66644,0.2888
2010-02-06,CANBK,EQ,381.2,385.0,387.95,381.1,382.0,382.5,382.83,38518,1474596405000.0,29369.48514851485,12383,0.3215
2010-02-08,CANBK,EQ,382.5,381.0,391.45,378.9,389.7,388.65,385.97,319809,12343758505000.0,29369.48514851485,117721,0.36810000000000004
2010-02-09,CANBK,EQ,388.65,385.35,390.0,384.9,386.2,387.45,387.26,211350,8184773284999.999,29369.48514851485,85525,0.4047
2010-02-10,CANBK,EQ,387.45,393.0,393.0,380.3,382.0,382.2,386.77,295062,11412149130000.0,29369.48514851485,130310,0.4416
2010-02-11,CANBK,EQ,382.2,386.0,387.0,382.25,384.35,384.9,385.03,184361,7098517805000.0,29369.48514851485,73213,0.3971
2010-02-15,CANBK,EQ,384.9,390.0,392.4,380.1,383.75,382.05,384.08,140932,5412911900000.0,29369.48514851485,59634,0.42310000000000003
2010-02-16,CANBK,EQ,382.05,382.0,388.8,373.5,387.25,385.7,380.78,284207,10822131020000.0,29369.48514851485,69477,0.2445
2010-02-17,CANBK,EQ,385.7,387.9,390.9,379.6,383.45,382.3,386.67,289784,11205162950000.0,29369.48514851485,121809,0.4203
2010-02-18,CANBK,EQ,382.3,385.8,386.0,377.2,378.35,379.0,382.82,252491,9665875595000.0,29369.48514851485,144826,0.5736
2010-02-19,CANBK,EQ,379.0,377.0,385.75,373.15,380.25,380.1,380.98,282963,10780379030000.0,29369.48514851485,88919,0.31420000000000003
2010-02-22,CANBK,EQ,380.1,387.9,388.0,377.3,382.5,382.85,382.54,205691,7868418755000.0,29369.48514851485,103271,0.5021
2010-02-23,CANBK,EQ,382.85,380.0,383.5,377.1,379.8,379.25,381.0,145397,5539560945000.0,29369.48514851485,59623,0.41009999999999996
2010-02-24,CANBK,EQ,379.25,378.05,384.45,375.35,381.05,381.6,379.44,435611,16528798465000.0,29369.48514851485,337902,0.7757
2010-02-25,CANBK,EQ,381.6,382.0,392.8,379.5,383.0,381.6,383.58,307599,11798847445000.0,29369.48514851485,104900,0.341
2010-02-26,CANBK,EQ,381.6,383.5,396.95,383.0,394.0,393.0,392.08,372506,14605172644999.998,29369.48514851485,150074,0.4029
2010-03-02,CANBK,EQ,393.0,392.0,409.5,392.0,406.0,405.0,405.35,549865,22288666250000.0,29369.48514851485,322515,0.5865
2010-03-03,CANBK,EQ,405.0,409.85,419.0,406.0,415.25,415.75,415.36,645038,26792571500000.0,29369.48514851485,402547,0.6241
2010-03-04,CANBK,EQ,415.75,415.0,432.5,414.15,432.45,430.85,425.84,964088,41054492800000.0,29369.48514851485,547304,0.5677000000000001
2010-03-05,CANBK,EQ,430.85,432.1,441.95,428.0,429.0,429.8,433.94,819688,35569163360000.0,29369.48514851485,430022,0.5246000000000001
2010-03-08,CANBK,EQ,429.8,438.8,438.8,424.55,429.0,430.65,430.49,605594,26070056200000.0,29369.48514851485,330407,0.5456000000000001
2010-03-09,CANBK,EQ,430.65,429.0,430.0,422.05,424.9,423.1,424.32,371560,15766022390000.0,29369.48514851485,215719,0.5806
2010-03-10,CANBK,EQ,423.1,423.0,427.9,416.1,420.0,417.45,421.02,572054,24084766620000.0,29369.48514851485,292295,0.511
2010-03-11,CANBK,EQ,417.45,422.4,422.4,408.35,411.0,410.1,412.84,562734,23231763025000.0,29369.48514851485,353615,0.6284000000000001
2010-03-12,CANBK,EQ,410.1,412.9,417.4,408.0,409.0,408.85,411.03,230744,9484172820000.0,29369.48514851485,75390,0.32670000000000005
2010-03-15,CANBK,EQ,408.85,409.0,409.5,398.05,399.0,399.8,401.59,301890,12123680005000.0,29369.48514851485,163073,0.5402
