Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-03-28,CASTROLIND,EQ,297.7,302.5,314.0,302.5,311.0,312.2,309.27,208665,6453367075000.0,7916,140622,0.6739
2014-03-31,CASTROLIND,EQ,312.2,313.3,317.0,309.35,310.5,310.95,313.0,91514,2864427435000.0,3444,59589,0.6511
2014-04-01,CASTROLIND,EQ,310.95,312.2,312.2,305.0,306.5,306.05,306.32,198453,6079087990000.0,6605,176391,0.8887999999999999
2014-04-02,CASTROLIND,EQ,306.05,306.0,312.5,305.0,308.25,308.05,308.52,169167,5219208220000.0,6202,133473,0.789
2014-04-03,CASTROLIND,EQ,308.05,307.05,311.0,303.1,305.5,304.9,306.42,254728,7805400200000.0,3574,178558,0.701
2014-04-04,CASTROLIND,EQ,304.9,305.2,309.95,304.7,309.0,308.4,307.53,53319,1639693340000.0,1513,37768,0.7083
2014-04-07,CASTROLIND,EQ,308.4,306.15,309.8,303.5,303.5,304.05,304.73,99437,3030138720000.0,1875,79099,0.7955
2014-04-09,CASTROLIND,EQ,304.05,304.05,309.0,303.0,304.25,304.05,304.8,244701,7458528840000.001,5162,188775,0.7715000000000001
2014-04-10,CASTROLIND,EQ,304.05,305.0,306.4,303.9,304.5,304.2,304.75,100456,3061433835000.0,2670,73700,0.7337
2014-04-11,CASTROLIND,EQ,304.2,305.0,309.9,304.0,305.0,304.9,306.33,109339,3349357145000.0,2942,72200,0.6603
2014-04-15,CASTROLIND,EQ,304.9,307.35,307.35,302.15,302.85,302.65,303.48,63611,1930438510000.0002,1184,49031,0.7708
2014-04-16,CASTROLIND,EQ,302.65,303.5,304.5,300.0,300.8,300.35,302.14,69455,2098491010000.0002,1555,51571,0.7425
2014-04-17,CASTROLIND,EQ,300.35,300.0,304.0,300.0,301.35,301.4,302.27,26470,800112055000.0,3021,18276,0.6904000000000001
2014-04-21,CASTROLIND,EQ,301.4,302.0,305.0,300.0,300.85,300.2,301.1,108739,3274120950000.0,2093,83005,0.7633
2014-04-22,CASTROLIND,EQ,300.2,300.85,303.0,300.15,302.55,302.3,302.15,48618,1469016095000.0,949,36532,0.7514000000000001
2014-04-23,CASTROLIND,EQ,302.3,304.5,304.5,301.25,302.75,302.25,302.27,54131,1636215415000.0,1374,36329,0.6711
2014-04-25,CASTROLIND,EQ,302.25,301.0,302.0,297.0,297.0,297.45,299.43,67660,2025953335000.0002,1236,56632,0.8370000000000001
2014-04-28,CASTROLIND,EQ,297.45,297.15,298.9,296.0,297.7,297.45,297.59,51164,1522614235000.0,1146,42243,0.8256
2014-04-29,CASTROLIND,EQ,297.45,306.75,306.75,293.05,294.95,294.2,296.19,99784,2955536415000.0,2574,80963,0.8114
2014-04-30,CASTROLIND,EQ,294.2,294.95,304.5,293.0,296.6,296.1,298.54,103453,3088467520000.0,8934,49536,0.47880000000000006
2014-05-02,CASTROLIND,EQ,296.1,298.0,299.0,293.6,296.3,296.3,296.24,50070,1483276435000.0,1006,37359,0.7461
2014-05-05,CASTROLIND,EQ,296.3,296.3,297.0,291.5,293.0,293.0,294.06,56645,1665699155000.0,1712,41463,0.7320000000000001
2014-05-06,CASTROLIND,EQ,293.0,294.0,294.5,291.0,291.7,291.95,292.41,50415,1474202040000.0,2122,40414,0.8016
2014-05-07,CASTROLIND,EQ,291.95,291.25,292.9,289.4,290.5,290.3,291.24,151320,4407063665000.0,5262,131411,0.8684000000000001
2014-05-08,CASTROLIND,EQ,290.3,290.35,292.35,286.05,286.8,286.9,288.43,115858,3341706680000.0,2924,80400,0.6940000000000001
2014-05-09,CASTROLIND,EQ,286.9,286.3,291.0,286.0,287.45,286.75,286.99,125316,3596498229999.9995,3801,103875,0.8289
2014-05-12,CASTROLIND,EQ,286.75,289.0,291.5,288.0,290.5,290.0,290.0,72632,2106340760000.0002,2653,52057,0.7167
2014-05-13,CASTROLIND,EQ,290.0,295.5,298.4,290.05,292.9,293.0,294.32,178584,5256105555000.0,4738,74415,0.4167
2014-05-14,CASTROLIND,EQ,293.0,293.0,293.0,286.1,287.6,288.05,288.23,144899,4176381075000.0,4215,114487,0.7901
2014-05-15,CASTROLIND,EQ,288.05,290.8,290.8,286.65,287.5,287.6,288.06,129161,3720582590000.0,2948,94169,0.7291
2014-05-16,CASTROLIND,EQ,287.6,290.05,291.15,283.1,285.0,284.75,286.45,153224,4389087775000.0,2513,110846,0.7234
2014-05-19,CASTROLIND,EQ,284.75,285.0,288.85,285.0,286.0,286.2,286.69,245191,7029365370000.0,4254,179064,0.7303000000000001
2014-05-20,CASTROLIND,EQ,286.2,288.0,288.3,283.6,284.8,284.75,285.56,315718,9015657900000.0,5258,243161,0.7702
2014-05-21,CASTROLIND,EQ,284.75,285.1,292.05,283.5,288.8,289.7,288.33,502662,14493184885000.0,7056,353083,0.7023999999999999
2014-05-22,CASTROLIND,EQ,289.7,291.0,298.5,290.1,292.25,293.0,295.53,889713,26293468340000.0,12124,560465,0.6299
2014-05-23,CASTROLIND,EQ,293.0,295.8,299.2,293.0,295.0,294.85,296.34,454472,13467974800000.0,7999,344597,0.7582
2014-05-26,CASTROLIND,EQ,294.85,297.5,308.7,293.15,298.9,298.75,301.18,756861,22795141240000.0,14659,438508,0.5794
2014-05-27,CASTROLIND,EQ,298.75,300.9,301.6,293.0,293.5,293.5,295.17,185626,5479114175000.0,6884,133857,0.7211
2014-05-28,CASTROLIND,EQ,293.5,293.6,298.5,290.0,294.0,291.6,293.61,257473,7559729325000.0,7551,168524,0.6545000000000001
2014-05-29,CASTROLIND,EQ,291.6,292.7,295.0,290.8,291.0,291.9,292.43,83574,2443979245000.0,2991,53793,0.6437
2014-05-30,CASTROLIND,EQ,291.9,290.55,299.4,290.55,293.0,294.25,295.32,135411,3998897954999.9995,3330,59902,0.4424
2014-06-02,CASTROLIND,EQ,294.25,295.0,297.7,294.0,294.8,294.8,295.51,86124,2545023695000.0,1511,52981,0.6152000000000001
2014-06-03,CASTROLIND,EQ,294.8,295.0,296.3,294.1,295.35,295.0,295.12,155556,4590745745000.0,2041,116694,0.7502
2014-06-04,CASTROLIND,EQ,295.0,294.05,302.0,294.0,300.0,298.5,295.51,448830,13263544545000.0,3869,379044,0.8445
2014-06-05,CASTROLIND,EQ,298.5,303.0,315.0,303.0,312.6,312.9,311.64,1088461,33920415110000.004,14081,575363,0.5286
2014-06-06,CASTROLIND,EQ,312.9,316.5,331.6,316.5,327.0,326.7,325.29,1341326,43632272550000.0,16422,736187,0.5489
2014-06-09,CASTROLIND,EQ,326.7,331.4,349.9,331.25,347.25,348.05,342.03,1266440,43316057910000.0,16516,628291,0.4961
2014-06-10,CASTROLIND,EQ,348.05,350.0,351.8,334.75,340.0,341.4,341.28,479254,16355792525000.0,6461,228026,0.4758
2014-06-11,CASTROLIND,EQ,341.4,342.0,349.0,331.7,334.0,335.35,339.21,327666,11114742020000.0,5088,168833,0.5153
2014-06-12,CASTROLIND,EQ,335.35,336.0,340.5,331.4,334.0,333.85,336.37,168772,5677026750000.0,2902,95605,0.5665
2014-06-13,CASTROLIND,EQ,333.85,334.15,335.85,316.1,316.7,317.65,324.11,470365,15244785919999.998,7893,297094,0.6315999999999999
2014-06-16,CASTROLIND,EQ,317.65,315.15,322.7,311.25,313.65,315.05,316.56,405667,12841954095000.0,20375,238906,0.5889
2014-06-17,CASTROLIND,EQ,315.05,314.7,323.0,314.7,319.5,319.5,319.7,529122,16916160260000.0,40935,434350,0.8209000000000001
2014-06-18,CASTROLIND,EQ,319.5,321.0,323.0,311.65,312.25,313.3,316.8,219803,6963293300000.0,11954,137899,0.6274000000000001
2014-06-19,CASTROLIND,EQ,313.3,315.9,316.8,308.4,309.25,309.75,311.32,249459,7766077165000.001,3931,175378,0.703
2014-06-20,CASTROLIND,EQ,309.75,309.45,322.35,309.4,317.9,318.6,318.26,426257,13565974100000.0,5991,269164,0.6315
2014-06-23,CASTROLIND,EQ,318.6,319.2,322.0,312.6,314.0,314.6,315.84,153412,4845313250000.0,2472,73130,0.4767
2014-06-24,CASTROLIND,EQ,314.6,316.0,322.0,314.5,319.5,319.2,318.84,222304,7087997334999.999,4338,133659,0.6012
2014-06-25,CASTROLIND,EQ,319.2,318.25,320.0,315.1,316.15,316.85,317.19,81759,2593304975000.0,1676,55491,0.6787000000000001
2014-06-26,CASTROLIND,EQ,316.85,316.0,317.85,312.2,315.0,314.3,314.71,115649,3639545940000.0,2327,68581,0.593
2014-06-27,CASTROLIND,EQ,314.3,315.25,328.0,315.0,325.95,325.5,324.38,494270,16033047960000.0,7492,294436,0.5957
2014-06-30,CASTROLIND,EQ,325.5,327.2,329.0,321.7,323.5,324.7,325.36,182164,5926824120000.0,3003,108528,0.5958
2014-07-01,CASTROLIND,EQ,324.7,326.45,333.95,322.0,330.6,331.7,328.75,343956,11307504780000.0,4330,221756,0.6447
2014-07-02,CASTROLIND,EQ,331.7,338.1,365.0,334.05,361.6,361.55,353.25,3729277,131735646955000.0,47602,1083032,0.2904
2014-07-03,CASTROLIND,EQ,361.55,354.75,355.0,342.55,346.0,347.75,348.3,1341996,46742256875000.0,20897,770550,0.5742
2014-07-04,CASTROLIND,EQ,347.75,349.5,351.4,342.25,343.7,343.75,346.1,402603,13933955205000.002,6988,231345,0.5746
2014-07-07,CASTROLIND,EQ,343.75,343.15,343.95,334.75,335.0,337.25,338.17,379814,12844141145000.0,8556,254891,0.6711
