Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,CESC,EQ,386.3,392.75,402.5,391.55,398.5,398.1,397.28,448546,17819873580000.0,12856.40885264997,314924,0.7021
2010-01-05,CESC,EQ,398.1,400.0,429.0,399.05,427.05,425.1,411.95,1073939,44240830235000.0,12856.40885264997,416786,0.38810000000000006
2010-01-06,CESC,EQ,425.1,425.05,434.2,415.05,434.0,431.8,423.33,879359,37225822830000.0,12856.40885264997,395019,0.44920000000000004
2010-01-07,CESC,EQ,431.8,428.0,437.0,425.55,429.1,429.95,430.88,222695,9595403385000.0,12856.40885264997,101685,0.45659999999999995
2010-01-08,CESC,EQ,429.95,427.0,433.75,414.0,422.4,421.25,423.66,160570,6802712795000.0,12856.40885264997,86581,0.5392
2010-01-11,CESC,EQ,421.25,427.7,434.3,418.25,418.8,420.05,423.63,277154,11741166605000.0,12856.40885264997,169290,0.6108
2010-01-12,CESC,EQ,420.05,423.8,429.45,415.4,419.05,421.6,424.55,423042,17960111085000.0,12856.40885264997,220401,0.521
2010-01-13,CESC,EQ,421.6,416.55,435.8,416.55,435.0,434.6,431.18,505132,21780322385000.0,12856.40885264997,232523,0.46030000000000004
2010-01-14,CESC,EQ,434.6,438.0,446.0,432.05,443.0,443.3,441.12,548167,24180618420000.0,12856.40885264997,294188,0.5367000000000001
2010-01-15,CESC,EQ,443.3,446.75,450.0,441.5,442.4,443.0,446.1,199596,8903984605000.0,12856.40885264997,99844,0.5002000000000001
2010-01-18,CESC,EQ,443.0,446.0,451.0,442.25,445.95,444.55,446.67,119308,5329091550000.0,12856.40885264997,52982,0.4441
2010-01-19,CESC,EQ,444.55,447.0,447.85,429.1,432.25,431.6,438.13,134300,5884123555000.0,12856.40885264997,83376,0.6208
2010-01-20,CESC,EQ,431.6,434.0,440.7,431.6,433.15,436.2,436.07,48157,2099986975000.0,12856.40885264997,25099,0.5212
2010-01-21,CESC,EQ,436.2,436.2,440.0,424.0,427.0,427.95,432.05,170468,7365123040000.001,12856.40885264997,109749,0.6437999999999999
2010-01-22,CESC,EQ,427.95,421.0,425.0,406.5,418.2,421.65,415.97,307587,12794771430000.0,12856.40885264997,170758,0.5552
2010-01-25,CESC,EQ,421.65,422.0,426.45,408.05,408.05,409.75,411.2,82294,3383967800000.0,12856.40885264997,41101,0.4994
2010-01-27,CESC,EQ,409.75,403.1,407.2,389.05,396.0,395.4,399.19,282801,11289252055000.0,12856.40885264997,167130,0.5910000000000001
2010-01-28,CESC,EQ,395.4,398.5,406.8,379.0,388.0,384.05,388.12,278291,10801052485000.0,12856.40885264997,161359,0.5798
