Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,CROMPGREAV,EQ,427.3,429.95,438.5,425.2,435.0,434.8,434.38,586430,25473588625000.0,22522.884100174724,366437,0.6249
2010-01-05,CROMPGREAV,EQ,434.8,438.1,438.1,428.6,435.45,435.15,433.1,429776,18613413830000.0,22522.884100174724,277986,0.6468
2010-01-06,CROMPGREAV,EQ,435.15,437.0,444.2,432.0,436.25,437.75,439.11,408448,17935314265000.0,22522.884100174724,219478,0.5373
2010-01-07,CROMPGREAV,EQ,437.75,440.0,440.0,420.5,422.2,423.0,424.87,754839,32070560370000.0,22522.884100174724,539526,0.7148000000000001
2010-01-08,CROMPGREAV,EQ,423.0,424.5,429.0,415.05,416.0,416.6,419.4,769916,32290178145000.0,22522.884100174724,506882,0.6584000000000001
2010-01-11,CROMPGREAV,EQ,416.6,420.0,423.95,412.35,414.5,413.2,417.21,392617,16380445165000.0,22522.884100174724,236441,0.6022
2010-01-12,CROMPGREAV,EQ,413.2,418.75,438.0,415.1,432.15,432.2,430.37,1676515,72152211170000.0,22522.884100174724,916805,0.5468999999999999
2010-01-13,CROMPGREAV,EQ,432.2,431.25,432.1,415.2,425.0,422.45,421.94,1071741,45220819730000.0,22522.884100174724,649389,0.6059
2010-01-14,CROMPGREAV,EQ,422.45,426.8,438.9,422.4,425.0,426.0,431.96,949170,41000562570000.0,22522.884100174724,407927,0.42979999999999996
2010-01-15,CROMPGREAV,EQ,426.0,430.0,430.0,418.65,419.5,419.85,422.6,358425,15147083115000.0,22522.884100174724,221143,0.617
2010-01-18,CROMPGREAV,EQ,419.85,425.0,425.0,414.0,416.25,416.35,418.82,322632,13512457169999.998,22522.884100174724,191057,0.5922
2010-01-19,CROMPGREAV,EQ,416.35,417.3,423.4,414.0,416.15,415.95,418.55,335590,14046169235000.0,22522.884100174724,205244,0.6116
2010-01-20,CROMPGREAV,EQ,415.95,422.2,426.0,418.0,425.5,424.15,422.93,302064,12775220635000.0,22522.884100174724,131026,0.4338
2010-01-21,CROMPGREAV,EQ,424.15,429.0,429.0,408.0,408.8,409.95,418.18,423767,17721010510000.0,22522.884100174724,182823,0.4314
2010-01-22,CROMPGREAV,EQ,409.95,403.0,424.0,395.15,411.1,412.05,413.14,933643,38572241525000.0,22522.884100174724,515830,0.5525
2010-01-25,CROMPGREAV,EQ,412.05,422.25,455.4,418.25,419.0,419.75,423.58,870905,36890090845000.0,22522.884100174724,268008,0.30770000000000003
2010-01-27,CROMPGREAV,EQ,419.75,426.0,426.0,388.0,401.0,397.1,404.85,581638,23547361545000.0,22522.884100174724,295883,0.5086999999999999
2010-01-28,CROMPGREAV,EQ,397.1,410.0,429.0,395.25,427.95,426.4,412.44,1611070,66446773710000.0,22522.884100174724,546763,0.3394
2010-01-29,CROMPGREAV,EQ,426.4,426.0,437.5,410.5,430.0,433.95,424.81,1399289,59442575645000.01,22522.884100174724,578706,0.4136
2010-02-01,CROMPGREAV,EQ,433.95,431.7,445.65,423.2,439.75,440.65,440.45,844726,37205892660000.0,22522.884100174724,424937,0.503
2010-02-02,CROMPGREAV,EQ,440.65,442.0,448.5,427.55,432.3,431.4,439.33,471934,20733666170000.0,22522.884100174724,202547,0.4292
2010-02-03,CROMPGREAV,EQ,431.4,436.2,440.0,424.1,430.0,429.6,432.79,549085,23763645920000.0,22522.884100174724,295413,0.538
2010-02-04,CROMPGREAV,EQ,429.6,429.0,433.4,415.05,421.0,418.95,424.71,554869,23565953465000.0,22522.884100174724,252776,0.4556
2010-02-05,CROMPGREAV,EQ,418.95,413.7,417.5,402.0,415.0,415.4,412.01,499471,20578842625000.0,22522.884100174724,259582,0.5197
2010-02-06,CROMPGREAV,EQ,415.4,423.0,424.0,416.0,418.0,418.15,417.93,33818,1413348140000.0,22522.884100174724,11676,0.3453
2010-02-08,CROMPGREAV,EQ,418.15,416.0,423.0,409.25,410.0,415.75,416.08,361552,15043343480000.002,22522.884100174724,195993,0.5421
2010-02-09,CROMPGREAV,EQ,415.75,416.7,427.0,411.1,426.0,425.45,420.02,445901,18728533160000.0,22522.884100174724,215727,0.48380000000000006
2010-02-10,CROMPGREAV,EQ,425.45,428.0,432.85,416.5,418.5,418.4,425.56,856517,36449923465000.0,22522.884100174724,542339,0.6332
2010-02-11,CROMPGREAV,EQ,418.4,420.5,425.95,413.5,415.05,415.35,420.25,264688,11123439070000.0,22522.884100174724,135892,0.5134000000000001
2010-02-15,CROMPGREAV,EQ,415.35,419.85,425.5,416.3,417.05,419.75,421.39,685026,28866067830000.0,22522.884100174724,436435,0.6371
2010-02-16,CROMPGREAV,EQ,419.75,424.0,424.0,413.5,414.5,414.8,416.47,278957,11617678365000.0,22522.884100174724,149588,0.5362
2010-02-17,CROMPGREAV,EQ,414.8,418.8,422.0,411.05,414.05,414.5,415.78,623483,25922980585000.0,22522.884100174724,383718,0.6154000000000001
2010-02-18,CROMPGREAV,EQ,414.5,419.55,419.55,404.6,407.4,406.3,409.09,592568,24241079190000.0,22522.884100174724,370912,0.6259
