Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,CIPLA,EQ,335.05,338.0,339.5,336.0,337.8,337.55,337.58,635013,21436706305000.0,30508.810133954572,322423,0.5077
2010-01-05,CIPLA,EQ,337.55,338.55,342.4,330.5,332.0,331.5,333.98,1664976,55607649715000.0,30508.810133954572,1012175,0.6079
2010-01-06,CIPLA,EQ,331.5,332.0,348.9,330.35,344.7,344.9,342.22,3580916,122545822315000.02,30508.810133954572,1279307,0.35729999999999995
2010-01-07,CIPLA,EQ,344.9,346.0,350.4,340.5,341.05,342.05,344.66,1555841,53623048125000.0,30508.810133954572,419956,0.2699
2010-01-08,CIPLA,EQ,342.05,345.0,346.5,340.2,341.3,341.1,343.1,913410,31338817655000.0,30508.810133954572,334129,0.3658
2010-01-11,CIPLA,EQ,341.1,343.8,346.2,341.0,341.0,342.3,343.29,741426,25452459575000.0,30508.810133954572,277246,0.3739
2010-01-12,CIPLA,EQ,342.3,342.3,344.4,336.55,340.45,339.65,339.93,1083070,36817155260000.0,30508.810133954572,438340,0.4047
2010-01-13,CIPLA,EQ,339.65,338.9,345.7,337.0,342.5,341.85,341.57,957815,32716026350000.0,30508.810133954572,287903,0.3006
2010-01-14,CIPLA,EQ,341.85,344.45,345.0,340.0,340.3,340.8,342.03,750438,25667066745000.0,30508.810133954572,322132,0.4293
2010-01-15,CIPLA,EQ,340.8,341.3,353.0,338.65,350.05,350.2,348.44,2637077,91886830655000.0,30508.810133954572,1216942,0.4615
2010-01-18,CIPLA,EQ,350.2,349.5,358.4,345.1,348.1,348.05,348.33,1472491,51291530130000.0,30508.810133954572,779794,0.5296000000000001
2010-01-19,CIPLA,EQ,348.05,348.9,351.5,341.0,341.9,342.45,345.74,717425,24804551615000.0,30508.810133954572,322200,0.4491
2010-01-20,CIPLA,EQ,342.45,343.0,347.7,341.4,342.75,342.55,344.53,713101,24568638965000.0,30508.810133954572,257849,0.3616
2010-01-21,CIPLA,EQ,342.55,342.55,347.95,336.0,337.0,337.5,342.5,764069,26169410565000.0,30508.810133954572,269349,0.3525
2010-01-22,CIPLA,EQ,337.5,335.8,337.0,323.35,328.15,330.3,330.31,1541620,50921194985000.0,30508.810133954572,776751,0.5039
2010-01-25,CIPLA,EQ,330.3,325.0,332.7,320.0,324.95,326.95,328.28,527544,17318276390000.0,30508.810133954572,234661,0.4448
2010-01-27,CIPLA,EQ,326.95,326.0,326.85,310.0,310.25,313.5,316.54,1479710,46838187720000.0,30508.810133954572,851111,0.5752
2010-01-28,CIPLA,EQ,313.5,316.1,328.0,314.2,317.9,317.85,319.99,2473512,79150850915000.0,30508.810133954572,1312180,0.5305
2010-01-29,CIPLA,EQ,317.85,318.1,323.75,303.0,320.0,317.2,313.14,2282638,71477718385000.0,30508.810133954572,1364691,0.5979
2010-02-01,CIPLA,EQ,317.2,319.0,327.9,316.5,326.6,326.05,322.89,964639,31147322570000.0,30508.810133954572,446723,0.4631
2010-02-02,CIPLA,EQ,326.05,326.05,329.9,311.25,314.55,313.75,319.48,1101300,35184018660000.004,30508.810133954572,535109,0.48590000000000005
