Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,DLF,EQ,361.2,361.0,367.8,361.0,364.8,364.6,364.96,4475827,163347660385000.0,58472.77111240536,978987,0.2187
2010-01-05,DLF,EQ,364.6,368.0,373.0,367.55,368.85,369.45,370.72,6520322,241718262030000.03,58472.77111240536,1853566,0.2843
2010-01-06,DLF,EQ,369.45,369.8,380.5,367.25,378.0,378.55,375.39,10663046,400284071365000.0,58472.77111240536,2447257,0.2295
2010-01-07,DLF,EQ,378.55,377.0,383.3,372.35,373.45,374.5,377.33,6292372,237427456060000.0,58472.77111240536,1158879,0.18420000000000003
2010-01-08,DLF,EQ,374.5,375.0,393.8,375.0,392.45,389.9,387.4,14328855,555106307685000.06,58472.77111240536,4204126,0.2934
2010-01-11,DLF,EQ,389.9,395.8,403.5,393.15,398.85,399.45,399.62,11686911,467036801280000.0,58472.77111240536,2293328,0.1962
2010-01-12,DLF,EQ,399.45,400.0,400.4,382.7,383.7,383.95,390.53,7358441,287370290145000.0,58472.77111240536,1256301,0.17070000000000002
2010-01-13,DLF,EQ,383.95,380.0,389.7,375.0,389.7,387.85,381.05,8641534,329288198065000.0,58472.77111240536,1004531,0.1162
2010-01-14,DLF,EQ,387.85,390.0,394.5,382.05,383.8,383.3,388.02,6389516,247925383315000.0,58472.77111240536,1144794,0.17920000000000003
2010-01-15,DLF,EQ,383.3,385.0,392.0,384.0,386.3,386.3,388.3,5585595,216889369175000.0,58472.77111240536,732222,0.1311
2010-01-18,DLF,EQ,386.3,384.5,389.1,379.05,388.8,387.3,383.79,5929968,227584908705000.03,58472.77111240536,847576,0.1429
2010-01-19,DLF,EQ,387.3,388.45,392.0,378.1,378.5,379.7,383.28,5492986,210535375225000.0,58472.77111240536,930207,0.1693
2010-01-20,DLF,EQ,379.7,382.0,383.35,370.3,373.85,373.7,376.3,5269460,198290455745000.0,58472.77111240536,1108169,0.21030000000000001
2010-01-21,DLF,EQ,373.7,371.0,373.8,361.3,363.5,363.55,367.95,5778560,212622963465000.0,58472.77111240536,1433945,0.2481
2010-01-22,DLF,EQ,363.55,356.1,358.7,346.2,353.0,352.75,352.99,11032897,389451686515000.0,58472.77111240536,3978055,0.36060000000000003
2010-01-25,DLF,EQ,352.75,350.1,354.4,342.75,344.5,344.15,346.77,6099389,211511234575000.0,58472.77111240536,1594475,0.2614
2010-01-27,DLF,EQ,344.15,339.9,340.3,311.9,312.0,317.45,327.34,13876854,454250419875000.0,58472.77111240536,4719723,0.3401
2010-01-28,DLF,EQ,317.45,322.1,331.0,318.0,323.95,324.3,324.84,12843785,417211789620000.0,58472.77111240536,3408012,0.26530000000000004
2010-01-29,DLF,EQ,324.3,320.0,336.9,314.0,334.6,333.65,324.56,13028117,422843438875000.0,58472.77111240536,1845673,0.1417
2010-02-01,DLF,EQ,333.65,330.05,338.8,326.4,332.45,332.35,334.11,7079506,236534082785000.0,58472.77111240536,824739,0.1165
2010-02-02,DLF,EQ,332.35,335.8,342.9,324.0,326.3,326.35,335.4,11543177,387163278075000.0,58472.77111240536,2738134,0.2372
2010-02-03,DLF,EQ,326.35,327.8,338.75,327.8,335.75,336.1,334.91,6126600,205187874475000.0,58472.77111240536,1012686,0.1653
2010-02-04,DLF,EQ,336.1,335.0,335.0,319.15,323.0,321.35,327.12,7168253,234489316860000.0,58472.77111240536,1703781,0.2377
2010-02-05,DLF,EQ,321.35,323.6,323.6,301.15,308.6,308.7,309.9,9125392,282796836775000.0,58472.77111240536,1696657,0.1859
2010-02-06,DLF,EQ,308.7,315.0,316.5,310.0,316.45,314.55,314.23,953446,29960299460000.004,58472.77111240536,212287,0.2227
2010-02-08,DLF,EQ,314.55,315.05,318.3,304.0,311.8,311.5,311.14,9021414,280688718815000.0,58472.77111240536,1175840,0.1303
2010-02-09,DLF,EQ,311.5,311.5,314.0,302.4,306.45,305.95,306.34,8819183,270164756790000.0,58472.77111240536,2198336,0.2493
2010-02-10,DLF,EQ,305.95,308.0,312.9,300.05,301.1,301.65,307.77,11500115,353934930110000.0,58472.77111240536,2597375,0.2259
