Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,DRREDDY,EQ,1146.6,1140.0,1149.45,1126.15,1146.7,1142.15,1137.68,329988,37542049895000.0,26101.143273150843,201712,0.6113000000000001
2010-01-05,DRREDDY,EQ,1142.15,1150.0,1181.0,1150.0,1179.95,1177.45,1173.4,411658,48303941150000.0,26101.143273150843,161054,0.3912
2010-01-06,DRREDDY,EQ,1177.45,1186.2,1232.5,1183.35,1210.0,1207.65,1210.4,1289786,156115933940000.0,26101.143273150843,805187,0.6243
2010-01-07,DRREDDY,EQ,1207.65,1190.1,1214.85,1178.1,1192.0,1188.95,1195.89,298340,35678252905000.0,26101.143273150843,150012,0.5028
2010-01-08,DRREDDY,EQ,1188.95,1200.0,1210.9,1180.0,1194.0,1194.1,1199.73,240469,28849782170000.0,26101.143273150843,110911,0.4612
2010-01-11,DRREDDY,EQ,1194.1,1225.0,1225.0,1165.65,1201.1,1200.15,1208.22,410803,49633987175000.0,26101.143273150843,233204,0.5677000000000001
2010-01-12,DRREDDY,EQ,1200.15,1205.0,1230.0,1200.2,1207.0,1209.5,1216.1,480939,58486976015000.0,26101.143273150843,262860,0.5466
2010-01-13,DRREDDY,EQ,1209.5,1200.0,1235.0,1200.0,1228.15,1228.25,1219.66,381222,46496078715000.0,26101.143273150843,242748,0.6368
2010-01-14,DRREDDY,EQ,1228.25,1239.0,1257.0,1232.25,1239.5,1237.1,1244.03,233748,29079021520000.0,26101.143273150843,106669,0.45630000000000004
2010-01-15,DRREDDY,EQ,1237.1,1238.0,1247.8,1223.2,1229.0,1229.95,1230.53,237785,29260200070000.0,26101.143273150843,175831,0.7395
2010-01-18,DRREDDY,EQ,1229.95,1221.05,1249.5,1220.1,1228.35,1223.0,1235.56,143020,17670952500000.0,26101.143273150843,66671,0.4662
2010-01-19,DRREDDY,EQ,1223.0,1230.0,1232.95,1177.5,1185.0,1180.5,1193.14,430429,51356415480000.0,26101.143273150843,285905,0.6642
2010-01-20,DRREDDY,EQ,1180.5,1182.0,1221.0,1142.25,1213.0,1201.4,1181.08,1197566,141441914790000.0,26101.143273150843,460896,0.3849
2010-01-21,DRREDDY,EQ,1201.4,1205.15,1205.15,1115.0,1120.2,1123.6,1145.86,1149131,131673841440000.02,26101.143273150843,681237,0.5928
2010-01-22,DRREDDY,EQ,1123.6,1115.0,1134.35,1083.15,1125.0,1127.4,1108.73,618108,68531650740000.0,26101.143273150843,382200,0.6183
2010-01-25,DRREDDY,EQ,1127.4,1115.85,1134.8,1065.65,1124.0,1121.9,1120.89,529022,59297632329999.99,26101.143273150843,298167,0.5636
2010-01-27,DRREDDY,EQ,1121.9,1107.0,1127.9,1091.0,1101.0,1106.5,1112.4,783457,87151620935000.0,26101.143273150843,527772,0.6736
2010-01-28,DRREDDY,EQ,1106.5,1127.0,1172.0,1115.0,1144.0,1152.9,1149.9,1129127,129838295630000.0,26101.143273150843,677678,0.6002000000000001
2010-01-29,DRREDDY,EQ,1152.9,1127.0,1134.0,1089.25,1122.15,1119.6,1107.13,688149,76187257840000.0,26101.143273150843,444405,0.6458
2010-02-01,DRREDDY,EQ,1119.6,1139.0,1139.0,1107.3,1124.0,1123.5,1120.02,174831,19581347140000.0,26101.143273150843,56787,0.3248
2010-02-02,DRREDDY,EQ,1123.5,1127.0,1192.0,1127.0,1162.05,1165.6,1169.92,926468,108389526655000.0,26101.143273150843,505256,0.5454
2010-02-03,DRREDDY,EQ,1165.6,1170.0,1179.3,1146.25,1166.0,1152.25,1162.52,299794,34851515875000.0,26101.143273150843,79162,0.2641
2010-02-04,DRREDDY,EQ,1152.25,1155.0,1171.8,1132.1,1158.0,1161.9,1155.03,419819,48490204090000.0,26101.143273150843,239047,0.5694
2010-02-05,DRREDDY,EQ,1161.9,1130.0,1158.0,1115.0,1152.0,1150.5,1139.03,591945,67424321870000.01,26101.143273150843,355723,0.6009000000000001
2010-02-06,DRREDDY,EQ,1150.5,1155.0,1155.0,1129.05,1134.5,1132.3,1133.35,58430,6622163565000.0,26101.143273150843,21731,0.3719
2010-02-08,DRREDDY,EQ,1132.3,1139.85,1140.0,1106.05,1117.9,1115.6,1120.47,236907,26544763300000.0,26101.143273150843,109191,0.46090000000000003
2010-02-09,DRREDDY,EQ,1115.6,1119.4,1119.4,1099.1,1103.1,1102.55,1107.25,471664,52224967935000.0,26101.143273150843,288099,0.6108
2010-02-10,DRREDDY,EQ,1102.55,1105.0,1115.0,1080.0,1082.2,1083.4,1089.65,489499,53338407820000.0,26101.143273150843,316430,0.6464
2010-02-11,DRREDDY,EQ,1083.4,1090.0,1099.0,1084.0,1085.0,1090.6,1092.06,175002,19111264255000.0,26101.143273150843,99370,0.5678
2010-02-15,DRREDDY,EQ,1090.6,1090.0,1114.5,1090.0,1104.0,1105.55,1106.66,164504,18205001515000.0,26101.143273150843,65731,0.3996
