Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,GODREJCP,EQ,263.8,298.3,298.3,268.45,270.5,271.05,273.92,97980,2683843160000.0,14214.799068142109,26631,0.2718
2010-01-05,GODREJCP,EQ,271.05,272.0,278.65,270.45,270.55,271.45,273.73,53802,1472705655000.0,14214.799068142109,27427,0.5098
2010-01-06,GODREJCP,EQ,271.45,276.0,276.0,258.05,259.95,264.0,266.79,62115,1657173770000.0,14214.799068142109,47676,0.7675000000000001
2010-01-07,GODREJCP,EQ,264.0,264.0,264.0,258.0,262.8,261.9,260.77,52411,1366701405000.0,14214.799068142109,25576,0.488
2010-01-08,GODREJCP,EQ,261.9,264.55,269.8,261.05,268.8,268.3,266.26,53207,1416681325000.0,14214.799068142109,32348,0.608
2010-01-11,GODREJCP,EQ,268.3,272.0,278.0,266.0,267.4,267.1,269.59,62017,1671919250000.0,14214.799068142109,47754,0.77
2010-01-12,GODREJCP,EQ,267.1,267.1,269.95,266.0,266.0,267.0,267.15,22444,599586900000.0,14214.799068142109,16903,0.7531
2010-01-13,GODREJCP,EQ,267.0,267.4,268.8,262.05,268.0,267.1,267.04,46281,1235894490000.0,14214.799068142109,41561,0.898
2010-01-14,GODREJCP,EQ,267.1,273.9,273.9,265.0,268.0,268.85,269.19,43803,1179145710000.0,14214.799068142109,31917,0.7286
2010-01-15,GODREJCP,EQ,268.85,269.0,270.2,266.0,267.8,267.2,267.37,15320,409608390000.0,14214.799068142109,10321,0.6737000000000001
2010-01-18,GODREJCP,EQ,267.2,265.0,270.0,261.5,264.45,264.05,266.34,27464,731472750000.0,14214.799068142109,17750,0.6463
2010-01-19,GODREJCP,EQ,264.05,270.0,270.0,261.0,261.0,261.65,262.93,49632,1304980570000.0,14214.799068142109,35571,0.7167
2010-01-20,GODREJCP,EQ,261.65,261.0,265.65,258.0,258.85,258.65,260.52,73171,1906267600000.0,14214.799068142109,66265,0.9056000000000001
2010-01-21,GODREJCP,EQ,258.65,256.5,261.9,255.0,258.45,257.75,257.22,18144,466692509999.99994,14214.799068142109,11305,0.6231
2010-01-22,GODREJCP,EQ,257.75,254.0,256.0,244.05,251.0,250.45,247.97,69638,1726801335000.0002,14214.799068142109,45750,0.657
2010-01-25,GODREJCP,EQ,250.45,252.5,264.0,242.0,247.0,247.0,250.47,170932,4281342025000.0,14214.799068142109,101259,0.5924
2010-01-27,GODREJCP,EQ,247.0,240.1,252.45,240.1,246.0,245.05,243.69,155616,3792222454999.9995,14214.799068142109,131330,0.8439
2010-01-28,GODREJCP,EQ,245.05,250.0,251.0,236.2,238.0,237.7,240.98,33848,815657370000.0,14214.799068142109,24045,0.7104
2010-01-29,GODREJCP,EQ,237.7,240.0,240.0,227.6,235.0,234.8,232.68,57906,1347383050000.0,14214.799068142109,45839,0.7916
2010-02-01,GODREJCP,EQ,234.8,237.0,242.9,235.0,238.0,238.05,239.26,34690,830004170000.0,14214.799068142109,23305,0.6718000000000001
2010-02-02,GODREJCP,EQ,238.05,247.0,247.0,235.9,236.25,237.55,238.76,38111,909921710000.0,14214.799068142109,27359,0.7179000000000001
2010-02-03,GODREJCP,EQ,237.55,244.0,244.0,236.0,238.75,239.0,240.43,59531,1431329840000.0,14214.799068142109,43869,0.7369
2010-02-04,GODREJCP,EQ,239.0,238.0,243.95,237.0,242.5,240.95,240.14,43381,1041752794999.9999,14214.799068142109,27288,0.629
2010-02-05,GODREJCP,EQ,240.95,238.0,251.0,234.0,250.0,248.85,244.89,87247,2136621670000.0,14214.799068142109,39039,0.4475
2010-02-06,GODREJCP,EQ,248.85,251.85,256.0,250.0,250.8,251.15,252.38,16183,408421005000.0,14214.799068142109,4233,0.2616
2010-02-08,GODREJCP,EQ,251.15,252.45,262.9,248.0,249.15,250.6,254.83,54313,1384044585000.0,14214.799068142109,27786,0.5115999999999999
2010-02-09,GODREJCP,EQ,250.6,251.1,255.9,250.25,253.6,253.75,254.25,26309,668915240000.0,14214.799068142109,18181,0.6911
2010-02-10,GODREJCP,EQ,253.75,256.95,262.5,252.3,259.45,259.0,259.02,39105,1012904635000.0,14214.799068142109,22266,0.5694
2010-02-11,GODREJCP,EQ,259.0,262.7,262.7,253.3,256.55,257.1,257.09,14113,362829220000.0,14214.799068142109,6402,0.4536
2010-02-15,GODREJCP,EQ,257.1,257.1,266.1,248.05,257.0,255.25,256.02,2140206,54793667060000.0,14214.799068142109,2030123,0.9486
2010-02-16,GODREJCP,EQ,255.25,260.0,260.0,250.1,250.5,250.55,253.81,34777,882690540000.0,14214.799068142109,21663,0.6229
2010-02-17,GODREJCP,EQ,250.55,257.95,258.0,251.0,252.75,253.0,253.11,163888,4148209710000.0,14214.799068142109,149493,0.9122
2010-02-18,GODREJCP,EQ,253.0,254.1,261.4,254.1,256.0,256.25,259.45,123109,3194019035000.0,14214.799068142109,78164,0.6349
2010-02-19,GODREJCP,EQ,256.25,259.0,263.0,256.9,261.2,261.55,260.19,44148,1148692750000.0,14214.799068142109,23689,0.5366
2010-02-22,GODREJCP,EQ,261.55,265.0,268.5,257.0,259.95,262.15,263.56,47909,1262690070000.0,14214.799068142109,32613,0.6807
2010-02-23,GODREJCP,EQ,262.15,260.0,260.0,254.05,256.75,256.05,256.95,59763,1535593310000.0,14214.799068142109,47521,0.7952
2010-02-24,GODREJCP,EQ,256.05,252.0,257.15,251.15,253.35,254.55,254.39,107916,2745323965000.0,14214.799068142109,82088,0.7606999999999999
2010-02-25,GODREJCP,EQ,254.55,255.2,259.5,235.2,240.0,239.05,241.91,194692,4709697685000.0,14214.799068142109,151365,0.7775
2010-02-26,GODREJCP,EQ,239.05,241.7,254.5,237.3,245.35,246.5,244.75,135848,3324940985000.0,14214.799068142109,103339,0.7606999999999999
2010-03-02,GODREJCP,EQ,246.5,254.45,257.0,244.0,254.1,253.85,253.96,50690,1287303595000.0,14214.799068142109,35516,0.7007
2010-03-03,GODREJCP,EQ,253.85,254.0,258.1,248.9,256.0,256.15,255.59,37698,963537940000.0,14214.799068142109,23209,0.6157
2010-03-04,GODREJCP,EQ,256.15,256.0,258.95,254.25,255.05,255.65,255.85,14721,376637840000.0,14214.799068142109,7574,0.5145000000000001
2010-03-05,GODREJCP,EQ,255.65,256.0,260.0,256.0,258.0,257.8,258.29,32822,847769544999.9999,14214.799068142109,21802,0.6642
2010-03-08,GODREJCP,EQ,257.8,260.0,262.0,256.5,261.8,261.3,260.98,59579,1554907185000.0,14214.799068142109,55005,0.9231999999999999
2010-03-09,GODREJCP,EQ,261.3,260.0,270.0,260.0,268.25,269.15,266.49,111206,2963581290000.0,14214.799068142109,85476,0.7686000000000001
2010-03-10,GODREJCP,EQ,269.15,272.0,272.0,265.0,271.0,271.15,271.0,137030,3713497225000.0,14214.799068142109,126295,0.9217000000000001
2010-03-11,GODREJCP,EQ,271.15,269.0,277.0,269.0,273.0,272.55,272.72,75049,2046724110000.0002,14214.799068142109,55203,0.7356
2010-03-12,GODREJCP,EQ,272.55,272.0,275.0,270.0,271.0,270.9,271.65,35706,969948890000.0,14214.799068142109,25221,0.7064
2010-03-15,GODREJCP,EQ,270.9,275.0,283.0,273.05,274.0,275.35,279.03,190471,5314627400000.0,14214.799068142109,62164,0.3264
2010-03-16,GODREJCP,EQ,275.35,275.4,277.75,273.2,277.0,275.6,276.3,66756,1844495939999.9998,14214.799068142109,45470,0.6811
2010-03-17,GODREJCP,EQ,275.6,276.0,278.85,270.0,273.9,272.0,273.49,33787,924038315000.0,14214.799068142109,21031,0.6225
2010-03-18,GODREJCP,EQ,272.0,280.0,280.0,270.85,272.45,272.2,274.56,46175,1267773060000.0,14214.799068142109,24006,0.5199
2010-03-19,GODREJCP,EQ,272.2,274.35,275.0,269.05,269.15,270.2,271.39,31117,844497125000.0,14214.799068142109,17515,0.5629
2010-03-22,GODREJCP,EQ,270.2,275.0,275.0,265.0,268.65,269.25,269.22,66484,1789899670000.0,14214.799068142109,49345,0.7422
2010-03-23,GODREJCP,EQ,269.25,269.95,269.95,262.5,263.95,263.95,264.23,33487,884811380000.0001,14214.799068142109,23390,0.6985
2010-03-25,GODREJCP,EQ,263.95,271.0,271.0,261.5,267.7,266.4,265.88,58422,1553317665000.0,14214.799068142109,50029,0.8563
2010-03-26,GODREJCP,EQ,266.4,265.5,273.4,262.5,267.65,266.9,267.02,37641,1005107819999.9999,14214.799068142109,23212,0.6167
2010-03-29,GODREJCP,EQ,266.9,248.25,266.9,248.25,258.0,257.55,259.54,93648,2430537760000.0,14214.799068142109,75002,0.8009000000000001
2010-03-30,GODREJCP,EQ,257.55,255.1,264.95,255.1,258.0,257.9,258.54,59849,1547331900000.0,14214.799068142109,53630,0.8961
2010-03-31,GODREJCP,EQ,257.9,260.0,268.0,255.6,258.05,261.3,260.9,62029,1618350655000.0,14214.799068142109,26571,0.42840000000000006
2010-04-01,GODREJCP,EQ,261.3,264.9,265.3,258.5,261.0,260.85,261.06,38517,1005516215000.0,14214.799068142109,30818,0.8001
2010-04-05,GODREJCP,EQ,260.85,261.0,275.45,261.0,274.0,273.05,270.66,55400,1499479705000.0,14214.799068142109,36794,0.6642
2010-04-06,GODREJCP,EQ,273.05,274.8,280.0,270.25,276.25,278.55,276.14,44441,1227177070000.0,14214.799068142109,29058,0.6539
2010-04-07,GODREJCP,EQ,278.55,286.0,302.9,276.55,279.4,280.75,289.54,495484,14346087915000.0,14214.799068142109,164666,0.3323
2010-04-08,GODREJCP,EQ,280.75,277.9,285.0,275.0,280.5,281.2,281.48,177931,5008394335000.0,14214.799068142109,98278,0.5523
2010-04-09,GODREJCP,EQ,281.2,282.2,284.8,281.35,282.2,283.8,283.86,194616,5524433990000.0,14214.799068142109,168042,0.8634999999999999
2010-04-12,GODREJCP,EQ,283.8,283.0,288.55,280.0,287.5,286.4,286.05,99450,2844806290000.0,14214.799068142109,74572,0.7498
2010-04-13,GODREJCP,EQ,286.4,288.0,293.35,285.0,293.25,292.65,289.89,76710,2223728995000.0,14214.799068142109,53727,0.7004
2010-04-15,GODREJCP,EQ,292.65,298.9,301.0,291.1,299.15,298.6,295.45,1333977,39412674535000.0,14214.799068142109,1248448,0.9359000000000001
2010-04-16,GODREJCP,EQ,298.6,300.0,339.8,300.0,313.5,311.8,317.27,1053069,33410719450000.0,14214.799068142109,274541,0.2607
2010-04-19,GODREJCP,EQ,311.8,309.9,321.95,302.0,316.9,316.35,315.69,423787,13378369565000.0,14214.799068142109,180828,0.4267
2010-04-20,GODREJCP,EQ,316.35,318.9,323.85,312.0,312.5,313.8,315.98,222113,7018355170000.0,14214.799068142109,137300,0.6182
2010-04-21,GODREJCP,EQ,313.8,316.55,316.7,306.1,309.75,308.35,309.07,1127484,34847540775000.0,14214.799068142109,1080566,0.9584
