Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,GRASIM,EQ,2475.05,2487.05,2551.0,2476.0,2550.0,2544.1,2519.02,242897,61186296775000.0,12447.94933022714,136163,0.5606
2010-01-05,GRASIM,EQ,2544.1,2555.0,2639.0,2550.0,2630.0,2628.15,2610.15,296799,77469023760000.0,12447.94933022714,157120,0.5294
2010-01-06,GRASIM,EQ,2628.15,2629.9,2756.4,2615.1,2747.0,2736.95,2676.18,423946,113455436609999.98,12447.94933022714,244401,0.5765
2010-01-07,GRASIM,EQ,2736.95,2737.0,2747.9,2665.3,2668.0,2674.5,2697.0,229856,61992200310000.0,12447.94933022714,67957,0.2957
2010-01-08,GRASIM,EQ,2674.5,2691.0,2776.7,2670.15,2755.0,2757.3,2738.43,352687,96580848910000.0,12447.94933022714,181280,0.514
2010-01-11,GRASIM,EQ,2757.3,2762.0,2834.75,2711.0,2803.95,2812.6,2785.94,258989,72152867485000.0,12447.94933022714,106562,0.4115
2010-01-12,GRASIM,EQ,2812.6,2814.95,2832.75,2771.0,2785.15,2796.5,2804.46,215476,60429463910000.0,12447.94933022714,43180,0.2004
2010-01-13,GRASIM,EQ,2796.5,2785.0,2861.2,2761.0,2855.0,2831.55,2804.5,192870,54090315195000.01,12447.94933022714,48507,0.2515
2010-01-14,GRASIM,EQ,2831.55,2839.9,2889.0,2830.1,2840.0,2842.2,2869.07,176588,50664276300000.0,12447.94933022714,55780,0.3159
2010-01-15,GRASIM,EQ,2842.2,2835.1,2873.9,2825.0,2835.0,2847.4,2857.49,197834,56530887235000.0,12447.94933022714,93027,0.47020000000000006
2010-01-18,GRASIM,EQ,2847.4,2835.0,2838.5,2776.2,2786.2,2787.45,2807.44,127656,35838657725000.0,12447.94933022714,52755,0.4133
2010-01-19,GRASIM,EQ,2787.45,2798.0,2809.0,2714.15,2720.0,2720.4,2752.19,113109,31129800530000.0,12447.94933022714,35149,0.31079999999999997
2010-01-20,GRASIM,EQ,2720.4,2750.0,2754.4,2681.15,2696.1,2694.25,2713.67,104129,28257181700000.0,12447.94933022714,20048,0.1925
2010-01-21,GRASIM,EQ,2694.25,2680.0,2731.5,2652.0,2652.0,2660.85,2701.22,115108,31093240514999.996,12447.94933022714,23909,0.2077
2010-01-22,GRASIM,EQ,2660.85,2625.0,2650.0,2569.95,2620.3,2619.8,2618.17,177517,46476974875000.0,12447.94933022714,60855,0.3428
2010-01-25,GRASIM,EQ,2619.8,2630.0,2655.0,2580.05,2616.0,2623.15,2617.66,131649,34461238570000.0,12447.94933022714,31251,0.2374
2010-01-27,GRASIM,EQ,2623.15,2639.0,2639.0,2550.0,2550.0,2569.2,2594.56,133842,34726070975000.0,12447.94933022714,45319,0.3386
2010-01-28,GRASIM,EQ,2569.2,2590.0,2624.6,2536.5,2575.0,2591.4,2580.62,208412,53783309504999.99,12447.94933022714,58692,0.2816
2010-01-29,GRASIM,EQ,2591.4,2639.85,2639.85,2531.2,2586.0,2599.2,2584.6,134667,34805989900000.0,12447.94933022714,30772,0.2285
2010-02-01,GRASIM,EQ,2599.2,2600.0,2680.0,2566.0,2677.8,2661.35,2644.35,146073,38626781805000.0,12447.94933022714,43697,0.29910000000000003
2010-02-02,GRASIM,EQ,2661.35,2680.1,2715.0,2580.0,2586.0,2609.65,2670.94,121267,32389710064999.996,12447.94933022714,26451,0.2181
2010-02-03,GRASIM,EQ,2609.65,2612.1,2698.0,2612.1,2689.0,2686.05,2673.47,134838,36048559940000.0,12447.94933022714,15607,0.11570000000000001
2010-02-04,GRASIM,EQ,2686.05,2686.5,2709.0,2603.5,2619.7,2635.15,2670.78,129664,34630355460000.004,12447.94933022714,14794,0.11410000000000001
2010-02-05,GRASIM,EQ,2635.15,2588.7,2607.8,2565.0,2565.0,2575.9,2586.78,77338,20005629745000.0,12447.94933022714,12666,0.1638
2010-02-06,GRASIM,EQ,2575.9,2599.0,2599.0,2565.05,2575.0,2585.85,2587.82,14554,3766315904999.9995,12447.94933022714,2088,0.1435
2010-02-08,GRASIM,EQ,2585.85,2570.1,2591.8,2536.1,2555.0,2557.85,2559.87,118701,30385893195000.0,12447.94933022714,19348,0.163
2010-02-09,GRASIM,EQ,2557.85,2559.85,2698.9,2544.75,2677.0,2678.55,2631.38,179580,47254323965000.0,12447.94933022714,26567,0.1479
2010-02-10,GRASIM,EQ,2678.55,2685.0,2735.0,2648.2,2704.25,2701.7,2701.64,274148,74064785120000.0,12447.94933022714,64873,0.2366
2010-02-11,GRASIM,EQ,2701.7,2719.0,2754.0,2701.0,2701.3,2710.45,2729.33,276142,75368387150000.0,12447.94933022714,81570,0.2954
2010-02-15,GRASIM,EQ,2710.45,2705.0,2749.5,2666.15,2686.2,2690.15,2703.02,139831,37796592985000.0,12447.94933022714,24521,0.1754
2010-02-16,GRASIM,EQ,2690.15,2700.0,2729.9,2682.4,2725.7,2721.75,2711.69,224072,60761302720000.01,12447.94933022714,123216,0.5499
2010-02-17,GRASIM,EQ,2721.75,2740.1,2769.0,2731.0,2735.8,2746.1,2752.29,222506,61240129590000.0,12447.94933022714,94918,0.4266
2010-02-18,GRASIM,EQ,2746.1,2740.0,2756.0,2693.25,2705.0,2707.45,2729.52,116683,31848888564999.996,12447.94933022714,14753,0.1264
2010-02-19,GRASIM,EQ,2707.45,2690.0,2718.0,2664.05,2671.35,2681.95,2691.56,108640,29241103875000.0,12447.94933022714,11180,0.10289999999999999
