Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,HCC,EQ,146.1,147.0,150.85,147.0,150.05,149.95,149.26,2671564,39875251275000.0,10912.700468933177,1257418,0.4707
2010-01-05,HCC,EQ,149.95,151.0,154.4,150.0,150.9,151.25,152.56,4036821,61583958765000.0,10912.700468933177,2025734,0.5018
2010-01-06,HCC,EQ,151.25,151.5,153.95,148.1,152.8,152.8,151.17,3102680,46902841840000.0,10912.700468933177,1320477,0.42560000000000003
2010-01-07,HCC,EQ,152.8,153.6,154.9,151.55,152.4,152.3,153.11,2530113,38738798250000.0,10912.700468933177,757212,0.2993
2010-01-08,HCC,EQ,152.3,153.0,162.2,152.25,157.8,157.7,157.89,7519403,118722201959999.98,10912.700468933177,2344230,0.3118
2010-01-11,HCC,EQ,157.7,159.6,160.4,156.1,156.7,156.8,158.15,2568592,40623007665000.0,10912.700468933177,807915,0.3145
2010-01-12,HCC,EQ,156.8,157.6,160.25,154.45,156.8,156.65,157.94,3527761,55718551835000.0,10912.700468933177,1586857,0.4498
2010-01-13,HCC,EQ,156.65,155.0,158.0,150.1,154.0,154.2,153.43,2683158,41166680130000.0,10912.700468933177,851337,0.3173
2010-01-14,HCC,EQ,154.2,155.9,158.9,154.8,157.3,157.25,157.4,1941047,30552589195000.0,10912.700468933177,570754,0.294
2010-01-15,HCC,EQ,157.25,157.65,159.4,155.1,155.45,156.3,157.49,1459643,22988600550000.0,10912.700468933177,196998,0.135
2010-01-18,HCC,EQ,156.3,156.0,161.4,155.1,160.5,160.65,159.0,1935796,30779235530000.0,10912.700468933177,612853,0.3166
2010-01-19,HCC,EQ,160.65,160.7,161.6,153.5,154.05,154.45,157.23,2077608,32665867635000.004,10912.700468933177,713968,0.3436
2010-01-20,HCC,EQ,154.45,155.05,156.5,150.8,152.0,152.0,153.74,1370411,21068569970000.0,10912.700468933177,504570,0.3682
2010-01-21,HCC,EQ,152.0,151.1,152.7,144.6,146.6,145.6,148.74,1322495,19670420440000.0,10912.700468933177,473708,0.3582
2010-01-22,HCC,EQ,145.6,144.4,144.4,137.2,137.45,138.05,140.01,4738934,66349918760000.0,10912.700468933177,2077068,0.43829999999999997
2010-01-25,HCC,EQ,138.05,137.4,139.7,135.65,137.35,137.65,137.61,2309368,31779131950000.0,10912.700468933177,1224975,0.5304
2010-01-27,HCC,EQ,137.65,135.5,137.35,131.0,131.0,132.15,134.2,1459158,19582229515000.0,10912.700468933177,484985,0.33240000000000003
2010-01-28,HCC,EQ,132.15,134.0,135.3,129.2,130.25,130.3,131.63,1585254,20867062320000.0,10912.700468933177,630490,0.39770000000000005
2010-01-29,HCC,EQ,130.3,128.5,135.5,124.15,135.35,134.05,129.19,2330707,30109770989999.996,10912.700468933177,783347,0.3361
2010-02-01,HCC,EQ,134.05,134.7,138.95,132.15,138.6,138.0,136.52,1238122,16902788835000.0,10912.700468933177,263171,0.2126
2010-02-02,HCC,EQ,138.0,139.8,139.8,132.2,133.5,133.65,135.7,1176713,15967456580000.002,10912.700468933177,329719,0.2802
2010-02-03,HCC,EQ,133.65,134.75,139.1,134.3,139.0,137.85,137.0,1054913,14452701230000.002,10912.700468933177,445017,0.4219
2010-02-04,HCC,EQ,137.85,138.7,140.65,131.1,132.5,132.15,136.79,1886503,25804794455000.0,10912.700468933177,465087,0.2465
2010-02-05,HCC,EQ,132.15,128.5,129.6,124.1,129.0,128.4,126.64,2217170,28078751880000.0,10912.700468933177,904909,0.4081
2010-02-06,HCC,EQ,128.4,128.5,130.85,128.5,129.55,129.95,129.94,212853,2765858080000.0,10912.700468933177,52300,0.2457
2010-02-08,HCC,EQ,129.95,125.0,131.2,123.3,130.0,129.4,128.73,1510262,19440885360000.0,10912.700468933177,200260,0.1326
2010-02-09,HCC,EQ,129.4,130.0,134.0,126.65,132.4,132.25,130.7,1298220,16968167125000.0,10912.700468933177,536368,0.4132
2010-02-10,HCC,EQ,132.25,132.55,137.7,132.05,134.85,134.15,135.27,3001893,40605660310000.0,10912.700468933177,726212,0.24190000000000003
2010-02-11,HCC,EQ,134.15,136.15,138.5,134.3,138.0,136.75,135.88,1304318,17723071275000.0,10912.700468933177,423884,0.325
2010-02-15,HCC,EQ,136.75,139.5,139.5,134.65,137.1,137.9,137.41,1513071,20790675810000.0,10912.700468933177,236247,0.1561
2010-02-16,HCC,EQ,137.9,138.0,138.45,133.25,135.8,135.25,134.91,1848569,24938783920000.0,10912.700468933177,817764,0.4424
2010-02-17,HCC,EQ,135.25,136.9,139.3,136.1,138.1,137.3,137.6,1199933,16511534019999.998,10912.700468933177,290974,0.2425
2010-02-18,HCC,EQ,137.3,137.3,138.7,135.1,137.15,137.35,137.02,1811195,24816747735000.0,10912.700468933177,705138,0.3893
2010-02-19,HCC,EQ,137.35,135.5,136.6,128.75,131.0,131.25,131.25,3521795,46222636185000.0,10912.700468933177,1628017,0.4623
2010-02-22,HCC,EQ,131.25,133.0,134.6,131.7,132.5,132.65,132.75,1722644,22868362160000.0,10912.700468933177,852339,0.49479999999999996
2010-02-23,HCC,EQ,132.65,131.0,135.0,129.5,134.8,134.0,132.49,2417756,32032659814999.996,10912.700468933177,1037237,0.429
2010-02-24,HCC,EQ,134.0,133.0,137.1,132.1,136.7,136.05,134.38,2351585,31601664455000.0,10912.700468933177,1117286,0.47509999999999997
2010-02-25,HCC,EQ,136.05,137.0,137.95,134.4,136.0,136.5,136.5,2537599,34637540930000.0,10912.700468933177,995368,0.3922
2010-02-26,HCC,EQ,136.5,137.0,142.4,129.6,132.65,133.4,136.46,2853956,38945757980000.0,10912.700468933177,1033293,0.36210000000000003
2010-03-02,HCC,EQ,133.4,133.3,140.3,133.2,139.95,139.25,136.33,2805318,38243730045000.0,10912.700468933177,1364845,0.4865
2010-03-03,HCC,EQ,139.25,140.9,141.9,139.7,141.15,140.7,140.8,1885915,26553089510000.0,10912.700468933177,998625,0.5295000000000001
2010-03-04,HCC,EQ,140.7,141.0,143.75,140.5,142.5,143.05,142.64,1611771,22990140530000.0,10912.700468933177,657294,0.4078
2010-03-05,HCC,EQ,143.05,145.0,148.25,143.85,148.0,147.45,146.41,2163388,31673839745000.0,10912.700468933177,858526,0.3968
