Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,HINDPETRO,EQ,390.3,393.5,407.0,390.5,398.9,399.75,401.3,866765,34783420210000.004,32493.491555037857,431964,0.49840000000000007
2010-01-05,HINDPETRO,EQ,399.75,399.0,403.35,395.5,400.1,400.0,399.81,692724,27695609150000.0,32493.491555037857,362938,0.5239
2010-01-06,HINDPETRO,EQ,400.0,397.0,402.7,384.0,389.0,389.9,389.08,1234808,48043686790000.0,32493.491555037857,876943,0.7101999999999999
2010-01-07,HINDPETRO,EQ,389.9,390.6,392.0,385.55,389.0,389.1,387.75,865098,33544091230000.0,32493.491555037857,525020,0.6069
2010-01-08,HINDPETRO,EQ,389.1,392.0,404.0,389.25,390.0,393.7,396.2,834271,33054172145000.0,32493.491555037857,458103,0.5491
2010-01-11,HINDPETRO,EQ,393.7,394.9,402.0,387.3,390.0,390.1,393.17,691921,27204018525000.0,32493.491555037857,372500,0.5384000000000001
2010-01-12,HINDPETRO,EQ,390.1,393.0,394.7,381.35,382.0,382.4,386.45,956510,36964109140000.0,32493.491555037857,561346,0.5869
2010-01-13,HINDPETRO,EQ,382.4,384.3,392.0,382.0,387.0,386.45,387.6,772616,29946967710000.004,32493.491555037857,273845,0.3544
2010-01-14,HINDPETRO,EQ,386.45,389.9,396.2,388.3,392.0,391.8,392.17,742012,29099841139999.996,32493.491555037857,275884,0.3718
2010-01-15,HINDPETRO,EQ,391.8,391.8,396.0,385.2,385.2,386.45,388.21,420196,16312615240000.0,32493.491555037857,220032,0.5236
2010-01-18,HINDPETRO,EQ,386.45,389.9,393.5,385.1,385.1,387.2,388.94,297210,11559621095000.0,32493.491555037857,134390,0.4522
2010-01-19,HINDPETRO,EQ,387.2,387.0,395.5,374.2,375.75,376.2,386.01,1030973,39796662300000.0,32493.491555037857,530931,0.515
2010-01-20,HINDPETRO,EQ,376.2,378.4,378.9,360.0,362.2,362.5,364.36,2268472,82654109565000.0,32493.491555037857,1612229,0.7107
2010-01-21,HINDPETRO,EQ,362.5,360.5,365.8,349.1,350.05,351.05,357.94,1045246,37413215350000.0,32493.491555037857,588589,0.5631
2010-01-22,HINDPETRO,EQ,351.05,351.0,353.9,339.25,350.65,351.6,347.67,1317602,45809042540000.0,32493.491555037857,807255,0.6127
2010-01-25,HINDPETRO,EQ,351.6,354.1,354.1,346.05,351.0,351.45,350.17,417478,14618640555000.002,32493.491555037857,233873,0.5602
2010-01-27,HINDPETRO,EQ,351.45,350.0,352.7,340.2,344.0,344.6,344.96,945493,32616100814999.996,32493.491555037857,657605,0.6955
2010-01-28,HINDPETRO,EQ,344.6,350.0,352.3,333.2,338.85,337.0,340.19,1882223,64031968679999.99,32493.491555037857,1343310,0.7137000000000001
2010-01-29,HINDPETRO,EQ,337.0,337.7,340.0,324.2,334.7,333.7,331.3,2617670,86723628050000.0,32493.491555037857,1713591,0.6546
2010-02-01,HINDPETRO,EQ,333.7,337.0,352.8,334.25,350.0,349.35,344.57,1327737,45749777485000.0,32493.491555037857,558242,0.4204
2010-02-02,HINDPETRO,EQ,349.35,355.0,358.0,343.25,355.0,351.9,351.58,887939,31218101539999.996,32493.491555037857,273633,0.30820000000000003
2010-02-03,HINDPETRO,EQ,351.9,354.75,360.0,348.05,356.0,356.15,355.09,789712,28042018395000.0,32493.491555037857,140919,0.1784
2010-02-04,HINDPETRO,EQ,356.15,364.7,368.75,351.25,353.6,353.05,357.23,1589803,56792093679999.99,32493.491555037857,637134,0.4008
2010-02-05,HINDPETRO,EQ,353.05,350.05,354.4,335.2,337.2,339.75,344.34,1146215,39468549170000.0,32493.491555037857,539312,0.4705
2010-02-06,HINDPETRO,EQ,339.75,338.9,352.9,338.9,352.0,348.7,346.46,103735,3594027600000.0,32493.491555037857,26553,0.256
2010-02-08,HINDPETRO,EQ,348.7,354.0,355.9,339.0,343.0,343.25,344.1,762923,26252398270000.0,32493.491555037857,368160,0.4826
2010-02-09,HINDPETRO,EQ,343.25,344.0,349.25,341.2,342.5,343.3,345.55,535012,18487232325000.0,32493.491555037857,200370,0.37450000000000006
2010-02-10,HINDPETRO,EQ,343.3,345.25,354.5,343.1,352.5,348.85,348.58,1315285,45848414745000.0,32493.491555037857,626684,0.4765
2010-02-11,HINDPETRO,EQ,348.85,350.35,353.0,345.15,349.0,348.55,348.55,491730,17139030725000.0,32493.491555037857,146030,0.297
2010-02-15,HINDPETRO,EQ,348.55,345.0,345.0,337.0,337.5,338.55,340.5,397777,13544375030000.002,32493.491555037857,151284,0.3803
2010-02-16,HINDPETRO,EQ,338.55,339.5,345.6,337.5,344.6,344.05,341.87,204641,6995979475000.0,32493.491555037857,53218,0.2601
2010-02-17,HINDPETRO,EQ,344.05,346.0,350.0,341.8,345.9,346.05,346.39,364219,12616063385000.0,32493.491555037857,160544,0.44079999999999997
2010-02-18,HINDPETRO,EQ,346.05,349.95,359.7,341.15,349.0,349.1,349.66,2544172,88959463405000.0,32493.491555037857,1278283,0.5024000000000001
2010-02-19,HINDPETRO,EQ,349.1,346.75,358.85,345.1,355.8,355.3,353.71,1798241,63606394660000.0,32493.491555037857,1043542,0.5803
2010-02-22,HINDPETRO,EQ,355.3,358.0,366.2,351.3,363.0,363.25,361.72,1283972,46443333360000.0,32493.491555037857,650054,0.5063000000000001
2010-02-23,HINDPETRO,EQ,363.25,363.0,371.45,356.5,358.5,358.45,364.55,1325037,48303715340000.0,32493.491555037857,495039,0.3736
2010-02-24,HINDPETRO,EQ,358.45,358.45,364.75,357.3,362.15,362.95,361.26,466885,16866847425000.0,32493.491555037857,226870,0.48590000000000005
2010-02-25,HINDPETRO,EQ,362.95,360.0,364.95,352.05,356.15,354.2,356.68,1374870,49039058710000.0,32493.491555037857,865599,0.6296
2010-02-26,HINDPETRO,EQ,354.2,354.95,366.7,343.0,344.05,346.85,353.5,2551226,90185918560000.0,32493.491555037857,979559,0.384
2010-03-02,HINDPETRO,EQ,346.85,349.7,349.7,336.2,339.25,338.55,340.97,971377,33120940730000.0,32493.491555037857,547474,0.5636
2010-03-03,HINDPETRO,EQ,338.55,340.5,346.65,340.15,340.7,341.85,343.61,858509,29498831114999.996,32493.491555037857,505194,0.5885
2010-03-04,HINDPETRO,EQ,341.85,341.85,342.5,337.05,340.1,339.75,339.55,997952,33884970364999.996,32493.491555037857,673867,0.6752
2010-03-05,HINDPETRO,EQ,339.75,342.4,344.7,338.1,342.2,340.6,340.72,566073,19287269455000.0,32493.491555037857,297020,0.5246999999999999
2010-03-08,HINDPETRO,EQ,340.6,345.0,345.4,340.25,343.75,344.3,343.57,411699,14144552565000.0,32493.491555037857,176722,0.4293
2010-03-09,HINDPETRO,EQ,344.3,345.0,346.0,340.25,342.25,342.2,342.64,718933,24633748500000.0,32493.491555037857,496623,0.6908
2010-03-10,HINDPETRO,EQ,342.2,342.5,344.2,337.65,339.0,339.1,341.06,353306,12049699155000.0,32493.491555037857,147674,0.418
2010-03-11,HINDPETRO,EQ,339.1,341.1,341.1,325.15,331.95,331.25,330.25,1487289,49117628840000.0,32493.491555037857,899590,0.6049
2010-03-12,HINDPETRO,EQ,331.25,331.25,333.0,328.25,332.85,331.95,330.17,617351,20382889335000.0,32493.491555037857,413187,0.6693000000000001
2010-03-15,HINDPETRO,EQ,331.95,332.0,334.3,326.8,328.0,328.1,329.0,220268,7246719070000.0,32493.491555037857,97821,0.4441
2010-03-16,HINDPETRO,EQ,328.1,331.7,335.2,328.5,333.95,334.05,332.39,661653,21992456715000.0,32493.491555037857,355785,0.5377000000000001
2010-03-17,HINDPETRO,EQ,334.05,335.0,335.9,329.05,329.05,331.25,332.41,503558,16738741085000.0,32493.491555037857,317223,0.63
2010-03-18,HINDPETRO,EQ,331.25,328.65,330.8,320.7,322.2,323.35,324.17,844521,27376682664999.996,32493.491555037857,517010,0.6122
2010-03-19,HINDPETRO,EQ,323.35,325.0,326.2,319.4,321.2,321.35,321.14,768594,24682950300000.0,32493.491555037857,497359,0.6470999999999999
2010-03-22,HINDPETRO,EQ,321.35,315.0,323.6,315.0,317.55,317.6,320.04,994756,31835682480000.0,32493.491555037857,747983,0.7519
2010-03-23,HINDPETRO,EQ,317.6,317.7,320.8,312.45,313.25,313.45,315.72,772251,24381170310000.0,32493.491555037857,578160,0.7487
2010-03-25,HINDPETRO,EQ,313.45,313.5,316.0,305.4,310.1,308.15,310.86,1987108,61771669045000.01,32493.491555037857,978975,0.4927
2010-03-26,HINDPETRO,EQ,308.15,311.9,313.0,307.5,310.0,310.1,311.15,1685397,52441021560000.0,32493.491555037857,1388007,0.8235
2010-03-29,HINDPETRO,EQ,310.1,316.0,322.5,307.65,321.9,320.4,315.89,1177283,37189502045000.0,32493.491555037857,773385,0.6569
2010-03-30,HINDPETRO,EQ,320.4,320.4,323.0,316.35,317.45,316.9,318.94,316296,10087927865000.0,32493.491555037857,147754,0.4671
2010-03-31,HINDPETRO,EQ,316.9,317.0,319.5,313.55,318.0,318.55,317.48,338500,10746733745000.0,32493.491555037857,186495,0.5509000000000001
2010-04-01,HINDPETRO,EQ,318.55,319.5,320.5,315.15,315.5,316.0,317.17,130406,4136126365000.0,32493.491555037857,38049,0.2918
2010-04-05,HINDPETRO,EQ,316.0,315.0,318.0,308.1,309.9,309.75,310.86,357680,11118930010000.0,32493.491555037857,152155,0.4254
2010-04-06,HINDPETRO,EQ,309.75,309.0,313.9,307.0,308.0,308.0,310.24,1168114,36239572910000.0,32493.491555037857,843792,0.7223999999999999
2010-04-07,HINDPETRO,EQ,308.0,309.0,311.5,306.0,311.05,309.2,308.59,345651,10666384970000.0,32493.491555037857,146485,0.4238
2010-04-08,HINDPETRO,EQ,309.2,311.1,315.4,310.55,310.9,312.1,312.96,477135,14932266069999.998,32493.491555037857,193599,0.4058
2010-04-09,HINDPETRO,EQ,312.1,314.0,314.0,308.05,308.35,308.75,309.73,642867,19911652425000.0,32493.491555037857,487920,0.7590000000000001
2010-04-12,HINDPETRO,EQ,308.75,310.0,310.5,305.35,306.1,306.15,307.07,175135,5377790660000.0,32493.491555037857,62748,0.3583
2010-04-13,HINDPETRO,EQ,306.15,308.4,311.0,306.3,309.5,308.1,308.63,350028,10802973120000.0,32493.491555037857,192359,0.5496
2010-04-15,HINDPETRO,EQ,308.1,309.8,310.0,304.0,304.1,304.65,306.2,557226,17062183755000.002,32493.491555037857,339071,0.6085
2010-04-16,HINDPETRO,EQ,304.65,304.95,307.0,301.05,301.85,303.1,303.58,332624,10097886370000.0,32493.491555037857,183401,0.5514
2010-04-19,HINDPETRO,EQ,303.1,303.0,307.95,299.3,299.9,300.7,302.41,564753,17078429694999.998,32493.491555037857,294123,0.5208
2010-04-20,HINDPETRO,EQ,300.7,302.8,306.95,299.1,299.95,300.3,302.23,317002,9580679875000.0,32493.491555037857,158478,0.4999
2010-04-21,HINDPETRO,EQ,300.3,302.0,302.0,298.0,299.0,298.75,299.49,485791,14549127025000.0,32493.491555037857,376848,0.7757
2010-04-22,HINDPETRO,EQ,298.75,301.15,302.5,298.0,301.9,300.85,301.2,295190,8890993295000.0,32493.491555037857,197801,0.6701
2010-04-23,HINDPETRO,EQ,300.85,302.0,306.4,300.1,303.15,303.6,304.56,600035,18274849125000.0,32493.491555037857,297643,0.49600000000000005
2010-04-26,HINDPETRO,EQ,303.6,304.5,305.0,300.1,301.0,301.05,302.32,122237,3695496854999.9995,32493.491555037857,44432,0.36350000000000005
2010-04-27,HINDPETRO,EQ,301.05,302.4,306.8,302.15,303.2,303.4,304.01,177916,5408771290000.0,32493.491555037857,75740,0.4257
2010-04-28,HINDPETRO,EQ,303.4,300.05,306.7,300.05,301.4,302.05,303.78,228079,6928573059999.999,32493.491555037857,91209,0.39990000000000003
2010-04-29,HINDPETRO,EQ,302.05,303.0,303.8,292.0,298.0,294.85,296.35,1001336,29674727645000.0,32493.491555037857,471609,0.47100000000000003
2010-04-30,HINDPETRO,EQ,294.85,297.0,318.85,296.25,315.25,315.4,311.01,1899870,59088434335000.0,32493.491555037857,799210,0.4207
2010-05-03,HINDPETRO,EQ,315.4,313.0,327.5,313.0,323.9,322.5,321.94,1015364,32688287275000.0,32493.491555037857,297114,0.2926
2010-05-04,HINDPETRO,EQ,322.5,328.9,331.0,320.65,325.85,327.1,327.99,1263253,41433768825000.0,32493.491555037857,742126,0.5875
2010-05-05,HINDPETRO,EQ,327.1,319.9,335.0,319.9,328.1,328.85,330.01,667424,22025553640000.0,32493.491555037857,165696,0.2483
2010-05-06,HINDPETRO,EQ,328.85,332.0,337.8,327.1,334.55,332.85,331.64,1175364,38980002020000.0,32493.491555037857,560673,0.47700000000000004
2010-05-07,HINDPETRO,EQ,332.85,332.05,341.9,324.25,335.25,335.25,333.58,1311439,43747310680000.0,32493.491555037857,462156,0.35240000000000005
