Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-09-29,ICICIPRULI,EQ,334.0,330.0,333.9,295.15,295.85,297.55,314.02,89058658,2796629825085000.0,565964,36097693,0.4053
2016-09-30,ICICIPRULI,EQ,297.55,297.4,312.4,293.05,309.2,310.25,305.5,12045593,367990779285000.0,126886,5033037,0.4178
2016-10-03,ICICIPRULI,EQ,310.25,312.9,313.75,307.3,308.35,309.7,310.25,3169557,98335606715000.0,36012,1692282,0.5339
2016-10-04,ICICIPRULI,EQ,309.7,308.95,309.55,303.5,303.9,304.25,305.64,3173993,97011236910000.0,43797,2209169,0.696
2016-10-05,ICICIPRULI,EQ,304.25,305.0,315.0,304.1,314.0,313.75,310.7,5485589,170434558750000.0,81648,3120007,0.5688000000000001
2016-10-06,ICICIPRULI,EQ,313.75,314.85,322.8,314.0,317.25,316.55,319.06,5753209,183563774270000.0,84288,3418057,0.5941
2016-10-07,ICICIPRULI,EQ,316.55,318.0,319.7,315.45,317.5,317.25,317.49,1009789,32059824789999.996,21484,531752,0.5266
2016-10-10,ICICIPRULI,EQ,317.25,319.1,326.95,318.1,324.5,324.6,324.25,3482805,112931679820000.0,64950,1999821,0.5742
2016-10-13,ICICIPRULI,EQ,324.6,322.0,328.7,315.75,317.05,317.55,320.87,3088238,99091246205000.0,47651,1700557,0.5507
2016-10-14,ICICIPRULI,EQ,317.55,319.7,328.75,319.15,326.95,327.35,325.22,2771778,90143583585000.0,57032,1793664,0.6470999999999999
2016-10-17,ICICIPRULI,EQ,327.35,328.0,331.7,324.2,326.9,327.6,328.48,2153353,70733382540000.0,35972,995757,0.46240000000000003
2016-10-18,ICICIPRULI,EQ,327.6,329.2,333.0,328.45,330.95,330.9,331.49,2774228,91963093555000.0,46893,1602471,0.5776
2016-10-19,ICICIPRULI,EQ,330.9,331.6,332.45,324.0,325.0,324.9,328.55,1227049,40315094525000.0,38337,671832,0.5475
2016-10-20,ICICIPRULI,EQ,324.9,325.9,329.4,322.55,323.7,324.0,326.37,946203,30880834510000.004,19811,548766,0.58
2016-10-21,ICICIPRULI,EQ,324.0,324.85,329.4,323.05,326.85,326.85,326.61,1122150,36650521010000.0,16631,555514,0.495
2016-10-24,ICICIPRULI,EQ,326.85,327.85,329.85,323.1,323.65,323.9,325.58,684940,22300149985000.0,11550,461168,0.6733
2016-10-25,ICICIPRULI,EQ,323.9,324.4,328.0,323.15,323.5,324.15,325.67,964425,31408338480000.0,14795,561335,0.5820000000000001
2016-10-26,ICICIPRULI,EQ,324.15,323.95,325.4,319.3,319.95,320.4,321.69,940792,30264229400000.0,25628,711245,0.756
2016-10-27,ICICIPRULI,EQ,320.4,320.05,320.05,312.3,312.75,314.1,315.0,1243528,39170713010000.0,25563,998017,0.8026000000000001
2016-10-28,ICICIPRULI,EQ,314.1,313.0,314.35,307.0,307.35,308.6,310.71,1188812,36937360965000.0,21282,884708,0.7442000000000001
2016-10-30,ICICIPRULI,EQ,308.6,310.0,314.1,310.0,312.1,312.9,312.72,287393,8987232895000.0,5838,160488,0.5584
2016-11-01,ICICIPRULI,EQ,312.9,312.9,315.45,310.05,310.6,311.3,313.5,1028849,32254559989999.996,37103,733841,0.7133
2016-11-02,ICICIPRULI,EQ,311.3,310.0,310.6,305.05,305.5,305.75,307.42,881783,27108032200000.0,21935,607178,0.6886
2016-11-03,ICICIPRULI,EQ,305.75,305.05,307.8,301.6,304.0,304.05,304.52,1243070,37854105710000.0,28759,931303,0.7492000000000001
2016-11-04,ICICIPRULI,EQ,304.05,304.95,305.95,302.5,303.5,303.4,303.9,1157870,35187672410000.0,16569,958855,0.8281000000000001
2016-11-07,ICICIPRULI,EQ,303.4,305.8,307.9,302.65,303.55,304.9,304.52,1228091,37398373655000.0,19767,932325,0.7592
2016-11-08,ICICIPRULI,EQ,304.9,306.0,306.95,302.7,303.65,303.5,304.31,412371,12548838395000.0,10536,274160,0.6648000000000001
2016-11-09,ICICIPRULI,EQ,303.5,290.0,300.75,271.0,297.95,298.05,293.93,2590826,76151076530000.0,36289,1761386,0.6799
2016-11-10,ICICIPRULI,EQ,298.05,302.95,314.9,301.0,312.7,313.7,309.54,2123137,65719367620000.01,32878,1543323,0.7269
2016-11-11,ICICIPRULI,EQ,313.7,309.7,309.7,302.55,304.85,304.85,305.99,1313176,40182499730000.0,14519,1029049,0.7836
2016-11-15,ICICIPRULI,EQ,304.85,304.85,305.0,295.0,296.0,297.2,297.12,1591246,47278359705000.0,16351,1410728,0.8865999999999999
2016-11-16,ICICIPRULI,EQ,297.2,303.0,304.25,298.0,298.1,299.3,300.42,1270188,38158833715000.0,17730,949907,0.7478
2016-11-17,ICICIPRULI,EQ,299.3,300.0,302.5,293.0,293.55,293.5,296.74,1051062,31188824750000.0,14842,899683,0.856
2016-11-18,ICICIPRULI,EQ,293.5,294.75,295.6,284.5,285.9,285.45,289.96,899512,26082516010000.0,16556,690569,0.7676999999999999
2016-11-21,ICICIPRULI,EQ,285.45,288.0,288.0,282.2,285.5,284.15,285.34,1285263,36673804195000.0,21181,1051912,0.8184
2016-11-22,ICICIPRULI,EQ,284.15,285.4,290.9,281.2,290.1,289.05,284.9,1209797,34467113060000.004,27592,990753,0.8189000000000001
2016-11-23,ICICIPRULI,EQ,289.05,290.0,297.0,288.3,294.5,294.9,292.78,504169,14761000635000.0,19089,365612,0.7252
2016-11-24,ICICIPRULI,EQ,294.9,295.1,296.0,291.3,295.7,295.05,293.85,378291,11116039115000.0,14521,255544,0.6755
2016-11-25,ICICIPRULI,EQ,295.05,296.0,307.9,295.5,301.7,303.55,302.05,827475,24993911680000.0,24542,585975,0.7081000000000001
2016-11-28,ICICIPRULI,EQ,303.55,303.9,309.0,303.1,308.5,308.3,306.59,545827,16734323005000.002,23393,375426,0.6878000000000001
2016-11-29,ICICIPRULI,EQ,308.3,308.9,314.9,308.2,313.7,314.1,312.42,923896,28864398275000.0,37824,699511,0.7571
2016-11-30,ICICIPRULI,EQ,314.1,314.95,314.95,308.25,309.0,309.75,310.24,527033,16350552175000.0,13837,370464,0.7029000000000001
2016-12-01,ICICIPRULI,EQ,309.75,309.1,310.0,303.35,304.05,304.05,304.89,398945,12163625750000.0,12682,281951,0.7067
2016-12-02,ICICIPRULI,EQ,304.05,303.1,303.15,298.05,298.3,298.65,299.25,530891,15887160740000.0,20336,408535,0.7695000000000001
2016-12-05,ICICIPRULI,EQ,298.65,298.0,298.55,292.6,293.1,293.5,293.57,2962323,86963844815000.0,17343,2795582,0.9437000000000001
2016-12-06,ICICIPRULI,EQ,293.5,293.5,296.9,292.25,293.5,293.5,294.09,286857,8436318675000.0,8591,180714,0.63
2016-12-07,ICICIPRULI,EQ,293.5,294.5,295.5,292.0,293.0,292.65,293.35,287566,8435797620000.0,9508,216974,0.7545000000000001
2016-12-08,ICICIPRULI,EQ,292.65,293.75,298.45,293.55,298.0,297.05,296.47,384455,11397800220000.0,13430,273460,0.7112999999999999
2016-12-09,ICICIPRULI,EQ,297.05,297.7,299.55,293.55,294.95,294.95,296.11,490921,14536624505000.002,15115,370243,0.7542
2016-12-12,ICICIPRULI,EQ,294.95,295.0,300.3,294.5,297.55,298.9,296.22,1858187,55042971904999.99,16064,1589363,0.8553000000000001
2016-12-13,ICICIPRULI,EQ,298.9,298.8,298.9,295.45,298.1,298.15,296.81,448043,13298461225000.0,14543,365526,0.8158
2016-12-14,ICICIPRULI,EQ,298.15,296.7,302.3,296.0,297.35,297.2,297.71,828122,24653910580000.0,18863,684942,0.8271
2016-12-15,ICICIPRULI,EQ,297.2,296.0,311.9,295.0,310.85,310.65,307.96,2601377,80112036545000.0,48402,1866839,0.7176
2016-12-16,ICICIPRULI,EQ,310.65,309.95,312.0,305.7,310.05,310.55,309.54,1466142,45382655960000.0,54656,1068371,0.7287
2016-12-19,ICICIPRULI,EQ,310.55,310.0,317.95,308.0,314.55,315.5,314.06,3045917,95660734150000.0,63813,2495935,0.8194
2016-12-20,ICICIPRULI,EQ,315.5,313.8,319.9,312.5,317.55,318.25,317.34,1832659,58158279000000.0,39958,1388831,0.7578
2016-12-21,ICICIPRULI,EQ,318.25,318.7,319.95,314.0,314.95,316.2,316.32,717254,22688211430000.0,13772,522440,0.7284
2016-12-22,ICICIPRULI,EQ,316.2,317.0,317.0,305.1,306.8,307.15,309.18,467785,14463194144999.998,11394,306052,0.6543000000000001
2016-12-23,ICICIPRULI,EQ,307.15,304.1,306.95,300.0,300.3,300.65,302.52,461339,13956518480000.002,11140,338242,0.7332
2016-12-26,ICICIPRULI,EQ,300.65,299.0,300.5,294.55,295.0,295.05,296.86,483325,14348042455000.002,13828,307735,0.6367
2016-12-27,ICICIPRULI,EQ,295.05,294.15,297.5,294.1,295.3,295.45,295.76,403888,11945300615000.0,13494,270658,0.6701
2016-12-28,ICICIPRULI,EQ,295.45,299.75,299.75,294.55,294.55,295.1,296.89,490137,14551524310000.0,12776,293010,0.5978
2016-12-29,ICICIPRULI,EQ,295.1,295.3,301.7,295.3,300.0,300.1,299.04,463260,13853229494999.998,9359,338151,0.7299
2016-12-30,ICICIPRULI,EQ,300.1,300.95,306.0,300.1,301.0,302.25,303.36,515022,15623847680000.002,15868,319515,0.6204
2017-01-02,ICICIPRULI,EQ,302.25,301.2,307.9,301.2,307.7,307.1,305.86,336913,10304662910000.0,6962,248616,0.7379000000000001
2017-01-03,ICICIPRULI,EQ,307.1,308.6,313.75,308.0,313.65,313.05,311.49,675149,21030360940000.0,12070,513968,0.7613
2017-01-04,ICICIPRULI,EQ,313.05,314.65,321.0,313.5,320.1,319.7,318.44,1583760,50432538680000.0,25761,1318566,0.8326000000000001
2017-01-05,ICICIPRULI,EQ,319.7,320.95,328.7,320.3,326.9,326.75,325.69,1993192,64916482400000.0,31657,1404912,0.7049
2017-01-06,ICICIPRULI,EQ,326.75,327.95,338.0,326.65,330.8,331.0,332.62,4655888,154862093255000.0,64133,2476393,0.5319
2017-01-09,ICICIPRULI,EQ,331.0,331.0,333.25,326.1,329.0,329.05,329.45,787856,25956294155000.0,12845,416177,0.5282
2017-01-10,ICICIPRULI,EQ,329.05,330.0,336.5,329.4,335.35,335.55,334.38,1660190,55514128120000.01,31122,945782,0.5697
2017-01-11,ICICIPRULI,EQ,335.55,337.0,338.7,334.25,337.15,337.8,336.73,1609150,54185600820000.01,28915,980042,0.609
2017-01-12,ICICIPRULI,EQ,337.8,337.8,338.25,330.65,333.25,334.55,334.53,537489,17980864540000.0,12908,318769,0.5931000000000001
2017-01-13,ICICIPRULI,EQ,334.55,334.6,336.4,330.95,332.1,331.9,332.83,360639,12003087355000.0,10167,209508,0.5809000000000001
2017-01-16,ICICIPRULI,EQ,331.9,330.1,334.0,330.0,330.4,331.15,331.78,495389,16436162875000.0,13716,322843,0.6517000000000001
2017-01-17,ICICIPRULI,EQ,331.15,332.0,335.65,330.1,331.0,331.7,332.89,548693,18265364840000.0,16279,353685,0.6446
2017-01-18,ICICIPRULI,EQ,331.7,334.85,343.0,332.7,339.0,340.0,338.79,3153477,106835198625000.0,73156,1719370,0.5452
2017-01-19,ICICIPRULI,EQ,340.0,340.8,351.5,339.25,348.05,349.75,347.71,5040128,175250236715000.0,96329,3033388,0.6018
2017-01-20,ICICIPRULI,EQ,349.75,347.7,362.0,346.6,359.1,359.4,357.88,5356347,191695012415000.0,142688,3218571,0.6009000000000001
2017-01-23,ICICIPRULI,EQ,359.4,360.0,362.35,356.2,358.6,361.15,360.18,2539069,91451846725000.0,77560,1713326,0.6748000000000001
2017-01-24,ICICIPRULI,EQ,361.15,360.0,363.5,356.15,357.8,359.75,360.26,2132140,76813277465000.0,55208,1348040,0.6322
