Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,IDEA,EQ,58.05,58.2,58.9,57.65,58.2,58.2,58.32,1488877,8683325259999.999,37436.89283634246,446687,0.3
2010-01-05,IDEA,EQ,58.2,58.5,60.7,58.3,60.05,60.25,59.7,4585191,27374242935000.004,37436.89283634246,1345866,0.29350000000000004
2010-01-06,IDEA,EQ,60.25,61.25,61.55,60.4,61.25,61.3,61.05,5143386,31401680050000.0,37436.89283634246,1998070,0.3885
2010-01-07,IDEA,EQ,61.3,61.5,61.8,60.75,60.9,61.05,61.24,3245868,19877984575000.0,37436.89283634246,1372926,0.423
2010-01-08,IDEA,EQ,61.05,60.9,61.45,60.1,60.85,60.55,60.92,2207963,13451209490000.0,37436.89283634246,982450,0.445
2010-01-11,IDEA,EQ,60.55,61.0,62.65,61.0,62.1,62.05,62.04,4293624,26636120670000.0,37436.89283634246,2255384,0.5253
2010-01-12,IDEA,EQ,62.05,61.5,62.0,58.5,58.85,58.7,60.07,4424558,26577169320000.0,37436.89283634246,2259581,0.5107
2010-01-13,IDEA,EQ,58.7,58.7,59.5,57.55,59.2,59.15,58.72,2971022,17445000594999.998,37436.89283634246,824707,0.2776
2010-01-14,IDEA,EQ,59.15,59.5,60.5,58.85,59.6,59.9,59.66,4336688,25871574085000.0,37436.89283634246,1950727,0.4498
2010-01-15,IDEA,EQ,59.9,60.0,60.6,59.05,59.05,59.3,59.84,2576285,15415957305000.002,37436.89283634246,901633,0.35000000000000003
2010-01-18,IDEA,EQ,59.3,59.25,59.6,58.75,58.75,58.9,59.16,1795267,10621219590000.0,37436.89283634246,759235,0.4229
2010-01-19,IDEA,EQ,58.9,58.7,59.2,57.5,57.8,57.8,58.48,2225414,13014276870000.0,37436.89283634246,852012,0.3829
2010-01-20,IDEA,EQ,57.8,58.1,58.5,57.55,58.3,58.15,58.16,2823322,16421244075000.0,37436.89283634246,1178037,0.4173
2010-01-21,IDEA,EQ,58.15,58.0,58.5,56.0,57.75,57.85,57.73,3409543,19683183210000.0,37436.89283634246,1723060,0.5054
2010-01-22,IDEA,EQ,57.85,57.0,62.25,56.1,62.0,62.05,60.16,18535560,111518591084999.98,37436.89283634246,8872976,0.47869999999999996
2010-01-25,IDEA,EQ,62.05,62.0,63.0,61.1,61.9,62.25,62.31,7951424,49547077295000.0,37436.89283634246,2797200,0.3518
2010-01-27,IDEA,EQ,62.25,61.8,62.05,59.75,59.85,60.3,60.96,6037002,36798547045000.0,37436.89283634246,2725332,0.4514
2010-01-28,IDEA,EQ,60.3,60.8,61.4,57.65,60.0,59.5,59.24,6416954,38015826285000.0,37436.89283634246,1967895,0.30670000000000003
2010-01-29,IDEA,EQ,59.5,59.0,60.3,58.05,58.6,58.45,58.88,4479706,26376828890000.0,37436.89283634246,2173156,0.4851
2010-02-01,IDEA,EQ,58.45,58.3,61.5,58.0,61.1,61.0,59.75,4010999,23965315110000.0,37436.89283634246,1167896,0.2912
2010-02-02,IDEA,EQ,61.0,61.2,61.7,59.1,59.15,59.85,60.39,3435798,20747986155000.0,37436.89283634246,1511397,0.4399
2010-02-03,IDEA,EQ,59.85,59.3,60.85,58.55,60.25,60.15,59.9,2838574,17004207875000.0,37436.89283634246,750546,0.2644
2010-02-04,IDEA,EQ,60.15,60.15,60.65,58.5,58.7,58.75,59.66,2716685,16207504755000.002,37436.89283634246,817761,0.30100000000000005
2010-02-05,IDEA,EQ,58.75,56.75,58.5,56.0,56.15,56.55,56.98,3500770,19946959200000.0,37436.89283634246,1464126,0.4182
2010-02-06,IDEA,EQ,56.55,56.5,57.5,56.5,57.5,57.3,57.11,431537,2464469750000.0,37436.89283634246,199869,0.4632
2010-02-08,IDEA,EQ,57.3,57.5,58.0,56.2,57.4,56.95,56.89,3142413,17875911140000.0,37436.89283634246,790993,0.25170000000000003
2010-02-09,IDEA,EQ,56.95,57.1,58.2,57.0,58.05,58.05,57.72,1940384,11200527095000.0,37436.89283634246,792789,0.4086
2010-02-10,IDEA,EQ,58.05,58.0,58.3,57.05,57.55,57.35,57.72,2717272,15684666919999.998,37436.89283634246,1121069,0.41259999999999997
2010-02-11,IDEA,EQ,57.35,57.4,58.8,57.4,58.35,58.4,58.33,1688652,9850342370000.0,37436.89283634246,576377,0.34130000000000005
2010-02-15,IDEA,EQ,58.4,58.5,59.3,57.7,57.9,58.05,58.09,1706422,9913401530000.0,37436.89283634246,733498,0.42979999999999996
2010-02-16,IDEA,EQ,58.05,57.9,59.35,57.55,59.1,58.8,58.33,1955203,11404287190000.0,37436.89283634246,535895,0.2741
2010-02-17,IDEA,EQ,58.8,58.95,59.5,57.9,58.45,58.3,58.57,1362371,7979915815000.001,37436.89283634246,260383,0.1911
2010-02-18,IDEA,EQ,58.3,58.6,59.35,57.95,59.2,59.15,58.66,1531763,8985158275000.0,37436.89283634246,697610,0.4554
2010-02-19,IDEA,EQ,59.15,58.5,58.7,56.55,57.65,58.25,57.78,3178963,18368675915000.0,37436.89283634246,1214356,0.38200000000000006
2010-02-22,IDEA,EQ,58.25,57.8,58.7,55.85,55.9,56.0,57.0,2342092,13350811370000.0,37436.89283634246,943060,0.40270000000000006
2010-02-23,IDEA,EQ,56.0,56.1,56.9,55.1,56.85,56.6,56.44,2145364,12109478525000.0,37436.89283634246,972564,0.4533
