Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,IFCI,EQ,54.4,55.15,57.55,54.55,57.5,57.3,56.46,37004006,208943088190000.0,19504.714618520677,9840819,0.2659
2010-01-05,IFCI,EQ,57.3,59.7,59.7,57.45,57.9,58.0,58.12,38004301,220885537410000.0,19504.714618520677,6879408,0.18100000000000002
2010-01-06,IFCI,EQ,58.0,60.3,60.3,57.1,57.55,57.5,58.06,26310880,152770329375000.0,19504.714618520677,4709587,0.179
2010-01-07,IFCI,EQ,57.5,60.25,60.25,57.35,58.85,58.9,58.38,31681750,184949371435000.0,19504.714618520677,6172515,0.1948
2010-01-08,IFCI,EQ,58.9,59.4,59.95,56.9,57.3,57.65,58.59,42518999,249098049725000.0,19504.714618520677,8167409,0.19210000000000002
2010-01-11,IFCI,EQ,57.65,57.3,57.95,56.0,56.25,56.25,56.76,27543144,156332349515000.0,19504.714618520677,5862560,0.2129
2010-01-12,IFCI,EQ,56.25,56.25,56.8,53.8,54.25,54.1,55.36,28589527,158280930585000.0,19504.714618520677,5298321,0.18530000000000002
2010-01-13,IFCI,EQ,54.1,54.0,55.0,52.15,54.9,54.85,54.35,21274010,115622032915000.02,19504.714618520677,2804370,0.1318
2010-01-14,IFCI,EQ,54.85,55.45,55.7,54.15,54.3,54.35,54.95,16124284,88595947470000.0,19504.714618520677,3705128,0.2298
2010-01-15,IFCI,EQ,54.35,54.6,55.3,54.0,54.3,54.3,54.59,11908244,65002950004999.99,19504.714618520677,2576437,0.2164
2010-01-18,IFCI,EQ,54.3,53.9,55.2,53.85,54.35,54.4,54.58,10552110,57590688029999.99,19504.714618520677,2696660,0.2556
2010-01-19,IFCI,EQ,54.4,54.6,55.2,53.55,53.65,53.75,54.29,12336911,66981104654999.99,19504.714618520677,3295874,0.2672
2010-01-20,IFCI,EQ,53.75,54.4,54.4,53.45,53.6,53.7,53.89,10080074,54318871800000.0,19504.714618520677,3186404,0.3161
