Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,INDIANB,EQ,174.55,175.8,177.0,174.25,176.25,175.25,174.91,596355,10430580160000.0,8572.428654630168,449434,0.7536
2010-01-05,INDIANB,EQ,175.25,176.55,178.45,173.2,175.1,175.2,176.07,500092,8804947270000.0,8572.428654630168,215232,0.4304
2010-01-06,INDIANB,EQ,175.2,175.55,182.4,175.55,180.5,179.95,180.02,799605,14394516980000.002,8572.428654630168,276696,0.34600000000000003
2010-01-07,INDIANB,EQ,179.95,180.15,180.9,175.65,178.4,178.25,177.49,271777,4823745845000.0,8572.428654630168,92766,0.34130000000000005
2010-01-08,INDIANB,EQ,178.25,178.25,179.9,175.0,175.4,175.2,176.24,177303,3124815935000.0,8572.428654630168,101445,0.5722
2010-01-11,INDIANB,EQ,175.2,175.0,180.55,175.0,178.95,178.6,178.67,296494,5297577330000.0,8572.428654630168,162056,0.5466
2010-01-12,INDIANB,EQ,178.6,175.05,179.0,174.0,174.75,174.4,175.13,340650,5965684790000.0,8572.428654630168,245609,0.721
2010-01-13,INDIANB,EQ,174.4,172.6,175.9,171.9,175.45,175.05,173.1,192353,3329606170000.0,8572.428654630168,105944,0.5508
2010-01-14,INDIANB,EQ,175.05,176.25,177.35,173.25,174.35,173.95,174.9,469877,8218316984999.999,8572.428654630168,356019,0.7576999999999999
2010-01-15,INDIANB,EQ,173.95,174.0,174.55,171.3,171.6,172.15,173.58,356011,6179612845000.0,8572.428654630168,187632,0.527
2010-01-18,INDIANB,EQ,172.15,171.55,176.35,171.5,176.0,174.8,173.46,847294,14697189240000.0,8572.428654630168,688949,0.8131
2010-01-19,INDIANB,EQ,174.8,176.9,178.7,174.65,175.5,175.35,176.72,248434,4390356775000.0,8572.428654630168,118657,0.47759999999999997
2010-01-20,INDIANB,EQ,175.35,176.0,177.5,174.5,176.5,176.5,175.81,289993,5098234345000.0,8572.428654630168,179954,0.6204999999999999
2010-01-21,INDIANB,EQ,176.5,176.5,176.5,170.85,175.5,175.05,174.52,633284,11052132130000.0,8572.428654630168,364798,0.5760000000000001
2010-01-22,INDIANB,EQ,175.05,175.0,175.0,166.95,173.0,173.05,172.03,542379,9330311725000.0,8572.428654630168,249636,0.46030000000000004
2010-01-25,INDIANB,EQ,173.05,172.2,176.0,170.1,170.2,171.1,173.99,437435,7610831820000.0,8572.428654630168,206196,0.47140000000000004
2010-01-27,INDIANB,EQ,171.1,170.0,174.8,168.25,171.0,171.15,171.84,667970,11478336620000.0,8572.428654630168,382901,0.5732
2010-01-28,INDIANB,EQ,171.15,173.0,180.4,171.75,179.0,177.95,177.49,1151065,20430065345000.0,8572.428654630168,468700,0.4072
2010-01-29,INDIANB,EQ,177.95,177.9,181.4,171.5,179.1,179.65,176.37,1474587,26007169125000.0,8572.428654630168,918659,0.623
2010-02-01,INDIANB,EQ,179.65,179.9,183.05,175.1,179.2,180.05,179.19,1076335,19286521500000.0,8572.428654630168,504561,0.46880000000000005
2010-02-02,INDIANB,EQ,180.05,184.0,184.6,178.0,178.3,178.65,181.36,724918,13147179000000.0,8572.428654630168,326039,0.4498
2010-02-03,INDIANB,EQ,178.65,179.0,183.9,179.0,183.1,183.05,181.69,386996,7031476230000.0,8572.428654630168,134593,0.3478
2010-02-04,INDIANB,EQ,183.05,183.9,183.9,175.25,176.1,175.95,179.63,233792,4199695910000.0,8572.428654630168,110014,0.4706
2010-02-05,INDIANB,EQ,175.95,174.0,175.5,170.5,174.5,173.9,172.99,596071,10311600610000.0,8572.428654630168,410234,0.6881999999999999
2010-02-06,INDIANB,EQ,173.9,174.9,175.55,172.35,174.05,173.3,173.43,37742,654564500000.0,8572.428654630168,22445,0.5947
2010-02-08,INDIANB,EQ,173.3,175.0,177.8,171.2,177.5,176.4,174.72,249824,4364870329999.9995,8572.428654630168,69477,0.2781
2010-02-09,INDIANB,EQ,176.4,176.4,178.25,173.8,174.55,174.75,175.26,181544,3181681815000.0,8572.428654630168,74367,0.4096
2010-02-10,INDIANB,EQ,174.75,176.8,176.8,170.2,171.2,171.65,173.62,112154,1947175239999.9998,8572.428654630168,52914,0.4718
2010-02-11,INDIANB,EQ,171.65,172.05,174.5,172.05,174.0,173.1,172.88,146458,2532016030000.0,8572.428654630168,53779,0.36719999999999997
2010-02-15,INDIANB,EQ,173.1,174.0,174.5,171.0,172.3,171.8,172.02,78854,1356419440000.0,8572.428654630168,20339,0.2579
2010-02-16,INDIANB,EQ,171.8,171.5,174.0,170.1,174.0,173.2,172.1,52898,910375785000.0,8572.428654630168,22143,0.4186
2010-02-17,INDIANB,EQ,173.2,173.2,176.25,172.1,175.4,175.0,174.17,619048,10781762470000.0,8572.428654630168,443576,0.7165
2010-02-18,INDIANB,EQ,175.0,175.0,176.35,174.2,175.3,175.2,175.22,151840,2660498145000.0,8572.428654630168,87037,0.5732
2010-02-19,INDIANB,EQ,175.2,172.9,175.0,167.5,168.25,168.7,169.93,1456477,24750582785000.0,8572.428654630168,1307643,0.8978
2010-02-22,INDIANB,EQ,168.7,171.6,172.45,166.05,166.55,167.05,168.51,288852,4867391515000.0,8572.428654630168,208019,0.7202
2010-02-23,INDIANB,EQ,167.05,168.7,168.7,161.4,163.15,162.65,165.07,341880,5643536475000.0,8572.428654630168,231925,0.6784
2010-02-24,INDIANB,EQ,162.65,163.45,163.45,157.7,158.35,159.0,159.95,357514,5718531025000.0,8572.428654630168,184561,0.5162
2010-02-25,INDIANB,EQ,159.0,156.8,161.5,155.0,156.0,156.45,156.98,551789,8662245800000.0,8572.428654630168,386955,0.7012999999999999
2010-02-26,INDIANB,EQ,156.45,156.5,165.5,156.5,163.6,164.05,162.61,363845,5916589510000.0,8572.428654630168,198625,0.5459
2010-03-02,INDIANB,EQ,164.05,166.5,169.05,164.4,164.8,165.45,166.37,420411,6994310950000.0,8572.428654630168,305572,0.7268000000000001
2010-03-03,INDIANB,EQ,165.45,166.0,168.9,166.0,167.5,167.9,167.86,673596,11306665220000.0,8572.428654630168,446218,0.6624
2010-03-04,INDIANB,EQ,167.9,168.9,169.2,166.5,167.7,168.0,167.79,1026277,17219578725000.0,8572.428654630168,622341,0.6064
2010-03-05,INDIANB,EQ,168.0,168.5,172.2,168.0,169.0,168.8,169.92,397321,6751170115000.001,8572.428654630168,149305,0.37579999999999997
2010-03-08,INDIANB,EQ,168.8,171.4,172.2,168.35,170.75,170.9,170.3,265801,4526682425000.0,8572.428654630168,108937,0.4098
2010-03-09,INDIANB,EQ,170.9,171.85,171.85,165.8,166.1,167.45,169.13,469530,7941298034999.999,8572.428654630168,333945,0.7112
2010-03-10,INDIANB,EQ,167.45,166.9,167.85,163.6,166.0,165.5,166.46,129782,2160327425000.0,8572.428654630168,54111,0.4169
2010-03-11,INDIANB,EQ,165.5,167.0,167.0,164.25,166.95,166.2,165.77,105286,1745287580000.0,8572.428654630168,57757,0.5486
2010-03-12,INDIANB,EQ,166.2,166.5,169.0,166.5,168.4,168.0,168.16,243977,4102709965000.0,8572.428654630168,174797,0.7164
2010-03-15,INDIANB,EQ,168.0,168.8,168.8,164.6,166.7,166.1,165.77,102996,1707334164999.9998,8572.428654630168,66902,0.6496
2010-03-16,INDIANB,EQ,166.1,165.2,169.4,163.5,169.0,168.9,167.35,220574,3691216800000.0,8572.428654630168,125277,0.568
2010-03-17,INDIANB,EQ,168.9,165.3,170.7,165.3,170.65,170.1,169.79,283173,4808022600000.0,8572.428654630168,196134,0.6926000000000001
2010-03-18,INDIANB,EQ,170.1,172.8,172.8,168.4,170.2,169.95,170.56,322975,5508820890000.0,8572.428654630168,170050,0.5265
2010-03-19,INDIANB,EQ,169.95,170.0,171.45,168.1,171.1,171.05,170.07,289680,4926705205000.0,8572.428654630168,242836,0.8383
2010-03-22,INDIANB,EQ,171.05,168.1,170.15,165.0,165.5,165.6,168.31,145558,2449907980000.0,8572.428654630168,73129,0.5024000000000001
2010-03-23,INDIANB,EQ,165.6,166.0,167.75,162.1,163.0,163.55,163.75,434954,7122525045000.0,8572.428654630168,292779,0.6731
2010-03-25,INDIANB,EQ,163.55,163.55,165.95,161.9,163.0,163.1,163.96,805927,13213634905000.0,8572.428654630168,625076,0.7756000000000001
2010-03-26,INDIANB,EQ,163.1,165.8,171.6,164.1,171.0,170.6,169.09,478273,8086889970000.0,8572.428654630168,277391,0.58
2010-03-29,INDIANB,EQ,170.6,172.9,174.9,168.1,169.25,168.9,170.45,173517,2957644100000.0,8572.428654630168,72151,0.4158
2010-03-30,INDIANB,EQ,168.9,170.0,176.0,169.25,175.15,174.4,173.62,468500,8133988234999.999,8572.428654630168,248871,0.5312
2010-03-31,INDIANB,EQ,174.4,175.0,177.3,174.1,175.25,175.4,175.64,515173,9048741500000.0,8572.428654630168,346675,0.6729
2010-04-01,INDIANB,EQ,175.4,176.4,177.0,174.5,175.5,175.05,175.51,131621,2310055485000.0,8572.428654630168,78122,0.5935
2010-04-05,INDIANB,EQ,175.05,178.5,179.95,176.0,179.6,179.0,177.64,480541,8536261505000.0,8572.428654630168,287877,0.5991
2010-04-06,INDIANB,EQ,179.0,179.5,183.9,178.8,183.9,182.05,180.68,565911,10224971795000.0,8572.428654630168,311866,0.5511
2010-04-07,INDIANB,EQ,182.05,182.55,189.4,182.55,187.5,187.7,187.21,537350,10059701530000.0,8572.428654630168,237246,0.4415
2010-04-08,INDIANB,EQ,187.7,178.35,187.7,178.35,181.5,182.55,183.71,778678,14305065469999.998,8572.428654630168,666523,0.856
2010-04-09,INDIANB,EQ,182.55,181.2,187.0,180.8,185.1,185.15,184.98,688766,12741128960000.0,8572.428654630168,488170,0.7088
2010-04-12,INDIANB,EQ,185.15,184.35,186.4,182.2,183.5,183.15,183.62,325059,5968729805000.0,8572.428654630168,245474,0.7552
2010-04-13,INDIANB,EQ,183.15,183.0,183.85,179.5,179.65,180.7,181.54,562916,10218926735000.0,8572.428654630168,477260,0.8478
2010-04-15,INDIANB,EQ,180.7,180.1,182.7,179.5,181.0,180.9,180.87,310324,5612833635000.0,8572.428654630168,243180,0.7836
2010-04-16,INDIANB,EQ,180.9,181.0,181.95,178.05,181.95,181.1,180.35,287875,5191708555000.0,8572.428654630168,197860,0.6873
2010-04-19,INDIANB,EQ,181.1,180.8,185.5,178.5,182.4,182.1,182.77,409043,7475911890000.001,8572.428654630168,209058,0.5111
2010-04-20,INDIANB,EQ,182.1,180.2,191.45,180.2,188.4,188.0,187.69,550884,10339515090000.0,8572.428654630168,244527,0.4439
2010-04-21,INDIANB,EQ,188.0,189.2,192.0,184.7,186.0,185.7,189.03,882857,16689015490000.0,8572.428654630168,503515,0.5703
2010-04-22,INDIANB,EQ,185.7,185.95,191.5,184.5,186.65,187.25,188.78,1210868,22858730460000.0,8572.428654630168,695596,0.5745
2010-04-23,INDIANB,EQ,187.25,187.0,194.45,187.0,194.0,192.85,190.64,362019,6901689395000.0,8572.428654630168,120975,0.3342
2010-04-26,INDIANB,EQ,192.85,192.85,221.35,192.85,219.25,219.8,212.9,5915888,125948163550000.0,8572.428654630168,1388387,0.2347
2010-04-27,INDIANB,EQ,219.8,220.1,224.6,213.6,215.0,215.25,219.06,4246906,93031568085000.0,8572.428654630168,780310,0.1837
2010-04-28,INDIANB,EQ,215.25,213.0,220.25,205.5,216.75,216.3,215.98,1282127,27691460435000.004,8572.428654630168,378833,0.29550000000000004
2010-04-29,INDIANB,EQ,216.3,217.2,222.0,217.2,219.5,219.25,219.88,920129,20232185370000.0,8572.428654630168,320610,0.34840000000000004
2010-04-30,INDIANB,EQ,219.25,219.0,228.5,219.0,226.0,225.35,226.02,2035673,46009825540000.0,8572.428654630168,895469,0.4399
2010-05-03,INDIANB,EQ,225.35,223.5,226.0,215.4,222.5,222.0,220.34,1058706,23327257310000.0,8572.428654630168,519727,0.49090000000000006
2010-05-04,INDIANB,EQ,222.0,222.5,226.4,218.4,220.75,220.55,222.13,962988,21390830420000.0,8572.428654630168,408776,0.42450000000000004
