Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-04-04,INFIBEAM,EQ,432.0,453.0,467.0,440.25,445.55,445.75,451.62,7342816,331619794365000.0,94175,1839681,0.2505
2016-04-05,INFIBEAM,EQ,445.75,441.05,459.8,441.0,445.0,445.6,449.14,978410,43943964365000.0,17425,253776,0.2594
2016-04-06,INFIBEAM,EQ,445.6,446.0,457.0,440.2,452.85,451.1,446.15,638351,28479796414999.996,6913,321647,0.5039
2016-04-07,INFIBEAM,EQ,451.1,451.05,458.8,443.35,443.7,445.4,448.49,605201,27142583925000.0,6152,335423,0.5542
2016-04-08,INFIBEAM,EQ,445.4,446.55,451.0,432.0,448.0,449.65,443.57,840724,37291777295000.0,6447,465743,0.554
2016-04-11,INFIBEAM,EQ,449.65,447.5,451.5,443.0,446.5,448.05,447.31,112561,5034994400000.0,3523,48748,0.43310000000000004
2016-04-12,INFIBEAM,EQ,448.05,447.0,473.95,444.4,465.0,466.3,458.89,361824,16603614194999.998,6784,161667,0.44680000000000003
2016-04-13,INFIBEAM,EQ,466.3,468.7,522.0,466.5,507.7,506.05,503.29,1694475,85281714655000.0,37490,179356,0.1058
2016-04-18,INFIBEAM,EQ,506.05,507.2,510.8,486.25,491.0,492.6,495.99,302216,14989569169999.998,7609,102787,0.3401
2016-04-20,INFIBEAM,EQ,492.6,497.95,507.25,487.0,491.2,494.65,495.83,329318,16328450219999.998,4767,177003,0.5375
2016-04-21,INFIBEAM,EQ,494.65,501.0,501.0,487.0,495.0,495.85,492.2,316023,15554661515000.0,2525,246111,0.7787999999999999
2016-04-22,INFIBEAM,EQ,495.85,492.1,505.9,490.05,491.25,493.8,497.93,82891,4127385970000.0005,2217,17739,0.214
2016-04-25,INFIBEAM,EQ,493.8,494.2,499.0,493.0,496.95,496.0,496.35,404792,20091789120000.0,5735,41450,0.1024
2016-04-26,INFIBEAM,EQ,496.0,495.9,524.6,495.75,506.05,507.0,508.41,763964,38840525505000.0,11117,72498,0.0949
2016-04-27,INFIBEAM,EQ,507.0,508.2,519.4,503.1,519.35,515.25,513.98,619461,31839135020000.0,5626,64081,0.1034
2016-04-28,INFIBEAM,EQ,515.25,516.0,527.3,505.0,508.8,508.25,520.44,576548,30005700095000.0,10635,37474,0.065
2016-04-29,INFIBEAM,EQ,508.25,511.0,518.45,503.35,510.25,512.1,512.85,624577,32031597739999.996,4270,24440,0.0391
2016-05-02,INFIBEAM,EQ,512.1,513.85,524.0,505.05,521.95,519.35,512.12,670703,34347816450000.0,4697,42721,0.0637
2016-05-03,INFIBEAM,EQ,519.35,523.95,537.0,512.3,520.5,520.35,521.59,738842,38537365260000.0,6876,39917,0.054000000000000006
2016-05-04,INFIBEAM,EQ,520.35,521.0,528.0,510.1,513.0,513.1,516.31,651807,33653505675000.0,6533,42024,0.0645
2016-05-05,INFIBEAM,EQ,513.1,514.95,517.75,506.0,508.0,510.3,512.55,620040,31780110460000.004,3838,28229,0.0455
2016-05-06,INFIBEAM,EQ,510.3,510.3,519.9,502.2,509.2,512.4,508.06,675868,34337837325000.0,4818,60415,0.0894
2016-05-09,INFIBEAM,EQ,512.4,515.8,536.9,486.8,511.95,509.9,510.03,649255,33114018170000.0,5283,34928,0.0538
2016-05-10,INFIBEAM,EQ,509.9,514.75,515.8,500.0,504.0,508.05,508.75,626862,31891915114999.996,4803,32772,0.052300000000000006
2016-05-11,INFIBEAM,EQ,508.05,502.0,507.0,500.0,500.15,502.7,503.82,616651,31067845370000.0,4155,34344,0.055700000000000006
2016-05-12,INFIBEAM,EQ,502.7,506.0,506.0,491.1,492.5,498.9,501.7,606379,30422007635000.004,3970,34624,0.0571
2016-05-13,INFIBEAM,EQ,498.9,498.0,503.4,481.1,502.0,498.4,495.4,716032,35472153065000.0,4276,86665,0.121
2016-05-16,INFIBEAM,EQ,498.4,505.3,511.95,495.15,510.8,507.8,498.57,711921,35493985855000.0,6094,78520,0.1103
2016-05-17,INFIBEAM,EQ,507.8,506.0,512.0,502.0,510.9,507.9,507.45,662858,33636939530000.0,4100,30557,0.0461
2016-05-18,INFIBEAM,EQ,507.9,508.0,509.5,502.0,502.0,507.05,506.17,688295,34839644305000.0,3628,25199,0.0366
2016-05-19,INFIBEAM,EQ,507.05,507.05,508.0,493.0,496.8,500.85,503.71,697565,35136840705000.0,7200,25933,0.037200000000000004
2016-05-20,INFIBEAM,EQ,500.85,492.05,503.0,480.2,500.0,491.25,497.41,754211,37515392940000.0,4689,65636,0.087
2016-05-23,INFIBEAM,EQ,491.25,510.0,513.8,496.1,510.8,509.5,503.12,688500,34639624630000.0,4557,40086,0.0582
2016-05-24,INFIBEAM,EQ,509.5,505.95,522.4,504.65,516.0,514.45,514.09,688695,35405231240000.0,5913,36862,0.0535
2016-05-25,INFIBEAM,EQ,514.45,516.0,526.0,512.0,521.0,519.65,517.91,787389,40779911960000.0,13101,105711,0.1343
2016-05-26,INFIBEAM,EQ,519.65,520.25,524.0,516.25,518.0,521.45,521.33,783864,40864803490000.0,5702,127630,0.16280000000000003
2016-05-27,INFIBEAM,EQ,521.45,522.1,525.0,515.0,516.0,520.15,522.02,786733,41069036890000.0,7438,124825,0.1587
2016-05-30,INFIBEAM,EQ,520.15,506.0,624.15,506.0,537.0,537.2,542.28,1066575,57838137915000.0,8592,60057,0.0563
2016-05-31,INFIBEAM,EQ,537.2,537.85,548.0,516.3,520.0,519.45,526.41,789356,41552194960000.0,4699,101707,0.1288
2016-06-01,INFIBEAM,EQ,519.45,521.15,521.2,515.0,517.25,518.0,518.82,641521,33283243125000.0,4673,34725,0.0541
2016-06-02,INFIBEAM,EQ,518.0,518.45,540.0,516.8,530.75,533.25,520.18,697763,36296453365000.0,6220,80775,0.1158
2016-06-03,INFIBEAM,EQ,533.25,534.0,547.7,530.5,531.15,535.2,536.09,670943,35968498035000.0,7360,40830,0.0609
2016-06-06,INFIBEAM,EQ,535.2,540.0,547.0,531.55,533.5,539.45,536.51,732563,39302412860000.0,5039,150620,0.2056
2016-06-07,INFIBEAM,EQ,539.45,539.0,545.0,535.0,536.0,537.2,540.61,604085,32657142235000.004,5655,88337,0.1462
2016-06-08,INFIBEAM,EQ,537.2,538.0,554.0,533.0,540.0,537.2,541.15,629828,34083404164999.996,6436,85700,0.1361
2016-06-09,INFIBEAM,EQ,537.2,538.0,541.8,531.0,539.0,537.65,537.48,719424,38667294445000.0,4835,94848,0.1318
2016-06-10,INFIBEAM,EQ,537.65,538.0,575.5,536.8,563.8,556.8,548.61,566377,31072059410000.004,5916,74936,0.1323
2016-06-13,INFIBEAM,EQ,556.8,558.5,591.0,556.55,579.9,579.1,568.77,772695,43948454020000.0,9184,79724,0.1032
2016-06-14,INFIBEAM,EQ,579.1,575.0,606.3,575.0,592.0,595.6,585.22,688133,40270583940000.0,7940,50596,0.0735
2016-06-15,INFIBEAM,EQ,595.6,597.95,609.95,580.0,599.75,591.05,596.07,734640,43789580555000.0,5910,120627,0.1642
2016-06-16,INFIBEAM,EQ,591.05,592.0,593.5,567.0,574.0,577.25,581.24,686857,39923122650000.0,5352,106211,0.15460000000000002
2016-06-17,INFIBEAM,EQ,577.25,579.95,692.7,574.05,688.0,682.15,629.1,1276131,80281507620000.0,16991,240610,0.18850000000000003
2016-06-20,INFIBEAM,EQ,682.15,664.0,710.0,646.0,694.55,698.1,679.92,1199947,81587244065000.0,19808,262065,0.2184
2016-06-21,INFIBEAM,EQ,698.1,695.0,709.0,685.05,688.0,692.0,694.34,794580,55170997104999.99,8875,141334,0.1779
2016-06-22,INFIBEAM,EQ,692.0,692.0,704.5,681.8,684.1,687.45,691.33,753666,52103351085000.0,6186,105370,0.1398
2016-06-23,INFIBEAM,EQ,687.45,688.0,694.85,676.15,676.5,680.55,687.4,699446,48079835850000.0,5309,44853,0.0641
2016-06-24,INFIBEAM,EQ,680.55,666.0,691.8,586.55,691.8,680.5,651.01,754171,49096981470000.0,8625,66627,0.0883
2016-06-27,INFIBEAM,EQ,680.5,680.0,733.0,671.15,720.0,712.15,693.2,777419,53890950435000.0,7530,91489,0.1177
2016-06-28,INFIBEAM,EQ,712.15,720.0,737.0,715.0,718.0,721.2,722.4,743040,53677168765000.0,9119,66283,0.0892
2016-06-29,INFIBEAM,EQ,721.2,724.9,735.7,720.0,724.15,724.3,726.92,671927,48843875540000.0,5466,43040,0.0641
2016-06-30,INFIBEAM,EQ,724.3,727.75,733.0,666.0,711.0,702.9,716.15,862350,61757215645000.01,7674,155712,0.18059999999999998
2016-07-01,INFIBEAM,EQ,702.9,709.0,720.8,663.1,685.95,672.4,698.75,848133,59262981179999.99,8179,223484,0.2635
2016-07-04,INFIBEAM,EQ,672.4,682.0,706.0,668.0,693.05,696.45,681.94,656917,44797773185000.0,7001,72784,0.11080000000000001
2016-07-05,INFIBEAM,EQ,696.45,699.9,708.0,690.3,698.0,699.3,700.63,622271,43598277005000.0,6338,54968,0.0883
2016-07-07,INFIBEAM,EQ,699.3,700.0,712.9,667.5,669.0,672.45,690.86,705956,48771771660000.0,6853,82178,0.1164
2016-07-08,INFIBEAM,EQ,672.45,674.95,684.7,668.0,678.0,677.05,673.79,631448,42546325720000.0,5332,56860,0.09
2016-07-11,INFIBEAM,EQ,677.05,675.0,696.0,671.0,673.5,680.8,675.36,650027,43900467215000.0,6766,66716,0.1026
2016-07-12,INFIBEAM,EQ,680.8,678.0,693.5,668.6,678.2,679.7,683.01,710521,48528953430000.0,6804,100608,0.1416
2016-07-13,INFIBEAM,EQ,679.7,685.0,689.9,676.0,683.9,682.1,683.82,627496,42909463820000.0,5114,58544,0.09330000000000001
2016-07-14,INFIBEAM,EQ,682.1,680.5,702.0,675.5,685.0,687.25,683.78,703386,48096292895000.0,6941,81344,0.11560000000000001
2016-07-15,INFIBEAM,EQ,687.25,677.05,692.25,671.0,671.05,673.75,678.92,586413,39812461295000.0,4899,60786,0.1037
2016-07-18,INFIBEAM,EQ,673.75,679.0,682.0,670.0,672.8,673.2,678.75,584361,39663275395000.0,4660,52746,0.09029999999999999
