Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,IOC,EQ,305.9,307.0,315.8,306.55,315.05,314.65,313.55,839806,26332056580000.0,26860.58415841584,288906,0.344
2010-01-05,IOC,EQ,314.65,315.05,318.0,313.2,316.0,315.85,315.53,505408,15947387519999.998,26860.58415841584,246106,0.4869
2010-01-06,IOC,EQ,315.85,315.85,317.9,310.05,315.5,315.4,314.0,633665,19896989150000.0,26860.58415841584,322794,0.5094
2010-01-07,IOC,EQ,315.4,313.15,315.0,307.5,310.0,310.45,310.86,382408,11887701245000.0,26860.58415841584,186823,0.48850000000000005
2010-01-08,IOC,EQ,310.45,315.0,318.4,311.1,315.7,315.75,315.66,493557,15579488850000.0,26860.58415841584,177246,0.3591
2010-01-11,IOC,EQ,315.75,315.25,322.0,315.25,317.6,318.85,319.89,638651,20429814810000.0,26860.58415841584,303309,0.47490000000000004
2010-01-12,IOC,EQ,318.85,325.1,328.45,315.6,316.8,317.95,317.59,517903,16447861350000.0,26860.58415841584,228458,0.4411
2010-01-13,IOC,EQ,317.95,318.75,328.1,315.6,324.0,323.7,321.77,947161,30476359380000.0,26860.58415841584,414943,0.43810000000000004
2010-01-14,IOC,EQ,323.7,326.0,331.4,325.0,326.0,325.85,328.09,1029074,33762795864999.996,26860.58415841584,507811,0.49350000000000005
2010-01-15,IOC,EQ,325.85,326.1,328.9,322.2,324.3,324.35,324.74,359548,11675834185000.0,26860.58415841584,177555,0.4938
2010-01-18,IOC,EQ,324.35,325.1,328.0,322.6,325.5,326.15,325.02,269517,8759735240000.001,26860.58415841584,139714,0.5184000000000001
2010-01-19,IOC,EQ,326.15,325.95,334.45,316.15,316.3,318.15,326.96,1413043,46200196850000.0,26860.58415841584,505749,0.3579
2010-01-20,IOC,EQ,318.15,322.7,322.7,311.0,312.0,312.3,315.05,683021,21518406085000.0,26860.58415841584,347724,0.5091
2010-01-21,IOC,EQ,312.3,312.1,317.1,311.1,313.1,313.55,314.11,497969,15641890415000.0,26860.58415841584,230982,0.46380000000000005
2010-01-22,IOC,EQ,313.55,310.0,316.0,305.55,307.75,308.45,309.24,587495,18167877450000.0,26860.58415841584,309053,0.5261
2010-01-25,IOC,EQ,308.45,311.0,311.0,302.5,305.8,306.5,305.1,529858,16166072190000.0,26860.58415841584,332395,0.6273
2010-01-27,IOC,EQ,306.5,306.5,306.85,301.0,301.75,303.65,304.01,441403,13418904045000.0,26860.58415841584,269530,0.6106
2010-01-28,IOC,EQ,303.65,307.0,308.4,299.0,301.65,300.95,304.21,962520,29280902920000.0,26860.58415841584,535895,0.5568
2010-01-29,IOC,EQ,300.95,300.0,305.6,295.05,301.45,301.35,300.65,697722,20977087015000.0,26860.58415841584,315794,0.4526
2010-02-01,IOC,EQ,301.35,302.0,317.85,298.0,317.2,315.15,310.3,1013619,31452099514999.996,26860.58415841584,383020,0.3779
2010-02-02,IOC,EQ,315.15,319.5,325.0,310.15,318.55,317.6,318.44,904327,28797001820000.0,26860.58415841584,334247,0.36960000000000004
2010-02-03,IOC,EQ,317.6,320.0,322.0,313.1,316.15,315.85,317.83,712570,22647545265000.0,26860.58415841584,217894,0.3058
2010-02-04,IOC,EQ,315.85,332.0,332.0,315.85,316.0,316.8,320.04,874797,27997299564999.996,26860.58415841584,327308,0.37420000000000003
2010-02-05,IOC,EQ,316.8,301.55,315.9,301.55,308.0,308.1,311.81,519637,16202899235000.0,26860.58415841584,191259,0.36810000000000004
2010-02-06,IOC,EQ,308.1,309.85,319.6,308.4,317.0,314.65,313.36,141218,4425178265000.0,26860.58415841584,61285,0.434
2010-02-08,IOC,EQ,314.65,317.0,318.6,308.0,308.0,309.7,311.67,429770,13394587020000.0,26860.58415841584,217834,0.5069
2010-02-09,IOC,EQ,309.7,310.5,312.0,307.05,310.7,310.05,309.59,402260,12453527305000.0,26860.58415841584,183184,0.4554
2010-02-10,IOC,EQ,310.05,312.5,318.45,311.3,318.0,315.9,314.65,621155,19544335680000.0,26860.58415841584,251556,0.405
2010-02-11,IOC,EQ,315.9,319.9,319.9,312.1,313.9,313.4,314.37,431513,13565344115000.0,26860.58415841584,147785,0.3425
2010-02-15,IOC,EQ,313.4,308.15,313.4,305.15,305.55,306.0,308.12,367034,11308993035000.0,26860.58415841584,159012,0.43320000000000003
2010-02-16,IOC,EQ,306.0,307.85,310.0,305.2,309.9,309.35,308.48,201923,6229016880000.0,26860.58415841584,107412,0.5319
2010-02-17,IOC,EQ,309.35,310.1,314.4,307.6,312.0,312.15,311.39,253086,7880759280000.0,26860.58415841584,78994,0.3121
2010-02-18,IOC,EQ,312.15,312.9,326.6,309.0,317.3,317.3,317.93,1232390,39180909975000.0,26860.58415841584,296845,0.2409
2010-02-19,IOC,EQ,317.3,316.9,324.4,313.55,320.3,321.7,321.15,772828,24819746220000.0,26860.58415841584,281917,0.36479999999999996
2010-02-22,IOC,EQ,321.7,321.7,328.8,318.7,325.95,326.3,325.48,1219445,39690920195000.0,26860.58415841584,479190,0.39299999999999996
2010-02-23,IOC,EQ,326.3,329.85,330.35,321.1,321.2,322.5,325.97,728425,23744194120000.0,26860.58415841584,227931,0.3129
2010-02-24,IOC,EQ,322.5,318.4,325.25,315.2,323.5,322.2,321.39,477326,15340961710000.0,26860.58415841584,152878,0.32030000000000003
2010-02-25,IOC,EQ,322.2,323.1,325.9,319.8,321.5,321.9,323.12,603817,19510639860000.0,26860.58415841584,301931,0.5
2010-02-26,IOC,EQ,321.9,322.5,334.45,315.0,316.0,317.4,325.06,2797461,90934746240000.0,26860.58415841584,631290,0.2257
