Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,JISLJALEQS,EQ,872.35,864.8,872.0,848.05,851.0,854.75,855.57,41757,3572600545000.0005,18531.52009318579,28335,0.6786
2010-01-05,JISLJALEQS,EQ,854.75,868.9,868.9,845.05,850.0,853.5,855.14,50116,4285636875000.0,18531.52009318579,35812,0.7145999999999999
2010-01-06,JISLJALEQS,EQ,853.5,862.2,862.2,840.0,841.35,843.1,849.39,75311,6396878510000.0,18531.52009318579,68932,0.9153
2010-01-07,JISLJALEQS,EQ,843.1,846.0,885.2,835.5,868.05,868.05,856.87,142537,12213630735000.0,18531.52009318579,100481,0.7049
2010-01-08,JISLJALEQS,EQ,868.05,870.0,893.0,862.3,871.9,870.05,878.21,130278,11441157555000.0,18531.52009318579,70535,0.5414
2010-01-11,JISLJALEQS,EQ,870.05,865.0,880.85,841.25,852.95,853.0,868.28,54310,4715654875000.0,18531.52009318579,43324,0.7977
2010-01-12,JISLJALEQS,EQ,853.0,862.0,880.0,843.25,850.0,866.0,855.83,72283,6186193460000.0,18531.52009318579,51667,0.7148000000000001
2010-01-13,JISLJALEQS,EQ,866.0,848.0,856.95,830.0,835.0,837.55,838.79,54262,4551427380000.0,18531.52009318579,35174,0.6482
2010-01-14,JISLJALEQS,EQ,837.55,848.0,848.0,836.0,841.0,840.85,842.94,17689,1491071300000.0,18531.52009318579,11574,0.6543000000000001
2010-01-15,JISLJALEQS,EQ,840.85,842.05,848.0,831.2,833.65,834.85,838.82,36339,3048189680000.0,18531.52009318579,25926,0.7134
2010-01-18,JISLJALEQS,EQ,834.85,830.0,844.95,830.0,843.75,842.75,842.65,32885,2771041985000.0,18531.52009318579,26631,0.8098000000000001
2010-01-19,JISLJALEQS,EQ,842.75,844.0,847.0,831.1,834.9,834.05,838.8,10907,914875694999.9999,18531.52009318579,8639,0.7920999999999999
2010-01-20,JISLJALEQS,EQ,834.05,845.0,845.0,821.3,825.0,825.95,831.16,25972,2158695870000.0,18531.52009318579,20770,0.7997
2010-01-21,JISLJALEQS,EQ,825.95,830.0,857.0,830.0,846.0,845.9,837.6,170372,14270438400000.0,18531.52009318579,161597,0.9485
2010-01-22,JISLJALEQS,EQ,845.9,838.0,839.95,821.0,828.0,830.85,829.03,206895,17152168000000.0,18531.52009318579,179116,0.8656999999999999
2010-01-25,JISLJALEQS,EQ,830.85,825.0,837.0,806.0,820.0,822.25,819.93,22422,1838451060000.0002,18531.52009318579,15827,0.7059000000000001
2010-01-27,JISLJALEQS,EQ,822.25,838.0,838.0,751.5,777.0,771.95,773.59,218471,16900790669999.998,18531.52009318579,165814,0.7590000000000001
2010-01-28,JISLJALEQS,EQ,771.95,775.0,788.0,772.0,779.0,775.85,777.25,73164,5686691890000.0,18531.52009318579,60569,0.8279000000000001
2010-01-29,JISLJALEQS,EQ,775.85,775.0,775.0,705.25,720.0,724.2,730.15,216917,15838205190000.0,18531.52009318579,171072,0.7887000000000001
2010-02-01,JISLJALEQS,EQ,724.2,729.9,757.0,721.0,750.0,749.6,747.01,61454,4590702095000.0,18531.52009318579,46897,0.7631
2010-02-02,JISLJALEQS,EQ,749.6,764.9,795.0,759.0,776.0,775.15,775.16,104502,8100604945000.0,18531.52009318579,73761,0.7058
2010-02-03,JISLJALEQS,EQ,775.15,798.7,840.0,755.0,761.0,762.3,772.52,24892,1922956410000.0002,18531.52009318579,13821,0.5552
2010-02-04,JISLJALEQS,EQ,762.3,771.0,776.7,730.0,738.8,737.75,753.72,45686,3443440679999.9995,18531.52009318579,34905,0.7640000000000001
2010-02-05,JISLJALEQS,EQ,737.75,737.75,764.8,705.55,734.4,726.45,722.09,68186,4923674905000.0,18531.52009318579,52385,0.7683
2010-02-06,JISLJALEQS,EQ,726.45,732.0,747.9,730.0,744.9,744.1,738.13,16722,1234303090000.0,18531.52009318579,16107,0.9632
2010-02-08,JISLJALEQS,EQ,744.1,768.0,768.0,727.0,730.0,729.95,745.26,40107,2989019075000.0,18531.52009318579,31489,0.7851
2010-02-09,JISLJALEQS,EQ,729.95,740.0,740.0,711.3,730.0,730.15,725.63,179647,13035694035000.0,18531.52009318579,115220,0.6414
2010-02-10,JISLJALEQS,EQ,730.15,745.0,745.0,730.0,735.0,734.85,735.4,46729,3436471420000.0005,18531.52009318579,31646,0.6772
2010-02-11,JISLJALEQS,EQ,734.85,744.0,784.3,736.25,774.0,773.65,756.78,111219,8416781405000.0,18531.52009318579,63905,0.5746
2010-02-15,JISLJALEQS,EQ,773.65,780.0,824.5,765.0,816.0,818.3,802.54,273635,21960182365000.0,18531.52009318579,131633,0.4811
2010-02-16,JISLJALEQS,EQ,818.3,823.5,885.0,815.1,873.1,872.7,858.83,543847,46707481775000.0,18531.52009318579,189911,0.3492
2010-02-17,JISLJALEQS,EQ,872.7,897.3,905.95,852.0,855.35,860.35,877.31,354083,31064150345000.0,18531.52009318579,92248,0.2605
2010-02-18,JISLJALEQS,EQ,860.35,850.0,884.25,843.0,853.9,854.6,869.0,186806,16233532480000.002,18531.52009318579,54074,0.2895
2010-02-19,JISLJALEQS,EQ,854.6,854.9,864.9,833.0,839.5,837.95,842.07,243726,20523427680000.0,18531.52009318579,156654,0.6426999999999999
2010-02-22,JISLJALEQS,EQ,837.95,842.0,857.9,836.0,849.0,848.3,847.72,110672,9381925730000.0,18531.52009318579,54871,0.4958
2010-02-23,JISLJALEQS,EQ,848.3,851.0,856.9,841.0,846.0,844.15,846.14,124970,10574181280000.0,18531.52009318579,91203,0.7298
2010-02-24,JISLJALEQS,EQ,844.15,844.0,844.9,828.1,833.5,831.85,834.49,171744,14331814660000.0,18531.52009318579,146818,0.8549
2010-02-25,JISLJALEQS,EQ,831.85,839.0,856.8,835.0,843.9,839.85,841.47,157863,13283649800000.0,18531.52009318579,110813,0.7020000000000001
2010-02-26,JISLJALEQS,EQ,839.85,849.9,862.0,826.6,836.0,832.0,840.57,508354,42730502840000.0,18531.52009318579,259656,0.5108
2010-03-02,JISLJALEQS,EQ,832.0,835.1,911.4,832.0,903.0,906.35,893.51,737228,65872359060000.0,18531.52009318579,455960,0.6185
2010-03-03,JISLJALEQS,EQ,906.35,906.35,959.0,902.0,934.3,930.85,927.45,498108,46197176695000.0,18531.52009318579,304033,0.6104
2010-03-04,JISLJALEQS,EQ,930.85,936.0,941.8,917.0,918.1,919.5,927.12,408837,37903979955000.0,18531.52009318579,356107,0.871
2010-03-05,JISLJALEQS,EQ,919.5,925.0,929.0,915.0,922.0,921.15,920.07,270520,24889826135000.0,18531.52009318579,247620,0.9153
2010-03-08,JISLJALEQS,EQ,921.15,928.8,945.0,915.05,933.4,937.65,927.77,101023,9372628730000.0,18531.52009318579,77720,0.7693000000000001
2010-03-09,JISLJALEQS,EQ,937.65,940.0,978.35,935.0,970.0,963.35,960.41,458610,44045190195000.0,18531.52009318579,331964,0.7238
2010-03-10,JISLJALEQS,EQ,963.35,970.0,997.6,952.1,971.6,973.75,980.31,192032,18825148355000.0,18531.52009318579,57665,0.3003
2010-03-11,JISLJALEQS,EQ,973.75,955.0,975.0,945.0,945.55,953.85,956.87,178084,17040406175000.0,18531.52009318579,116349,0.6533
